tissue,name,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
Liver,(+)-Nootkatone,-0.029226773517766143,0.03401732220388243,0.001171107278471254,-0.0018877899960260682,-0.0017961613693531153,-0.03085130817141165,-0.028260286473938617,-0.004346075113352279,-0.028931019114545656,-0.008142498436439717,-0.019145003567578492,-0.06649089648457684,-0.03788017313422546,-0.04456835677504957,-0.013700671593967048,0.005724015323364247,-0.32812496766761884
Liver,(+)-castanospermine,0.012056062930501257,-0.018071319317265844,0.023513535644517223,0.07557417301406566,-0.022673762117531217,0.022912764373023087,-0.01014842977360206,-0.021553354067579557,-0.012075452686488486,0.029803962196026674,-0.016924641076698436,-0.015137634233646429,-0.009111180446003137,-6.440386625253945e-4,-0.009163820518224626,-0.006078424507790114,0.21930638337113975
Liver,"(10E,12Z)-10,12-Hexadecadienal",0.0015131962964404296,0.03174309761825321,-0.014860802021171696,-0.01589937076959043,-0.00156329056608864,0.045813948960553956,0.016650318375477403,0.021673604613486348,0.05528037489843877,-0.04986745065150956,0.013894383356844535,-0.006366179535305214,0.0135824190951187,-0.009686704987376685,-0.013395298802401952,0.08066240381909887,0.07174852454403423
Liver,"(10Z,12Z)-octadeca-10,12-dienoylcarnitine",-0.0018783063673023137,-0.009740834542935072,0.002694623985813575,0.055903023007824335,-0.02230685432868824,-0.02895696329068797,0.02073140976786095,-0.06707773894644475,-0.01773887313538645,0.04697227460652616,4.622146554267558e-5,-0.02906892941289276,-0.010621977677083633,0.030830513460796283,0.005366601962353261,-0.015670073966415104,-0.13022437615682408
Liver,(11E)-15-Oxo-11-icosenoic acid,-0.03136854171457822,-0.010335419186728754,-0.04474069888431581,0.0091743634726943,0.04057858128326156,-0.02994539404027773,-0.02084312370445047,-0.003892252891814388,-0.033730819999267296,-0.008915222758418885,0.016227989176627336,-0.016176613985309004,0.008444699545433079,0.019798485132833953,0.03164289059853163,-0.00977440930100907,0.1572973660518127
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",-0.009372835813008849,-0.02707964371662089,-0.028934798003450706,0.027645491157023437,0.05694669417620803,0.0037152014372158885,-0.026215670410154088,2.347187623789447e-4,0.043143509006808786,-0.018211457012645253,0.042263335156346414,-0.03684580888274638,-0.008578806403938969,0.007187395883122016,0.019723416355103534,-0.002024450968205833,0.04521283143026123
Liver,"(13Z,16Z)-hexacosa-13,16-dienoic acid",0.03254146847173407,-0.01556533477758355,0.023351482313516574,0.016438980830600917,0.04538834772142453,0.028494678066794746,-0.02468263517259,-0.008369551441007936,-0.02558130050592843,-0.03405108830879909,0.043961975732680646,-0.023391416599345665,-0.002330712825361026,-0.02208680700341462,5.163115734575274e-4,0.016610325825269716,-0.06441068387070589
Liver,"(15R,21S)-18,21,22-Trihydroxy-3-methyl-18-oxido-12-oxo-13,17,19-trioxa-18λ~5~-phosphadocosan-15-yl 22-methyltricosanoate",-2.8653631033582046e-4,-0.018339379140498536,0.03651104138191063,-0.052892796019623364,-0.01837926705534556,0.026677425419029118,0.026474460490032693,-0.02136545201122124,-0.03424672200801676,-0.009525263379306537,0.03683893187076793,-0.027581235130010692,-0.0345166497305928,0.039267649283379336,-4.1813058858760477e-4,0.00468471824377956,-0.017176722176591625
Liver,(17Z)-tricos-17-enoic acid,0.02877561311370415,-0.020894459276742838,0.027871443129632065,-0.005979630910769349,-0.005568036887261168,-0.031430717955604745,-0.05401635406457282,-0.03537675356698566,0.009843621155722852,-0.009852447952372825,-0.03298551437623599,-0.013911962109406819,0.032002026149624475,0.039230356670423384,-0.028917773462614062,0.003674450660780346,-0.03660357717757594
Liver,(1E)-N-Hydroxy-4-(methylsulfanyl)-1-butanimine,0.03744194780402445,-0.02084765826501881,-0.016974891067355523,-0.002586139258640262,0.014807435200781932,0.030249820190499144,-0.034829853827732286,-0.0010443879159288852,0.013931937517461504,-0.0135522378903768,0.027972595231635405,0.00302181476847496,-0.07215657964452286,-0.015391597496037033,-0.016985938151406397,0.005048763304550254,0.073102858138722
Liver,"(1R,5R)-3,3,5-Trimethylcyclohexyl 5-oxo-L-prolinate",0.04922776698116593,-0.0022944270001153334,-0.034001561448205805,-0.005826414062914623,-0.0056725713900295125,0.011654423397834637,-4.3600576006385056e-4,0.031022716642134476,-0.008477019985016248,-0.008656263605139167,-0.026125631345936505,0.008440189028841355,-0.020280697201894165,-0.006687443650421398,7.635890159819885e-4,-8.340438745938286e-4,0.09203055182671661
Liver,"(1aR,2R,3S,11cS)-6,11-Dimethyl-1a,2,3,11c-tetrahydrotetrapheno[1,2-b]oxirene-2,3-diol",0.0341676619529267,-0.004051708812847897,0.039440173297139766,-0.011457177774301212,-0.022063754918602678,0.0030638417606450937,0.016955579394576842,-0.0070200176439649134,-0.02084345222187131,0.03317371204538579,-0.05061432903949829,0.029253035203460516,0.02651177970883353,-0.02886748734060561,-0.03546530248563838,0.007504755150518202,-0.047843084551981975
Liver,"(2E,4E)-2,4-Hexadienoic acid",0.023040403894377406,-0.014901838840316173,0.02929769351985452,-0.04283051927448658,0.006772036563330546,-0.012464295168357615,0.04622438466616969,0.04125750473245785,0.01977976989518703,-9.01990379589381e-4,0.006280867685794175,-0.04776138205949747,0.0037776508526370773,0.037940212675483545,-0.022760394506937443,0.015687755534450794,-0.09482639915574817
Liver,"(2E,4Z)-N-Isobutyl-2,4-octadecadienamide",-0.014927084375419848,-0.0263430545719294,0.021750207332646265,-0.04053720259485189,-0.015471936807895877,0.05094822838271069,0.013764309974079276,-0.010022005904723555,0.0028208537865778813,0.018703516880041234,-0.07688157249584636,-0.010728385954215379,-0.02034783420643146,-0.009608549218625202,-0.003030148215238481,0.010429917178057945,-0.2063666805181353
Liver,"(2E,5Z,7E)-Decatrienoylcarnitine",0.014343192756378688,0.03455805608374497,0.003848197175214174,0.0383920373780638,0.015167601215995448,0.03621836933023766,0.04700793633526488,-0.010957635284108575,-0.022431774935753913,-0.03574744637704875,-0.011114990169221533,0.010055362878969843,0.05010820887047135,-0.036196302531258766,0.006231855945842263,-0.0243299808264024,0.07086605771827671
