tissue,sample.clean,group,diet,cohort,animal,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
Liver,1M1,Old CD,CD,1,1,-13.672883912929104,30.34906846537347,0.8546180985636673,-7.478038616820737,-3.3734008317796227,6.594916405862286,-9.314230369453773,-0.06467514130626263,0.31028920253463355,5.333919961256388,-7.165249082254432,-9.09238951345445,0.3446563715783049,-9.349583198645485,-1.4687100234544992,-5.959936981606479,-1.0859138517011296e-14
Liver,1M2,Old CD,CD,1,2,-17.733198117025527,-3.7575015818372988,-3.361950946833442,-3.3137868754228488,-0.31330938260576585,3.7834434575308236,-5.927520915954067,14.391241710997818,2.943265673141933,5.5591643896466385,5.139879569027045,1.6529549316468537,6.0642930584140595,12.11384218144222,10.01607088659621,-6.568561554561355,1.9317532746423436e-15
Liver,1M4,Old CD,CD,1,4,-12.247087907289844,4.532404488803921,-6.952444768778811,0.2977121134464117,-6.3107030622752704,-0.8648588954347773,4.281658029515742,-3.571343926489828,14.264758549061582,-0.2508197010992467,1.0089135916577536,-8.52618908224218,2.7722813198736547,2.5481418022562092,3.192294376447266,16.09755966368586,1.6192524563863987e-14
Liver,1M10,Old CD,CD,1,10,-23.592227997733243,-6.4171667431485995,-15.677897507850023,2.522881996246403,12.902113430429921,-16.8688118974213,-4.898858693893279,-4.5353561944814125,-14.326919599055989,5.1957014212383434,1.0802188375198385,-3.6921995652813933,-3.3378090850781303,-0.35612313188369854,-0.19000516787507696,2.6596217198364145,1.720866532329935e-14
Liver,1M11,Old CD,CD,1,11,-19.731467273927734,-24.977274147985533,4.708236705315042,-14.13381838833301,2.8381109898135115,16.50944938736786,5.172674468843451,-3.5122783601785437,-1.5490089139875318,4.917005588334907,-9.494674364774262,4.63130742694204,-3.6939658791095815,-0.5806204941156513,-4.03288239165906,2.361688800103944,7.289192613676463e-15
Liver,2M16,Old CD,CD,2,16,16.288087143645555,3.0743430492314676,-21.45731274825548,3.0357603020497135,3.40900101924224,12.466937381560198,-5.505252501505595,1.5177886209529152,1.4127418795712292,-8.522467431141928,5.1494626053400845,-1.6211873250489852,-15.478908593942416,3.911328442681346,-1.9314761831575509,-1.0385562814798182,1.0128637183486985e-14
Liver,2M17,Old CD,CD,2,17,18.46050961697331,5.076297415625886,-21.77802147127788,0.12027155349124602,-4.734487284520427,4.185594739523248,7.621071204365748,-14.867685769346553,-3.8098483386106943,2.263270208174982,-1.4198732424327174,4.95764421368823,12.869533938622368,2.99744401461602,0.1413119340640298,-4.451996147687012,1.1585846340925762e-14
Liver,2M20,Old CD,CD,2,20,14.465032447777302,-4.68541279127494,-3.300906511958191,-5.656106957028162,-5.4364745447933025,-4.7962936336484665,-3.817616184783592,2.9760369662130217,5.668912924595834,10.541203364422353,9.792624088679522,11.717929277065192,-3.112991971601391,-13.787830307555595,2.9930637759789493,2.258743647356215,1.956122682109484e-14
Liver,1M5,Old ID,ID,1,5,-7.797660714227125,23.37905926847116,18.05467158535674,-0.705610585041841,2.2815371400644455,4.561198690096274,-0.04643555210357301,-3.4360618742892606,-11.371633402174723,-7.30619882489008,4.61310689024536,11.705346150476892,-0.5428008063249881,3.205870483455972,3.7796485477423296,7.231296209347239,1.287723301871389e-14
Liver,1M6,Old ID,ID,1,6,-10.503984260049517,0.6436016571063281,11.681971153298546,26.0100771569502,-7.599961192329726,-3.058746215920271,6.331937485507371,-8.031399092536672,6.033290813285677,6.964406184403848,-2.8591520074767875,2.370106951115743,-8.791699250546586,3.048031976223768,1.1169860980928186,-6.383363350467056,1.913599372092535e-14
