tissue,pc,std_dev,variance_explained,cumulative_variance
Liver,PC1,16.307528865689484,0.19411350197466842,0.19411350197466842
Liver,PC2,13.649946143876845,0.13600075162827616,0.33011425360294455
Liver,PC3,10.619206770954124,0.08231208207611526,0.41242633567905984
Liver,PC4,10.120925149399698,0.07476870502171627,0.4871950407007761
Liver,PC5,8.83123748961433,0.056927558830634745,0.5441225995314108
Liver,PC6,8.465288422565191,0.05230737815855201,0.5964299776899629
Liver,PC7,7.941913114136883,0.046039404315692985,0.6424693820056558
Liver,PC8,7.23317081699572,0.03818887596192594,0.6806582579675817
Liver,PC9,6.9603964857815335,0.035362860758598486,0.7160211187261802
Liver,PC10,6.726586455767194,0.03302698200504428,0.7490481007312245
Liver,PC11,6.519984145738002,0.03102933814647803,0.7800774388777025
Liver,PC12,6.266054614548439,0.02865944557117065,0.80873688444887315
Liver,PC13,6.049273102065732,0.026710733622902164,0.8354476180717754
Liver,PC14,5.820867418104579,0.024731749999380635,0.860179368071156
Liver,PC15,5.672365097146364,0.023485931237462974,0.883665299308619
Liver,PC16,5.508892750341925,0.02215175133924804,0.9058170506478671
Liver,PC17,5.371277370403564,0.021058847145846295,0.9268758977937134
Liver,PC18,5.2046212782690855,0.019772323102344037,0.9466482208960574
Liver,PC19,5.168483666256397,0.019498703217780414,0.9661469241138378
Liver,PC20,4.994922126657359,0.018211129234577576,0.9843580533484154
Liver,PC21,4.62919722118973,0.015641946651584467,0.9999999999999999
Liver,PC22,1.4818463614929343e-14,1.6028238241385752e-31,0.9999999999999999
Muscle,PC1,10.6428900922606,0.12585678835104322,0.12585678835104322
Muscle,PC2,10.072174165343966,0.1127207693522472,0.23857755770329042
Muscle,PC3,9.32887642029449,0.09669770585014065,0.33527526355343107
Muscle,PC4,8.705662911853217,0.08420951859424075,0.4194847821476718
Muscle,PC5,8.222269511185537,0.07511746212730143,0.49460224427497324
Muscle,PC6,7.5568563200960766,0.06345119715841782,0.5580534414333911
Muscle,PC7,6.867289492269981,0.05239962774515746,0.6104530691785486
Muscle,PC8,6.206636745864749,0.04280259966124287,0.6532556688397915
Muscle,PC9,6.0119682783852575,0.04015973620034513,0.6934154050401367
Muscle,PC10,5.80189722000986,0.03740223483506463,0.7308176398752013
Muscle,PC11,5.585177812433373,0.03466023466277561,0.7654778745379769
Muscle,PC12,5.544911701282798,0.034162273083358785,0.7996401476213357
Muscle,PC13,5.30910405406169,0.031318428729838095,0.8309585763511739
Muscle,PC14,5.0837589231182,0.028716227542648815,0.8596748038938227
Muscle,PC15,4.760030234104396,0.0251754309217644,0.8848502348155871
Muscle,PC16,4.555388547949507,0.023057294247543922,0.907907529063131
Muscle,PC17,4.490434656015306,0.02240444822215923,0.9303119772852902
Muscle,PC18,4.322053564756933,0.02075571890736458,0.9510676961926549
Muscle,PC19,4.015227521219037,0.017913391163505314,0.9689810873561602
Muscle,PC20,3.8282427841450266,0.01628382534928719,0.9852649127054474
Muscle,PC21,3.6416450355708014,0.014735087294552746,1
Muscle,PC22,1.0333620977093065e-14,1.186485805535754e-31,1
