tissue,name,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
Liver,(+)-Nootkatone,0.0028197899966514936,0.04966702085379971,0.01080767011056377,-0.015190834054580134,-0.005103082708556494,-0.004907683759192952,0.012269154860352528,0.03599229290879382,0.0392103039092728,-0.0051789625701938995,0.015947244868546696,6.604607075692043e-4,-0.00889588975746069,0.018869524181231057,-0.0650538758366027,0.048401325771524374,-0.04991318807421724,0.019443139697903476,0.016492097048133317,-0.00772200702113752,-0.031161525218158997,-0.1667179036687331
Liver,(+)-castanospermine,0.005693383958354232,-0.03051389929013646,-0.02022476384462883,-0.03673349861267343,-0.07711202673215928,0.005683800511716497,0.01772796959673432,-0.024963989656755888,-0.007353376517574293,-0.016691339460812492,0.020473070173988354,-0.030864468048732985,-0.02669121604232473,-9.722136747861898e-4,-0.01904588078194781,0.0036039210290046233,0.00142586038519924,0.00934664879051219,0.004599399111715123,0.010284491035591283,0.006154728493565916,-0.021826864630633352
Liver,"(10E,12Z)-10,12-Hexadecadienal",0.0046621665068684,3.3499628027343234e-4,0.03651107829991418,-0.017220456876776678,0.030335055702424008,0.01998457469083117,0.005398536448053518,-0.03880981338326684,-0.011182394198913464,0.004881186627746476,-0.05152116139787784,0.051044331953086636,0.04471870924933723,-0.030309603252685814,-0.01319816898877631,-0.012102950574261846,0.013616980505865321,0.05722433200255971,0.008262847775957823,-0.07439803807813883,0.05372829507951216,0.021362281371797593
Liver,"(10Z,12Z)-octadeca-10,12-dienoylcarnitine",-0.023440598754718173,0.022997703525657446,-0.0082980571635191,0.003376458718469126,-0.03451000353115569,-0.0030206078667430174,0.05642677079453015,0.04489929584405193,-0.027137156759493755,-0.013768181645280217,-0.045679140937531455,-0.03445835384022894,0.030733329673620427,-0.03236067379378733,-0.04719920938550812,-0.010158174338680766,-0.00383824320736061,0.018740240125485363,-0.018293311397751536,0.006723560836972837,-0.00996399010356313,-0.006110748958047647
Liver,(11E)-15-Oxo-11-icosenoic acid,0.029076995390716214,0.016843470270791038,0.027454184107013637,0.028999030783072192,-0.005532308420784473,-0.06213689584116804,0.02534026222769991,0.04079117933111778,0.024459632631914606,-7.267063446949187e-4,0.0270556709081756,0.007179864272020235,0.013063575232414545,0.019340042234116676,-0.010123953654288736,-0.009668732709128226,0.029109990841284263,-0.02653541497073226,-0.020080556372929756,0.00835177486043173,-0.00778762251110485,0.10805222680540502
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",0.01671296403341798,-0.01622400977509646,0.009885589281400169,0.040322299895785764,-0.025341680667212544,-0.06918800668582528,-0.014679372370826773,-0.04718875119398154,-0.0011578411499703917,-0.0011133290502927178,-0.02624884156206296,0.024163208821295627,0.031832974180226896,0.01798765232568145,-0.034661454739613,0.00652028557071035,0.02239898545881631,0.014620978448838307,-0.023142816670616784,-0.005939275259792164,-0.0022755417420348804,-0.09925396778216325
Liver,"(13Z,16Z)-hexacosa-13,16-dienoic acid",-0.001814660758772122,-0.04702970693343474,-0.015781651890767502,-0.02827192809216354,0.008584783473209326,-0.04424321546732649,0.0016068938620130548,-0.03640636897265273,0.017387353624747227,-0.008267577651006278,0.030912231222978752,0.006432561383378992,0.05822153663722998,0.019014468926874223,-0.007693777742677259,0.023911261983475297,-0.012745336415426245,0.023353008361856793,-0.009027801575090975,-0.02653032932609622,0.01781145487794148,0.03522137230544306
Liver,"(15R,21S)-18,21,22-Trihydroxy-3-methyl-18-oxido-12-oxo-13,17,19-trioxa-18λ~5~-phosphadocosan-15-yl 22-methyltricosanoate",0.0069556512948515175,-0.008170120305462915,-0.04660322352324103,0.004769266289035164,0.0538085726741713,0.041798198533380175,-0.006090116185082254,-0.011242093733905346,-0.02667545593248427,-0.01150358087062991,0.0388425558025345,-0.02505172928225121,0.05761749067433427,0.002698545798869578,-0.044145977595273174,0.024381023920236132,0.031003656758231943,-0.012876049971027075,0.010558626287499802,-4.23133641608321e-6,0.005171298434979785,-0.05684399311643894
Liver,(17Z)-tricos-17-enoic acid,-0.023622465420665043,-0.01784012438787048,-0.035196193203961945,-0.010332996152872956,7.94051985771843e-4,-0.00443689069603437,0.03143126461538989,0.028364451756905606,0.06806762164104917,-0.0472371697757422,-0.04094171309674452,-0.010263187695787514,0.0035214205034502853,-0.01608826145857419,-0.028132803798581945,-0.03967934429080319,0.002714258169085959,-0.00870448913711934,0.03317604439842191,0.020383016984483086,0.02211923471055463,0.041158643561445066
Liver,(1E)-N-Hydroxy-4-(methylsulfanyl)-1-butanimine,-0.005945363245342984,-0.05110582982525913,0.010058327493941631,-0.0015386485277930958,0.016527479341875838,-0.013448644478380681,0.030847214680502118,-0.033625954879534195,0.02239513844011846,-0.0038097250312705538,-0.007251043684752795,0.011076405153092553,0.01510143507104439,0.005582206177735623,0.004375892766512299,0.09335721791574124,0.018630332191473656,0.007196159948615617,0.023867249700447308,0.002257017316315982,-0.016151063454275544,0.03243489833872854
