gene.id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,design,comparison,flag
Ttyh3,139.072281,0.16670759,0.191450061,0.870762796,0.383883683,0.999946781,~cohort + diet,old ID vs CD,
Cyp4f18,33.14096219,0.166560251,0.64766405,0.257170753,0.797046961,0.999946781,~cohort + diet,old ID vs CD,
Slc35e3,161.0784815,0.166492339,0.117725095,1.414246802,0.15728945,0.999946781,~cohort + diet,old ID vs CD,
Aatk,149.7048516,0.166468244,0.16113806,1.033078367,0.301567226,0.999946781,~cohort + diet,old ID vs CD,
Sgpl1,476.4119679,0.166455589,0.15626437,1.065217805,0.286777378,0.999946781,~cohort + diet,old ID vs CD,
Scyl3,234.7551804,0.166446304,0.130914263,1.271414587,0.203581196,0.999946781,~cohort + diet,old ID vs CD,
Csf1,277.2214902,0.166402232,0.133203158,1.24923639,0.211578626,0.999946781,~cohort + diet,old ID vs CD,
Elk1,218.6968957,0.166321784,0.122754486,1.3549141,0.175444927,0.999946781,~cohort + diet,old ID vs CD,
1600002H07Rik,44.99092094,0.166280156,0.210957456,0.788216542,0.430570055,0.999946781,~cohort + diet,old ID vs CD,
Itga9,376.3568389,0.16618991,0.132193226,1.25717418,0.208690571,0.999946781,~cohort + diet,old ID vs CD,
Notch4,273.8846854,0.165950877,0.166271015,0.998074603,0.318243184,0.999946781,~cohort + diet,old ID vs CD,
Tcp11l1,120.2168619,0.165916413,0.133869073,1.23939316,0.215199933,0.999946781,~cohort + diet,old ID vs CD,
Nbeal2,198.9296801,0.165870841,0.189300136,0.876232024,0.38090391,0.999946781,~cohort + diet,old ID vs CD,
Dpysl3,314.0292014,0.165572001,0.192021924,0.862255714,0.388546817,0.999946781,~cohort + diet,old ID vs CD,
Dpep1,490.9620174,0.165563875,0.13033868,1.270258953,0.203992404,0.999946781,~cohort + diet,old ID vs CD,
Wdr89,66.02239107,0.165524995,0.230238751,0.71892761,0.472185524,0.999946781,~cohort + diet,old ID vs CD,
Lyn,266.8163721,0.165470599,0.177944009,0.929902609,0.352421512,0.999946781,~cohort + diet,old ID vs CD,
Ift81,123.2953049,0.16532409,0.298117034,0.55456103,0.579194951,0.999946781,~cohort + diet,old ID vs CD,
Adamts4,28.69307926,0.16531762,0.362223356,0.456396909,0.648104588,0.999946781,~cohort + diet,old ID vs CD,
R3hcc1l,389.6047495,0.165179718,0.098618997,1.674927992,0.093948361,0.999946781,~cohort + diet,old ID vs CD,
Pex6,522.1098404,0.165138421,0.144466506,1.143091407,0.253000642,0.999946781,~cohort + diet,old ID vs CD,
Tnfaip2,857.9254404,0.165130739,0.191290782,0.863244625,0.388002983,0.999946781,~cohort + diet,old ID vs CD,
Ostn,3906.773725,0.165069587,0.47332255,0.34874651,0.727279624,0.999946781,~cohort + diet,old ID vs CD,
Dgat1,357.0956251,0.164631006,0.193779839,0.84957758,0.395559981,0.999946781,~cohort + diet,old ID vs CD,
Ntpcr,148.951325,0.164576496,0.114060197,1.442891566,0.149051019,0.999946781,~cohort + diet,old ID vs CD,
Ubtd2,62.81319404,0.164405433,0.20991946,0.783183387,0.433519429,0.999946781,~cohort + diet,old ID vs CD,
Kdelc2,229.2385124,0.164244709,0.117692603,1.395539776,0.162853129,0.999946781,~cohort + diet,old ID vs CD,
1810043G02Rik,77.73780929,0.164215347,0.156797733,1.047306896,0.294958056,0.999946781,~cohort + diet,old ID vs CD,
Tceal1,174.6813933,0.164102568,0.170672523,0.961505491,0.336298066,0.999946781,~cohort + diet,old ID vs CD,
Il6ra,199.3520816,0.164016689,0.211517892,0.775427022,0.438087373,0.999946781,~cohort + diet,old ID vs CD,
3110045C21Rik,34.94588776,0.1639645,0.339292613,0.483253963,0.628915424,0.999946781,~cohort + diet,old ID vs CD,
Tcn2,477.4961328,0.163942671,0.125577047,1.305514621,0.191717672,0.999946781,~cohort + diet,old ID vs CD,
Fbxo46,68.5090581,0.163905651,0.18919415,0.866335723,0.386306081,0.999946781,~cohort + diet,old ID vs CD,
Pdp2,261.1581604,0.163771391,0.208348303,0.786046197,0.431840423,0.999946781,~cohort + diet,old ID vs CD,
Hist1h4m,8.847783955,0.163722609,0.685962908,0.238675601,0.811357137,0.999946781,~cohort + diet,old ID vs CD,
Gss,201.0903383,0.163368037,0.176947748,0.923255816,0.355873908,0.999946781,~cohort + diet,old ID vs CD,
Utrn,1611.140537,0.163340517,0.127202905,1.284094232,0.199108986,0.999946781,~cohort + diet,old ID vs CD,
Zfp418,33.77210479,0.163338955,0.259305098,0.62991031,0.528753267,0.999946781,~cohort + diet,old ID vs CD,
Cd19,47.95745031,0.163310215,0.929310883,0.175732597,0.860504025,0.999946781,~cohort + diet,old ID vs CD,
Plekho2,213.5782043,0.163297766,0.209986167,0.777659638,0.436769693,0.999946781,~cohort + diet,old ID vs CD,
Cnn1,63.15559724,0.163092566,0.442747469,0.368364763,0.712601268,0.999946781,~cohort + diet,old ID vs CD,
Zfp516,583.1767186,0.163032956,0.102586987,1.589216732,0.11201147,0.999946781,~cohort + diet,old ID vs CD,
Ext1,326.3436527,0.16303265,0.131823418,1.23675029,0.216179802,0.999946781,~cohort + diet,old ID vs CD,
Wrap53,79.27905681,0.162967391,0.177456103,0.918353263,0.358433951,0.999946781,~cohort + diet,old ID vs CD,
Scly,215.6344707,0.162898808,0.125039297,1.302780901,0.192649573,0.999946781,~cohort + diet,old ID vs CD,
Nfkbiz,83.76633594,0.162815083,0.25701151,0.633493354,0.526411519,0.999946781,~cohort + diet,old ID vs CD,
Smad1,232.1876291,0.162798436,0.100364158,1.622077436,0.104786769,0.999946781,~cohort + diet,old ID vs CD,
Npr1,314.8471446,0.162769887,0.135180828,1.204090029,0.228554783,0.999946781,~cohort + diet,old ID vs CD,
Nfya,228.9744145,0.162755935,0.130316264,1.248930331,0.211690557,0.999946781,~cohort + diet,old ID vs CD,
Zgrf1,54.14945101,0.162743909,0.257906899,0.631018052,0.528028721,0.999946781,~cohort + diet,old ID vs CD,
Safb2,578.0242759,0.16267991,0.136721391,1.189864357,0.23409971,0.999946781,~cohort + diet,old ID vs CD,
Setdb1,479.5275842,0.162654708,0.086314549,1.884441391,0.059505296,0.999946781,~cohort + diet,old ID vs CD,
Eps8l1,77.79053911,0.16251897,0.703422164,0.231040445,0.817283382,0.999946781,~cohort + diet,old ID vs CD,
Pik3r2,316.3555529,0.162510692,0.118390475,1.372666952,0.169855908,0.999946781,~cohort + diet,old ID vs CD,
Mettl3,324.9646445,0.162501971,0.097853343,1.660668571,0.096780029,0.999946781,~cohort + diet,old ID vs CD,
Dock6,367.5429438,0.162402865,0.14886107,1.090969351,0.275286369,0.999946781,~cohort + diet,old ID vs CD,
Cd9,549.1898383,0.162228135,0.158564382,1.023105779,0.306257835,0.999946781,~cohort + diet,old ID vs CD,
Aox1,1035.528804,0.162157661,0.132232299,1.226309021,0.220082408,0.999946781,~cohort + diet,old ID vs CD,
Arhgap26,347.2077896,0.161958034,0.178815097,0.905729083,0.365079265,0.999946781,~cohort + diet,old ID vs CD,
Col5a2,831.3139975,0.161890343,0.185610531,0.872204514,0.383096817,0.999946781,~cohort + diet,old ID vs CD,
Pla2g16,4865.123844,0.161813965,0.082618297,1.958572994,0.050162815,0.999946781,~cohort + diet,old ID vs CD,
Serpinb9,198.7169326,0.161753971,0.168229777,0.961506184,0.336297718,0.999946781,~cohort + diet,old ID vs CD,
Rapgef5,287.8392283,0.161683503,0.192464171,0.840070657,0.400868771,0.999946781,~cohort + diet,old ID vs CD,
Chrne,193.6533856,0.161607654,0.176572126,0.915250092,0.360060353,0.999946781,~cohort + diet,old ID vs CD,
Hrct1,46.88725727,0.161588443,0.252693134,0.639465111,0.522520404,0.999946781,~cohort + diet,old ID vs CD,
Rnf26,87.86997584,0.161508649,0.202530245,0.797454466,0.425187137,0.999946781,~cohort + diet,old ID vs CD,
Tor4a,67.82124502,0.161387046,0.191319003,0.843549481,0.398921205,0.999946781,~cohort + diet,old ID vs CD,
Cbx4,104.8217929,0.161322985,0.264943599,0.608895574,0.542593658,0.999946781,~cohort + diet,old ID vs CD,
Pml,151.1186927,0.161129404,0.207135349,0.777894286,0.436631337,0.999946781,~cohort + diet,old ID vs CD,
Fam212b,207.0417197,0.160993742,0.124944118,1.288525975,0.197562933,0.999946781,~cohort + diet,old ID vs CD,
Capn10,101.3889382,0.16097523,0.140796423,1.143319033,0.252906156,0.999946781,~cohort + diet,old ID vs CD,
Coq4,104.8031855,0.160810233,0.151466091,1.061691311,0.288375845,0.999946781,~cohort + diet,old ID vs CD,
Tspyl4,96.32747173,0.160799734,0.20620095,0.779820531,0.43549652,0.999946781,~cohort + diet,old ID vs CD,
1700123O20Rik,199.9586602,0.160711673,0.12903121,1.245525575,0.212938621,0.999946781,~cohort + diet,old ID vs CD,
Gm12002,72.75390239,0.160607004,0.181005559,0.887304263,0.374915111,0.999946781,~cohort + diet,old ID vs CD,
Fam114a1,215.1932608,0.160482209,0.146533497,1.095191288,0.273432841,0.999946781,~cohort + diet,old ID vs CD,
Adck2,95.89003127,0.160311701,0.177246161,0.904457962,0.365752615,0.999946781,~cohort + diet,old ID vs CD,
Il12a,98.86053381,0.160291854,0.21913974,0.731459543,0.464498507,0.999946781,~cohort + diet,old ID vs CD,
Cep164,101.9230351,0.160291263,0.164327785,0.975436154,0.329343957,0.999946781,~cohort + diet,old ID vs CD,
Usp42,207.6495042,0.160290362,0.107568548,1.490122953,0.13619191,0.999946781,~cohort + diet,old ID vs CD,
Rab6b,303.3095012,0.16013599,0.148909816,1.075389084,0.282200567,0.999946781,~cohort + diet,old ID vs CD,
Enc1,120.5728604,0.159994188,0.174013405,0.91943599,0.357867572,0.999946781,~cohort + diet,old ID vs CD,
Runx2,28.16413272,0.159937526,0.317333851,0.504003985,0.614258576,0.999946781,~cohort + diet,old ID vs CD,
Gimap8,211.4871186,0.159916954,0.175204908,0.912742435,0.36137802,0.999946781,~cohort + diet,old ID vs CD,
Scfd1,551.3293946,0.159840134,0.097632111,1.637167657,0.101595443,0.999946781,~cohort + diet,old ID vs CD,
Rhbdl3,93.97500492,0.159770603,0.187639381,0.851476922,0.394504478,0.999946781,~cohort + diet,old ID vs CD,
Glt28d2,320.0843624,0.159662159,0.182867348,0.873103702,0.382606556,0.999946781,~cohort + diet,old ID vs CD,
Pnpla2,4411.053785,0.159629582,0.177376591,0.899947287,0.368148304,0.999946781,~cohort + diet,old ID vs CD,
Mettl2,161.7799833,0.159461164,0.146872593,1.085710826,0.277606949,0.999946781,~cohort + diet,old ID vs CD,
Clmn,166.6397817,0.159402041,0.236125023,0.67507475,0.499628275,0.999946781,~cohort + diet,old ID vs CD,
Men1,168.8994012,0.159240631,0.14349535,1.109726767,0.267116785,0.999946781,~cohort + diet,old ID vs CD,
Wnk2,1529.906745,0.159152814,0.145357467,1.094906347,0.273557668,0.999946781,~cohort + diet,old ID vs CD,
Mkrn1,412.6043024,0.159099203,0.126270282,1.259989283,0.207673228,0.999946781,~cohort + diet,old ID vs CD,
Cd37,72.32191948,0.159017971,0.516788293,0.307704284,0.75830736,0.999946781,~cohort + diet,old ID vs CD,
Tek,818.7928871,0.158951463,0.125736184,1.264166431,0.206170297,0.999946781,~cohort + diet,old ID vs CD,
Ccdc88c,965.9396906,0.158776611,0.118974392,1.334544414,0.182025501,0.999946781,~cohort + diet,old ID vs CD,
Cep192,157.7079291,0.158709986,0.199153687,0.796922158,0.425496241,0.999946781,~cohort + diet,old ID vs CD,
Zfp109,52.80863091,0.158698695,0.214862344,0.738606365,0.460146058,0.999946781,~cohort + diet,old ID vs CD,
Prss36,81.40917828,0.158598162,0.18106397,0.875923367,0.381071696,0.999946781,~cohort + diet,old ID vs CD,
Isoc2a,396.0872016,0.158554484,0.10239314,1.54848737,0.121505,0.999946781,~cohort + diet,old ID vs CD,
Htra3,592.8211479,0.158473862,0.159647694,0.992647359,0.320881837,0.999946781,~cohort + diet,old ID vs CD,
Tmem255b,48.4671968,0.158472527,0.253760583,0.624496226,0.532301748,0.999946781,~cohort + diet,old ID vs CD,
Exog,70.82149484,0.15841374,0.175979603,0.900182394,0.368023194,0.999946781,~cohort + diet,old ID vs CD,
D030056L22Rik,127.4844083,0.158354598,0.182355215,0.868385357,0.385183408,0.999946781,~cohort + diet,old ID vs CD,
Fyn,278.4748213,0.158197979,0.171707748,0.921321144,0.356882785,0.999946781,~cohort + diet,old ID vs CD,
Chka,88.86727312,0.158172749,0.177417167,0.891530121,0.37264484,0.999946781,~cohort + diet,old ID vs CD,
Myh10,699.4871034,0.158023678,0.250818805,0.63003122,0.528674158,0.999946781,~cohort + diet,old ID vs CD,
Fhl2,34.0981284,0.157801991,0.47826472,0.329946962,0.741440038,0.999946781,~cohort + diet,old ID vs CD,
Tbc1d16,1097.723718,0.157744308,0.130927082,1.204825657,0.228270613,0.999946781,~cohort + diet,old ID vs CD,
Cramp1l,360.378014,0.157722455,0.10616008,1.485703997,0.137357433,0.999946781,~cohort + diet,old ID vs CD,
Dync2h1,102.5099017,0.157697126,0.160382189,0.983258345,0.325480306,0.999946781,~cohort + diet,old ID vs CD,
Rbm5,1766.062315,0.19002822,0.087780211,2.164818437,0.030401592,0.999946781,~cohort + diet,old ID vs CD,
Ecm1,303.5430853,0.157612356,0.204783942,0.769651927,0.441506393,0.999946781,~cohort + diet,old ID vs CD,
2300009A05Rik,82.22174444,0.157609429,0.175351844,0.898818205,0.368749502,0.999946781,~cohort + diet,old ID vs CD,
Pde10a,102.1195483,0.157473255,0.198564474,0.793058558,0.427743706,0.999946781,~cohort + diet,old ID vs CD,
Gimap9,40.93343534,0.157389025,0.300583952,0.523610872,0.600549218,0.999946781,~cohort + diet,old ID vs CD,
Pkp2,156.3525728,-0.348321449,0.160962573,-2.16399032,0.030465092,0.999946781,~cohort + diet,old ID vs CD,
Zfp945,249.324331,0.157028325,0.12081692,1.299721308,0.193696505,0.999946781,~cohort + diet,old ID vs CD,
Swap70,380.107287,0.156988112,0.144478156,1.086587183,0.277219292,0.999946781,~cohort + diet,old ID vs CD,
Ptch1,407.4290589,0.156825795,0.082515214,1.900568226,0.057358591,0.999946781,~cohort + diet,old ID vs CD,
Gm14322,47.97288574,0.156797784,0.272140572,0.576164675,0.564503879,0.999946781,~cohort + diet,old ID vs CD,
C87436,203.1363494,0.15661142,0.123648185,1.266588906,0.205302321,0.999946781,~cohort + diet,old ID vs CD,
Nptxr,32.17538465,0.156567695,0.29057511,0.538820051,0.590011027,0.999946781,~cohort + diet,old ID vs CD,
A530013C23Rik,95.95828459,0.156557118,0.230740071,0.678499914,0.497454778,0.999946781,~cohort + diet,old ID vs CD,
Atp1b4,309.6482466,0.156518955,0.266026886,0.588357656,0.556292253,0.999946781,~cohort + diet,old ID vs CD,
Pphln1,420.5701121,-0.169242157,0.078247497,-2.162908243,0.030548238,0.999946781,~cohort + diet,old ID vs CD,
Usf1,293.1618755,0.156175116,0.107150345,1.457532549,0.144969433,0.999946781,~cohort + diet,old ID vs CD,
Cpa3,143.4918385,0.155856591,0.233446113,0.667634123,0.504367171,0.999946781,~cohort + diet,old ID vs CD,
Fibin,315.6202794,0.155598808,0.209665779,0.742127824,0.458009893,0.999946781,~cohort + diet,old ID vs CD,
Cbr2,397.3547177,0.155529152,0.143613743,1.082968446,0.278822429,0.999946781,~cohort + diet,old ID vs CD,
Arhgap19,564.9977333,0.155431794,0.092684446,1.676999764,0.093542528,0.999946781,~cohort + diet,old ID vs CD,
Slc25a42,596.9039335,0.155407183,0.13769977,1.128594351,0.259068995,0.999946781,~cohort + diet,old ID vs CD,
Lsm10,112.4385602,0.155332393,0.182518514,0.851050063,0.394741543,0.999946781,~cohort + diet,old ID vs CD,
Brd8,522.2482964,0.155257544,0.083490676,1.859579432,0.062945051,0.999946781,~cohort + diet,old ID vs CD,
AW112010,217.835775,0.155205004,0.232352304,0.667972734,0.504150998,0.999946781,~cohort + diet,old ID vs CD,
Ccdc82,376.9977199,0.155126815,0.114738511,1.352003034,0.176374345,0.999946781,~cohort + diet,old ID vs CD,
Sema3b,213.0424171,0.155077848,0.206007533,0.752777559,0.451583594,0.999946781,~cohort + diet,old ID vs CD,
Wipf1,392.9045552,0.155062297,0.13391672,1.157900951,0.246904459,0.999946781,~cohort + diet,old ID vs CD,
Cyp1b1,148.9364134,0.155056215,0.279564375,0.5546351,0.579144276,0.999946781,~cohort + diet,old ID vs CD,
Plxdc1,69.33977426,0.154940602,0.273719341,0.566056462,0.571355399,0.999946781,~cohort + diet,old ID vs CD,
Chpf,77.94429443,0.154913732,0.216952339,0.714044994,0.475199357,0.999946781,~cohort + diet,old ID vs CD,
Dnmt1,269.1740525,0.154869652,0.142920045,1.08361043,0.278537564,0.999946781,~cohort + diet,old ID vs CD,
Cyb561,127.9327423,0.154860134,0.205153933,0.754848479,0.450339902,0.999946781,~cohort + diet,old ID vs CD,
Nfkbia,409.8954995,0.154807997,0.206878543,0.748303787,0.454276941,0.999946781,~cohort + diet,old ID vs CD,
Suv420h2,79.58679949,0.154755118,0.203746348,0.759547936,0.44752485,0.999946781,~cohort + diet,old ID vs CD,
Ttyh2,322.7199014,0.154687931,0.157766176,0.980488562,0.326845013,0.999946781,~cohort + diet,old ID vs CD,
Parp12,237.2212174,0.15467964,0.131461738,1.176613383,0.239349854,0.999946781,~cohort + diet,old ID vs CD,
Rbm15b,185.620608,0.154557706,0.126407026,1.222698698,0.221443519,0.999946781,~cohort + diet,old ID vs CD,
Pawr,40.34739225,0.154538937,0.283096616,0.545887617,0.585143191,0.999946781,~cohort + diet,old ID vs CD,
Slc25a29,97.55758553,0.154518015,0.203073168,0.760898235,0.446717853,0.999946781,~cohort + diet,old ID vs CD,
Adcyap1r1,89.1472144,0.154490874,0.163252279,0.946332112,0.34397922,0.999946781,~cohort + diet,old ID vs CD,
Man2c1,402.9228289,0.154452707,0.122233181,1.263590674,0.206376982,0.999946781,~cohort + diet,old ID vs CD,
Gja5,107.977184,0.154267934,0.198258238,0.778116133,0.436500553,0.999946781,~cohort + diet,old ID vs CD,
Lama5,730.3776024,0.154256354,0.117388917,1.314062332,0.188825229,0.999946781,~cohort + diet,old ID vs CD,
Bahcc1,167.236661,0.154124677,0.173813788,0.886722963,0.375228072,0.999946781,~cohort + diet,old ID vs CD,
Foxc1,41.83933033,0.153826339,0.231772351,0.663695814,0.506885019,0.999946781,~cohort + diet,old ID vs CD,
Rgl3,29.76381888,0.153708349,0.329095697,0.467062776,0.640454966,0.999946781,~cohort + diet,old ID vs CD,
Gm15674,115.9619259,0.153674099,0.191104009,0.804138543,0.421316967,0.999946781,~cohort + diet,old ID vs CD,
Fam65a,545.9234351,0.153564931,0.118048948,1.300858115,0.193307025,0.999946781,~cohort + diet,old ID vs CD,
Sirpa,355.4268675,0.153548341,0.199939571,0.767973742,0.442502785,0.999946781,~cohort + diet,old ID vs CD,
Gins3,24.20455816,0.153507388,0.378444473,0.405627241,0.68501651,0.999946781,~cohort + diet,old ID vs CD,
Ift22,99.92774443,0.153313193,0.168885284,0.907794865,0.363986612,0.999946781,~cohort + diet,old ID vs CD,
Rasl11b,44.63003884,0.153272503,0.375764108,0.407895538,0.683350369,0.999946781,~cohort + diet,old ID vs CD,
Hspb1,2693.983767,0.153241264,0.329279784,0.465383153,0.641657096,0.999946781,~cohort + diet,old ID vs CD,
Dock1,291.8921588,0.153223154,0.155858201,0.983093309,0.325561517,0.999946781,~cohort + diet,old ID vs CD,
Ddb2,98.31128394,0.1532116,0.173925948,0.880901338,0.378371223,0.999946781,~cohort + diet,old ID vs CD,
Kbtbd11,127.8368478,0.153123972,0.314513543,0.486859707,0.626357755,0.999946781,~cohort + diet,old ID vs CD,
Zfp341,60.409701,0.152984708,0.203584612,0.751455166,0.452378773,0.999946781,~cohort + diet,old ID vs CD,
Eml3,143.2995362,0.152849702,0.186507441,0.81953675,0.412480243,0.999946781,~cohort + diet,old ID vs CD,
B4galt4,145.6853763,0.152791574,0.175291622,0.871642193,0.383403605,0.999946781,~cohort + diet,old ID vs CD,
Eef2,30057.94479,0.152768243,0.09027342,1.692283775,0.09059188,0.999946781,~cohort + diet,old ID vs CD,
Sntb2,336.999443,0.152745487,0.140775833,1.085026346,0.277909987,0.999946781,~cohort + diet,old ID vs CD,
Ankrd16,339.8135948,0.152708817,0.112175544,1.361337887,0.173406935,0.999946781,~cohort + diet,old ID vs CD,
Iqce,55.60200506,0.152649594,0.206189038,0.740338068,0.459094888,0.999946781,~cohort + diet,old ID vs CD,
Spock2,239.2128506,0.152610864,0.155086469,0.984037256,0.325097195,0.999946781,~cohort + diet,old ID vs CD,
Sorbs1,1450.251553,0.152179641,0.197128051,0.771983692,0.440124086,0.999946781,~cohort + diet,old ID vs CD,
Art5,339.5873635,0.152152733,0.179338656,0.848410134,0.396209601,0.999946781,~cohort + diet,old ID vs CD,
Hdac10,163.8355725,0.152038016,0.145587267,1.044308468,0.296342697,0.999946781,~cohort + diet,old ID vs CD,
1810041L15Rik,37.74359317,0.151903936,0.403540857,0.376427648,0.706598995,0.999946781,~cohort + diet,old ID vs CD,
Nfkb1,614.491384,0.15176056,0.101023062,1.502236792,0.133035966,0.999946781,~cohort + diet,old ID vs CD,
G6pdx,417.6573773,0.151720776,0.22848925,0.664017129,0.506679348,0.999946781,~cohort + diet,old ID vs CD,
Pgpep1,313.8464295,0.151718285,0.117403698,1.29227859,0.196260684,0.999946781,~cohort + diet,old ID vs CD,
Terf1,109.3535282,0.1516717,0.171521914,0.884270099,0.376550426,0.999946781,~cohort + diet,old ID vs CD,
Fam107b,174.3900009,0.151666227,0.226634121,0.669211794,0.503360384,0.999946781,~cohort + diet,old ID vs CD,
Pank3,1620.752596,0.15163297,0.181741821,0.834331741,0.40409407,0.999946781,~cohort + diet,old ID vs CD,
Gm12059,31.82714393,0.151469096,0.3140073,0.482374441,0.629539974,0.999946781,~cohort + diet,old ID vs CD,
Ryr1,67020.24,0.151202657,0.162587,0.929979995,0.352381442,0.999946781,~cohort + diet,old ID vs CD,
Jag1,313.1724337,0.151041369,0.112743551,1.339689653,0.180346263,0.999946781,~cohort + diet,old ID vs CD,
Mettl15,160.0241956,0.151029442,0.167868986,0.899686388,0.368287169,0.999946781,~cohort + diet,old ID vs CD,
Dach1,162.51316,0.150810029,0.280252153,0.538122644,0.59049238,0.999946781,~cohort + diet,old ID vs CD,
Fermt3,52.43893148,0.150797691,0.411867208,0.366131822,0.714266713,0.999946781,~cohort + diet,old ID vs CD,
Ggta1,324.8326073,0.150773591,0.130897228,1.151847081,0.249383917,0.999946781,~cohort + diet,old ID vs CD,
Rmdn3,201.6354355,0.150729674,0.196956974,0.765292396,0.444097451,0.999946781,~cohort + diet,old ID vs CD,
Vps13c,1074.780796,0.150725439,0.127189061,1.185050332,0.235997547,0.999946781,~cohort + diet,old ID vs CD,
Abca1,1086.66958,0.150713924,0.146409796,1.029397816,0.303292775,0.999946781,~cohort + diet,old ID vs CD,
Nadsyn1,60.87137808,0.150708868,0.200057745,0.753326832,0.451253539,0.999946781,~cohort + diet,old ID vs CD,
Slc29a3,150.3671657,0.150617212,0.184726647,0.815351842,0.414870942,0.999946781,~cohort + diet,old ID vs CD,
Klhdc3,1342.084732,0.150614014,0.08141459,1.849963442,0.064318819,0.999946781,~cohort + diet,old ID vs CD,
Ppp1r3f,47.45551204,0.150586472,0.285337624,0.527748389,0.597673983,0.999946781,~cohort + diet,old ID vs CD,
Nfkbil1,75.53766951,0.150584898,0.222574607,0.676559201,0.498685672,0.999946781,~cohort + diet,old ID vs CD,
Cacnb4,66.59189183,0.1501933,0.2544383,0.590293601,0.554993829,0.999946781,~cohort + diet,old ID vs CD,
Myo19,70.61906847,0.150172927,0.223943814,0.670583055,0.50248618,0.999946781,~cohort + diet,old ID vs CD,
Sfxn3,462.4582242,0.150155059,0.098843535,1.519118665,0.128732629,0.999946781,~cohort + diet,old ID vs CD,
Gm15800,650.4348544,0.150048782,0.13761584,1.090345278,0.275561077,0.999946781,~cohort + diet,old ID vs CD,
Rrnad1,189.1521826,0.150013582,0.147413367,1.017638935,0.308849577,0.999946781,~cohort + diet,old ID vs CD,
Paxbp1,483.5370692,0.149864251,0.136582478,1.09724361,0.272534914,0.999946781,~cohort + diet,old ID vs CD,
Cd200,399.0995248,0.149862643,0.123877893,1.209760995,0.226370617,0.999946781,~cohort + diet,old ID vs CD,
Nav3,91.83323346,0.149793511,0.267658333,0.55964449,0.575721952,0.999946781,~cohort + diet,old ID vs CD,
Tmtc4,56.01171455,0.149740541,0.204723302,0.731428907,0.464517214,0.999946781,~cohort + diet,old ID vs CD,
Utp15,246.7253599,0.149657523,0.113750699,1.315662445,0.188287364,0.999946781,~cohort + diet,old ID vs CD,
Cd248,184.5077745,0.149602923,0.198306238,0.754403514,0.450606962,0.999946781,~cohort + diet,old ID vs CD,
Kcnq1ot1,128.5705046,0.149440086,0.265517249,0.562826282,0.573553182,0.999946781,~cohort + diet,old ID vs CD,
Cd209d,55.69868568,0.149400966,0.281817216,0.530134275,0.596018837,0.999946781,~cohort + diet,old ID vs CD,
Mid1ip1,568.8352294,0.149376063,0.139214198,1.072994461,0.283273601,0.999946781,~cohort + diet,old ID vs CD,
Rab40c,135.9175618,0.149132286,0.136346346,1.093775453,0.274053473,0.999946781,~cohort + diet,old ID vs CD,
Cln3,133.329823,0.149058954,0.160849564,0.926697905,0.354083406,0.999946781,~cohort + diet,old ID vs CD,
Lfng,101.7052858,0.149057741,0.232450946,0.641243856,0.52136426,0.999946781,~cohort + diet,old ID vs CD,
Sdc2,564.4008199,0.149049902,0.123991988,1.202093004,0.229327497,0.999946781,~cohort + diet,old ID vs CD,
Erdr1,369.6881626,0.149048884,0.296115122,0.503347762,0.614719792,0.999946781,~cohort + diet,old ID vs CD,
Fbxl16,21.03945484,0.149003227,0.2739018,0.544002366,0.586439845,0.999946781,~cohort + diet,old ID vs CD,
Pitpnm1,108.2222123,0.148920137,0.18174139,0.819406833,0.412554338,0.999946781,~cohort + diet,old ID vs CD,
Glb1,75.38542689,0.148789786,0.263964544,0.563673377,0.572976439,0.999946781,~cohort + diet,old ID vs CD,
8430429K09Rik,56.10312804,0.148694327,0.255267286,0.582504437,0.560226954,0.999946781,~cohort + diet,old ID vs CD,
Als2cl,189.0736611,0.148611686,0.195808721,0.758963568,0.447874351,0.999946781,~cohort + diet,old ID vs CD,
Mpp5,1572.392471,0.148509163,0.08095214,1.834530426,0.066575296,0.999946781,~cohort + diet,old ID vs CD,
Bmper,118.9484924,0.148489835,0.206421526,0.719352476,0.471923771,0.999946781,~cohort + diet,old ID vs CD,
Tyw3,80.93536534,0.148309681,0.189669735,0.781936463,0.434251915,0.999946781,~cohort + diet,old ID vs CD,
Rhoj,414.7962783,0.148299958,0.179803935,0.824787054,0.409492498,0.999946781,~cohort + diet,old ID vs CD,
Cntrl,442.6450984,0.148277295,0.134036871,1.106242586,0.268621535,0.999946781,~cohort + diet,old ID vs CD,
Eno1,2973.632164,0.14827509,0.201996907,0.734046339,0.462920497,0.999946781,~cohort + diet,old ID vs CD,
Zfp365,26.58890188,0.148128459,0.285041726,0.519672898,0.60329158,0.999946781,~cohort + diet,old ID vs CD,
Plxnb2,327.2577254,0.148115333,0.174052861,0.850979019,0.394781008,0.999946781,~cohort + diet,old ID vs CD,
Cnksr3,148.4690766,0.148037357,0.271644335,0.544967584,0.585775812,0.999946781,~cohort + diet,old ID vs CD,
Gse1,542.2605494,0.148013539,0.192829252,0.767588616,0.442731628,0.999946781,~cohort + diet,old ID vs CD,
1500012F01Rik,158.2714144,0.147754627,0.17845336,0.827973356,0.407685589,0.999946781,~cohort + diet,old ID vs CD,
Dact1,159.7120398,0.147731382,0.184769548,0.799543991,0.423975049,0.999946781,~cohort + diet,old ID vs CD,
