gene.id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,design,comparison,flag
Hmha1,128.5056753,0.525539282,0.326810248,1.60808691,0.107816146,0.999946781,~cohort + diet,old ID vs CD,
Gm28229,42.73138237,-0.75359098,0.303552951,-2.482568452,0.0130439,0.999946781,~cohort + diet,old ID vs CD,
Map3k7,2395.067225,-0.147675379,0.059601284,-2.477721449,0.013222433,0.999946781,~cohort + diet,old ID vs CD,
Ighd,32.04878622,0.523756594,0.988034506,0.530099496,0.596042948,0.999946781,~cohort + diet,old ID vs CD,
Serpine1,227.0161932,0.523484499,0.299014046,1.750702038,0.079997248,0.999946781,~cohort + diet,old ID vs CD,
Slc4a7,393.8010114,-0.392886734,0.158623126,-2.476856581,0.013254515,0.999946781,~cohort + diet,old ID vs CD,
Mmp12,28.53690572,0.521992505,0.818331756,0.637873945,NA,NA,~cohort + diet,old ID vs CD,
Adam33,37.53674704,0.521210557,0.267544522,1.948126439,0.051399836,0.999946781,~cohort + diet,old ID vs CD,
Ccdc162,28.78458666,0.520348843,0.356506442,1.459577673,0.144406179,0.999946781,~cohort + diet,old ID vs CD,
Gpr65,18.10191792,0.520333964,0.563160091,0.923953903,0.355510317,0.999946781,~cohort + diet,old ID vs CD,
Spin4,27.37943034,0.520278117,0.351377782,1.48068018,0.138691818,0.999946781,~cohort + diet,old ID vs CD,
Hoxd4,29.4818667,0.518417923,0.37758369,1.372988126,0.169756038,0.999946781,~cohort + diet,old ID vs CD,
Agpat2,749.6756758,0.517766578,0.551158459,0.939415098,0.347517664,0.999946781,~cohort + diet,old ID vs CD,
Myh7,6278.974697,0.517611797,1.100880754,0.470179713,0.638226627,0.999946781,~cohort + diet,old ID vs CD,
Mctp1,40.82439625,0.517249292,0.307160046,1.683973223,0.092186844,0.999946781,~cohort + diet,old ID vs CD,
Mgl2,194.1560364,0.775033309,0.313082523,2.475492089,0.013305271,0.999946781,~cohort + diet,old ID vs CD,
Baiap2l2,19.10364165,0.515944952,0.425933687,1.211326945,0.225770126,0.999946781,~cohort + diet,old ID vs CD,
Mirg,10.3477516,0.515203026,0.503281386,1.023687822,0.305982749,0.999946781,~cohort + diet,old ID vs CD,
Jak3,161.2926854,0.47387528,0.191556618,2.473813144,0.013367959,0.999946781,~cohort + diet,old ID vs CD,
Arhgap9,36.86421746,0.513969726,0.352915762,1.456352423,0.14529522,0.999946781,~cohort + diet,old ID vs CD,
Omd,33.12508028,0.513867391,0.274168939,1.874272825,0.060892831,0.999946781,~cohort + diet,old ID vs CD,
Slc27a2,83.11574383,0.513665177,1.169807274,0.439102396,0.660587343,0.999946781,~cohort + diet,old ID vs CD,
Gm5431,20.28393119,0.513524004,0.524610384,0.978867404,0.3276455,0.999946781,~cohort + diet,old ID vs CD,
Gpr132,18.89629937,0.512050652,0.570458388,0.897612626,0.369392105,0.999946781,~cohort + diet,old ID vs CD,
Cd84,76.22410263,0.511328722,0.438381388,1.166401529,0.243452141,0.999946781,~cohort + diet,old ID vs CD,
Pcgf2,30.94317235,0.509067598,0.290678164,1.751310079,0.079892512,0.999946781,~cohort + diet,old ID vs CD,
Ssc5d,123.2703505,0.507098192,0.29453163,1.721710474,0.085121979,0.999946781,~cohort + diet,old ID vs CD,
Cenpf,28.40268019,0.506287261,0.470445633,1.076186546,0.281843836,0.999946781,~cohort + diet,old ID vs CD,
B230312C02Rik,169.1769502,-0.55207512,0.223316572,-2.472163683,0.013429801,0.999946781,~cohort + diet,old ID vs CD,
Tbxas1,49.7254994,0.505154129,0.300002889,1.683830881,0.092214357,0.999946781,~cohort + diet,old ID vs CD,
Pkd1,905.3659427,0.319329683,0.129372779,2.468291131,0.013575985,0.999946781,~cohort + diet,old ID vs CD,
Abcg3,24.55721471,0.503841692,0.476591723,1.057176757,0.290430925,0.999946781,~cohort + diet,old ID vs CD,
Pdgfrl,27.07026924,0.957205683,0.38896495,2.460904726,0.013858716,0.999946781,~cohort + diet,old ID vs CD,
Utp14b,66.01300601,0.502644802,0.277948596,1.808409213,0.070542835,0.999946781,~cohort + diet,old ID vs CD,
