"contrast","direction","gene.id","baseMean","log2FoldChange","pvalue","padj"
"young CD vs old CD","Downregulated","Gm7325",9.22398525528846,-5.18442770733618,5.69121375163957e-05,0.000809096480536839
"young CD vs old CD","Downregulated","Cbr2",288.634056939849,-0.684434467931609,5.71012532278182e-05,0.000809610875868379
"young CD vs old CD","Downregulated","Ly6c2",11.391113930236,-2.28732443637514,5.86622144310304e-05,0.000825576998708581
"young CD vs old CD","Downregulated","Igkv4-55",6.31090651372832,-6.18512566837355,6.2134656107931e-05,0.000861308852696136
"young CD vs old CD","Downregulated","1500017E21Rik",480.199447741704,-1.06884009984625,6.51200610321451e-05,0.000892634597045087
"young CD vs old CD","Downregulated","9830004L10Rik",49.149629337904,-1.01974345673295,6.78683923439048e-05,0.000923447996472872
"young CD vs old CD","Downregulated","Lipo1",330.062905205224,-0.342171606755161,8.61409228604091e-05,0.00111259706403169
"young CD vs old CD","Downregulated","Gm1966",40.5078845285648,-2.26856445107363,8.66505576952798e-05,0.00111624972360857
"young CD vs old CD","Downregulated","4430402I18Rik",53.2429059327719,-1.03530339829945,8.73740980224506e-05,0.0011221418612494
"young CD vs old CD","Downregulated","Wfdc21",20.4536181314435,-3.59943022798796,8.74552114882001e-05,0.0011221418612494
"young CD vs old CD","Downregulated","Sprr2a2",569.589752051315,-6.01124729725539,9.76784592417462e-05,0.0012255304939232
"young CD vs old CD","Downregulated","1810065E05Rik",92.8835011524715,-7.4602188847524,0.000103747714382953,0.00128492240556672
"young CD vs old CD","Downregulated","Uox",99.8042327428614,-7.38505401867118,0.000104252020122281,0.00128900550507976
"young CD vs old CD","Downregulated","Zfp65",205.014559076106,-0.618854983971129,0.00010682469192367,0.00131530686144215
"young CD vs old CD","Downregulated","Gm10221",561.06256813852,-0.794015896642863,0.000107037922867108,0.0013168340460726
"young CD vs old CD","Downregulated","Usmg5",2973.78264425874,-0.647677154272111,0.000113907482422347,0.00137724501474292
"young CD vs old CD","Downregulated","Zfp954",113.266703378162,-0.618500829299174,0.000128669890981117,0.00152085956809787
"young CD vs old CD","Downregulated","Prkcdbp",260.202181122227,-0.684735227440531,0.000154771350684666,0.00176303198314639
"young CD vs old CD","Downregulated","Pyhin1",39.7118285633162,-1.21805115604207,0.000157345005189277,0.00178408933303325
"young CD vs old CD","Downregulated","Gm13157",149.209800129017,-0.641131803829874,0.000161799497588713,0.00182618194411481
"young CD vs old CD","Downregulated","4930539E08Rik",9.40392176374162,-3.39513639632791,0.00018150293513691,0.00197751131470568
"young CD vs old CD","Downregulated","Igkv4-68",6.89339763318657,-5.01911946473163,0.000198295176180565,0.00212904122614813
"young CD vs old CD","Downregulated","RP23-274G21.3",57.5513991176568,-0.610557285676931,0.000199378506339736,0.00213745013084017
"young CD vs old CD","Downregulated","9530080O11Rik",9.68379682272307,-1.68689123086662,0.000199657503923904,0.00213745013084017
"young CD vs old CD","Downregulated","Gm7221",12.8536088210582,-1.39873607396463,0.000200746716670983,0.00214599839117576
"young CD vs old CD","Downregulated","Sprr2a3",19.5072618915884,-6.97740509689655,0.000242693940925079,0.0024837185148712
"young CD vs old CD","Downregulated","AI182371",25.3258138012186,-4.26849228499159,0.000256451701992915,0.00258960087313366
"young CD vs old CD","Downregulated","Asna1",870.089381554298,-0.283834378980116,0.000300598563358592,0.00290048143193653
"young CD vs old CD","Downregulated","Trove2",345.065333420682,-0.409247517567116,0.000306353087059627,0.00294254432287656
"young CD vs old CD","Downregulated","Rpl41",1979.52892479139,-0.555860723272972,0.000308417933376092,0.0029550814824294
"young CD vs old CD","Downregulated","4932438A13Rik",2105.64090308501,-0.417614451457768,0.000312757378645102,0.00299237665647287
"young CD vs old CD","Downregulated","Sult1d1",63.8750476372303,-6.80666882844245,0.000350105696189332,0.00326301161164337
"young CD vs old CD","Downregulated","Skiv2l2",1836.10222901892,-0.283498887401738,0.000364093958836492,0.00335107176702191
"young CD vs old CD","Downregulated","AI607873",176.641695136118,-0.684930563275441,0.000373734433525961,0.0034227304231661
"young CD vs old CD","Downregulated","Gm13212",22.4829103010135,-1.45001742775752,0.000389034824322101,0.00353435145321057
"young CD vs old CD","Downregulated","Ispd",114.369633942092,-0.449416002476176,0.00039363556416901,0.00356525868640518
"young CD vs old CD","Downregulated","C130026I21Rik",36.5437157562236,-3.82058668595517,0.000408004838777485,0.00366385367084672
"young CD vs old CD","Downregulated","Ly6a",1156.33323395677,-0.674140156286498,0.00041569528630741,0.00372625947880026
"young CD vs old CD","Downregulated","Pcnxl4",191.307646620163,-0.390781872171611,0.000421613413725158,0.00376089355095136
"young CD vs old CD","Downregulated","Lrrc48",46.1410523228242,-0.728385467239623,0.000454225657096628,0.00399388527439995
"young CD vs old CD","Downregulated","Gm29506",4.05474604153759,-3.44008931514742,0.000471697764679873,0.0041132156526692
"young CD vs old CD","Downregulated","F830016B08Rik",1781.46972423846,-2.10210132313808,0.00055979458620437,0.00466642996958504
"young CD vs old CD","Downregulated","Cyp2c70",65.0453908794684,-9.55005203405656,0.000652331422727516,0.00526825426352644
"young CD vs old CD","Downregulated","Gm6086",24.537723516774,-5.24888394582563,0.000655450974718864,0.00528766269933037
"young CD vs old CD","Downregulated","Akr1c13",24.2392502814923,-2.45337071126633,0.000777739989247315,0.00602085760946938
"young CD vs old CD","Downregulated","H2-M9",4.71735997220769,-2.91245577943177,0.000796115453426988,0.00611819491876243
"young CD vs old CD","Downregulated","2010111I01Rik",804.749266693724,-0.43678167666043,0.000825272326612198,0.00628663331154586
"young CD vs old CD","Downregulated","Gm28653",107.312654402533,-1.65590037783789,0.000879894624644308,0.00656680057300239
"young CD vs old CD","Downregulated","Mnda",134.425335772671,-0.997249571208949,0.000951838472354535,0.00694081848096551
"young CD vs old CD","Downregulated","Gm4944",229.336307202932,-0.421634276240967,0.00103293018611273,0.00744223930579903
