"gene_id","VIP_component_1","VIP_component_2","VIP_max_component_1_2","VIP_mean_component_1_2"
"Serpinb6a",2.087600457594,1.58939579777146,2.087600457594,1.83849812768273
"Cep95",1.0109258124876,2.08692150422305,2.08692150422305,1.54892365835533
"Suco",0.446138106303258,2.07864908586718,2.07864908586718,1.26239359608522
"4931413K12Rik",1.32016647157836,2.07838390435149,2.07838390435149,1.69927518796493
"Ptprz1",0.324584472424534,2.07374760894016,2.07374760894016,1.19916604068235
"Gm14110",2.07041684916887,1.60636235031656,2.07041684916887,1.83838959974271
"Ttc5",0.112157711399208,2.06680910535618,2.06680910535618,1.0894834083777
"Piga",0.766678828449712,2.0620370156678,2.0620370156678,1.41435792205876
"Amy1",2.05700495623624,1.55690484979575,2.05700495623624,1.806954903016
"Mmgt1",0.531659386242249,2.04934848228148,2.04934848228148,1.29050393426187
"Efnb3",0.43868983013024,2.04926288597477,2.04926288597477,1.2439763580525
"2810039B14Rik",1.39341894350038,2.04505352198173,2.04505352198173,1.71923623274106
"Adamtsl3",0.431908858479344,2.04309504245775,2.04309504245775,1.23750195046855
"Mcm9",0.109349435566768,2.04299854812824,2.04299854812824,1.07617399184751
"Kdm4c",0.561867770303003,2.04135489334549,2.04135489334549,1.30161133182425
"Pde12",0.390251340484942,2.04096676025784,2.04096676025784,1.21560905037139
"Plekhh1",2.04076676992608,1.53658182985818,2.04076676992608,1.78867429989213
"Krt18",2.03798138257393,1.55659751596516,2.03798138257393,1.79728944926954
"Ostm1",0.691985461711871,2.03721393101949,2.03721393101949,1.36459969636568
"Rabl3",0.714890649886833,2.03680738600178,2.03680738600178,1.37584901794431
"Ccdc34",0.360339334947351,2.03307490378651,2.03307490378651,1.19670711936693
"Znf512b",2.03160946689949,1.54281053689795,2.03160946689949,1.78721000189872
"Rrad",2.02988922343041,1.52696338522306,2.02988922343041,1.77842630432673
"Tmub2",0.359284293898096,2.02702031807483,2.02702031807483,1.19315230598646
"Nucks1",1.25719912049877,2.02630775240127,2.02630775240127,1.64175343645002
"Stab1",0.180307268442054,2.025820203665,2.025820203665,1.10306373605353
"Cdkn1b",2.02437146582794,1.52294568839992,2.02437146582794,1.77365857711393
"Prr32",2.01969752670237,1.55753765921329,2.01969752670237,1.78861759295783
"Zdhhc21",0.875812894168766,2.01663936288911,2.01663936288911,1.44622612852894
"Igkc",2.01499675408101,1.52050900182353,2.01499675408101,1.76775287795227
"Actr3b",2.01252340217347,1.51476473241995,2.01252340217347,1.76364406729671
"Eda2r",2.01239338891614,1.51441773630187,2.01239338891614,1.76340556260901
"Tmem255a",0.311452373385606,2.00866540425196,2.00866540425196,1.16005888881878
"Hn1",2.00821898138255,1.52854605858872,2.00821898138255,1.76838251998563
"Gca",2.00804425840658,1.52309942530484,2.00804425840658,1.76557184185571
"Ninj1",2.00723739345931,1.5673442418063,2.00723739345931,1.7872908176328
"Igj",2.00408344658457,1.51358167142018,2.00408344658457,1.75883255900238
"5031434O11Rik",1.51461322810429,2.00339255243625,2.00339255243625,1.75900289027027
"Fbxl14",2.00295606391763,1.50915625318559,2.00295606391763,1.75605615855161
"Rhpn2",1.99923928427648,1.50521021985633,1.99923928427648,1.7522247520664
"Copz1",1.01761249018779,1.99754502596238,1.99754502596238,1.50757875807508
"Nsun3",0.128192216602756,1.99553929126614,1.99553929126614,1.06186575393445
"Fgf6",1.99465926742993,1.51135103575583,1.99465926742993,1.75300515159288
"Dnase1l2",1.18554200597479,1.99296607582236,1.99296607582236,1.58925404089858
"Pde7a",1.99264043325126,1.56076359711211,1.99264043325126,1.77670201518169
"Skap2",1.99092930574109,1.49787696636361,1.99092930574109,1.74440313605235
"2310007L24Rik",0.329957832620808,1.9907954681318,1.9907954681318,1.16037665037631
"Atp6v1a",1.98904044843941,1.57256596079203,1.98904044843941,1.78080320461572
"Wls",1.98677002262475,1.49456235509646,1.98677002262475,1.74066618886061
"Phldb2",0.436714284126732,1.98543457212495,1.98543457212495,1.21107442812584
"Fastkd3",1.0636093906136,1.98393083208815,1.98393083208815,1.52377011135087
"Gdi2",1.98273370798588,1.50780715740906,1.98273370798588,1.74527043269747
"Tmem132b",1.98204182775319,1.5104691993088,1.98204182775319,1.746255513531
"Gm12940",1.35907588699486,1.98123365502833,1.98123365502833,1.6701547710116
"Chrna9",1.98119704506528,1.53383259936065,1.98119704506528,1.75751482221297
"Gm26621",0.451128804268758,1.98009655332772,1.98009655332772,1.21561267879824
"Ostn",1.97973892239464,1.48958656496738,1.97973892239464,1.73466274368101
"Pkp2",1.97745135470201,1.61673647503711,1.97745135470201,1.79709391486956
"Cngb1",0.091347863567556,1.97638675100889,1.97638675100889,1.03386730728822
"Ice1",1.97575910249594,1.55053125987938,1.97575910249594,1.76314518118766
"Ppic",1.31655389569412,1.97566800183726,1.97566800183726,1.64611094876569
"BC021785",0.285867306535533,1.97459101721558,1.97459101721558,1.13022916187556
"Tead4",1.97401096794369,1.5181950731769,1.97401096794369,1.7461030205603
"Cyp4f14",1.97377131370429,1.6294626321747,1.97377131370429,1.8016169729395
"Pbx3",0.000158072164919878,1.97345146877422,1.97345146877422,0.986804770469568
"Nrep",1.97222725912574,1.51194144933434,1.97222725912574,1.74208435423004
"Ctnna1",1.97109223387691,1.48283927907475,1.97109223387691,1.72696575647583
"Dera",0.920224373490574,1.96842838375861,1.96842838375861,1.44432637862459
"Lrat",1.96834412138509,1.49177091401231,1.96834412138509,1.7300575176987
"Efcab6",1.96786202223681,1.50795522008917,1.96786202223681,1.73790862116299
"Aldh1l2",1.96776000845712,1.49117779977551,1.96776000845712,1.72946890411631
