correlation_method,metabolite_timepoint,hormone_sampling_time,metabolite_source,metabolite_ion_mode,metabolite,metabolite_formula,metabolite_mz,metabolite_rt,hormone,n,n_unique_samples,n_before_outlier_filter,n_outlier_removed,removed_samples,removed_for_metabolite,removed_for_hormone,n_med_adj_ic,n_raw_ion_count_fallback,n_cd,n_id,n_young,n_old,correlation,p_value,p_adj_bh,metabolite_min,metabolite_max,hormone_min,hormone_max
pearson,sys_sac,SAC,CD,nega,N-Acetyl-L-aspartic acid,C6H9NO5,174.0396,14.185,C-Peptide 2,25,25,38,13,2M20;3M11;3M14;3M17;3M18;3M21;3M31;3M37;3M39;4M2;4M3;5M2;5M4,2M20;3M11;3M17;3M18;3M21;3M31;3M37;3M39;4M2;4M3;5M4,3M14;5M2,25,0,15,10,6,19,0.13997038625308017,0.5045682535896572,0.9079694462417287,243743.23465849,8164463.85264322,29.61,1354.08
pearson,tp4,GTT,CD,posi,1-Hexanal,C6H12O,218.2113,3.977,Glucagon,28,28,31,3,3M3;3M37;3M38,3M3;3M37;3M38,,0,28,13,15,0,28,-0.1315574447888591,0.5045755185162064,0.9079694462417287,25511.3496923946,247547.313311041,17.67,161.53
pearson,tp4,GTT,CD,posi,riboprine,C15H21N5O4,336.16768,3.786,Leptin,34,34,35,1,3M14,3M14,,0,34,16,18,0,34,0.11846931860019184,0.5045763523824631,0.9079694462417287,17674.7357368208,386711.028105367,324.41,7988.85
pearson,tp4,GTT,CD,nega,Imidazolepropionic acid,C6H8N2O2,139.05138,15.148,GIP,27,27,33,6,3M11;3M23;3M27;3M32;3M33;3M38,3M11;3M23;3M27;3M32;3M33;3M38,,0,27,14,13,0,27,0.13418949474211947,0.5045783609614088,0.9079694462417287,902477.707304146,52913178.7111739,38.9,285.33
pearson,pv,SAC,CD,nega,3-Indoxyl sulphate,C8H7NO4S,212.00245,4.854,GIP,31,31,42,11,2M16;2M20;3M1;3M7;3M14;3M15;3M16;3M18;3M38;4M4;5M4,2M16;2M20;3M1;3M14;3M15;3M16;3M18;4M4;5M4,3M7;3M38,31,0,19,12,12,19,-0.1244975787070707,0.5045860402150447,0.9079694462417287,3545.53135433274,111235.50331623,49,1817.17
pearson,sys_sac,SAC,CD,posi,5-Indolol,C8H7NO,134.06003,11.544,GIP,35,35,37,2,3M7;3M38,,3M7;3M38,35,0,20,15,10,25,0.11664230878127539,0.5045885815811293,0.9079694462417287,55073.7818726799,594201.020736335,49,1817.17
pearson,tp4,GTT,CD,posi,Tris(2-butoxyethyl) phosphate,C18H39O7P,399.25044,2.456,GIP,31,31,34,3,3M12;3M18;3M38,3M12;3M18;3M38,,0,31,16,15,0,31,-0.12449514075039095,0.5045944510285476,0.9079694462417287,60237.4359810356,2963039.56045298,9.74,290.77
pearson,pv,SAC,CD,posi,Uralenol,C20H18O7,371.11325,12.439,Glucagon,37,37,43,6,3M14;3M15;3M37;4M2;4M3;5M10,4M2,3M14;3M15;3M37;4M3;5M10,37,0,22,15,11,26,0.11322652393629874,0.5046176111808802,0.9079694462417287,8182.52048423316,600557.645517097,44.03,596.46
pearson,tp4,GTT,CD,posi,Threonylleucine,C10H20N2O4,233.15088,14.171,Resistin,27,27,35,8,3M11;3M19;3M21;3M26;3M27;3M30;3M31;3M39,3M11;3M19;3M26;3M27;3M31;3M39,3M21;3M30,0,27,12,15,0,27,0.13417712229006082,0.5046180143148618,0.9079694462417287,16835.4339302787,914821.205800863,4345.62,23250.84
pearson,tp4,GTT,CD,posi,Betaine,C5H11NO2,118.08608,11.117,Amylin,33,33,35,2,3M5;3M6,,3M5;3M6,0,33,14,19,0,33,0.12036210836963347,0.5046447425167652,0.9079950152104995,745740298.890594,2775037041.8576,1.81,25.01
pearson,pv,SAC,CD,posi,Ibuprofen,C13H18O2,239.16416,2.359,C-Peptide 2,38,38,43,5,3M14;3M34;5M1;5M2;5M10,3M34;5M1;5M2,3M14;5M2;5M10,38,0,22,16,11,27,-0.1116175702678454,0.5046687616235728,0.9080157086227824,77803.171253084,628432.670326889,29.61,1415.11
pearson,pv,SAC,CD,posi,"3-[(19Z)-15,16-Dihydroxy-19-dotriaconten-1-yl]-5-methyl-2(5H)-furanone",C37H68O4,577.51922,2.175,C-Peptide 2,37,37,43,6,3M14;3M31;5M2;5M7;5M9;5M10,3M31;5M2;5M7;5M9;5M10,3M14;5M2;5M10,37,0,21,16,10,27,-0.11320263980153872,0.5047080884541544,0.9080564060039702,4508.60631134954,167481.379259411,29.61,1415.11
pearson,sys_sac,SAC,CD,posi,"2,5,11,14,20,23,29,32-Octamethyl-4,13,22,31,37,38,39,40-octaoxapentacyclo[32.2.1.1~7,10~.1~16,19~.1~25,28~]tetracontane-3,12,21,30-tetrone",C40H64O12,737.45104,3.757,Insulin,34,34,38,4,3M6;3M14;3M37;5M2,,3M6;3M14;3M37;5M2,34,0,19,15,9,25,-0.11842973291350437,0.5047197739469718,0.9080564060039702,8268.42240328268,109814.162188217,112.79,6851.38
pearson,sys_sac,SAC,CD,posi,Bumadizone,C19H22N2O3,327.16733,3.83,Secretin,30,30,38,8,2M31;3M17;3M21;3M27;3M31;3M34;3M40;5M2,2M31;3M17;3M21;3M27;3M31;5M2,3M34;3M40,30,0,18,12,9,21,-0.12667849092616834,0.5047341994866104,0.9080564060039702,6167.3070830248,101331.04477381,6.73,93.64
pearson,sys_sac,SAC,CD,nega,"2',4-Dihydroxy-4',6'-dimethoxy-3'-prenylchalcone",C22H24O5,367.15834,2.015,GLP-1,33,33,38,5,2M16;3M4;3M6;3M14;5M3,2M16;3M4;3M14;5M3,3M6,33,0,17,16,9,24,0.12033124679313843,0.5047548114930329,0.9080564060039702,8003.01514359871,23019.1063569038,28.62,366.87
pearson,tp4,GTT,CD,posi,C14-Carnitine,C21H41NO4,372.31045,2.545,Leptin,25,25,35,10,3M3;3M11;3M12;3M15;3M16;3M20;3M23;3M30;3M32;3M33,3M3;3M11;3M12;3M15;3M16;3M20;3M23;3M30;3M32;3M33,,0,25,13,12,0,25,0.13990553312129356,0.5047677023219213,0.9080564060039702,25596.9344067621,591292.632435772,628.47,7988.85
pearson,pv,SAC,CD,posi,Homocitrulline,C7H15N3O3,190.11846,14.669,GLP-1,42,42,43,1,3M6,,3M6,42,0,24,18,14,28,-0.10582348677109206,0.5047757290064898,0.9080564060039702,8804.77813577605,294017.403542906,28.62,467.7
pearson,tp4,GTT,CD,posi,medorinone,C9H8N2O,161.07096,10.479,GLP-1,30,30,35,5,3M3;3M6;3M12;3M19;3M23,3M12;3M19,3M3;3M6;3M23,0,30,13,17,0,30,-0.12666527548076226,0.5047790118409078,0.9080564060039702,9087.5267493102,145010.410524185,24.2,219.87
pearson,tp4,GTT,CD,nega,3-Sulfinoalanine,C3H7NO4S,152.00225,12.595,Leptin,32,32,34,2,3M16;3M28,3M16;3M28,,0,32,15,17,0,32,-0.12232384187843483,0.5048046076418309,0.9080799300624418,47050.9934884651,418717.515605247,324.41,7988.85
pearson,sys_sac,SAC,CD,posi,Dimorpholamine,C20H38N4O4,477.31027,3.006,Leptin,33,33,38,5,3M4;3M6;3M11;3M13;3M17,3M4;3M11;3M13;3M17,3M6,33,0,19,14,10,23,-0.12031366620766795,0.5048175186919879,0.9080806352505215,33167.0012711064,364661.894881427,608.22,7640.21
pearson,sys_sac,SAC,CD,nega,D-Alanyl-D-alanine,C6H12N2O3,159.0774,12.662,Glucagon,30,30,38,8,2M23;2M26;3M1;3M13;3M14;3M15;3M37;4M3,2M23;2M26,3M1;3M13;3M14;3M15;3M37;4M3,30,0,19,11,9,21,-0.12664652249421937,0.5048426048875796,0.9080928413922822,33738.124891346,909705.698198367,44.03,444.41
pearson,tp4,GTT,CD,posi,ureidoacrylic acid,C4H6N2O3,131.04511,15.302,Glucagon,28,28,31,3,3M4;3M11;3M18,3M4;3M11;3M18,,0,28,13,15,0,28,0.13146517719037504,0.5048770813846588,0.9080928413922822,1718.92796036411,37075.9172812133,17.67,161.53
pearson,sys_sac,SAC,CD,posi,Nonoxynol-9,C19H32O3,309.2421,2.487,Insulin,34,34,38,4,3M6;3M14;3M37;5M2,,3M6;3M14;3M37;5M2,34,0,19,15,9,25,0.11838535494786624,0.5048805825802702,0.9080928413922822,17959.8695054876,694689.017451604,112.79,6851.38
pearson,tp4,GTT,CD,posi,Viloxazine,C13H19NO3,238.14343,4.148,GLP-1,28,28,35,7,3M3;3M6;3M13;3M15;3M16;3M22;3M23,3M3;3M13;3M15;3M16;3M22,3M3;3M6;3M23,0,28,12,16,0,28,-0.13146268804723446,0.5048852180152164,0.9080928413922822,4085.71869982583,44233.2568294544,24.2,219.87
pearson,sys_sac,SAC,CD,nega,Perillic acid,C10H14O2,165.09211,2.505,GLP-1,35,35,38,3,2M16;3M6;5M2,2M16;5M2,3M6,35,0,18,17,9,26,-0.1165586942004741,0.5048962206064807,0.9080928413922822,1691393.1806176,13403790.7107125,28.62,419.71
pearson,tp4,GTT,CD,nega,2-(methylsulfonyl)-3-(pyrazin-2-ylamino)acrylonitrile,C8H8N4O2S,223.02841,3.45,Secretin,31,31,34,3,3M6;3M26;3M27,3M26;3M27,3M6,0,31,13,18,0,31,0.12440111574343139,0.5049188854273098,0.9080928413922822,296869.927465934,1839955.02032221,2.01,26.26
pearson,tp4,GTT,CD,posi,S-Isopropyl thiosenecioate,C8H14OS,197.03971,2.775,GIP,34,34,34,0,,,,0,34,16,18,0,34,-0.11836922934168449,0.5049390219264546,0.9080928413922822,11315.4607635625,558827.527836409,9.74,290.77
pearson,sys_sac,SAC,CD,posi,"(3E,5S,6S,7S,9R,11E,13E,15R,16R)-16-Ethyl-15-(hydroxymethyl)-5,7,9-trimethyl-2,10-dioxooxacyclohexadeca-3,11,13-trien-6-yl 3,4,6-trideoxy-3-(dimethylamino)-β-D-xylo-hexopyranoside",C29H47NO7,522.34566,4.082,Resistin,38,38,38,0,,,,38,0,21,17,10,28,-0.11154714248382833,0.5049393565952036,0.9080928413922822,46163.3287605092,43904497.8481371,5122.24,58609.94
pearson,tp4,GTT,CD,posi,"dl-2,5-Dimethoxy-4-methylamphetamine",C12H19NO2,227.17528,3.892,Leptin,27,27,35,8,3M5;3M6;3M10;3M11;3M14;3M16;3M19;3M20,3M5;3M6;3M10;3M11;3M14;3M16;3M19;3M20,,0,27,13,14,0,27,-0.13407553220051113,0.5049436659316622,0.9080928413922822,28232.1564860481,704968.932094393,469.61,7988.85
pearson,tp4,GTT,CD,posi,3-((2-Methyl-3-furyl)thio)-2-butanone,C9H12O2S,391.10161,12.839,Secretin,34,34,35,1,3M6,,3M6,0,34,15,19,0,34,-0.11836136092370456,0.5049675383782344,0.9080928413922822,11168.9588097487,17835909.8420334,2.01,26.26
pearson,tp4,GTT,CD,nega,Aminoadipic acid,C6H11NO4,160.06152,14.677,Glucagon,28,28,30,2,3M34;3M37,3M34;3M37,,0,28,14,14,0,28,-0.13142958182739367,0.5049934433989678,0.9080928413922822,173848.479800439,25266076.6572881,17.67,161.53
pearson,sys_sac,SAC,CD,nega,1-methyl-N-(4-piperidinophenyl)-1H-imidazole-4-sulfonamide,C15H20N4O2S,319.12211,2.591,Glucagon,31,31,38,7,2M16;3M1;3M13;3M14;3M15;3M37;4M3,2M16,3M1;3M13;3M14;3M15;3M37;4M3,31,0,18,13,9,22,0.12436899123302439,0.5050297552893885,0.9080928413922822,7803.42970561676,1481864.01279816,44.03,459.23
pearson,tp4,GTT,CD,posi,Dephospho-CoA,C21H35N7O13P2S,688.16125,2.341,GLP-1,32,32,35,3,3M3;3M6;3M23,,3M3;3M6;3M23,0,32,13,19,0,32,-0.12225889557399629,0.5050325476548989,0.9080928413922822,2982.72864985288,284648.68896125,24.2,219.87
pearson,sys_sac,SAC,CD,nega,Capryloylglycine,C10H19NO3,200.1293,2.859,Resistin,38,38,38,0,,,,38,0,21,17,10,28,-0.11151173429875293,0.5050754282395881,0.9080928413922822,492709.061682128,2248191.07104523,5122.24,58609.94
pearson,tp4,GTT,CD,posi,13S-hydroxyoctadecadienoic acid,C18H32O3,297.24214,3.759,Amylin,31,31,35,4,3M1;3M5;3M6;3M38,3M1;3M38,3M5;3M6,0,31,13,18,0,31,-0.1243549238095386,0.50507830937323694,0.9080928413922822,75330.0292917256,962932.681196859,1.81,25.01
pearson,sys_sac,SAC,CD,nega,10Z-Nonadecenoic acid,C19H36O2,295.26396,2.184,Glucagon,29,29,38,9,3M1;3M13;3M14;3M15;3M31;3M33;3M37;3M40;4M3,3M31;3M33;3M37;3M40,3M1;3M13;3M14;3M15;3M37;4M3,29,0,19,10,9,20,-0.1289191408260998,0.5050899431468393,0.9080928413922822,928126.310143569,4728666.05809827,44.03,459.23
pearson,pv,SAC,CD,posi,PC(16:0/15:0),C39H78NO8P,720.55418,3.759,Insulin,33,33,43,10,3M6;3M11;3M14;3M16;3M21;3M34;3M37;3M39;5M2;5M10,3M11;3M16;3M34;3M37;3M39,3M6;3M14;3M21;3M37;5M2;5M10,33,0,21,12,12,21,0.12023404462173128,0.5051015652994493,0.9080928413922822,4759.00114745997,880007.681992516,112.79,4792.38
pearson,tp4,GTT,CD,posi,LysoPC(24:1(15Z)/0:0),C32H64NO7P,606.44919,3.881,Resistin,33,33,35,2,3M21;3M30,,3M21;3M30,0,33,14,19,0,33,0.12023246578669632,0.5051071985352757,0.9080928413922822,17356.5141664043,1553018.87329131,4345.62,23250.84
pearson,pv,SAC,CD,nega,12S-HHT,C17H28O3,279.19698,2.457,PYY,38,38,43,5,3M16;3M33;3M38;5M2;5M10,3M16;3M33;3M38;5M2;5M10,3M38,38,0,23,15,12,26,-0.11149951589408458,0.5051223871680162,0.9080928413922822,6798.60575731709,1631811.98037807,29.88,352.53
pearson,sys_sac,SAC,CD,posi,N-Isobutylhexacosanamide,C30H61NO,452.48236000000003,2.406,PYY,31,31,38,7,2M16;2M17;2M20;2M22;2M26;2M31;3M38,2M16;2M17;2M20;2M22;2M26;2M31,3M38,31,0,18,13,10,21,-0.12433997932965106,0.5051298931922099,0.9080928413922822,20956.4787649819,74796.8012338127,29.88,293.02
pearson,pv,SAC,CD,posi,piroximone,C11H11N3O2,218.09231,8.151,PYY,42,42,43,1,3M38,,3M38,42,0,25,17,14,28,-0.10573600656558771,0.5051299834627554,0.9080928413922822,27071.999639148,26143948.6328327,29.88,352.53
pearson,pv,SAC,CD,posi,"PC(18:2(9Z,12Z)/16:1(9Z))",C42H78NO8P,756.55341,3.029,Secretin,41,41,43,2,3M34;3M40,,3M34;3M40,41,0,25,16,14,27,0.10709199169685953,0.5051313651547713,0.9080928413922822,1223368.0279786,75403587.2691524,6.73,93.64
pearson,pv,SAC,CD,posi,Flumequine,C14H12FNO3,245.05952,9.631,PP,10,10,13,3,3M4;3M6;5M1,5M1,3M4;3M6,10,0,4,6,3,7,0.23949580191368425,0.50513270719566,0.9080928413922822,120103.096792921,297822.283321137,1.13,242.69
pearson,tp4,GTT,CD,posi,"PE(18:0/18:3(9Z,12Z,15Z))",C41H76NO8P,764.52166,3.856,Resistin,29,29,35,6,3M21;3M22;3M29;3M30;3M31;3M37,3M22;3M29;3M30;3M31;3M37,3M21;3M30,0,29,12,17,0,29,-0.1289001506654365,0.505153207651484,0.9080928413922822,16024.4143886903,2528723.05280244,4345.62,23250.84
pearson,pv,SAC,CD,posi,Azapropazone,C16H20N4O2,301.16446,2.502,PP,11,11,13,2,3M4;3M6,,3M4;3M6,11,0,5,6,4,7,-0.22540487469365125,0.5051533364125296,0.9080928413922822,20662.423236005,53200.8416531108,1.13,242.69
pearson,pv,SAC,CD,nega,"2,2',4,4'-Tetrahydroxybenzophenone",C13H10O5,245.04356,13.093,Amylin,35,35,43,8,2M20;3M4;3M6;3M7;3M26;3M37;5M3;5M10,3M4;3M6;3M7;5M3,2M20;3M4;3M6;3M26;3M37;5M10,35,0,18,17,12,23,-0.1164855986222439,0.5051652347855726,0.9080928413922822,135806.810116962,4876606.84271919,1.79,12.85
pearson,pv,SAC,CD,posi,Vanillyl alcohol,C8H10O3,155.07006,8.22,GIP,40,40,42,2,3M7;3M38,,3M7;3M38,40,0,24,16,14,26,-0.10849242902510804,0.5051686828520339,0.9080928413922822,1214224.10437279,7963474.86140111,49,1817.17
pearson,sys_sac,SAC,CD,posi,"PC(20:5(5Z,8Z,11Z,14Z,17Z)/16:1(9Z))",C44H76NO8P,778.53625,3.16,Leptin,36,36,38,2,3M6;5M7,5M7,3M6,36,0,19,17,9,27,0.11473969346916911,0.5051886548938753,0.9080928413922822,18665.2797466878,1760275.01858908,608.22,7640.21
pearson,tp4,GTT,CD,posi,Gly-Leu,C8H16N2O3,189.12337,17.517,Resistin,30,30,35,5,3M14;3M21;3M30;3M34;3M37,3M14;3M34;3M37,3M21;3M30,0,30,14,16,0,30,0.12653753794375827,0.5052122601822688,0.9080928413922822,5179.6157062709,30215.1862829563,4345.62,23250.84
pearson,pv,SAC,CD,posi,"2,4,6-triaminotoluene",C7H11N3,138.10259,6.003,GIP,26,26,42,16,2M26;3M1;3M6;3M7;3M13;3M15;3M26;3M28;3M31;3M34;3M37;3M38;4M4;5M3;5M6;5M9,2M26;3M1;3M6;3M13;3M15;3M26;3M28;3M31;3M34;3M37;3M38;4M4;5M3;5M6;5M9,3M7;3M38,26,0,16,10,10,16,-0.136777958526826,0.5052352236988269,0.9080928413922822,457111.656355379,39909207.0547767,49,1397.63
pearson,sys_sac,SAC,Maven,nega,L-Cystine,C6H12N2O4S2,239.016739,15.195,C-Peptide 2,35,35,38,3,3M14;3M34;5M2,3M34,3M14;5M2,35,0,20,15,9,26,0.1164664543455097,0.5052357035021815,0.9080928413922822,0,6175.77408266462,29.61,1415.11
pearson,pv,SAC,CD,posi,"3-Acetyl-2,7-naphthyridine",C10H8N2O,173.07159,3.714,Resistin,43,43,43,0,,,,43,0,25,18,14,29,-0.10440333577227476,0.5052390410157059,0.9080928413922822,1810989.6031611,135867569.699849,5122.24,58609.94
pearson,tp4,GTT,CD,posi,Methyl isocyanate,C2H3NO,115.05005,16.251,GLP-1,20,20,35,15,3M3;3M6;3M17;3M23;3M25;3M27;3M28;3M29;3M30;3M31;3M32;3M34;3M35;3M37;3M39,3M17;3M25;3M27;3M28;3M29;3M30;3M31;3M32;3M34;3M35;3M37;3M39,3M3;3M6;3M23,0,20,8,12,0,20,0.15822146051017508,0.5052556857159469,0.9080928413922822,121479.61465079,3338727.6138741,33.08,219.87
pearson,pv,SAC,CD,posi,allylprodine,C18H25NO2,288.1929,3.888,Amylin,28,28,43,15,2M20;3M1;3M4;3M6;3M7;3M13;3M26;3M34;3M37;3M38;4M4;5M1;5M3;5M6;5M10,3M1;3M7;3M13;3M34;3M38;4M4;5M1;5M3;5M6,2M20;3M4;3M6;3M26;3M37;5M10,28,0,14,14,9,19,0.131348075435953,0.5052599396355305,0.9080928413922822,8367.40899281554,57157.6516773344,1.79,11.24
pearson,sys_sac,SAC,CD,posi,4-Hydroxy-5-methyl-3-furanone,C5H6O3,132.06545,12.808,GLP-1,31,31,38,7,3M6;3M7;3M11;3M27;3M39;4M5;5M4,3M7;3M11;3M27;3M39;4M5;5M4,3M6,31,0,16,15,8,23,0.12430157181321808,0.5052624763669229,0.9080928413922822,50226.6814325656,303480.596532019,28.62,419.71
pearson,tp4,GTT,CD,posi,imazamethabenz-methyl,C16H20N2O3,289.15206,3.903,PYY,31,31,34,3,3M6;3M12;3M15,3M12;3M15,3M6,0,31,15,16,0,31,0.12429238189591157,0.5052942026377579,0.9081047267288511,7875.51597859582,76776.299223339,1.63,80.39
pearson,pv,SAC,CD,nega,MG(18:1(9Z)/0:0/0:0),C21H40O4,355.28526,2.341,PYY,37,37,43,6,3M18;3M38;3M40;5M4;5M8;5M10,3M18;3M40;5M4;5M8;5M10,3M38,37,0,22,15,11,26,0.11304328412639149,0.5053119648340558,0.9081047267288511,22536.4160483817,539912.426863074,29.88,352.53
pearson,sys_sac,SAC,CD,posi,Naphthalene,C10H8,129.0698,2.51,Glucagon,32,32,38,6,3M1;3M13;3M14;3M15;3M37;4M3,,3M1;3M13;3M14;3M15;3M37;4M3,32,0,19,13,9,23,0.1221754434498008,0.5053255124943442,0.9081047267288511,13800.273966978,1733204.13357698,44.03,459.23
