metabolite_timepoint,hormone_sampling_time,metabolite_source,metabolite_ion_mode,metabolite,metabolite_formula,metabolite_mz,metabolite_rt,hormone,n_before_outlier_filter,n_outlier_removed,removed_samples,removed_for_metabolite,removed_for_hormone
pv,SAC,CD,posi,SM(d18:1/24:1(15Z)),C47H93N2O6P,813.68357,3.849,Resistin,43,0,,,
pv,SAC,CD,posi,SM(d18:1/24:1(15Z)),C47H93N2O6P,813.68357,3.849,Secretin,43,2,3M34;3M40,,3M34;3M40
pv,SAC,CD,posi,SPF,C11H14O3,195.10122,3.12,Amylin,43,13,2M20;2M26;3M4;3M6;3M7;3M21;3M26;3M37;4M3;5M1;5M2;5M4;5M10,2M20;2M26;3M7;3M21;4M3;5M1;5M2;5M4;5M10,2M20;3M4;3M6;3M26;3M37;5M10
pv,SAC,CD,posi,SPF,C11H14O3,195.10122,3.12,C-Peptide 2,43,10,2M20;2M26;3M7;3M14;3M21;4M3;5M1;5M2;5M4;5M10,2M20;2M26;3M7;3M21;4M3;5M1;5M2;5M4;5M10,3M14;5M2;5M10
pv,SAC,CD,posi,SPF,C11H14O3,195.10122,3.12,GIP,42,10,2M20;2M26;3M7;3M21;3M38;4M3;5M1;5M2;5M4;5M10,2M20;2M26;3M7;3M21;4M3;5M1;5M2;5M4;5M10,3M7;3M38
pv,SAC,CD,posi,SPF,C11H14O3,195.10122,3.12,GLP-1,43,10,2M20;2M26;3M6;3M7;3M21;4M3;5M1;5M2;5M4;5M10,2M20;2M26;3M7;3M21;4M3;5M1;5M2;5M4;5M10,3M6
pv,SAC,CD,posi,SPF,C11H14O3,195.10122,3.12,Ghrelin,2,0,,,
pv,SAC,CD,posi,SPF,C11H14O3,195.10122,3.12,Glucagon,43,12,2M20;2M26;3M7;3M14;3M15;3M21;3M37;4M3;5M1;5M2;5M4;5M10,2M20;2M26;3M7;3M21;4M3;5M1;5M2;5M4;5M10,3M14;3M15;3M37;4M3;5M10
pv,SAC,CD,posi,SPF,C11H14O3,195.10122,3.12,Insulin,43,12,2M20;2M26;3M6;3M7;3M14;3M21;3M37;4M3;5M1;5M2;5M4;5M10,2M20;2M26;3M7;3M21;4M3;5M1;5M2;5M4;5M10,3M6;3M14;3M21;3M37;5M2;5M10
pv,SAC,CD,posi,SPF,C11H14O3,195.10122,3.12,Leptin,43,10,2M20;2M26;3M6;3M7;3M21;4M3;5M1;5M2;5M4;5M10,2M20;2M26;3M7;3M21;4M3;5M1;5M2;5M4;5M10,3M6
pv,SAC,CD,posi,SPF,C11H14O3,195.10122,3.12,PP,13,6,2M20;3M4;3M6;5M1;5M2;5M10,2M20;5M1;5M2;5M10,3M4;3M6
pv,SAC,CD,posi,SPF,C11H14O3,195.10122,3.12,PYY,43,10,2M20;2M26;3M7;3M21;3M38;4M3;5M1;5M2;5M4;5M10,2M20;2M26;3M7;3M21;4M3;5M1;5M2;5M4;5M10,3M38
pv,SAC,CD,posi,SPF,C11H14O3,195.10122,3.12,Resistin,43,9,2M20;2M26;3M7;3M21;4M3;5M1;5M2;5M4;5M10,2M20;2M26;3M7;3M21;4M3;5M1;5M2;5M4;5M10,
pv,SAC,CD,posi,SPF,C11H14O3,195.10122,3.12,Secretin,43,11,2M20;2M26;3M7;3M21;3M34;3M40;4M3;5M1;5M2;5M4;5M10,2M20;2M26;3M7;3M21;4M3;5M1;5M2;5M4;5M10,3M34;3M40
pv,SAC,CD,posi,Safrole,C10H10O2,163.07506,2.853,Amylin,43,10,2M20;3M4;3M6;3M11;3M26;3M31;3M37;5M1;5M3;5M10,3M4;3M11;3M31;5M1;5M3,2M20;3M4;3M6;3M26;3M37;5M10
pv,SAC,CD,posi,Safrole,C10H10O2,163.07506,2.853,C-Peptide 2,43,8,3M4;3M11;3M14;3M31;5M1;5M2;5M3;5M10,3M4;3M11;3M31;5M1;5M3,3M14;5M2;5M10
pv,SAC,CD,posi,Safrole,C10H10O2,163.07506,2.853,GIP,42,7,3M4;3M7;3M11;3M31;3M38;5M1;5M3,3M4;3M11;3M31;5M1;5M3,3M7;3M38
pv,SAC,CD,posi,Safrole,C10H10O2,163.07506,2.853,GLP-1,43,6,3M4;3M6;3M11;3M31;5M1;5M3,3M4;3M11;3M31;5M1;5M3,3M6
pv,SAC,CD,posi,Safrole,C10H10O2,163.07506,2.853,Ghrelin,2,0,,,
pv,SAC,CD,posi,Safrole,C10H10O2,163.07506,2.853,Glucagon,43,10,3M4;3M11;3M14;3M15;3M31;3M37;4M3;5M1;5M3;5M10,3M4;3M11;3M31;5M1;5M3,3M14;3M15;3M37;4M3;5M10
pv,SAC,CD,posi,Safrole,C10H10O2,163.07506,2.853,Insulin,43,11,3M4;3M6;3M11;3M14;3M21;3M31;3M37;5M1;5M2;5M3;5M10,3M4;3M11;3M31;5M1;5M3,3M6;3M14;3M21;3M37;5M2;5M10
pv,SAC,CD,posi,Safrole,C10H10O2,163.07506,2.853,Leptin,43,6,3M4;3M6;3M11;3M31;5M1;5M3,3M4;3M11;3M31;5M1;5M3,3M6
pv,SAC,CD,posi,Safrole,C10H10O2,163.07506,2.853,PP,13,4,3M4;3M6;5M1;5M3,3M4;5M1;5M3,3M4;3M6
pv,SAC,CD,posi,Safrole,C10H10O2,163.07506,2.853,PYY,43,6,3M4;3M11;3M31;3M38;5M1;5M3,3M4;3M11;3M31;5M1;5M3,3M38
pv,SAC,CD,posi,Safrole,C10H10O2,163.07506,2.853,Resistin,43,5,3M4;3M11;3M31;5M1;5M3,3M4;3M11;3M31;5M1;5M3,
pv,SAC,CD,posi,Safrole,C10H10O2,163.07506,2.853,Secretin,43,7,3M4;3M11;3M31;3M34;3M40;5M1;5M3,3M4;3M11;3M31;5M1;5M3,3M34;3M40
pv,SAC,CD,posi,Sakuranin,C22H24O10,449.14343,12.824,Amylin,43,11,2M20;3M4;3M6;3M11;3M18;3M26;3M37;3M38;4M3;5M1;5M10,3M11;3M18;3M38;4M3;5M1,2M20;3M4;3M6;3M26;3M37;5M10
pv,SAC,CD,posi,Sakuranin,C22H24O10,449.14343,12.824,C-Peptide 2,43,8,3M11;3M14;3M18;3M38;4M3;5M1;5M2;5M10,3M11;3M18;3M38;4M3;5M1,3M14;5M2;5M10
pv,SAC,CD,posi,Sakuranin,C22H24O10,449.14343,12.824,GIP,42,6,3M7;3M11;3M18;3M38;4M3;5M1,3M11;3M18;3M38;4M3;5M1,3M7;3M38
pv,SAC,CD,posi,Sakuranin,C22H24O10,449.14343,12.824,GLP-1,43,6,3M6;3M11;3M18;3M38;4M3;5M1,3M11;3M18;3M38;4M3;5M1,3M6
pv,SAC,CD,posi,Sakuranin,C22H24O10,449.14343,12.824,Ghrelin,2,0,,,
pv,SAC,CD,posi,Sakuranin,C22H24O10,449.14343,12.824,Glucagon,43,9,3M11;3M14;3M15;3M18;3M37;3M38;4M3;5M1;5M10,3M11;3M18;3M38;4M3;5M1,3M14;3M15;3M37;4M3;5M10
pv,SAC,CD,posi,Sakuranin,C22H24O10,449.14343,12.824,Insulin,43,11,3M6;3M11;3M14;3M18;3M21;3M37;3M38;4M3;5M1;5M2;5M10,3M11;3M18;3M38;4M3;5M1,3M6;3M14;3M21;3M37;5M2;5M10
pv,SAC,CD,posi,Sakuranin,C22H24O10,449.14343,12.824,Leptin,43,6,3M6;3M11;3M18;3M38;4M3;5M1,3M11;3M18;3M38;4M3;5M1,3M6
pv,SAC,CD,posi,Sakuranin,C22H24O10,449.14343,12.824,PP,13,4,3M4;3M6;3M18;5M1,3M18;5M1,3M4;3M6
pv,SAC,CD,posi,Sakuranin,C22H24O10,449.14343,12.824,PYY,43,5,3M11;3M18;3M38;4M3;5M1,3M11;3M18;3M38;4M3;5M1,3M38
pv,SAC,CD,posi,Sakuranin,C22H24O10,449.14343,12.824,Resistin,43,5,3M11;3M18;3M38;4M3;5M1,3M11;3M18;3M38;4M3;5M1,
pv,SAC,CD,posi,Sakuranin,C22H24O10,449.14343,12.824,Secretin,43,7,3M11;3M18;3M34;3M38;3M40;4M3;5M1,3M11;3M18;3M38;4M3;5M1,3M34;3M40
pv,SAC,CD,posi,Salbutamol,C13H21NO3,496.33954,4.081,Amylin,43,7,2M20;3M4;3M6;3M26;3M37;5M8;5M10,5M8,2M20;3M4;3M6;3M26;3M37;5M10
pv,SAC,CD,posi,Salbutamol,C13H21NO3,496.33954,4.081,C-Peptide 2,43,4,3M14;5M2;5M8;5M10,5M8,3M14;5M2;5M10
pv,SAC,CD,posi,Salbutamol,C13H21NO3,496.33954,4.081,GIP,42,3,3M7;3M38;5M8,5M8,3M7;3M38
pv,SAC,CD,posi,Salbutamol,C13H21NO3,496.33954,4.081,GLP-1,43,2,3M6;5M8,5M8,3M6
pv,SAC,CD,posi,Salbutamol,C13H21NO3,496.33954,4.081,Ghrelin,2,0,,,
pv,SAC,CD,posi,Salbutamol,C13H21NO3,496.33954,4.081,Glucagon,43,6,3M14;3M15;3M37;4M3;5M8;5M10,5M8,3M14;3M15;3M37;4M3;5M10
pv,SAC,CD,posi,Salbutamol,C13H21NO3,496.33954,4.081,Insulin,43,7,3M6;3M14;3M21;3M37;5M2;5M8;5M10,5M8,3M6;3M14;3M21;3M37;5M2;5M10
pv,SAC,CD,posi,Salbutamol,C13H21NO3,496.33954,4.081,Leptin,43,2,3M6;5M8,5M8,3M6
pv,SAC,CD,posi,Salbutamol,C13H21NO3,496.33954,4.081,PP,13,3,3M4;3M6;5M10,5M10,3M4;3M6
pv,SAC,CD,posi,Salbutamol,C13H21NO3,496.33954,4.081,PYY,43,2,3M38;5M8,5M8,3M38
pv,SAC,CD,posi,Salbutamol,C13H21NO3,496.33954,4.081,Resistin,43,1,5M8,5M8,
pv,SAC,CD,posi,Salbutamol,C13H21NO3,496.33954,4.081,Secretin,43,3,3M34;3M40;5M8,5M8,3M34;3M40
pv,SAC,CD,posi,Salsolinol,C10H13NO2,180.65002,3.995,Amylin,43,7,2M20;2M31;3M4;3M6;3M26;3M37;5M10,2M31,2M20;3M4;3M6;3M26;3M37;5M10
pv,SAC,CD,posi,Salsolinol,C10H13NO2,180.65002,3.995,C-Peptide 2,43,4,2M31;3M14;5M2;5M10,2M31,3M14;5M2;5M10
pv,SAC,CD,posi,Salsolinol,C10H13NO2,180.65002,3.995,GIP,42,3,2M31;3M7;3M38,2M31,3M7;3M38
pv,SAC,CD,posi,Salsolinol,C10H13NO2,180.65002,3.995,GLP-1,43,2,2M31;3M6,2M31,3M6
pv,SAC,CD,posi,Salsolinol,C10H13NO2,180.65002,3.995,Ghrelin,2,0,,,
pv,SAC,CD,posi,Salsolinol,C10H13NO2,180.65002,3.995,Glucagon,43,6,2M31;3M14;3M15;3M37;4M3;5M10,2M31,3M14;3M15;3M37;4M3;5M10
pv,SAC,CD,posi,Salsolinol,C10H13NO2,180.65002,3.995,Insulin,43,7,2M31;3M6;3M14;3M21;3M37;5M2;5M10,2M31,3M6;3M14;3M21;3M37;5M2;5M10
pv,SAC,CD,posi,Salsolinol,C10H13NO2,180.65002,3.995,Leptin,43,2,2M31;3M6,2M31,3M6
pv,SAC,CD,posi,Salsolinol,C10H13NO2,180.65002,3.995,PP,13,4,3M4;3M6;3M34;5M10,3M4;3M34;5M10,3M4;3M6
pv,SAC,CD,posi,Salsolinol,C10H13NO2,180.65002,3.995,PYY,43,2,2M31;3M38,2M31,3M38
pv,SAC,CD,posi,Salsolinol,C10H13NO2,180.65002,3.995,Resistin,43,1,2M31,2M31,
pv,SAC,CD,posi,Salsolinol,C10H13NO2,180.65002,3.995,Secretin,43,3,2M31;3M34;3M40,2M31,3M34;3M40
pv,SAC,CD,posi,Salvigenin,C18H16O6,329.10246,12.736,Amylin,43,6,2M20;3M4;3M6;3M26;3M37;5M10,,2M20;3M4;3M6;3M26;3M37;5M10
pv,SAC,CD,posi,Salvigenin,C18H16O6,329.10246,12.736,C-Peptide 2,43,3,3M14;5M2;5M10,,3M14;5M2;5M10
pv,SAC,CD,posi,Salvigenin,C18H16O6,329.10246,12.736,GIP,42,2,3M7;3M38,,3M7;3M38
pv,SAC,CD,posi,Salvigenin,C18H16O6,329.10246,12.736,GLP-1,43,1,3M6,,3M6
pv,SAC,CD,posi,Salvigenin,C18H16O6,329.10246,12.736,Ghrelin,2,0,,,
pv,SAC,CD,posi,Salvigenin,C18H16O6,329.10246,12.736,Glucagon,43,5,3M14;3M15;3M37;4M3;5M10,,3M14;3M15;3M37;4M3;5M10
pv,SAC,CD,posi,Salvigenin,C18H16O6,329.10246,12.736,Insulin,43,6,3M6;3M14;3M21;3M37;5M2;5M10,,3M6;3M14;3M21;3M37;5M2;5M10
pv,SAC,CD,posi,Salvigenin,C18H16O6,329.10246,12.736,Leptin,43,1,3M6,,3M6
pv,SAC,CD,posi,Salvigenin,C18H16O6,329.10246,12.736,PP,13,2,3M4;3M6,,3M4;3M6
pv,SAC,CD,posi,Salvigenin,C18H16O6,329.10246,12.736,PYY,43,1,3M38,,3M38
pv,SAC,CD,posi,Salvigenin,C18H16O6,329.10246,12.736,Resistin,43,0,,,
pv,SAC,CD,posi,Salvigenin,C18H16O6,329.10246,12.736,Secretin,43,2,3M34;3M40,,3M34;3M40
pv,SAC,CD,posi,Santene,C9H14,123.11656,2.753,Amylin,43,8,2M20;3M4;3M6;3M26;3M33;3M37;5M1;5M10,3M33;5M1,2M20;3M4;3M6;3M26;3M37;5M10
pv,SAC,CD,posi,Santene,C9H14,123.11656,2.753,C-Peptide 2,43,5,3M14;3M33;5M1;5M2;5M10,3M33;5M1,3M14;5M2;5M10
pv,SAC,CD,posi,Santene,C9H14,123.11656,2.753,GIP,42,4,3M7;3M33;3M38;5M1,3M33;5M1,3M7;3M38
pv,SAC,CD,posi,Santene,C9H14,123.11656,2.753,GLP-1,43,3,3M6;3M33;5M1,3M33;5M1,3M6
pv,SAC,CD,posi,Santene,C9H14,123.11656,2.753,Ghrelin,2,0,,,
pv,SAC,CD,posi,Santene,C9H14,123.11656,2.753,Glucagon,43,7,3M14;3M15;3M33;3M37;4M3;5M1;5M10,3M33;5M1,3M14;3M15;3M37;4M3;5M10
pv,SAC,CD,posi,Santene,C9H14,123.11656,2.753,Insulin,43,8,3M6;3M14;3M21;3M33;3M37;5M1;5M2;5M10,3M33;5M1,3M6;3M14;3M21;3M37;5M2;5M10
pv,SAC,CD,posi,Santene,C9H14,123.11656,2.753,Leptin,43,3,3M6;3M33;5M1,3M33;5M1,3M6
pv,SAC,CD,posi,Santene,C9H14,123.11656,2.753,PP,13,3,3M4;3M6;5M1,5M1,3M4;3M6
pv,SAC,CD,posi,Santene,C9H14,123.11656,2.753,PYY,43,3,3M33;3M38;5M1,3M33;5M1,3M38
pv,SAC,CD,posi,Santene,C9H14,123.11656,2.753,Resistin,43,2,3M33;5M1,3M33;5M1,
pv,SAC,CD,posi,Santene,C9H14,123.11656,2.753,Secretin,43,4,3M33;3M34;3M40;5M1,3M33;5M1,3M34;3M40
pv,SAC,CD,posi,Secnidazole,C7H11N3O3,186.08733,8.073,Amylin,43,11,2M20;3M4;3M6;3M15;3M26;3M34;3M37;4M4;5M3;5M9;5M10,3M15;3M26;3M34;4M4;5M3;5M9,2M20;3M4;3M6;3M26;3M37;5M10
pv,SAC,CD,posi,Secnidazole,C7H11N3O3,186.08733,8.073,C-Peptide 2,43,9,3M14;3M15;3M26;3M34;4M4;5M2;5M3;5M9;5M10,3M15;3M26;3M34;4M4;5M3;5M9,3M14;5M2;5M10
pv,SAC,CD,posi,Secnidazole,C7H11N3O3,186.08733,8.073,GIP,42,10,3M7;3M13;3M15;3M26;3M34;3M38;4M4;5M3;5M8;5M9,3M13;3M15;3M26;3M34;4M4;5M3;5M8;5M9,3M7;3M38
pv,SAC,CD,posi,Secnidazole,C7H11N3O3,186.08733,8.073,GLP-1,43,7,3M6;3M15;3M26;3M34;4M4;5M3;5M9,3M15;3M26;3M34;4M4;5M3;5M9,3M6
pv,SAC,CD,posi,Secnidazole,C7H11N3O3,186.08733,8.073,Ghrelin,2,0,,,
pv,SAC,CD,posi,Secnidazole,C7H11N3O3,186.08733,8.073,Glucagon,43,10,3M14;3M15;3M26;3M34;3M37;4M3;4M4;5M3;5M9;5M10,3M15;3M26;3M34;4M4;5M3;5M9,3M14;3M15;3M37;4M3;5M10
pv,SAC,CD,posi,Secnidazole,C7H11N3O3,186.08733,8.073,Insulin,43,12,3M6;3M14;3M15;3M21;3M26;3M34;3M37;4M4;5M2;5M3;5M9;5M10,3M15;3M26;3M34;4M4;5M3;5M9,3M6;3M14;3M21;3M37;5M2;5M10
pv,SAC,CD,posi,Secnidazole,C7H11N3O3,186.08733,8.073,Leptin,43,7,3M6;3M15;3M26;3M34;4M4;5M3;5M9,3M15;3M26;3M34;4M4;5M3;5M9,3M6
pv,SAC,CD,posi,Secnidazole,C7H11N3O3,186.08733,8.073,PP,13,5,3M4;3M6;3M15;3M34;5M3,3M15;3M34;5M3,3M4;3M6
pv,SAC,CD,posi,Secnidazole,C7H11N3O3,186.08733,8.073,PYY,43,7,3M15;3M26;3M34;3M38;4M4;5M3;5M9,3M15;3M26;3M34;4M4;5M3;5M9,3M38
pv,SAC,CD,posi,Secnidazole,C7H11N3O3,186.08733,8.073,Resistin,43,6,3M15;3M26;3M34;4M4;5M3;5M9,3M15;3M26;3M34;4M4;5M3;5M9,
pv,SAC,CD,posi,Secnidazole,C7H11N3O3,186.08733,8.073,Secretin,43,7,3M15;3M26;3M34;3M40;4M4;5M3;5M9,3M15;3M26;3M34;4M4;5M3;5M9,3M34;3M40
pv,SAC,CD,posi,Selodenoson,C17H24N6O4,377.19442,4.048,Amylin,43,10,2M17;2M20;3M4;3M6;3M26;3M37;4M5;5M6;5M8;5M10,2M17;4M5;5M6;5M8,2M20;3M4;3M6;3M26;3M37;5M10
pv,SAC,CD,posi,Selodenoson,C17H24N6O4,377.19442,4.048,C-Peptide 2,43,7,2M17;3M14;4M5;5M2;5M6;5M8;5M10,2M17;4M5;5M6;5M8,3M14;5M2;5M10
pv,SAC,CD,posi,Selodenoson,C17H24N6O4,377.19442,4.048,GIP,42,8,2M17;2M23;3M7;3M38;4M1;4M5;5M6;5M8,2M17;2M23;4M1;4M5;5M6;5M8,3M7;3M38
pv,SAC,CD,posi,Selodenoson,C17H24N6O4,377.19442,4.048,GLP-1,43,5,2M17;3M6;4M5;5M6;5M8,2M17;4M5;5M6;5M8,3M6
pv,SAC,CD,posi,Selodenoson,C17H24N6O4,377.19442,4.048,Ghrelin,2,0,,,
pv,SAC,CD,posi,Selodenoson,C17H24N6O4,377.19442,4.048,Glucagon,43,9,2M17;3M14;3M15;3M37;4M3;4M5;5M6;5M8;5M10,2M17;4M5;5M6;5M8,3M14;3M15;3M37;4M3;5M10
pv,SAC,CD,posi,Selodenoson,C17H24N6O4,377.19442,4.048,Insulin,43,10,2M17;3M6;3M14;3M21;3M37;4M5;5M2;5M6;5M8;5M10,2M17;4M5;5M6;5M8,3M6;3M14;3M21;3M37;5M2;5M10
pv,SAC,CD,posi,Selodenoson,C17H24N6O4,377.19442,4.048,Leptin,43,5,2M17;3M6;4M5;5M6;5M8,2M17;4M5;5M6;5M8,3M6
pv,SAC,CD,posi,Selodenoson,C17H24N6O4,377.19442,4.048,PP,13,4,3M4;3M6;3M13;5M1,3M13;5M1,3M4;3M6
pv,SAC,CD,posi,Selodenoson,C17H24N6O4,377.19442,4.048,PYY,43,5,2M17;3M38;4M5;5M6;5M8,2M17;4M5;5M6;5M8,3M38
pv,SAC,CD,posi,Selodenoson,C17H24N6O4,377.19442,4.048,Resistin,43,4,2M17;4M5;5M6;5M8,2M17;4M5;5M6;5M8,
pv,SAC,CD,posi,Selodenoson,C17H24N6O4,377.19442,4.048,Secretin,43,6,2M17;3M34;3M40;4M5;5M6;5M8,2M17;4M5;5M6;5M8,3M34;3M40
pv,SAC,CD,posi,Sembragiline,C19H19FN2O3,344.00409,2.83,Amylin,43,11,2M20;3M4;3M6;3M21;3M26;3M28;3M34;3M37;3M40;5M7;5M10,3M21;3M28;3M34;3M40;5M7,2M20;3M4;3M6;3M26;3M37;5M10
pv,SAC,CD,posi,Sembragiline,C19H19FN2O3,344.00409,2.83,C-Peptide 2,43,8,3M14;3M21;3M28;3M34;3M40;5M2;5M7;5M10,3M21;3M28;3M34;3M40;5M7,3M14;5M2;5M10
pv,SAC,CD,posi,Sembragiline,C19H19FN2O3,344.00409,2.83,GIP,42,7,3M7;3M21;3M28;3M34;3M38;3M40;5M7,3M21;3M28;3M34;3M40;5M7,3M7;3M38
pv,SAC,CD,posi,Sembragiline,C19H19FN2O3,344.00409,2.83,GLP-1,43,6,3M6;3M21;3M28;3M34;3M40;5M7,3M21;3M28;3M34;3M40;5M7,3M6
pv,SAC,CD,posi,Sembragiline,C19H19FN2O3,344.00409,2.83,Ghrelin,2,0,,,
pv,SAC,CD,posi,Sembragiline,C19H19FN2O3,344.00409,2.83,Glucagon,43,10,3M14;3M15;3M21;3M28;3M34;3M37;3M40;4M3;5M7;5M10,3M21;3M28;3M34;3M40;5M7,3M14;3M15;3M37;4M3;5M10
pv,SAC,CD,posi,Sembragiline,C19H19FN2O3,344.00409,2.83,Insulin,43,10,3M6;3M14;3M21;3M28;3M34;3M37;3M40;5M2;5M7;5M10,3M21;3M28;3M34;3M40;5M7,3M6;3M14;3M21;3M37;5M2;5M10
pv,SAC,CD,posi,Sembragiline,C19H19FN2O3,344.00409,2.83,Leptin,43,6,3M6;3M21;3M28;3M34;3M40;5M7,3M21;3M28;3M34;3M40;5M7,3M6
pv,SAC,CD,posi,Sembragiline,C19H19FN2O3,344.00409,2.83,PP,13,3,3M4;3M6;3M34,3M34,3M4;3M6
pv,SAC,CD,posi,Sembragiline,C19H19FN2O3,344.00409,2.83,PYY,43,6,3M21;3M28;3M34;3M38;3M40;5M7,3M21;3M28;3M34;3M40;5M7,3M38
pv,SAC,CD,posi,Sembragiline,C19H19FN2O3,344.00409,2.83,Resistin,43,5,3M21;3M28;3M34;3M40;5M7,3M21;3M28;3M34;3M40;5M7,
pv,SAC,CD,posi,Sembragiline,C19H19FN2O3,344.00409,2.83,Secretin,43,5,3M21;3M28;3M34;3M40;5M7,3M21;3M28;3M34;3M40;5M7,3M34;3M40
pv,SAC,CD,posi,Serotonin,C10H12N2O,160.0757,9.852,Amylin,43,17,2M16;2M20;3M1;3M4;3M6;3M15;3M26;3M27;3M28;3M33;3M37;5M3;5M6;5M7;5M8;5M9;5M10,2M16;3M1;3M15;3M27;3M28;3M33;5M3;5M6;5M7;5M8;5M9;5M10,2M20;3M4;3M6;3M26;3M37;5M10
pv,SAC,CD,posi,Serotonin,C10H12N2O,160.0757,9.852,C-Peptide 2,43,14,2M16;3M1;3M14;3M15;3M27;3M28;3M33;5M2;5M3;5M6;5M7;5M8;5M9;5M10,2M16;3M1;3M15;3M27;3M28;3M33;5M3;5M6;5M7;5M8;5M9;5M10,3M14;5M2;5M10
pv,SAC,CD,posi,Serotonin,C10H12N2O,160.0757,9.852,GIP,42,14,2M16;3M1;3M7;3M15;3M27;3M28;3M33;3M38;5M3;5M6;5M7;5M8;5M9;5M10,2M16;3M1;3M15;3M27;3M28;3M33;5M3;5M6;5M7;5M8;5M9;5M10,3M7;3M38
pv,SAC,CD,posi,Serotonin,C10H12N2O,160.0757,9.852,GLP-1,43,13,2M16;3M1;3M6;3M15;3M27;3M28;3M33;5M3;5M6;5M7;5M8;5M9;5M10,2M16;3M1;3M15;3M27;3M28;3M33;5M3;5M6;5M7;5M8;5M9;5M10,3M6
pv,SAC,CD,posi,Serotonin,C10H12N2O,160.0757,9.852,Ghrelin,2,0,,,
pv,SAC,CD,posi,Serotonin,C10H12N2O,160.0757,9.852,Glucagon,43,15,2M16;3M1;3M14;3M15;3M27;3M28;3M33;3M37;4M3;5M3;5M6;5M7;5M8;5M9;5M10,2M16;3M1;3M15;3M27;3M28;3M33;5M3;5M6;5M7;5M8;5M9;5M10,3M14;3M15;3M37;4M3;5M10
pv,SAC,CD,posi,Serotonin,C10H12N2O,160.0757,9.852,Insulin,43,17,2M16;3M1;3M6;3M14;3M15;3M21;3M27;3M28;3M33;3M37;5M2;5M3;5M6;5M7;5M8;5M9;5M10,2M16;3M1;3M15;3M27;3M28;3M33;5M3;5M6;5M7;5M8;5M9;5M10,3M6;3M14;3M21;3M37;5M2;5M10
pv,SAC,CD,posi,Serotonin,C10H12N2O,160.0757,9.852,Leptin,43,13,2M16;3M1;3M6;3M15;3M27;3M28;3M33;5M3;5M6;5M7;5M8;5M9;5M10,2M16;3M1;3M15;3M27;3M28;3M33;5M3;5M6;5M7;5M8;5M9;5M10,3M6
pv,SAC,CD,posi,Serotonin,C10H12N2O,160.0757,9.852,PP,13,6,3M4;3M6;3M15;5M1;5M3;5M10,3M15;5M1;5M3;5M10,3M4;3M6
pv,SAC,CD,posi,Serotonin,C10H12N2O,160.0757,9.852,PYY,43,13,2M16;3M1;3M15;3M27;3M28;3M33;3M38;5M3;5M6;5M7;5M8;5M9;5M10,2M16;3M1;3M15;3M27;3M28;3M33;5M3;5M6;5M7;5M8;5M9;5M10,3M38
pv,SAC,CD,posi,Serotonin,C10H12N2O,160.0757,9.852,Resistin,43,12,2M16;3M1;3M15;3M27;3M28;3M33;5M3;5M6;5M7;5M8;5M9;5M10,2M16;3M1;3M15;3M27;3M28;3M33;5M3;5M6;5M7;5M8;5M9;5M10,
pv,SAC,CD,posi,Serotonin,C10H12N2O,160.0757,9.852,Secretin,43,14,2M16;3M1;3M15;3M27;3M28;3M33;3M34;3M40;5M3;5M6;5M7;5M8;5M9;5M10,2M16;3M1;3M15;3M27;3M28;3M33;5M3;5M6;5M7;5M8;5M9;5M10,3M34;3M40
pv,SAC,CD,posi,Sesamex,C15H22O6,299.14851,2.573,Amylin,43,8,2M17;2M20;2M23;3M4;3M6;3M26;3M37;5M10,2M17;2M23,2M20;3M4;3M6;3M26;3M37;5M10
pv,SAC,CD,posi,Sesamex,C15H22O6,299.14851,2.573,C-Peptide 2,43,5,2M17;2M23;3M14;5M2;5M10,2M17;2M23,3M14;5M2;5M10
pv,SAC,CD,posi,Sesamex,C15H22O6,299.14851,2.573,GIP,42,5,2M17;2M23;2M31;3M7;3M38,2M17;2M23;2M31,3M7;3M38
pv,SAC,CD,posi,Sesamex,C15H22O6,299.14851,2.573,GLP-1,43,3,2M17;2M23;3M6,2M17;2M23,3M6
pv,SAC,CD,posi,Sesamex,C15H22O6,299.14851,2.573,Ghrelin,2,0,,,
pv,SAC,CD,posi,Sesamex,C15H22O6,299.14851,2.573,Glucagon,43,7,2M17;2M23;3M14;3M15;3M37;4M3;5M10,2M17;2M23,3M14;3M15;3M37;4M3;5M10
pv,SAC,CD,posi,Sesamex,C15H22O6,299.14851,2.573,Insulin,43,8,2M17;2M23;3M6;3M14;3M21;3M37;5M2;5M10,2M17;2M23,3M6;3M14;3M21;3M37;5M2;5M10
pv,SAC,CD,posi,Sesamex,C15H22O6,299.14851,2.573,Leptin,43,3,2M17;2M23;3M6,2M17;2M23,3M6
pv,SAC,CD,posi,Sesamex,C15H22O6,299.14851,2.573,PP,13,2,3M4;3M6,,3M4;3M6
pv,SAC,CD,posi,Sesamex,C15H22O6,299.14851,2.573,PYY,43,3,2M17;2M23;3M38,2M17;2M23,3M38
pv,SAC,CD,posi,Sesamex,C15H22O6,299.14851,2.573,Resistin,43,2,2M17;2M23,2M17;2M23,
pv,SAC,CD,posi,Sesamex,C15H22O6,299.14851,2.573,Secretin,43,4,2M17;2M23;3M34;3M40,2M17;2M23,3M34;3M40
