metabolite_timepoint,hormone_sampling_time,metabolite_source,metabolite_ion_mode,metabolite,metabolite_formula,metabolite_mz,metabolite_rt,hormone,n_before_outlier_filter,n_outlier_removed,removed_samples,removed_for_metabolite,removed_for_hormone
pv,SAC,CD,nega,"(15Z)-9,12,13-Trihydroxy-15-octadecenoic acid",C18H34O5,329.23353,2.881,GIP,42,5,3M7;3M38;3M39;5M1;5M3,3M39;5M1;5M3,3M7;3M38
pv,SAC,CD,nega,"(15Z)-9,12,13-Trihydroxy-15-octadecenoic acid",C18H34O5,329.23353,2.881,GLP-1,43,5,3M4;3M6;3M39;5M1;5M3,3M4;3M39;5M1;5M3,3M6
pv,SAC,CD,nega,"(15Z)-9,12,13-Trihydroxy-15-octadecenoic acid",C18H34O5,329.23353,2.881,Ghrelin,2,0,,,
pv,SAC,CD,nega,"(15Z)-9,12,13-Trihydroxy-15-octadecenoic acid",C18H34O5,329.23353,2.881,Glucagon,43,9,3M4;3M14;3M15;3M37;3M39;4M3;5M1;5M3;5M10,3M4;3M39;5M1;5M3,3M14;3M15;3M37;4M3;5M10
pv,SAC,CD,nega,"(15Z)-9,12,13-Trihydroxy-15-octadecenoic acid",C18H34O5,329.23353,2.881,Insulin,43,10,3M4;3M6;3M14;3M21;3M37;3M39;5M1;5M2;5M3;5M10,3M4;3M39;5M1;5M3,3M6;3M14;3M21;3M37;5M2;5M10
pv,SAC,CD,nega,"(15Z)-9,12,13-Trihydroxy-15-octadecenoic acid",C18H34O5,329.23353,2.881,Leptin,43,5,3M4;3M6;3M39;5M1;5M3,3M4;3M39;5M1;5M3,3M6
pv,SAC,CD,nega,"(15Z)-9,12,13-Trihydroxy-15-octadecenoic acid",C18H34O5,329.23353,2.881,PP,13,3,3M4;3M6;5M1,5M1,3M4;3M6
pv,SAC,CD,nega,"(15Z)-9,12,13-Trihydroxy-15-octadecenoic acid",C18H34O5,329.23353,2.881,PYY,43,5,3M4;3M38;3M39;5M1;5M3,3M4;3M39;5M1;5M3,3M38
pv,SAC,CD,nega,"(15Z)-9,12,13-Trihydroxy-15-octadecenoic acid",C18H34O5,329.23353,2.881,Resistin,43,4,3M4;3M39;5M1;5M3,3M4;3M39;5M1;5M3,
pv,SAC,CD,nega,"(15Z)-9,12,13-Trihydroxy-15-octadecenoic acid",C18H34O5,329.23353,2.881,Secretin,43,6,3M4;3M34;3M39;3M40;5M1;5M3,3M4;3M39;5M1;5M3,3M34;3M40
pv,SAC,CD,nega,(17Z)-tricos-17-enoic acid,C23H44O2,351.32684,2.136,Amylin,43,6,2M20;3M4;3M6;3M26;3M37;5M10,,2M20;3M4;3M6;3M26;3M37;5M10
pv,SAC,CD,nega,(17Z)-tricos-17-enoic acid,C23H44O2,351.32684,2.136,C-Peptide 2,43,3,3M14;5M2;5M10,,3M14;5M2;5M10
pv,SAC,CD,nega,(17Z)-tricos-17-enoic acid,C23H44O2,351.32684,2.136,GIP,42,2,3M7;3M38,,3M7;3M38
pv,SAC,CD,nega,(17Z)-tricos-17-enoic acid,C23H44O2,351.32684,2.136,GLP-1,43,1,3M6,,3M6
pv,SAC,CD,nega,(17Z)-tricos-17-enoic acid,C23H44O2,351.32684,2.136,Ghrelin,2,0,,,
pv,SAC,CD,nega,(17Z)-tricos-17-enoic acid,C23H44O2,351.32684,2.136,Glucagon,43,5,3M14;3M15;3M37;4M3;5M10,,3M14;3M15;3M37;4M3;5M10
pv,SAC,CD,nega,(17Z)-tricos-17-enoic acid,C23H44O2,351.32684,2.136,Insulin,43,6,3M6;3M14;3M21;3M37;5M2;5M10,,3M6;3M14;3M21;3M37;5M2;5M10
pv,SAC,CD,nega,(17Z)-tricos-17-enoic acid,C23H44O2,351.32684,2.136,Leptin,43,1,3M6,,3M6
pv,SAC,CD,nega,(17Z)-tricos-17-enoic acid,C23H44O2,351.32684,2.136,PP,13,2,3M4;3M6,,3M4;3M6
pv,SAC,CD,nega,(17Z)-tricos-17-enoic acid,C23H44O2,351.32684,2.136,PYY,43,1,3M38,,3M38
pv,SAC,CD,nega,(17Z)-tricos-17-enoic acid,C23H44O2,351.32684,2.136,Resistin,43,0,,,
pv,SAC,CD,nega,(17Z)-tricos-17-enoic acid,C23H44O2,351.32684,2.136,Secretin,43,2,3M34;3M40,,3M34;3M40
pv,SAC,CD,nega,"(2E,5E,12Z,15Z)-1-Hydroxy-2,5,12,15-heneicosatetraen-4-one",C21H34O2,317.24873,2.806,Amylin,43,7,2M20;3M4;3M6;3M16;3M26;3M37;5M10,3M16,2M20;3M4;3M6;3M26;3M37;5M10
pv,SAC,CD,nega,"(2E,5E,12Z,15Z)-1-Hydroxy-2,5,12,15-heneicosatetraen-4-one",C21H34O2,317.24873,2.806,C-Peptide 2,43,4,3M14;3M16;5M2;5M10,3M16,3M14;5M2;5M10
pv,SAC,CD,nega,"(2E,5E,12Z,15Z)-1-Hydroxy-2,5,12,15-heneicosatetraen-4-one",C21H34O2,317.24873,2.806,GIP,42,3,3M7;3M16;3M38,3M16,3M7;3M38
pv,SAC,CD,nega,"(2E,5E,12Z,15Z)-1-Hydroxy-2,5,12,15-heneicosatetraen-4-one",C21H34O2,317.24873,2.806,GLP-1,43,2,3M6;3M16,3M16,3M6
pv,SAC,CD,nega,"(2E,5E,12Z,15Z)-1-Hydroxy-2,5,12,15-heneicosatetraen-4-one",C21H34O2,317.24873,2.806,Ghrelin,2,0,,,
pv,SAC,CD,nega,"(2E,5E,12Z,15Z)-1-Hydroxy-2,5,12,15-heneicosatetraen-4-one",C21H34O2,317.24873,2.806,Glucagon,43,6,3M14;3M15;3M16;3M37;4M3;5M10,3M16,3M14;3M15;3M37;4M3;5M10
pv,SAC,CD,nega,"(2E,5E,12Z,15Z)-1-Hydroxy-2,5,12,15-heneicosatetraen-4-one",C21H34O2,317.24873,2.806,Insulin,43,7,3M6;3M14;3M16;3M21;3M37;5M2;5M10,3M16,3M6;3M14;3M21;3M37;5M2;5M10
pv,SAC,CD,nega,"(2E,5E,12Z,15Z)-1-Hydroxy-2,5,12,15-heneicosatetraen-4-one",C21H34O2,317.24873,2.806,Leptin,43,2,3M6;3M16,3M16,3M6
pv,SAC,CD,nega,"(2E,5E,12Z,15Z)-1-Hydroxy-2,5,12,15-heneicosatetraen-4-one",C21H34O2,317.24873,2.806,PP,13,2,3M4;3M6,,3M4;3M6
pv,SAC,CD,nega,"(2E,5E,12Z,15Z)-1-Hydroxy-2,5,12,15-heneicosatetraen-4-one",C21H34O2,317.24873,2.806,PYY,43,2,3M16;3M38,3M16,3M38
pv,SAC,CD,nega,"(2E,5E,12Z,15Z)-1-Hydroxy-2,5,12,15-heneicosatetraen-4-one",C21H34O2,317.24873,2.806,Resistin,43,1,3M16,3M16,
pv,SAC,CD,nega,"(2E,5E,12Z,15Z)-1-Hydroxy-2,5,12,15-heneicosatetraen-4-one",C21H34O2,317.24873,2.806,Secretin,43,3,3M16;3M34;3M40,3M16,3M34;3M40
pv,SAC,CD,nega,"(2R)-2,3-Dihydroxypropanoic acid",C3H6O4,105.01939,19.395,Amylin,43,9,2M20;3M4;3M6;3M7;3M16;3M26;3M37;5M6;5M10,3M7;3M16;5M6;5M10,2M20;3M4;3M6;3M26;3M37;5M10
pv,SAC,CD,nega,"(2R)-2,3-Dihydroxypropanoic acid",C3H6O4,105.01939,19.395,C-Peptide 2,43,6,3M7;3M14;3M16;5M2;5M6;5M10,3M7;3M16;5M6;5M10,3M14;5M2;5M10
pv,SAC,CD,nega,"(2R)-2,3-Dihydroxypropanoic acid",C3H6O4,105.01939,19.395,GIP,42,5,3M7;3M16;3M38;5M6;5M10,3M7;3M16;5M6;5M10,3M7;3M38
pv,SAC,CD,nega,"(2R)-2,3-Dihydroxypropanoic acid",C3H6O4,105.01939,19.395,GLP-1,43,5,3M6;3M7;3M16;5M6;5M10,3M7;3M16;5M6;5M10,3M6
pv,SAC,CD,nega,"(2R)-2,3-Dihydroxypropanoic acid",C3H6O4,105.01939,19.395,Ghrelin,2,0,,,
pv,SAC,CD,nega,"(2R)-2,3-Dihydroxypropanoic acid",C3H6O4,105.01939,19.395,Glucagon,43,8,3M7;3M14;3M15;3M16;3M37;4M3;5M6;5M10,3M7;3M16;5M6;5M10,3M14;3M15;3M37;4M3;5M10
pv,SAC,CD,nega,"(2R)-2,3-Dihydroxypropanoic acid",C3H6O4,105.01939,19.395,Insulin,43,9,3M6;3M7;3M14;3M16;3M21;3M37;5M2;5M6;5M10,3M7;3M16;5M6;5M10,3M6;3M14;3M21;3M37;5M2;5M10
pv,SAC,CD,nega,"(2R)-2,3-Dihydroxypropanoic acid",C3H6O4,105.01939,19.395,Leptin,43,5,3M6;3M7;3M16;5M6;5M10,3M7;3M16;5M6;5M10,3M6
pv,SAC,CD,nega,"(2R)-2,3-Dihydroxypropanoic acid",C3H6O4,105.01939,19.395,PP,13,3,3M4;3M6;5M10,5M10,3M4;3M6
pv,SAC,CD,nega,"(2R)-2,3-Dihydroxypropanoic acid",C3H6O4,105.01939,19.395,PYY,43,5,3M7;3M16;3M38;5M6;5M10,3M7;3M16;5M6;5M10,3M38
pv,SAC,CD,nega,"(2R)-2,3-Dihydroxypropanoic acid",C3H6O4,105.01939,19.395,Resistin,43,4,3M7;3M16;5M6;5M10,3M7;3M16;5M6;5M10,
pv,SAC,CD,nega,"(2R)-2,3-Dihydroxypropanoic acid",C3H6O4,105.01939,19.395,Secretin,43,6,3M7;3M16;3M34;3M40;5M6;5M10,3M7;3M16;5M6;5M10,3M34;3M40
pv,SAC,CD,nega,"(4R,5S,7R,11x)-11,12-Dihydroxy-1(10)-spirovetiven-2-one 12-glucoside",C21H34O8,413.21744,2.78,Amylin,43,10,2M20;3M4;3M6;3M14;3M21;3M26;3M33;3M37;5M1;5M10,3M14;3M21;3M33;3M37;5M1,2M20;3M4;3M6;3M26;3M37;5M10
pv,SAC,CD,nega,"(4R,5S,7R,11x)-11,12-Dihydroxy-1(10)-spirovetiven-2-one 12-glucoside",C21H34O8,413.21744,2.78,C-Peptide 2,43,7,3M14;3M21;3M33;3M37;5M1;5M2;5M10,3M14;3M21;3M33;3M37;5M1,3M14;5M2;5M10
