correlation_method,metabolite_timepoint,hormone_sampling_time,metabolite_source,metabolite_ion_mode,metabolite,metabolite_formula,metabolite_mz,metabolite_rt,hormone,n,n_unique_samples,n_med_adj_ic,n_raw_ion_count_fallback,correlation,p_value,p_adj_bh,metabolite_min,metabolite_max,hormone_min,hormone_max
pearson,sys_sac,SAC,CD,posi,Propachlor,C11H14ClNO,275.0937,4.256,GLP-1,38,38,38,0,0.40914550282362333,0.010752845067493544,0.3254705667540446,98596.0411246623,1627477.44544974,28.62,692.09
pearson,tp4,GTT,CD,nega,N-Acetylserine,C5H9NO4,146.04596,10.364,PYY,33,33,0,33,0.43812324671078784,0.010767179916038512,0.3257781389944955,229152.319071239,1538868.28772533,1.63,170.9
pearson,tp4,GTT,CD,nega,Capryloylglycine,C10H19NO3,200.1293,2.859,C-Peptide 2,34,34,0,34,0.43178503837422366,0.010774737114300069,0.32588048377237194,459987.855861498,2331579.68829953,102.01,1743.56
pearson,tp4,GTT,CD,nega,Pentadecanoic acid,C15H30O2,241.2174,2.26,Leptin,34,34,0,34,-0.4316496632011266,0.01080221523555655,0.3265850215794018,3383231.0836163,32643626.7568016,324.41,7988.85
pearson,tp4,GTT,CD,posi,Guanoxabenz,C8H8Cl2N4O,268.9981,15.748,PYY,34,34,0,34,0.43162185222228455,0.010807867574793592,0.32662940713261224,837048.003088111,3364175112.55616,1.63,170.9
pearson,sys_sac,SAC,CD,posi,tolimidone,C11H10N2O2,203.08144,4.024,Leptin,38,38,38,0,0.4087885530171176,0.010828423277474552,0.3270395127891212,37034.5432866971,1597776.54494787,608.22,9954.55
pearson,sys_sac,SAC,CD,posi,Narasin,C43H72O11,773.3403,3.564,C-Peptide 2,38,38,38,0,0.4087819925669603,0.01082981656324304,0.3270395127891212,7348.15569906154,869486.304841865,29.61,2820.91
pearson,tp4,GTT,CD,posi,N-{4-[(4-Cycloheptyl-1-piperazinyl)sulfonyl]phenyl}acetamide,C19H29N3O3S,362.19006,2.376,GLP-1,35,35,0,35,-0.42539334238024934,0.010847489341636062,0.3274465247435399,4734.30933998523,156468.43392,24.2,446.95
pearson,tp4,GTT,CD,posi,"1,28-Octacosanediyl (2E,2′E)bis[3-(3-hydroxy-4-methoxyphenyl)acrylate]",C48H74O8,779.5417,3.257,Glucagon,31,31,0,31,-0.4511599943602284,0.0108524043026543,0.3274654371620211,14736.3852675701,851473.521327834,17.67,161.53
pearson,tp4,GTT,CD,posi,"PE(P-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C45H78NO7P,776.5582,2.89,Resistin,35,35,0,35,0.4253496163964035,0.010856505743835804,0.3274654371620211,69125.5173760523,4391250.4951691,4345.62,30708.92
pearson,tp4,GTT,CD,posi,6-Hydroxy-1H-indole-3-acetamide,C10H10N2O2,191.08146,3.035,Amylin,35,35,0,35,0.42526913825928225,0.01087311712668631,0.3278398104068701,940545.606706507,7610036.4631385,1.81,53.85
pearson,pv,SAC,CD,posi,indospicine,C7H15N3O2,157.09722,11.939,GLP-1,43,43,43,0,0.3845996266013649,0.010882257681344,0.3279887255293727,227295.645700643,8751952.20950787,28.62,692.09
pearson,sys_sac,SAC,CD,nega,Indole-3-carboxaldehyde,C9H7NO,144.04555,2.616,Resistin,38,38,38,0,0.4084884495756792,0.01089231451598807,0.32816513151179494,6090971.02092338,21192025.222094,5122.24,58609.94
pearson,sys_sac,SAC,CD,posi,"N,N-Dimethyl-p-phenylenediamine",C8H12N2,137.10733,3.75,GLP-1,38,38,38,0,-0.40843434494991165,0.010903867305163777,0.32817735076838844,17445.0981364889,2484927.03672606,28.62,692.09
pearson,tp4,GTT,CD,posi,cyclohexylformamide,C7H13NO,160.13323,14.804,PYY,34,34,0,34,0.43115094887050076,0.010903955141264094,0.32817735076838844,19659.2234087131,95482372.8751834,1.63,170.9
pearson,tp4,GTT,CD,nega,PS(18:0/18:0),C42H82NO10P,790.56177,2.943,Insulin,35,35,0,35,0.4251133601025084,0.010905332272977885,0.32817735076838844,50498.9161064104,666433.274925045,123.91,6516.84
pearson,pv,SAC,CD,posi,dibutylnitrosamine,C8H18N2O,142.12265,2.842,GLP-1,43,43,43,0,0.3844711463680805,0.010911058835588327,0.3281888687641226,18465.1763913965,1386821.05889478,28.62,692.09
pearson,sys_sac,SAC,CD,nega,7-Methylhypoxanthine,C6H6N4O,149.0455,7.194,Glucagon,38,38,38,0,-0.40834126898895795,0.010923765911697102,0.3281888687641226,1699396.49077,45551578.8769053,44.03,1801.35
pearson,tp4,GTT,CD,posi,Eglumetad,C8H11NO4,186.0762,6.901,Leptin,35,35,0,35,-0.42502416781297003,0.010923813742925441,0.3281888687641226,52952.3536823741,3802313.25095136,324.41,7988.85
pearson,sys_sac,SAC,CD,nega,Glutamylalanine,C8H14N2O5,217.08427,13.519,Leptin,38,38,38,0,-0.4082921543455006,0.010934278522393669,0.3281888687641226,99290.3465986779,5193773.42612815,608.22,9954.55
pearson,sys_sac,SAC,CD,posi,"PC(18:2(9Z,12Z)/16:1(9Z))",C42H78NO8P,756.55341,3.029,PYY,38,38,38,0,-0.40828808811064693,0.010935149254227675,0.3281888687641226,3128812.110522,60492098.6419843,29.88,445.18
pearson,sys_sac,SAC,CD,nega,Guanosine monophosphate,C10H14N5O8P,362.05078,15.168,Resistin,38,38,38,0,-0.4082743006971943,0.010938102090366695,0.3281888687641226,6377.0256459971,126110.255827246,5122.24,58609.94
pearson,pv,SAC,CD,posi,LysoPC(20:1(11Z)/0:0),C28H56NO7P,550.3864,3.972,PYY,43,43,43,0,-0.3843483651306798,0.010938643365793893,0.3281888687641226,51489.1182966991,17181336.5497353,29.88,445.18
pearson,tp4,GTT,CD,posi,7-Dehydrocholesterol,C27H44O,385.49917,2.449,Amylin,35,35,0,35,0.4249492944468329,0.01093934867828453,0.3281888687641226,30634.0415148558,2672365.53754143,1.81,53.85
pearson,tp4,GTT,CD,posi,γ-HYDROXYHOMOARGININE,C7H16N4O3,205.12948,14.663,Amylin,35,35,0,35,0.42491341354762485,0.010946799978271386,0.3282862466015447,27697.1601629077,702540.522968145,1.81,53.85
pearson,pv,SAC,Maven,posi,L-Glutamine,C5H10N2O3,148.073563,14.493,Insulin,43,43,43,0,0.3842741034050056,0.010955356239953789,0.3284166738875855,715161.276144041,13127128.5306075,112.79,285098.39
pearson,pv,SAC,CD,posi,Menatetrenone,C41H56O2,581.4372,4.026,C-Peptide 2,43,43,43,0,0.38402839390653654,0.01101080984753645,0.32969283005684497,15156.084320295,789308.437584817,29.61,36727.54
pearson,tp4,GTT,CD,nega,N-Acetyl-L-phenylalanine,C11H13NO3,206.08202,3.669,Amylin,34,34,0,34,0.43059347466453013,0.011018640552859175,0.32969283005684497,1090207.9354724,5230420.9520076,1.81,53.85
pearson,sys_sac,SAC,CD,nega,13-HODE,C18H32O3,295.22776,2.358,Leptin,38,38,38,0,0.4078993647155642,0.011018662172268942,0.32969283005684497,3758856.07019749,32383817.6897837,608.22,9954.55
pearson,tp4,GTT,CD,posi,Alanylserine,C6H12N2O4,177.08691,12.676,Glucagon,31,31,0,31,0.45030396236757303,0.011022386537974741,0.32969283005684497,197796.121777031,122409559.054194,17.67,161.53
pearson,tp4,GTT,CD,nega,Pentacosanoic acid,C25H50O2,381.37371,2.146,Leptin,34,34,0,34,-0.4305661351301268,0.011024291069127133,0.32969283005684497,36460.0729639334,170321.986242424,324.41,7988.85
pearson,sys_sac,SAC,CD,posi,"PC(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))",C46H80NO8P,806.56847,3.038,PYY,38,38,38,0,-0.4078717583208868,0.011024613674075125,0.32969283005684497,64301373.3771006,360050105.698803,29.88,445.18
pearson,tp4,GTT,CD,posi,8-hydroxy-guanosine,C10H13N5O6,338.05029,4.898,C-Peptide 2,34,34,0,34,-0.4305506592312176,0.01102749070326692,0.32969283005684497,18961643.611535,89973968.6264437,102.01,1743.56
pearson,tp4,GTT,CD,posi,"2,3-dihydropyrimidin-4-amine",C4H7N3,98.07121,16.494,GLP-1,35,35,0,35,-0.4244474842792695,0.011043949457262017,0.33005849254700903,648627077.232442,10969690848.7654,24.2,446.95
