correlation_method,metabolite_timepoint,hormone_sampling_time,metabolite_source,metabolite_ion_mode,metabolite,metabolite_formula,metabolite_mz,metabolite_rt,hormone,n,n_unique_samples,n_before_outlier_filter,n_outlier_removed,removed_samples,removed_for_metabolite,removed_for_hormone,n_med_adj_ic,n_raw_ion_count_fallback,n_cd,n_id,n_young,n_old,correlation,p_value,p_adj_bh,metabolite_min,metabolite_max,hormone_min,hormone_max
pearson,sys_sac,SAC,CD,posi,butoctamide,C16H29NO5,316.21061,2.826,Leptin,32,32,38,6,2M17;2M22;3M6;3M7;3M39;5M9,2M17;2M22;3M7;3M39;5M9,3M6,32,0,17,15,9,23,-0.39712157249779856,0.024414996049969922,0.5000542493730966,14724.815208749,55868.7137274798,608.22,7640.21
pearson,pv,SAC,CD,nega,Monuron,C9H11ClN2O,197.04721,17.678,GLP-1,40,40,43,3,3M6;3M40;4M4,3M40;4M4,3M6,40,0,23,17,13,27,0.35538441766704154,0.02442343151159612,0.5000542493730966,39864.6380011671,548475.426768114,28.62,467.7
pearson,tp4,GTT,CD,posi,Cannabinol,C21H26O2,323.59557,2.427,Amylin,33,33,35,2,3M5;3M6,,3M5;3M6,0,33,14,19,0,33,-0.3910558595868165,0.02443090706567034,0.5000542493730966,20209.344085733,214491.650608479,1.81,25.01
pearson,pv,SAC,CD,posi,Quinone,C6H4O2,239.03133,13.894,PP,11,11,13,2,3M4;3M6,,3M4;3M6,11,0,5,6,4,7,0.6688350459694801,0.024431565202871288,0.5000542493730966,73621.5643602129,420470.180958215,1.13,242.69
pearson,tp4,GTT,CD,posi,"(8E)-2-Amino-8-octadecene-1,3,4-triol",C18H37NO3,316.28436,8.639,Amylin,30,30,35,5,3M5;3M6;3M21;3M32;3M38,3M21;3M32;3M38,3M5;3M6,0,30,13,17,0,30,-0.409981838313286,0.024442790023918148,0.5000542493730966,39789.0700568154,217586.667454811,1.81,25.01
pearson,pv,SAC,CD,posi,histidinol,C6H11N3O,142.09751,18.084,Glucagon,34,34,43,9,2M16;3M14;3M15;3M21;3M37;4M3;5M2;5M3;5M10,2M16;3M21;5M2;5M3,3M14;3M15;3M37;4M3;5M10,34,0,19,15,10,24,0.38526107244902824,0.024444926655111738,0.5000542493730966,459509.45218323,13499699.7751674,44.03,596.46
pearson,tp4,GTT,CD,posi,exalamide,C13H19NO2,204.13828,2.667,Insulin,33,33,36,3,3M26;3M30;3M36,,3M26;3M30;3M36,0,33,14,19,0,33,0.3910186562123241,0.024445687221200513,0.5000542493730966,18031.6434575189,636695.282196932,123.91,3214.38
pearson,tp4,GTT,CD,posi,Methionyl-Glycine,C7H14N2O3S,285.09422,2.545,Resistin,33,33,35,2,3M21;3M30,,3M21;3M30,0,33,14,19,0,33,0.3909619783073925,0.024468218370795294,0.5003740309399514,949537.301310082,3152127.81324484,4345.62,23250.84
pearson,tp4,GTT,CD,posi,Vinpocetine,C22H26N2O2,351.20642,2.707,Insulin,32,32,36,4,3M20;3M26;3M30;3M36,3M20,3M26;3M30;3M36,0,32,14,18,0,32,-0.39692719186200953,0.02449130713746423,0.5007050322782146,12125.1316348364,171575.611636285,123.91,3214.38
pearson,tp4,GTT,CD,posi,"1-α,24R,25-Trihydroxyvitamin D2",C28H44O4,508.33975,3.01,GLP-1,31,31,35,4,3M3;3M6;3M23;3M35,3M35,3M3;3M6;3M23,0,31,13,18,0,31,-0.40320404045524944,0.02450390636901153,0.5008214574197296,12808.2133865761,4880877.26059141,24.2,219.87
pearson,sys_sac,SAC,CD,nega,Indoleacetaldehyde,C10H9NO,158.06115,2.677,Resistin,38,38,38,0,,,,38,0,21,17,10,28,0.3643239486661724,0.024529489125400938,0.5009713923640419,24767894.2348245,93627458.6150442,5122.24,58609.94
