"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ontology","comparison","direction"
"GO:0005635","nuclear envelope",453,-0.189981670378548,-1.04242394720438,0.313186813186813,0.631681877444589,0.506612032035761,3300,"tags=26%, list=24%, signal=20%","11750/74198/13726/20537/69804/69642/14873/19387/64050/81896/16573/19069/16649/69237/19165/243085/101187/211577/15370/110379/380664/52123/628705/79554/19384/83431/80879/76959/98238/67287/20729/73192/230917/244202/77053/74122/218397/12566/69482/67500/22782/66447/53317/52837/22791/12028/207742/26370/12387/13360/68953/13026/74166/70604/59288/101118/381629/12421/30934/12361/11789/56371/16511/11746/12043/71678/69554/18472/107094/65246/64656/18795/12175/12038/66371/66069/73166/234733/56541/269113/217371/72787/228829/68942/18777/231396/22238/71805/80913/12301/28015/70729/13663/238161/380711/12390/68051/20932/16514/23897/74167/22174/18125/117591/21763/219135/74493/60532/29819/20462/245865/11699/19122/320557/17766/230709/12330","CC","old ID vs old CD","Down"
"GO:0036064","ciliary basal body",274,0.199978111072895,1.04361447367192,0.31447963800905,0.632502708559047,0.507270342703997,2764,"tags=24%, list=20%, signal=19%","52184/226101/12236/99100/229776/75292/67534/70314/74694/76967/67378/106633/17128/16328/240641/100503041/106618/18080/22288/19893/21687/52023/52028/18764/380718/17349/70235/66573/212514/104831/18286/74477/26920/20650/108000/270192/108686/11515/109880/103677/13649/109065/14894/216846/234854/15257/18541/73873/381290/17427/68259/23797/232944/77832/208518/14632/16576/104112/17380/280408/212139/16551/106021/211660/59056","CC","old ID vs old CD","Up"
"GO:0031466","Cul5-RING ubiquitin ligase complex",15,-0.390248219258538,-1.11172835219086,0.319109461966605,0.640011673719539,0.513292570401635,4385,"tags=73%, list=32%, signal=50%","271005/23807/192157/19823/319263/56438/65255/217371/75717/79043/65256","CC","old ID vs old CD","Down"
"GO:0032797","SMN complex",10,-0.453356054729238,-1.14153788201625,0.322820037105751,0.64025974025974,0.513491521010318,3210,"tags=40%, list=23%, signal=31%","20901/14265/69731/20595","CC","old ID vs old CD","Down"
"GO:0000159","protein phosphatase type 2A complex",16,-0.386021261136974,-1.11567336963688,0.321626617375231,0.64025974025974,0.513491521010318,3051,"tags=38%, list=22%, signal=29%","226849/19053/19052/93960/26931/235542","CC","old ID vs old CD","Down"
"GO:0044294","dendritic growth cone",13,0.399981014753766,1.10709461871736,0.322510822510823,0.64025974025974,0.513491521010318,2383,"tags=31%, list=17%, signal=25%","19206/19099/381921/15516","CC","old ID vs old CD","Up"
"GO:0016327","apicolateral plasma membrane",19,-0.354496003038648,-1.09778468736728,0.32280701754386,0.64025974025974,0.513491521010318,3443,"tags=42%, list=25%, signal=32%","16669/12739/14368/12741/12387/16480/21824/16691","CC","old ID vs old CD","Down"
"GO:0031430","M band",28,-0.315489107950224,-1.08714629232653,0.327305605786618,0.647357901749711,0.519184282105031,4565,"tags=43%, list=33%, signal=29%","68678/11674/66106/83997/17930/20193/226849/71393/109272/109245/17966/320502","CC","old ID vs old CD","Down"
"GO:0005662","DNA replication factor A complex",13,-0.405405140991897,-1.10985374561142,0.331481481481481,0.652004897459443,0.522911195957448,5198,"tags=69%, list=38%, signal=43%","19891/68183/22590/54380/50496/28000/68275/53317/71702","CC","old ID vs old CD","Down"
"GO:0032433","filopodium tip",16,-0.381046777092869,-1.10129618388461,0.33086876155268,0.652004897459443,0.522911195957448,2677,"tags=38%, list=19%, signal=30%","11771/14265/23991/22349/53323/329165","CC","old ID vs old CD","Down"
"GO:0099092","postsynaptic density, intracellular component",45,-0.279478491513241,-1.06952087858236,0.332730560578662,0.652663791904298,0.523439632604951,2409,"tags=24%, list=17%, signal=20%","22782/12387/13383/245666/12361/77097/56724/18125/382253/77531/110784","CC","old ID vs old CD","Down"
"GO:0005839","proteasome core complex",17,-0.367873149425488,-1.0869274320925,0.336936936936937,0.659104035542392,0.528604740284625,4246,"tags=47%, list=31%, signal=33%","19170/26445/26446/19177/19175/19173/19166/26441","CC","old ID vs old CD","Down"
"GO:0042581","specific granule",10,0.428913472892575,1.09603554876183,0.339092872570194,0.661509046489396,0.530533571119315,1669,"tags=20%, list=12%, signal=18%","11501/17002","CC","old ID vs old CD","Up"
"GO:0048188","Set1C/COMPASS complex",13,-0.403025632198084,-1.1033395047188,0.342592592592593,0.664132615352128,0.532637686497947,2787,"tags=38%, list=20%, signal=31%","77305/69544/140858/23808/67933","CC","old ID vs old CD","Down"
"GO:0030992","intraciliary transport particle B",14,-0.392006118262561,-1.09877474197737,0.343228200371058,0.664132615352128,0.532637686497947,1876,"tags=64%, list=14%, signal=56%","67694/76779/76568/74019/55978/73916/67042/245866/68708","CC","old ID vs old CD","Down"
"GO:0055037","recycling endosome",178,-0.207695303186184,-1.04263894331396,0.342013888888889,0.664132615352128,0.532637686497947,3060,"tags=37%, list=22%, signal=29%","11307/209478/16412/56715/11607/56332/20660/22319/22041/19341/319740/18703/226422/231830/80743/277973/53612/19353/231876/545192/170755/100226/69091/73689/229521/19384/245860/114601/19342/70612/101490/55943/57440/71648/76742/11765/24044/27413/11981/215445/107767/27681/20510/54645/68299/19325/53869/259300/58244/76295/68365/51885/24045/12751/103199/17846/20529/226781/68328/55946/22142/271457/631797/72027/216238","CC","old ID vs old CD","Down"
"GO:0033162","melanosome membrane",14,0.377276298625088,1.07555347376801,0.347732181425486,0.665632111361386,0.533840289813643,957,"tags=29%, list=7%, signal=27%","83671/73822/93695/233979","CC","old ID vs old CD","Up"
"GO:0045009","chitosome",14,0.377276298625088,1.07555347376801,0.347732181425486,0.665632111361386,0.533840289813643,957,"tags=29%, list=7%, signal=27%","83671/73822/93695/233979","CC","old ID vs old CD","Up"
"GO:0090741","pigment granule membrane",14,0.377276298625088,1.07555347376801,0.347732181425486,0.665632111361386,0.533840289813643,957,"tags=29%, list=7%, signal=27%","83671/73822/93695/233979","CC","old ID vs old CD","Up"
"GO:0099522","cytosolic region",68,-0.25292795821153,-1.05098510143773,0.346516007532957,0.665632111361386,0.533840289813643,3179,"tags=31%, list=23%, signal=24%","18752/16573/26556/56469/12322/53379/19211/268882/22318/78808/14265/14299/18750/18795/320213/59025/16574/215351/22215/77531/108058","CC","old ID vs old CD","Down"
"GO:0031261","DNA replication preinitiation complex",13,-0.399919885851213,-1.09483708610723,0.35,0.668181818181818,0.535885167464115,1510,"tags=46%, list=11%, signal=41%","50793/17215/216225/69270/12544/272551","CC","old ID vs old CD","Down"
"GO:0031091","platelet alpha granule",18,0.352891045588491,1.07065308823559,0.351351351351351,0.668972972972973,0.536519677572309,512,"tags=22%, list=4%, signal=21%","70945/56744/57349/16009","CC","old ID vs old CD","Up"
"GO:0099503","secretory vesicle",457,-0.187695161768386,-1.03068831057517,0.352293577981651,0.66898301776303,0.536527733544284,3358,"tags=28%, list=24%, signal=22%","56175/28105/19349/11750/16570/60409/53612/12293/66335/235574/16949/19353/76709/545192/232910/100226/19165/20615/21871/244049/78405/12466/229521/105853/72293/11771/12909/231832/66144/69048/59021/83431/245860/22334/20255/77053/381812/52551/22318/70495/78808/19342/70612/16176/13121/13383/21809/55960/67972/76787/11975/108800/20692/14069/22335/84095/68581/23980/110877/66290/22393/11789/74325/107767/19346/94245/13167/11746/20720/21808/14067/19325/381823/14299/12876/110135/71233/211446/53869/58244/83554/19344/68365/170737/21786/73834/14681/230810/22333/217371/26357/16561/104082/20333/108664/56334/12540/12390/16514/14161/20973/17304/11964/68328/22215/18125/214523/67511/100042514/53611/11973/103988/14708/232664/99571/20597/271457/20528/229706/12389/20977/54411/66471/17766/13195/60510/20276/74006/19339","CC","old ID vs old CD","Down"
"GO:0044292","dendrite terminus",20,0.350190751711687,1.11292907587061,0.355704697986577,0.671886651752424,0.538856462558335,887,"tags=20%, list=6%, signal=19%","19206/19099/104111/50782","CC","old ID vs old CD","Up"
"GO:0005938","cell cortex",303,0.194610477659115,1.02693229723792,0.354767184035477,0.671886651752424,0.538856462558335,2481,"tags=21%, list=18%, signal=18%","192897/320484/14269/208177/17916/72313/245049/665700/277978/20533/234839/17279/76686/545370/53413/319262/56079/13627/110380/17886/20525/53416/16331/14388/30785/56320/57912/22288/668218/15163/109711/18764/93737/20339/213019/20910/20739/404710/13543/243725/71774/233977/20740/16439/29875/67839/101706/207792/19200/269713/12721/13807/640524/20190/75547/11474/12488/667742/21928/72042/76932/106628/77832/68743/194401","CC","old ID vs old CD","Up"
"GO:0030688","preribosome, small subunit precursor",11,-0.413178149987168,-1.07355096994705,0.358878504672897,0.674313821938023,0.540803065213452,3973,"tags=73%, list=29%, signal=52%","67619/75416/18114/100608/53414/66878/67842/353258","CC","old ID vs old CD","Down"
"GO:0060077","inhibitory synapse",15,0.362141795877327,1.05211785227718,0.3585313174946,0.674313821938023,0.540803065213452,1478,"tags=20%, list=11%, signal=18%","76380/13528/269788","CC","old ID vs old CD","Up"
"GO:0005680","anaphase-promoting complex",21,-0.337232434238383,-1.07953357075045,0.366120218579235,0.683139384088669,0.547881210296677,1933,"tags=43%, list=14%, signal=37%","66077/56317/68999/56438/52206/217232/52717/56371/69957","CC","old ID vs old CD","Down"
"GO:0032153","cell division site",49,0.264947992088262,1.04468975470867,0.36644591611479,0.683139384088669,0.547881210296677,3222,"tags=35%, list=23%, signal=27%","665700/545370/73728/65970/17886/225115/17283/19200/68743/18739/268451/231637/11852/26934/107589/59069/77579","CC","old ID vs old CD","Up"
"GO:0034451","centriolar satellite",123,-0.222378386606866,-1.03885555506605,0.365714285714286,0.683139384088669,0.547881210296677,3310,"tags=32%, list=24%, signal=24%","70834/16413/14677/16573/232933/66648/21778/216543/51944/27205/240505/237222/71853/321000/74256/99167/233064/102774/17246/215445/210544/68134/320191/224938/75906/73447/170644/50523/76411/51812/71492/67269/76260/213541/66985/230163/16668/54141/225164","CC","old ID vs old CD","Down"
"GO:0035859","Seh1-associated complex",13,-0.392736376721981,-1.0751712168136,0.368518518518519,0.683165657628219,0.547902281807093,3425,"tags=69%, list=25%, signal=52%","319481/268933/277854/17168/110379/68441/230784/56032/75747","CC","old ID vs old CD","Down"
"GO:0043194","axon initial segment",21,0.330940626894471,1.07393416240177,0.368653421633554,0.683165657628219,0.547902281807093,60,"tags=10%, list=0%, signal=9%","16490/16485","CC","old ID vs old CD","Up"
"GO:0106068","SUMO ligase complex",10,0.41605347744737,1.06317341442549,0.369330453563715,0.683165657628219,0.547902281807093,702,"tags=20%, list=5%, signal=19%","22196/19386","CC","old ID vs old CD","Up"
"GO:0000124","SAGA complex",21,0.32908491930503,1.06791221280184,0.377483443708609,0.685809615287397,0.550022749102674,3316,"tags=33%, list=24%, signal=25%","27878/101943/14534/109115/102162/246103/225895","CC","old ID vs old CD","Up"
"GO:0005687","U4 snRNP",10,-0.424097739231942,-1.06786626087932,0.376623376623377,0.685809615287397,0.550022749102674,3568,"tags=60%, list=26%, signal=45%","20646/20643/20638/68988/67332/69878","CC","old ID vs old CD","Down"
"GO:1990062","RPAP3/R2TP/prefoldin-like complex",10,-0.423989719042223,-1.06759426905898,0.376623376623377,0.685809615287397,0.550022749102674,6198,"tags=70%, list=45%, signal=39%","20174/66420/14976/22294/19777/18637/68559","CC","old ID vs old CD","Down"
"GO:0043596","nuclear replication fork",40,-0.277812209816358,-1.04332663846758,0.375,0.685809615287397,0.550022749102674,4826,"tags=48%, list=35%, signal=31%","66131/67967/68183/22040/70024/22590/93762/54380/13990/50496/28000/212377/68275/226409/53317/218973/52915/56210/71702","CC","old ID vs old CD","Down"
"GO:0005881","cytoplasmic microtubule",81,-0.240216445483971,-1.04161615389163,0.376383763837638,0.685809615287397,0.550022749102674,3795,"tags=36%, list=27%, signal=26%","22143/73420/68796/78906/13086/192197/74393/241727/77627/233005/13589/20209/53414/103768/74256/11789/21689/18472/20818/71233/56297/52250/22142/13085/13087/20208/213582/12042/319613","CC","old ID vs old CD","Down"
"GO:0034705","potassium channel complex",62,0.251623864609342,1.03568273193913,0.376344086021505,0.685809615287397,0.550022749102674,1401,"tags=16%, list=10%, signal=15%","382571/16490/16485/16497/16506/330953/20907/80334/16494/14807","CC","old ID vs old CD","Up"
"GO:0034702","monoatomic ion channel complex",191,0.20868072132112,1.03228985407912,0.372685185185185,0.685809615287397,0.550022749102674,2574,"tags=23%, list=19%, signal=19%","382571/16490/16485/18763/333329/16497/12291/12296/12294/14396/16506/22064/330953/12288/233979/504186/20907/209195/18764/80334/58226/16494/14807/13058/53623/20272/74096/22065/57776/14806/20269/117160/16526/338370/20190/11448/16516/78339/14394/101772/58869/14658/18578/16513","CC","old ID vs old CD","Up"
"GO:0032593","insulin-responsive compartment",10,-0.422923812010086,-1.06491034492651,0.380333951762523,0.689234623244776,0.552769622652452,2305,"tags=40%, list=17%, signal=33%","19342/19325/68328/20528","CC","old ID vs old CD","Down"
"GO:0044309","neuron spine",182,0.207662019408358,1.02179241368498,0.381395348837209,0.689408301442449,0.552908913437553,1898,"tags=17%, list=14%, signal=15%","241226/234267/19283/23964/103967/14130/232975/81840/11941/16506/73728/210293/20512/16773/65945/30785/81489/56320/320840/330908/30794/109711/54393/14745/243725/53623/233977/15114/211134/11539/58234","CC","old ID vs old CD","Up"
"GO:0005828","kinetochore microtubule",14,-0.377695665688514,-1.05866321539121,0.38404452690167,0.690699728483104,0.553944644397477,2545,"tags=43%, list=18%, signal=35%","76959/26951/68953/53869/66371/68942","CC","old ID vs old CD","Down"
"GO:0005796","Golgi lumen",24,0.313894610506784,1.05148666890022,0.383592017738359,0.690699728483104,0.553944644397477,1896,"tags=33%, list=14%, signal=29%","14734/11603/23888/20970/15476/15529/15530/22022","CC","old ID vs old CD","Up"
"GO:0032590","dendrite membrane",34,0.281860675172955,1.02982858871744,0.388157894736842,0.695726658418197,0.557976267403065,705,"tags=12%, list=5%, signal=11%","241226/11941/14396/22064","CC","old ID vs old CD","Up"
"GO:0031672","A band",46,-0.266845787642052,-1.02512219946769,0.38878842676311,0.695726658418197,0.557976267403065,4565,"tags=33%, list=33%, signal=22%","68678/11674/66106/83997/217012/17930/20193/226849/71393/109272/109245/17966/320502/18519/208727","CC","old ID vs old CD","Down"
"GO:0051286","cell tip",13,-0.385000884847537,-1.05399421691174,0.392592592592593,0.700777777777778,0.562027290448343,4007,"tags=54%, list=29%, signal=38%","22350/22041/17364/19684/84095/14697/67451","CC","old ID vs old CD","Down"
"GO:0071014","post-mRNA release spliceosomal complex",10,-0.418429258002179,-1.05359318348293,0.395176252319109,0.703630534054474,0.564315215281784,4771,"tags=70%, list=35%, signal=46%","68592/72654/72502/66877/54723/244672/57905","CC","old ID vs old CD","Down"
"GO:1902555","endoribonuclease complex",31,-0.294939145073389,-1.03688847387136,0.396648044692737,0.704494288334862,0.56500795054425,3439,"tags=42%, list=25%, signal=32%","94223/53424/76850/381802/76265/21357/66161/67053/208366/67676/216156/22099/74097","CC","old ID vs old CD","Down"
"GO:1902911","protein kinase complex",123,-0.219449986311608,-1.02517533658527,0.4,0.708684863523573,0.568368812850986,2494,"tags=31%, list=18%, signal=26%","72238/51897/19082/102093/12444/26408/23894/78757/21812/12569/16367/230784/78610/12568/12566/22596/19087/68705/66671/12452/66197/12537/12421/18682/22241/68961/67974/108079/12575/18679/19184/66165/227743/227154/16150/105787/12995/12283","CC","old ID vs old CD","Down"
"GO:0016342","catenin complex",20,0.329842798422568,1.04826195162696,0.413870246085011,0.712056278806501,0.571072704807219,3533,"tags=45%, list=26%, signal=34%","12552/227485/23805/12565/104010/12562/12563/22295/233651","CC","old ID vs old CD","Up"
"GO:0000178","exosome (RNase complex)",17,-0.348650582424395,-1.03013194315466,0.410810810810811,0.712056278806501,0.571072704807219,478,"tags=12%, list=3%, signal=11%","50911/50912","CC","old ID vs old CD","Down"
"GO:0043186","P granule",12,0.376498997879414,1.02699084500029,0.411642411642412,0.712056278806501,0.571072704807219,1336,"tags=25%, list=10%, signal=23%","57746/229003/52502","CC","old ID vs old CD","Up"
"GO:0045495","pole plasm",12,0.376498997879414,1.02699084500029,0.411642411642412,0.712056278806501,0.571072704807219,1336,"tags=25%, list=10%, signal=23%","57746/229003/52502","CC","old ID vs old CD","Up"
"GO:0060293","germ plasm",12,0.376498997879414,1.02699084500029,0.411642411642412,0.712056278806501,0.571072704807219,1336,"tags=25%, list=10%, signal=23%","57746/229003/52502","CC","old ID vs old CD","Up"
"GO:0005640","nuclear outer membrane",30,0.289460137313344,1.02570497613,0.405579399141631,0.712056278806501,0.571072704807219,833,"tags=13%, list=6%, signal=13%","212073/319565/233066/17001","CC","old ID vs old CD","Up"
