"direction","overlap_group","gene.id"
"Upregulated","Old ID vs old CD only","Slc43a3"
"Upregulated","Old ID vs old CD only","Spns2"
"Upregulated","Old ID vs old CD only","Ston1"
"Upregulated","Old ID vs old CD only","Susd1"
"Upregulated","Old ID vs old CD only","Syne2"
"Upregulated","Old ID vs old CD only","Syne3"
"Upregulated","Old ID vs old CD only","Tbc1d2b"
"Upregulated","Old ID vs old CD only","Tgfbi"
"Upregulated","Old ID vs old CD only","Tgfbr2"
"Upregulated","Old ID vs old CD only","Tgtp2"
"Upregulated","Old ID vs old CD only","Tlr8"
"Upregulated","Old ID vs old CD only","Tmeff2"
"Upregulated","Old ID vs old CD only","Tmem47"
"Upregulated","Old ID vs old CD only","Tmem67"
"Upregulated","Old ID vs old CD only","Tmpo"
"Upregulated","Old ID vs old CD only","Uhrf2"
"Upregulated","Old ID vs old CD only","Uvssa"
"Upregulated","Old ID vs old CD only","Vit"
"Upregulated","Old ID vs old CD only","Vwf"
"Upregulated","Old ID vs old CD only","Whsc1l1"
"Upregulated","Old ID vs old CD only","Zfp280c"
"Upregulated","Old ID vs old CD only","Zfp445"
"Upregulated","Old ID vs old CD only","Zfp53"
"Upregulated","Old ID vs old CD only","Zfp790"
"Upregulated","Old ID vs old CD only","mt-Rnr2"
"Upregulated","Shared","0610030E20Rik"
"Upregulated","Shared","1700109H08Rik"
"Upregulated","Shared","2410089E03Rik"
"Upregulated","Shared","4933439C10Rik"
"Upregulated","Shared","Abi3bp"
"Upregulated","Shared","Actc1"
"Upregulated","Shared","Adamts10"
"Upregulated","Shared","Akap8l"
"Upregulated","Shared","Anks1"
"Upregulated","Shared","Apol10b"
"Upregulated","Shared","Appl2"
"Upregulated","Shared","Asap2"
"Upregulated","Shared","B4galt1"
"Upregulated","Shared","Casp12"
"Upregulated","Shared","Cbx7"
"Upregulated","Shared","Ccdc149"
"Upregulated","Shared","Cdc14a"
"Upregulated","Shared","Cdk12"
"Upregulated","Shared","Cep152"
"Upregulated","Shared","Cep95"
"Upregulated","Shared","Cish"
