"","gene.id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","design"
"1","Gm20431",6.45910695465564,6.01641729111664,2.30868820537817,2.60598952994224,0.00916092618881445,0.996616347260771,"~diet"
"2","Ighv14-3",73.6600195131447,5.1756315283072,2.20933739855478,2.3426170813443,0.0191490248052635,0.996616347260771,"~diet"
"3","Gm21598",3.16912855026758,4.98714481156234,1.67021190215795,2.98593538048606,0.0028271237669936,0.996616347260771,"~diet"
"4","Ighv1-5",2.87592690087591,4.85072125903702,3.02048784457315,1.60593967221296,0.108287165712434,0.996616347260771,"~diet"
"5","Ighv5-12",2.41340338766825,4.59825366509947,2.40159956834675,1.91466292953446,0.0555355040741635,0.996616347260771,"~diet"
"6","Ighv1-82",26.8266464926977,4.5724085933241,2.09780642614088,2.17961416093833,0.0292860742200821,0.996616347260771,"~diet"
"7","Gm9923",2.05349143951778,4.35717177901915,1.57899615972658,2.75945685629383,0.00578975315054383,0.996616347260771,"~diet"
"8","1700007B14Rik",2.63770005158722,4.20262346898962,1.22131719907168,3.44105812329838,0.000579444047303313,0.996616347260771,"~diet"
"9","Gm20463",1.62081903803339,4.01997227128411,2.16115718433908,1.86010175493713,0.0628711309552251,0.996616347260771,"~diet"
"10","Apol11a",1.94546026783846,3.74370479884525,2.00122327197625,1.87070820695997,0.0613855366517488,0.996616347260771,"~diet"
"11","Gm12191",1.24836960010067,3.64198461550232,2.23033047340568,1.63293496588471,0.102482675222974,0.996616347260771,"~diet"
"12","A730046J19Rik",1.20636037652022,3.58784981818987,1.99442578761977,1.79893874239951,0.0720283712616511,0.996616347260771,"~diet"
"13","Olfm4",2.4777655153474,3.57164293645423,1.34932676560592,2.64698146327097,0.00812138046262131,0.996616347260771,"~diet"
"14","Gm10637",1.67994139795011,3.51688202776399,1.70876558565775,2.05814188750194,0.0395765150912299,0.996616347260771,"~diet"
"15","Smok4a",1.64519132169689,3.49583167802794,1.42859937236837,2.44703430901867,0.0144037127263956,0.996616347260771,"~diet"
"16","Pcdhb2",1.10975810152772,3.47036956871416,2.27397347852683,1.52612578883831,0.126978540660676,0.996616347260771,"~diet"
"17","Ighv1-34",1.09641593828363,3.4636952315209,2.73710746516406,1.26545825313925,0.205707104416248,0.996616347260771,"~diet"
"18","RP24-176F12.13",2.1680520390729,3.37580066010072,1.61702671797232,2.08765917259167,0.0368285901790427,0.996616347260771,"~diet"
"19","Nell2",1.01239568987367,3.35132292463541,1.68245551086601,1.99192365146724,0.0463794354845968,0.996616347260771,"~diet"
"20","Ear6",1.02012925124698,3.34958391932001,2.35643512472567,1.42146239638571,0.155182378035021,0.996616347260771,"~diet"
"21","4632411P08Rik",1.47356217048559,3.32917566459833,1.98270632122252,1.67910679910759,0.0931312313782095,0.996616347260771,"~diet"
"22","A530076I17Rik",0.995011553782186,3.31433402463584,1.69568592428754,1.95456834143881,0.0506340410745682,0.996616347260771,"~diet"
"23","Gm28719",0.958425609667135,3.26835010226206,1.74513442113248,1.87283573270024,0.0610910720125628,0.996616347260771,"~diet"
"24","Fmr1nb",0.941606658791324,3.24077190939642,2.83167738772969,1.14447073788823,0.252428466643063,0.996616347260771,"~diet"
"25","RP24-439O10.3",0.93345256252534,3.22335351441153,2.81407079913519,1.14544151319936,0.252026310094577,0.996616347260771,"~diet"
"26","Klk14",1.37286756214336,3.22085408111961,1.34660080403561,2.39184030743712,0.0167641346707867,0.996616347260771,"~diet"
"27","Clgn",0.925718658972164,3.21959580757783,2.34031063604048,1.37571301774921,0.168910500052862,0.996616347260771,"~diet"
"28","Spatc1l",1.34964119220314,3.20040747040988,1.61204303490246,1.9853114346935,0.0471098326196095,0.996616347260771,"~diet"
"29","Cdh10",1.90947496760159,3.17676281209292,1.25102957702807,2.53931871030547,0.011106859163409,0.996616347260771,"~diet"
"30","Gm21814",0.863658070338721,3.10886634746888,2.38701863461786,1.30240556247965,0.192777782074392,0.996616347260771,"~diet"
"31","Slfn14",1.76781850102629,3.04268585443984,1.64569130908277,1.84888006495926,0.0644751328461599,0.996616347260771,"~diet"
"32","Gm21182",1.21245510967397,3.02776036243777,2.00708639221001,1.50853514536755,0.131417618689977,0.996616347260771,"~diet"
"33","Igkv4-72",4.14515079459945,3.02296082254201,1.46207207083415,2.06758673723746,0.038678900283191,0.996616347260771,"~diet"
"34","Prg2",7.60726649986851,3.02134276364474,1.11056308759526,2.72055032027667,0.0065173351675472,0.996616347260771,"~diet"
"35","Btbd16",1.20947502574737,3.01416484822268,1.79310543817448,1.68097468450675,0.0927678318954376,0.996616347260771,"~diet"
"36","Npcd",0.808215137417617,3.01233237423651,2.90476148999515,1.03703260478076,0.299720662161776,0.996616347260771,"~diet"
"37","Slc24a4",0.798072977781373,3.00254179951175,2.89831314137024,1.03596183471474,0.300219948005127,0.996616347260771,"~diet"
"38","Dsc3",0.784545764510385,2.98105803628018,2.44777711856302,1.21786334779951,0.223275906495776,0.996616347260771,"~diet"
"39","Igkv6-20",71.8352137350763,2.96426390717195,1.23005118294823,2.40987037634246,0.0159581891667114,0.996616347260771,"~diet"
"40","Igkv5-39",25.8104468207697,2.95793551249976,1.61475018058012,1.83182237603905,0.0669778883889329,0.996616347260771,"~diet"
"41","Pisd-ps1",0.770349198228282,2.95660777679831,2.46210941924837,1.20084337181932,0.229811964077225,0.996616347260771,"~diet"
"42","Gfap",1.16594265718725,2.94929356509101,1.43845546702005,2.0503196885204,0.0403332445357438,0.996616347260771,"~diet"
"43","RP23-102K8.1",0.771031229202832,2.94679376272089,2.44627452242234,1.20460468999323,0.228355945312639,0.996616347260771,"~diet"
"44","Gm15710",1.1493783032198,2.94418913312154,1.72647936810626,1.70531382390683,0.088135910738503,0.996616347260771,"~diet"
"45","Igkv1-133",0.763068162575097,2.94113333276825,2.94664704012964,0.998128819880256,0.318216896696717,0.996616347260771,"~diet"
"46","Igkv1-110",33.2794970569641,2.9384481643252,1.24454137923685,2.36106907600537,0.0182223360552343,0.996616347260771,"~diet"
"47","A430093F15Rik",1.1291179990095,2.91913941062351,1.52618505038288,1.9127034496185,0.0557860273330934,0.996616347260771,"~diet"
"48","Itgb2l",3.13768733070183,2.90737523753992,1.56097628391441,1.8625364571518,0.0625275115780577,0.996616347260771,"~diet"
"49","Gm5535",1.10890046929486,2.9024934551928,1.58669997805933,1.82926419318591,0.0673600399904208,0.996616347260771,"~diet"
"50","Ak7",0.74485300692402,2.90163555462165,2.47376269218522,1.17296439298244,0.240810084948405,0.996616347260771,"~diet"
"51","Samd7",1.12021880378232,2.9013329940904,2.43799929802105,1.1900466896957,0.234028041591429,0.996616347260771,"~diet"
"52","Igkv12-89",0.744761989114332,2.90080910186543,2.96431305655595,0.978577176742493,0.327788940867141,0.996616347260771,"~diet"
"53","Atp6v1c2",1.59476877985084,2.8951040565035,1.28164983297719,2.25888849045325,0.0238903221183109,0.996616347260771,"~diet"
"54","Slitrk1",3.02859129143577,2.8941687985218,1.05966821972002,2.73120279032854,0.00631036293802043,0.996616347260771,"~diet"
"55","Shcbp1l",0.739210090311962,2.89149973696774,2.46103206708528,1.17491347457016,0.240029334198196,0.996616347260771,"~diet"
"56","Igkv4-57-1",1.57450415295064,2.87191970335672,1.9678955015577,1.45938628401937,0.14445881896214,0.996616347260771,"~diet"
"57","Gm19585",1.56555133576752,2.87007678032563,1.52344668879553,1.88393647210246,0.0595735690854462,0.996616347260771,"~diet"
"58","Mettl7a2",1.10248712845036,2.86959774469019,2.37312827952987,1.20920464748693,0.226584232670543,0.996616347260771,"~diet"
