"ontology","ID","Description","direction","age_NES","age_p.adjust","age_setSize","diet_NES","diet_p.adjust","diet_setSize","direction_label","best_p.adjust","worst_p.adjust"
"BP","GO:0140053","mitochondrial gene expression","Down",-1.42447260847222,0.0734531737846324,162,-2.05126303933154,7.72661001821905e-05,162,"Down in young CD and old ID",7.72661001821905e-05,0.0734531737846324
"BP","GO:0034447","very-low-density lipoprotein particle clearance","Down",-1.62510301380404,0.073609115129482,10,-1.84711872492042,0.0315904371209974,10,"Down in young CD and old ID",0.0315904371209974,0.073609115129482
"BP","GO:0170033","L-amino acid metabolic process","Down",-1.43969170516638,0.0739898971214924,149,-1.68246500844506,0.0152862098225298,152,"Down in young CD and old ID",0.0152862098225298,0.0739898971214924
"BP","GO:0009205","purine ribonucleoside triphosphate metabolic process","Down",-1.37960935529655,0.0740725282963562,231,-1.52671955720462,0.0215400646180056,233,"Down in young CD and old ID",0.0215400646180056,0.0740725282963562
"BP","GO:0006754","ATP biosynthetic process","Down",-1.50105442673385,0.075497784874286,77,-1.80596851272417,0.0145838163007373,78,"Down in young CD and old ID",0.0145838163007373,0.075497784874286
"BP","GO:1902600","proton transmembrane transport","Down",-1.59371057532472,0.019982585099679,109,-1.52068840144104,0.0763916827572294,108,"Down in young CD and old ID",0.019982585099679,0.0763916827572294
"BP","GO:0046034","ATP metabolic process","Down",-1.33776541788008,0.073609115129482,211,-1.43475482463742,0.0765745650489965,212,"Down in young CD and old ID",0.073609115129482,0.0765745650489965
"BP","GO:2001234","negative regulation of apoptotic signaling pathway","Down",-1.37113580060255,0.0773213096078764,221,-1.50949358453264,0.0348917043796372,223,"Down in young CD and old ID",0.0348917043796372,0.0773213096078764
"BP","GO:0044872","lipoprotein localization","Down",-1.62081058948266,0.0780108418979712,23,-1.76836015807147,0.0748125566248283,23,"Down in young CD and old ID",0.0748125566248283,0.0780108418979712
"BP","GO:0009410","response to xenobiotic stimulus","Down",-1.76765249091774,2.91930156459029e-05,349,-1.39889289375051,0.0800317024543703,367,"Down in young CD and old ID",2.91930156459029e-05,0.0800317024543703
"BP","GO:0045047","protein targeting to ER","Down",-1.58568610787641,0.0807951220778988,34,-1.81284177805135,0.0472123463519529,34,"Down in young CD and old ID",0.0472123463519529,0.0807951220778988
"BP","GO:0009141","nucleoside triphosphate metabolic process","Down",-1.32503562372365,0.0799772250952442,252,-1.38570704345902,0.0815747254795458,255,"Down in young CD and old ID",0.0799772250952442,0.0815747254795458
"BP","GO:0036258","multivesicular body assembly","Down",-1.63933141617689,0.0823735242178784,17,-1.84356628771953,0.0311641537512282,17,"Down in young CD and old ID",0.0311641537512282,0.0823735242178784
"BP","GO:0019216","regulation of lipid metabolic process","Down",-1.3646597200072,0.052205166844439,317,-1.36684688885109,0.0866057475983065,318,"Down in young CD and old ID",0.052205166844439,0.0866057475983065
"BP","GO:0055092","sterol homeostasis","Down",-1.55967458382082,0.0676726641768597,83,-1.52703397355346,0.0871752877332542,85,"Down in young CD and old ID",0.0676726641768597,0.0871752877332542
"BP","GO:0000966","RNA 5'-end processing","Down",-1.6442522954975,0.0750137217272325,24,-1.70027002513939,0.088030744376616,24,"Down in young CD and old ID",0.0750137217272325,0.088030744376616
