"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ontology","comparison","direction"
"GO:0048260","positive regulation of receptor-mediated endocytosis",56,0.204476340344421,0.821503398489322,0.76304347826087,0.89777237762679,0.765495312308609,1654,"tags=16%, list=12%, signal=14%","12121/18787/18829/234779/12266/13132/20339/104015/12402","BP","old ID vs old CD","Up"
"GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",42,-0.215056397521676,-0.818249098951612,0.764388489208633,0.89777237762679,0.765495312308609,1823,"tags=50%, list=13%, signal=44%","60365/52830/68092/319618/15384/19826/75420/225363/14853/71997/69865/226517/108767/269037/66441/56403/381305/68134/326622/433702/50912","BP","old ID vs old CD","Down"
"GO:0001736","establishment of planar polarity",29,0.233564519051232,0.816543701958306,0.764192139737991,0.89777237762679,0.765495312308609,815,"tags=17%, list=6%, signal=16%","20319/93840/56079/20377/329628","BP","old ID vs old CD","Up"
"GO:0031112","positive regulation of microtubule polymerization or depolymerization",35,0.221511408879226,0.813652182979276,0.763919821826281,0.89777237762679,0.765495312308609,3591,"tags=34%, list=26%, signal=25%","14159/18479/15511/17257/101706/14544/12391/27050/20877/56327/260315/12576","BP","old ID vs old CD","Up"
"GO:0002828","regulation of type 2 immune response",25,0.240214667009102,0.810391236484289,0.762863534675615,0.89777237762679,0.765495312308609,2995,"tags=36%, list=22%, signal=28%","77125/16149/12772/16190/56708/13601/58185/16362/57765","BP","old ID vs old CD","Up"
"GO:0060122","inner ear receptor cell stereocilium organization",36,-0.222430162392564,-0.806174636992898,0.763500931098696,0.89777237762679,0.765495312308609,1286,"tags=42%, list=9%, signal=38%","224796/73750/97031/15205/55978/18419/70615/15213/99683/67042/102502/21683/20971/76260/22095","BP","old ID vs old CD","Down"
"GO:0060045","positive regulation of cardiac muscle cell proliferation",27,-0.234672400736847,-0.80429519483694,0.76386404293381,0.89777237762679,0.765495312308609,1237,"tags=19%, list=9%, signal=17%","22413/14173/18712/12166/17260","BP","old ID vs old CD","Down"
"GO:0086013","membrane repolarization during cardiac muscle cell action potential",13,-0.285736783850563,-0.782244741740573,0.762962962962963,0.89777237762679,0.765495312308609,4141,"tags=38%, list=30%, signal=27%","16518/16523/56543/13383/16511","BP","old ID vs old CD","Down"
"GO:0050891","multicellular organismal-level water homeostasis",18,0.255911081257645,0.776420917695119,0.763513513513513,0.89777237762679,0.765495312308609,1213,"tags=17%, list=9%, signal=15%","15117/219181/14042","BP","old ID vs old CD","Up"
"GO:0070166","enamel mineralization",15,-0.270817452379836,-0.771497281014627,0.764378478664193,0.89777237762679,0.765495312308609,245,"tags=33%, list=2%, signal=33%","20866/20535/94220/80752/16420","BP","old ID vs old CD","Down"
"GO:0061436","establishment of skin barrier",26,-0.237606719588583,-0.804794851522121,0.764918625678119,0.897959563811732,0.765654918630516,3989,"tags=31%, list=29%, signal=22%","11684/22234/74591/16173/22061/55948/16600/54135","BP","old ID vs old CD","Down"
"GO:0002328","pro-B cell differentiation",12,0.284651749729857,0.77645556198667,0.765072765072765,0.897959563811732,0.765654918630516,101,"tags=8%, list=1%, signal=8%","18128","BP","old ID vs old CD","Up"
