"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",154,0.329557433896123,1.11680304997131,0.25,0.403225806451613,0.288624787775891,922,"tags=31%, list=27%, signal=24%","Asf1b/Bub1b/Cenpe/Top2a/Mki67/Hells/Wdr90/Mcm5/Lmnb1/Prim2/Racgap1/Hmgb2/Cdc25b/Mad2l1/Suv39h1/Tmpo/Brca2/Pan2/Dnmt1/Gins3/Stmn1/Pnn/Rrm2/Nup107/Rpa3/Tubb5/Trp53/Msh2/Hmmr/Shmt1/Ezh2/Lig1/Timeless/Tacc3/Wee1/Mcm2/Prdx4/Mcm6/Smc1a/Smc4/Prkdc/Xpo1/Ppm1d/Mlh1/Luc7l3/Donson/Nasp/Nup205"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS",67,-0.337984770391401,-1.1120829191748,0.259259259259259,0.405092592592593,0.289961013645224,435,"tags=30%, list=13%, signal=27%","Pmvk/Cyp51/Nsdhl/Stard4/Dhcr7/Mvk/Fdps/Atf5/Sc5d/Fads2/Ethe1/Gnai1/Hmgcs1/Tm7sf2/S100a11/Lgals3/Trib3/Alcam/Gldc/Mal2"
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",170,-0.273546993986289,-1.04953934933896,0.333333333333333,0.505050505050505,0.361509835194046,424,"tags=19%, list=13%, signal=18%","Polr3k/Gmppb/Nsdhl/Pmm2/Aurka/Hax1/Hs6st2/Gpc1/Rragd/P4ha2/Ugp2/Rpe/Gpc4/Vldlr/Tgfa/Glrx/Gmppa/Slc37a4/Irs2/Hspa5/Me2/Ang/Qsox1/Hk2/Kif20a/B3galt6/Pkp2/Elf3/Sox9/Angptl4/Slc25a13/Dsc2/Aldob"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",182,-0.265292987900834,-1.01997706847095,0.379746835443038,0.558451228592703,0.399733510992672,787,"tags=36%, list=23%, signal=29%","Ddit3/Edem1/P4ha1/Gsr/Rit1/Gbe1/Sqstm1/Psmc4/Psmd14/Hmgcr/Pdap1/Psmb5/Gga2/Eef1e1/Idi1/Rdh11/Ifrd1/Xbp1/Cacybp/Atp6v1d/Psmd13/Asns/Uso1/Gla/Arpc5l/Sec11a/Canx/Uchl5/Gmps/Cyp51/Cyb5b/Aurka/Pno1/Nufip1/Stard4/Dhcr7/Rpn1/Ufm1/Mllt11/Ykt6/Eif2s2/Phgdh/Psma4/Sc5d/Mthfd2/Fads2/Vldlr/Fkbp2/Glrx/Fdxr/Hmgcs1/Slc37a4/Tm7sf2/Psph/Hspa5/Hk2/Dapp1/Ppp1r15a/Pik3r3/Psat1/Cdkn1a/Slc1a4/Trib3/Btg2/Dhcr24"
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING",53,-0.313537935688447,-0.997845070278996,0.439169139465875,0.62738448495125,0.449075210280895,539,"tags=26%, list=16%, signal=23%","Bmpr1a/Thbs1/Cdh1/Smad6/Tgif1/Map3k7/Id1/Slc20a1/Id3/Bcar3/Ppp1r15a/Nog/Klf10/Junb"
"HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS",31,0.374711122650029,0.990227845916825,0.48811410459588,0.677936256383166,0.48525963614795,759,"tags=45%, list=22%, signal=35%","Postn/Spp1/Timp1/Pf4/Vcan/Stc1/Fgfr1/Col3a1/Col5a2/Jag1/Lum/Slco2a1/Vegfa/Fstl1"
"HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS",61,0.299556170700044,0.89466434480302,0.640117994100295,0.84226051855302,0.602881213280056,478,"tags=13%, list=14%, signal=11%","Elovl3/Slc2a5/Acrbp/Ace/Spata6/Pacrg/Coil/Mlf1"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING",35,0.323405916959336,0.883593373949042,0.636225266362253,0.84226051855302,0.602881213280056,845,"tags=34%, list=25%, signal=26%","Tcf7/Notch1/Ppard/Dvl2/Notch4/Ptch1/Jag1/Trp53/Rbpj/Kat2a/Wnt5b/Frat1"
"HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM",159,-0.227160638981506,-0.856534096273278,0.816666666666667,0.997782705099778,0.714202357334578,722,"tags=28%, list=21%, signal=23%","Ubac1/Kat2b/Abcb6/Riok3/Dcaf11/Cast/Slc6a9/Nfe2l1/Tspan5/Dcun1d1/Dcaf10/Optn/Slc25a38/Endod1/Asns/Slc30a1/Atp6v0a1/Acsl6/H1f0/Eif2ak1/Tmem9b/Gmps/Cir1/Ranbp10/Mfhas1/Mgst3/Cdr2/P4ha2/Arl2bp/Atg4a/Psmd9/Ypel5/E2f2/Agpat4/Xk/Blvra/Htatip2/Slc22a4/Slc10a3/Nudt4/Lpin2/Btg2/Hebp1/Nnt/Car1"
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",137,0.246396196293852,0.827727283785544,0.817089452603471,0.997782705099778,0.714202357334578,453,"tags=15%, list=13%, signal=13%","Plcb2/Cd14/Tnfsf10/Top2a/Isg20/Timp1/Tap1/Bgn/Mmp2/Dcn/Atf3/Gpx3/Pak1/Casp3/Igfbp6/Hmgb2/Cdc25b/Timp2/Plat/F2r"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",132,0.247642121834765,0.826524025588564,0.818181818181818,0.997782705099778,0.714202357334578,707,"tags=25%, list=21%, signal=21%","Col11a1/Serpine1/Itgb3/Gja1/Gcnt1/Col1a2/Ptgfr/Tgfbr2/Slc22a18/Lpar1/Dab2/Kit/Pik3cd/Col1a1/Notch2/Col3a1/Slc7a1/Col5a2/Fyn/Fhl2/Nfkb1/Sdc2/Tgfbr3/Tjp1/Ltbp1/Cited2/Atp2b4/Pdgfrb/Pmp22/Igf1r/Pparg/Akt3/Lamc1"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING",94,-0.220441333053364,-0.772829215772479,0.896551724137931,1,0.715789473684211,933,"tags=38%, list=28%, signal=29%","Mapk9/Gsk3b/Raf1/Actr2/Prkar2a/Arf1/Pla2g12a/Mknk2/Ddit3/Rit1/Pak4/Sqstm1/Atf1/Fgf6/Akt1s1/Ube2n/Cab39l/Arpc3/Them4/Mapkap1/Prkaa2/Ywhab/Cdk2/Traf2/Nck1/Irak4/Dusp3/Mapk8/Map3k7/Cab39/Plcb1/Dapp1/Pik3r3/Cdkn1a/Trib3/Sfn"
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",192,0.214088877818394,0.739237864632249,0.960835509138381,1,0.715789473684211,581,"tags=15%, list=17%, signal=13%","Cidea/Ltc4s/Elovl6/Slc25a1/Omd/Acly/C3/Adig/Tkt/Slc27a1/Sowahc/Pfkl/Ucp2/Cox6a1/Gpx3/Pfkfb3/Uck1/Ddt/Lama4/Mrap/Scarb1/Cyp4b1/Enpp2/Slc19a1/Dgat1/Sorbs1/Rmdn3/Abca1"
"HALLMARK_NOTCH_SIGNALING","HALLMARK_NOTCH_SIGNALING",29,-0.256464321534265,-0.726515136319898,0.858288770053476,1,0.715789473684211,507,"tags=24%, list=15%, signal=21%","Psen2/Hes1/Tcf7l2/St3gal6/Fzd5/Wnt5a/Dtx4"
"HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PANCREAS_BETA_CELLS",13,-0.2630871620502,-0.616980430816428,0.894878706199461,1,0.715789473684211,757,"tags=38%, list=22%, signal=30%","Abcc8/Srprb/Sec11a/Spcs1/Gck"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",103,-0.168788574067223,-0.602256899181295,1,1,0.715789473684211,1076,"tags=43%, list=32%, signal=30%","Nolc1/Sdad1/Xpot/Eif4a1/Hsp90b1/Eif4g1/Cnot6/Paip1/Kif5b/Banf1/Nfyb/Tatdn2/Nabp1/Pdia6/Dnajb9/Cks1b/Imp3/Nhp2/Slc30a5/Hyou1/Pop4/Edem1/Lsm4/Yif1a/Lsm1/Srprb/Bag3/Dnajc3/Tubb2a/Xbp1/Cebpg/Asns/Herpud1/Sec11a/Gosr2/Spcs1/Wipi1/Exosc10/Wfs1/Exosc9/Mthfd2/Hspa5/Psat1/Slc1a4"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",45,0.212482675495698,0.598385612690168,0.966514459665145,1,0.715789473684211,637,"tags=18%, list=19%, signal=15%","Ipcef1/Fes/Mbp/Gpx3/Pfkp/G6pdx/Scaf4/Sbno2"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",55,0.175491293183528,0.515168951931332,0.994074074074074,1,0.715789473684211,1134,"tags=35%, list=33%, signal=23%","Mcm5/Map3k6/Slc29a2/Slc19a1/Srm/Npm1/Nop2/Nop16/Rcl1/Mybbp1a/Supv3l1/Exosc5/Ipo4/Las1l/Pa2g4/Gnl3/Imp4/Mphosph10/Rrp9"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",136,0.141941628094769,0.476865354685948,1,1,0.715789473684211,803,"tags=17%, list=24%, signal=13%","Hcls1/Usp11/Brf2/Zfp707/Pola1/Cmpk2/Tyms/Snapc4/Tk2/Polr1c/Ddb2/Impdh2/Nelfe/Rpa3/Rad52/Pde4b/Trp53/Rev3l/Lig1/Eif1b/Aaas/Dguok/Bcam"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",185,0.117928237795402,0.406279766945719,1,1,0.715789473684211,5,"tags=1%, list=0%, signal=1%","Gm10705"
