Tissue_cell_type_name	Developmental_stage	Organ_system	Tissue	Specific_cell_type	General_cell_type	Cell_Ontology_ID	General_tissue_name	Uber_anatomy_ontology_ID	input_list_raw_p	input_list_permutated_p	input_list_rank_p	input_list_combined_p	input_list_combined_log10p	delabel
FetalStomach_Fetal neuron	Fetal	Digestive system	FetalStomach	Fetal neuron	Neuron	CL:0000540	Stomach	UBERON:0000945	0.999999623007233	0.793527700422466	0.828782287822878	0.933264447455056	0.0299952782284008	NA
AdultOmentum_Dendritic cell	Adult	Integumentary system	AdultOmentum	Dendritic cell	Dendritic cell	CL:0000451	Omentum	UBERON:0003688	0.99999963062217	0.79315716242808	0.829520295202952	0.933380997729503	0.0299410449606391	NA
Madissoon_2020_lung_Macrophage_MARCOpos	Adult	Respiratory system	Madissoon_2020_lung	Macrophage_MARCOpos	Macrophage	CL:0000235	Lung	UBERON:0002048	0.999999178962383	0.806455359337722	0.817712177121771	0.934010750654648	0.029648124922883	NA
TS_Bladder_mast cell	Adult	Urinary system	TS_Bladder	mast cell	Mast cell	CL:0000097	Bladder organ	UBERON:0018707	0.999998663697115	0.809131467074957	0.81549815498155	0.934175860775553	0.0295713591285417	NA
CordBlood_CB CD34+	Neonatal	Reproductive system	CordBlood	CB CD34+	Hematopoietic stem cell	CL:0000037	Umbilical cord blood	UBERON:0012168	0.99999996187072	0.765860863508286	0.861623616236162	0.934191902696207	0.0295639013702186	NA
CordBlood_Dendritic cell	Neonatal	Reproductive system	CordBlood	Dendritic cell	Dendritic cell	CL:0000451	Umbilical cord blood	UBERON:0012168	0.99999996187072	0.765860863508286	0.861623616236162	0.934191902696207	0.0295639013702186	NA
AdultKidney_Macrophage	Adult	Urinary system	AdultKidney	Macrophage	Macrophage	CL:0000235	Kidney	UBERON:0002113	0.999999605617745	0.798180010796428	0.827306273062731	0.934381102639841	0.0294759535174531	NA
Fetal_HCA_Intestine_Intestinal epithelial cells	Fetal	Digestive system	Fetal_HCA_Intestine	Intestinal epithelial cells	Epithelial cell	CL:0000066	Intestine	UBERON:0000160	0.999999585789879	0.799991529880094	0.825830258302583	0.934512947542154	0.0294146771560338	NA
van_Zyl_eye_2020_CornealEpi	Adult	Sensory system	van_Zyl_eye_2020	CornealEpi	Epithelial cell	CL:0000066	Eye	UBERON:0000970	0.999999435724405	0.803491055382632	0.822878228782288	0.934727501024543	0.0293149795553797	NA
Fetal_HCA_Stomach_Goblet cells	Fetal	Digestive system	Fetal_HCA_Stomach	Goblet cells	Goblet cell	CL:0000160	Stomach	UBERON:0000945	0.999999848003571	0.783852541680156	0.843542435424354	0.934743050452116	0.0293077550173023	NA
