metabolite_tissue,metabolite,hormone,correlation_direction,pearson_r,pearson_p_value,pearson_p_adj_bh,n,n_outlier_removed,removed_samples,n_old_cd,n_old_id,clustering_category,old_diet_metabolite_cohens_d,old_diet_hormone_cohens_d,mean_metabolite_abundance__Old CD,mean_metabolite_abundance__Old ID,mean_metabolite_abundance__Young CD,mean_hormone_abundance__Old CD,mean_hormone_abundance__Old ID,mean_hormone_abundance__Young CD
Muscle,Tiformin,GLP-1,negative,-0.6892464196269373,0.013155950186458333,0.7718346777285694,12,1,2M33,3,4,CD groups cluster; Old ID separate,-1.235174344763184,0.7707687524700032,3771987.3108775904,1009751.5322905427,4944690.721175294,148.54000000000002,228.4175,113.734
Muscle,Octyl hydrogen phthalate,GLP-1,negative,-0.6867911219609589,0.013620716841132297,0.7718346777285694,12,1,2M33,3,4,CD groups cluster; Old ID separate,-1.3648982831059606,0.7707687524700032,8477647.439304397,5552490.48857084,8900318.257569486,148.54000000000002,228.4175,113.734
Liver,Gly-Leu,GLP-1,positive,0.6866088786524803,0.013655690830420602,0.7718346777285694,12,1,2M33,3,4,CD groups cluster; Old ID separate,1.5251573084381622,0.7707687524700032,1619418.7402574525,2645694.02783701,1097320.9562408319,148.54000000000002,228.4175,113.734
Liver,Citronellyl propionate,GIP,negative,-0.7070588723986035,0.014966225234486593,0.7718346777285694,11,1,2M26,3,3,CD groups cluster; Old ID separate,1.4392787234467195,-0.4510528398139309,231246.56082143134,440151.26954201603,186032.0052022594,293.11333333333334,169.99333333333334,648.106
Liver,Glycylglutamine,GLP-1,positive,0.6753105672299184,0.015956442178328395,0.7718346777285694,12,1,2M33,3,4,CD groups cluster; Old ID separate,1.7077143596094486,0.7707687524700032,509508.489406477,866869.6762880435,291160.9696354164,148.54000000000002,228.4175,113.734
Liver,"5-(2-Thienyl)-3,4,7,7a-tetrahydrocyclopenta[b]pyran-6(2H)-one",GIP,positive,0.6737759540791374,0.01628960809866506,0.7718346777285694,12,0,,3,4,CD groups cluster; Old ID separate,-2.0710290939030562,-0.44889601269907653,2247833.0525270565,1555564.1263658176,2499730.264354412,293.11333333333334,183.1375,648.106
Liver,"3-Methoxyestra-1,3,5(10),16-tetraene",GIP,positive,0.6716756889989134,0.016753829678093354,0.7718346777285694,12,0,,3,4,CD groups cluster; Old ID separate,-2.2733725360047723,-0.44889601269907653,947869.359954016,811339.1111401818,974609.5493742976,293.11333333333334,183.1375,648.106
Liver,Tepilamide fumarate,GLP-1,negative,-0.668119848074932,0.017561825629775176,0.7718346777285694,12,1,2M33,3,4,CD groups cluster; Old ID separate,-1.5328312689326515,0.7707687524700032,203831.52502922734,144809.1914812125,215183.1364797988,148.54000000000002,228.4175,113.734
Liver,Diacetyl,GIP,positive,0.6643015761730238,0.01846089060642524,0.7718346777285694,12,0,,3,4,CD groups cluster; Old ID separate,-1.6740227790898063,-0.44889601269907653,18877252.7878324,14676058.014918325,19104364.32001044,293.11333333333334,183.1375,648.106
Liver,L-Gulonolactone,GIP,positive,0.6636183649769328,0.018625248877229935,0.7718346777285694,12,0,,3,4,CD groups cluster; Old ID separate,-1.3648007277083047,-0.44889601269907653,7606536.639668417,6212285.099965442,7772128.368460992,293.11333333333334,183.1375,648.106
Liver,Phosphocreatinine,GLP-1,positive,0.6868139788074938,0.01956784458313627,0.7750983613242952,11,2,2M22;2M33,3,3,CD groups cluster; Old ID separate,2.2424173875793407,1.2550142910591473,744353.3878687713,1174688.861805509,645115.9672873825,148.54000000000002,267.13,113.734
Liver,Adenosine,GLP-1,negative,-0.6596494766032159,0.019601301051285644,0.7750983613242952,12,1,2M33,3,4,CD groups cluster; Old ID separate,-1.5777164604788974,0.7707687524700032,109119734.78985916,69970527.13075484,90492128.9607517,148.54000000000002,228.4175,113.734
Liver,acetyltaurine,GIP,positive,0.6567159284615938,0.020346388678721388,0.7816147382241978,12,0,,3,4,CD groups cluster; Old ID separate,-1.8741229141052527,-0.44889601269907653,1266050.4598804542,708264.9548512305,1363702.514142778,293.11333333333334,183.1375,648.106
Liver,PC(18:1(9Z)/15:0),GLP-1,positive,0.6555678720992354,0.020643536255832824,0.7830547388068597,12,1,2M33,3,4,CD groups cluster; Old ID separate,1.7666887592317608,0.7707687524700032,1374207.2352341292,4404174.10953552,2112303.476310985,148.54000000000002,228.4175,113.734
Liver,1-O-{[1-Methyl-5-(4-methylbenzoyl)-1H-pyrrol-2-yl]acetyl}-β-D-glucopyranuronic acid,GLP-1,positive,0.6532314081620829,0.021258037755907577,0.7876744772888639,12,1,2M33,3,4,CD groups cluster; Old ID separate,2.142110047427555,0.7707687524700032,38550.575400151196,84050.36748597883,37598.886945482176,148.54000000000002,228.4175,113.734
Liver,arg-gln,GLP-1,positive,0.6499153521654749,0.022152925843653106,0.7876744772888639,12,1,2M33,3,4,CD groups cluster; Old ID separate,2.013640428565973,0.7707687524700032,394661.0441490003,798013.4703587717,254250.94959036278,148.54000000000002,228.4175,113.734
Muscle,Muscimol,GLP-1,positive,0.6492922195160327,0.022324099772661907,0.7885430256255713,12,1,2M33,3,4,CD groups cluster; Old ID separate,1.3749881630357301,0.7707687524700032,63335.077311283196,157125.51923272188,39014.12622144512,148.54000000000002,228.4175,113.734
Liver,Allose,GIP,positive,0.6475375576708332,0.0228112743439442,0.7930738014113843,12,0,,3,4,CD groups cluster; Old ID separate,-1.77986994773129,-0.44889601269907653,152137429.55940267,116891083.99002993,152297486.5408614,293.11333333333334,183.1375,648.106
Muscle,6-Phosphonoglucono-D-lactone,GLP-1,positive,0.6459381042732462,0.023262050214301597,0.7938359097329524,12,1,2M33,3,4,CD groups cluster; Old ID separate,1.0789819989672076,0.7707687524700032,28286.173990064497,101267.09728778625,50887.50199562299,148.54000000000002,228.4175,113.734
Liver,lifarizine,GLP-1,positive,0.6725492150743491,0.023363400049909118,0.7938359097329524,11,2,2M22;2M33,3,3,CD groups cluster; Old ID separate,2.9430974944874078,1.2550142910591473,1122619.7983759907,5532357.07983939,1361774.661938119,148.54000000000002,267.13,113.734
Liver,Heptaethylene glycol,GLP-1,negative,-0.7017369924857253,0.02370591008455512,0.796407168189471,10,3,2M22;2M33;4M1,3,3,CD groups cluster; Old ID separate,-0.3543080132989547,1.2550142910591473,636525.0867036156,556701.9184499846,687863.8002983353,148.54000000000002,267.13,104.2825
Liver,"5,6-Dihydrouridine",GLP-1,negative,-0.643571438017755,0.023940878255193948,0.796407168189471,12,1,2M33,3,4,CD groups cluster; Old ID separate,-1.7115506227930466,0.7707687524700032,157680997.12715468,114803151.63803264,196267517.8043806,148.54000000000002,228.4175,113.734
Liver,"5-(2-Thienyl)-3,4,7,7a-tetrahydrocyclopenta[b]pyran-6(2H)-one",GLP-1,negative,-0.641482200552402,0.024551982906802782,0.8001162917927692,12,1,2M33,3,4,CD groups cluster; Old ID separate,-1.1893265859541813,0.7707687524700032,2247833.0525270565,1692342.5501303575,2499730.264354412,148.54000000000002,228.4175,113.734
Liver,Bibenzyl,GIP,positive,0.6402183179169169,0.02492711706307107,0.802990002341614,12,0,,3,4,CD groups cluster; Old ID separate,-1.3418051111776208,-0.44889601269907653,1166748.2475492693,850362.6473586683,1234423.481348352,293.11333333333334,183.1375,648.106
Liver,2-Hydroxyethanesulfonate,GIP,positive,0.6369162953887735,0.02592678517508105,0.802990002341614,12,0,,3,4,CD groups cluster; Old ID separate,-2.3345239711441668,-0.44889601269907653,85624130.72334526,42802461.2375743,111801815.06092077,293.11333333333334,183.1375,648.106
Muscle,cuscohygrine,Secretin,positive,0.6366449527884319,0.02601020255693447,0.802990002341614,12,0,,3,4,CD groups cluster; Old ID separate,-1.3778260523904429,-0.34464222725767063,2014291.3255787534,1352333.4151793525,1613997.67194375,39.31666666666667,32.71,40.77
Liver,Glutaric acid,GIP,positive,0.6355958129089807,0.026334562145208875,0.802990002341614,12,0,,3,4,CD groups cluster; Old ID separate,-1.8951810903144892,-0.44889601269907653,9730788.222802168,7333959.24943873,9224035.621520845,293.11333333333334,183.1375,648.106
Liver,N-Methyl-D-aspartic acid,GLP-1,negative,-0.6351558283566984,0.026471458002232814,0.802990002341614,12,1,2M33,3,4,CD groups cluster; Old ID separate,-1.663045803900153,0.7707687524700032,5616624.8236347865,3711675.70644206,4932164.506610902,148.54000000000002,228.4175,113.734
