"tissue","raw.file","source","sequence.id","sample","sample.id","ion.mode","name","formula","mz","rt","ion.count","val.ic","med.val","val.adj.ic","med.adj.ic"
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide","C11H16N2O5",255.10022,2.328,2576810.48190734,841154,907295.31,2779429.28999133,3333845.16108723
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","1-Hydroxyepiacorone","C15H24O3",251.16515,2.501,270443.280495046,841154,907295.31,291708.676430439,349896.132586202
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","1-Methylinosine","C11H14N4O5",281.08879,6.45,430405.926877533,841154,907295.31,464249.446417884,556853.803063475
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","1-Octen-3-yl glucoside","C14H26O6",289.16538,2.838,20883.5474747478,841154,907295.31,22525.6548503616,27018.8724331365
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","1-Phenyl-1,3-eicosanedione","C26H42O2",385.31096,2.202,131320.760609327,841154,907295.31,141646.726053107,169901.157024028
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","10-Hydroxy-2-decenoic acid","C10H18O3",185.11824,2.435,207135.501818051,841154,907295.31,223422.903931996,267989.320624906
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","10-Hydroxydecanoic acid","C10H20O3",187.13386,2.392,322851.669451123,841154,907295.31,348238.022429513,417701.450496997
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","10Z-Heptadecenoic acid","C17H32O2",267.23273,2.245,55409780.2433683,841154,907295.31,59766741.5751916,71688480.4056393
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","10Z-Nonadecenoic acid","C19H36O2",295.26366,2.206,6966099.99655525,841154,907295.31,7513855.79319078,9012653.01745254
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","10Z-Pentadecenoic acid","C15H28O2",239.2016,2.295,2737537.97765746,841154,907295.31,2952795.0506988,3541792.38410675
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","11(R)-HETE","C20H32O3",319.22799,2.171,6454854.51278018,841154,907295.31,6962410.24375773,8351210.00711923
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","11Z-Eicosenoic acid","C20H38O2",309.27951,2.195,37574933.8653813,841154,907295.31,40529512.1578458,48613979.3069108
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","12-Hydroxydodecanoic acid","C12H24O3",215.16512,2.452,349891.557371025,841154,907295.31,377404.100808326,452685.319171491
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","12S-HHT","C17H28O3",279.1968,2.464,155022.269629277,841154,907295.31,167211.923357909,200565.872846721
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","13-HODE","C18H32O3",295.22765,2.213,35932481.2849766,841154,907295.31,38757910.8540434,46488994.7083367
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","13-L-Hydroperoxylinoleic acid","C18H32O4",311.22252,2.336,4797457.46118556,841154,907295.31,5174689.36063808,6206890.43870105
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","13-OxoODE","C18H30O3",293.21216,2.394,8554138.85525101,841154,907295.31,9226764.73565841,11067237.8236904
