"tissue","raw.file","source","sequence.id","sample","ion.mode","name","formula","mz","rt","ion.count"
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","10-Hydroxy-2-decenoic acid","C10H18O3",185.11824,2.435,207135.501818051
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","10-Hydroxydecanoic acid","C10H20O3",187.13386,2.392,322851.669451123
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","10Z-Heptadecenoic acid","C17H32O2",267.23273,2.245,55409780.2433683
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","10Z-Nonadecenoic acid","C19H36O2",295.26366,2.206,6966099.99655525
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","10Z-Pentadecenoic acid","C15H28O2",239.2016,2.295,2737537.97765746
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","11(R)-HETE","C20H32O3",319.22799,2.171,6454854.51278018
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","11Z-Eicosenoic acid","C20H38O2",309.27951,2.195,37574933.8653813
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","12-Hydroxydodecanoic acid","C12H24O3",215.16512,2.452,349891.557371025
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","12S-HHT","C17H28O3",279.1968,2.464,155022.269629277
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","13-HODE","C18H32O3",295.22765,2.213,35932481.2849766
