"gene.id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","design","comparison"
"Dus3l",335.098229772986,0.291244358015151,0.11983565761964,2.43036474952693,0.0150836345176874,0.999946780809711,"~cohort + diet","old ID vs CD"
"Pi16",455.276026159362,0.36833630008554,0.152761906793375,2.41117898969243,0.0159010426915716,0.999946780809711,"~cohort + diet","old ID vs CD"
"Dffa",1722.32595460509,-0.17289496334798,0.0717547028544674,-2.40952796778553,0.0159731717476552,0.999946780809711,"~cohort + diet","old ID vs CD"
"Ppp1r15a",739.796704581546,-0.292032618788882,0.121887572426583,-2.3959179182503,0.0165788024816001,0.999946780809711,"~cohort + diet","old ID vs CD"
"Ccdc149",27.5009927061132,0.621184542017717,0.259270185916737,2.39589654252497,0.0165797693226871,0.999946780809711,"~cohort + diet","old ID vs CD"
"Vit",62.7064735109247,0.620341151788572,0.259247106581452,2.39285660684382,0.0167177733013697,0.999946780809711,"~cohort + diet","old ID vs CD"
"Abi3bp",579.215028743561,0.455243401459173,0.190479005464574,2.38999253670421,0.0168487151782549,0.999946780809711,"~cohort + diet","old ID vs CD"
"Nucks1",2083.97497193365,-0.174327117968949,0.0729549591363306,-2.38951703945423,0.0168705412633114,0.999946780809711,"~cohort + diet","old ID vs CD"
"Csf3r",31.997617061942,1.02891707128911,0.431118739866964,2.38662107707639,0.0170040071800016,0.999946780809711,"~cohort + diet","old ID vs CD"
"Lphn1",305.785179726485,-0.30391891506372,0.127537214872072,-2.38298221714008,0.0171730238742636,0.999946780809711,"~cohort + diet","old ID vs CD"
"Hbegf",207.584707177572,0.523055894879567,0.219507471801461,2.38286146064612,0.0171786579126138,0.999946780809711,"~cohort + diet","old ID vs CD"
"Ube2h",2251.41654651061,-0.160580079083466,0.0674236618925259,-2.38165763436925,0.0172349125781748,0.999946780809711,"~cohort + diet","old ID vs CD"
"Haghl",113.315907129826,-0.40134281458593,0.16858703357442,-2.38062682566132,0.0172832105042247,0.999946780809711,"~cohort + diet","old ID vs CD"
"Mmrn1",120.482736319097,0.784783170714066,0.330087159999777,2.37750287140704,0.0174303072688525,0.999946780809711,"~cohort + diet","old ID vs CD"
"Gins2",144.004157002365,-0.533566134523149,0.224450180427836,-2.37721410384296,0.0174439596515387,0.999946780809711,"~cohort + diet","old ID vs CD"
"Mup3",87.4183082720126,-1.55381913213193,0.653861517976293,-2.37637342069161,0.0174837589516427,0.999946780809711,"~cohort + diet","old ID vs CD"
"Pde12",413.67815141311,-0.222631209697934,0.0937941023758206,-2.37361629418745,0.0176148450210019,0.999946780809711,"~cohort + diet","old ID vs CD"
"Rc3h2",1256.46709195713,-0.177617975087013,0.0748401181639306,-2.37329896644413,0.0176299873374133,0.999946780809711,"~cohort + diet","old ID vs CD"
"Mmgt1",2045.42194404637,-0.162755273911781,0.0686355211543077,-2.3712979981003,0.0177257330537621,0.999946780809711,"~cohort + diet","old ID vs CD"
"Inhba",57.3897044737701,0.496692873714719,0.209621112719686,2.3694792345603,0.017813155350654,0.999946780809711,"~cohort + diet","old ID vs CD"
"Ptpru",20.5478558047673,0.836426027624029,0.35322806941793,2.3679489260362,0.0178870049470631,0.999946780809711,"~cohort + diet","old ID vs CD"
"Rhoq",5470.34198672166,-0.146835556917973,0.0620974937319087,-2.36459715350029,0.0180496924744306,0.999946780809711,"~cohort + diet","old ID vs CD"
"Prdx6",2162.85913552851,-0.168686276956227,0.0713437764391538,-2.36441474471277,0.018058583253817,0.999946780809711,"~cohort + diet","old ID vs CD"
"Nfib",2606.6439734736,-0.211551631818539,0.0896592870596364,-2.35950606742865,0.0182992816199261,0.999946780809711,"~cohort + diet","old ID vs CD"
