tissue,sample.clean,group,cohort,age,diet,animal,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
Liver,4M1,Young CD,4,Young,CD,1,-27.540243530059644,22.45165556711554,-2.550537805897494,-3.8911541283425173,-0.2860841998472601,-1.488953997594955,21.996289046720516,11.060114766468276,-2.1500721868307506,2.1054416637877016,-9.729302999958495,0.17820314564583067,3.728934847914327,-3.647799923348496,-3.9269286859092056,-0.09545347893172752,-0.5701194781535133,1.3432109155946965,-1.3674741083616717,1.1358163610818572,2.810689100699978,1.4150564853977583e-15
Liver,4M2,Young CD,4,Young,CD,2,-23.65623949945382,19.81247349153351,-6.62839529985482,4.520256468233328,-1.0734845218359557,-6.198227234227201,0.7215511993446106,-0.21043079975686727,-0.1392235537415643,-2.3502052244913134,12.416624160263659,9.704310411960275,-9.638369467897514,6.573758512323017,6.3655010322325944,-1.2538335601952635,8.202650581023944,-0.5681164890479196,3.1069129693642727,1.625006918883485,-3.5892408965263733,1.0237203067842913e-14
Liver,4M3,Young CD,4,Young,CD,3,-11.519369032109527,3.276869601568147,-1.8454047339928226,17.232125728353495,-5.193436555244738,-2.830579358443973,-9.008044145304229,-6.719834014300125,-0.34311115226283156,-1.792407941148616,1.2640369161848743,-2.093112036986849,4.3364526238257834,-11.2694416533495,-2.124711542635898,-3.832458413675552,6.062645769696177,12.37467796648657,-6.212454017004062,-2.4321212846873963,2.2414780299881767,1.3386933317903448e-14
Liver,4M4,Young CD,4,Young,CD,4,-18.441815276379867,6.2786328355479695,-3.362170594970187,11.61568870729704,-8.542765395031246,2.0366409139351633,-5.486782549395324,-3.4226750928328276,-5.545163296163574,1.0318801445412031,-2.5982023311063043,-5.652067928568833,4.616379440428815,0.8746008627761835,-1.55827689550594,-1.0402665214414892,-9.919088506278639,-5.442590317178364,2.478320817000852,-2.3688560267177166,-13.205283254582929,1.1306584219777034e-14
Liver,4M5,Young CD,4,Young,CD,5,-16.16169105317707,5.16683965288484,-0.5823985769909962,9.86643354453881,-2.1757543959207135,1.9321402417906588,-8.660782748164102,-6.245799434841924,-3.343346018191138,5.522167070397335,1.338634154075421,-0.6912932549671053,-3.339889193629828,2.4869649436193,-2.522410273447824,1.8936421704835353,-7.139182316019213,-7.545214795769005,1.9005035666311998,2.495406501252283,14.56809597401351,6.965511677803813e-15
Liver,1M1,Old CD,1,Old,CD,1,5.818523190864724,23.739196450813942,13.796576782322557,-12.414007203252014,8.109078480482367,6.831072503723489,-0.7820743336531091,-9.393862796766658,10.155154814592096,-1.0585361513433387,2.140934647971372,-4.019180211984944,-7.465796997376396,3.21850701841052,-5.3611705035616035,1.4104275393589878,-7.247812576577887,7.430255909891793,-3.842020769298945,2.993951935610409,-2.446425705390216,8.82477857000569e-15
Liver,1M2,Old CD,1,Old,CD,2,19.900342814437177,5.757187846918048,0.41541866608688716,4.817263078381748,1.4361801669150593,1.4557939913423448,2.1284863053781455,-5.335048615187372,5.451947837008277,14.022081269405156,-4.802168298975839,-2.2259128726777977,2.7802327520576267,3.2385023485683564,1.4585291640868183,-7.51371705489244,9.029576637270841,-8.896504340362547,-8.76298458574808,3.8671928573916268,-1.9730616615954375,1.2962281068445468e-14
Liver,1M4,Old CD,1,Old,CD,4,14.154492477745519,6.123964152560632,8.303920415803583,0.9821902119333932,-1.600769651205885,6.595344454735186,-2.3862661604161293,-1.4560175985850985,-3.500731672175489,-6.629960951832907,-10.143594160574544,6.6595465735820065,-2.2237464489996794,7.075397515103556,-6.851994817878877,-3.3009419980688652,5.383873302441658,-0.7815091981162933,4.396226630640784,-13.790732803123877,1.606406701676283,1.4161093511000388e-14
Liver,1M10,Old CD,1,Old,CD,10,26.640328843183365,7.07690218502636,7.805659817557733,12.578412213980315,-3.284272447070292,-17.930391667509298,-0.33882364343005583,15.392380363366238,5.965813713722826,-0.9821989140195836,7.252515352000012,-9.666247734368422,0.08406408126787904,2.308656793017788,-3.756758632817273,3.870793690735927,-0.6656646922699675,-0.8250320182172886,1.8651080046605637,-2.2169047858298905,0.8965643172358634,1.5668484477889118e-14
Liver,1M11,Old CD,1,Old,CD,11,27.838602226492927,-3.4763375000584142,-17.84351218593999,9.153450315294545,14.993869937326117,2.373131138966336,12.810196903934488,-7.283329177066334,-9.68582946113548,0.2671493085296702,2.101092103371047,-3.8823645801113806,-8.167742721781496,-7.063143345642077,0.813277461713562,-0.07539769528093934,-1.8946745787577415,0.6971706979006517,4.929352803628018,-0.9533713791413381,-0.6184391035214328,1.631840428053402e-14
Liver,2M16,Old CD,2,Old,CD,16,-4.792933325649518,-15.691419413024477,21.502394377149283,3.314392288659714,1.1371310343299421,-3.054699017680337,8.43385448890964,-10.921714211753923,0.27095074478301934,1.4875829988308737,2.6201876821866543,6.053906547615542,6.296398331961876,-3.5049986662111317,-4.136552795532842,12.854026253870988,5.004224320035679,-2.5485920550612873,4.178739281333655,2.7820679725623823,-2.2519173521240132,1.7209170600342143e-14
Liver,2M17,Old CD,2,Old,CD,17,-6.125748698356434,-16.496805908901095,22.886706747061623,2.591707242538329,2.498604713640445,5.40921087437118,5.912998856650403,3.1192830593013534,-7.015568775499937,-12.9088948352299,3.648032295720624,-5.518177373403709,0.036809709797472716,1.6774657808046654,5.980526736079416,-11.462436009211887,-1.0458402550312405,-1.6491469358263626,-1.8513348711168938,4.531892095015047,1.4875333733122258,1.5631779205570128e-14
Liver,2M20,Old CD,2,Old,CD,20,-6.666911559959856,-11.391753927048493,-0.45566317379554,5.906693795541283,1.3514297001424316,4.5960399483686505,0.8302577225760721,2.2449386514137957,1.4595494682124137,2.5045596015201927,-8.030353354912812,-4.7224463547943145,-3.14360747546048,7.170117431911996,15.187766681300511,11.295831925276952,-0.5450739495556541,4.8315062154102195,-5.537057991430055,-4.865451740410795,0.6024450387174697,1.236589857102069e-14
Liver,1M5,Old ID,1,Old,ID,5,3.041876691734748,16.551371148910565,-2.396823027371136,-20.683004301327138,5.419142846540861,0.7509688163120293,-3.8980450567352727,-2.286509111420152,0.02358840970381188,-3.3625576089707048,8.381653054616182,-2.8729874569864022,11.202451031065475,-7.2089709802455575,8.669455451679992,1.5069291569452399,0.2747473133960217,-6.026915649778947,-0.25001214941602556,-7.937477558554928,2.220424109829527,7.702333838231807e-15
Liver,1M6,Old ID,1,Old,ID,6,14.707944629244997,1.4800177604263338,-6.077221003735876,-15.44310568584594,-23.17794955454307,2.3752698475713907,-4.043095012782609,0.348831321329963,-8.582244749113842,-6.695830775448725,-3.9682172869614782,-4.446716904838589,-7.029076630128537,-3.676608864267544,-1.4141253678082335,5.849330576597641,4.989887513907474,-1.8460956243032187,-2.068804633163828,6.805430552905489,-0.3805139532495832,1.3056306809458747e-14
Liver,1M7,Old ID,1,Old,ID,7,13.043142738998156,4.58268319209552,4.33128539028414,-4.578849528030009,-2.987174368169274,1.889243184418426,-6.222200663436354,2.888088127848882,-0.4633071355768585,9.586621736484622,-5.008934910263502,1.9917348975227196,6.052628850089115,0.7505483435071852,7.074540353566798,-4.43194534863032,-0.3797741815980282,8.323122640332686,14.475607357972285,6.3452112236656495,0.6027435720123463,1.0022065725576005e-14
Liver,1M9,Old ID,1,Old,ID,9,24.92536920705452,0.918685596837961,-7.136826166709853,5.245990360060714,-0.9953918147595481,-2.006244280175344,-0.3215455948015919,3.0523475996130283,-1.8447121158946542,-6.267658752742654,0.3006999979726087,18.053801080149572,7.0632410836589825,2.0395425474340323,1.2851329022979794,1.0210305886621496,-9.122777910642874,1.139460423058349,-7.910784101313204,4.016662293752626,0.05617437270452276,1.6445316895247728e-14
Liver,2M22,Old ID,2,Old,ID,22,-5.531132644218497,-13.475702198874007,9.778953596969847,-6.186129657390092,4.504419261713765,7.127401877806125,-7.806380836447211,14.458751545998604,-3.070801841491407,12.334598700349956,3.7957540099279132,6.896324253195777,-9.185862296002746,-9.883416232565164,-2.4169564438128037,-0.5758238636647821,-1.6628439286597203,-1.2045118164941777,-3.044849080248419,-3.4305106816438506,-2.7244289247965368,1.647924642629459e-14
Liver,2M23,Old ID,2,Old,ID,23,-8.198363120700614,-11.64198589332413,-15.634722246250186,-4.084690171166148,11.688170847747518,12.333185251019124,-5.269822756255249,6.912198472882743,-4.019168645841528,-0.7593043184722433,6.461012440767168,-4.805520825931395,8.366176824706821,9.742300277297197,-9.422368265028314,3.047996793780856,5.37115172032399,2.9574758216422756,-0.5248891208666404,3.4348159706038874,-0.3362136138247343,1.2554899424252633e-14
Liver,2M26,Old ID,2,Old,ID,26,-2.361175814943796,-25.230164287819257,-9.548245912654062,-10.178590964581728,-17.845944192010975,-1.4588165148318615,12.163604183163041,-5.283961911045457,8.496308361910787,5.666954022099461,8.278168545934316,0.17390095197020677,0.08501713369010691,3.7794510458635204,-1.9384385487796452,-5.661131223936646,-4.145968641543537,3.206314351693781,0.45273618160695955,-5.665905632942378,1.594495280804777,1.2933389973820742e-14
Liver,2M31,Old ID,2,Old,ID,31,-7.255593963875927,-10.67451809210128,-10.91130372066246,4.4713995045368895,3.7545535204757687,5.9923218036925965,-3.5098324420632796,3.3756019599603357,21.38743560558253,-10.695172994851589,-6.826032118451223,1.1989884798109807,-2.277108610112378,-6.834038888246822,0.3175197507764937,-0.5614727703795942,0.8699956970518292,-5.242908535201053,4.814856176482644,2.9116655272663974,-0.3385555586530927,1.3702600229888559e-14
Liver,2M33,Old ID,2,Old,ID,33,-11.819405300871676,-15.137792261088235,-3.847691344410289,-14.836471819414015,12.270446586324663,-26.729852777589667,-7.26354276379233,-4.293353104626498,-3.507468351596734,-1.0263080473946231,-8.892539899787673,-0.3146888058331898,-2.177586869075214,2.152605133238963,-1.7215567610156892,-2.9451307574027705,-0.8499318400596055,0.27394283334548314,-1.2256983613533987,0.7162116830610448,-0.8229698467303244,1.8970817428200296e-14
Muscle,4M1,Young CD,4,Young,CD,1,-3.4861854424899867,12.984082485299062,7.193372211003515,-7.380344448568488,-1.4598382312949805,-8.583109313617056,-2.765575341243406,3.4742360867510653,1.3471365443946555,-4.652832869228437,7.072158651662827,-3.8296517058457487,-8.519181499737257,2.1214869801044527,-6.751616528434976,-2.7138366370884675,-10.233497694981473,-4.524600954318372,-1.9212204635985097,-2.23110106560653,-2.355487966373857,-1.6701191743315435e-14
Muscle,4M2,Young CD,4,Young,CD,2,-5.1778629594013035,7.495014999757825,0.8835983101014594,-8.646895175310922,-8.605632857674888,0.21215132705839776,-4.637797484570637,-6.180214075435177,2.368950042958222,-1.265157959373736,0.8602881548935266,-0.017366442603326985,-6.995080944744541,-4.925603079869852,0.7571355379220619,-8.59029148992289,8.11023354667495,6.031541316311665,-2.9984595608408124,6.84296175583908,-1.8949345571122191,-4.298485679969672e-15
Muscle,4M3,Young CD,4,Young,CD,3,-7.288244772717149,8.39124094869046,3.2203539449026692,-5.739979042279633,-10.085134321193651,-7.438848211757732,-6.1700393444664465,-0.7634264793730052,5.2122409262332,-0.48490348971247005,2.208928330976375,-1.2184894969672169,6.598048465476708,-0.507204621039267,1.8183272812398705,4.561836862699179,1.9444972364635915,3.9048858414484275,-2.8494711720848636,-5.972379261112307,9.922971780133503,-1.1730188770632373e-14
