"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ontology","comparison","direction"
"GO:0060675","ureteric bud morphogenesis",56,0.310632954412794,1.26296511623208,0.133037694013304,0.351156386467738,0.273454931980663,3699,"tags=39%, list=27%, signal=29%","107515/329628/20472/20471/22417/17128/20474/20681/22339/18121/67087/21853/22414/233651/226154/18514/18764/271127/22411/16776/23908/14173","BP","young CD vs old CD","Up"
"GO:0035725","sodium ion transmembrane transport",102,-0.280289313749488,-1.22521386886819,0.132867132867133,0.351156386467738,0.273454931980663,1794,"tags=22%, list=13%, signal=19%","20272/17846/14411/74122/53881/218756/56774/105727/15567/11840/20276/28240/114644/18301/108058/14412/236727/94229/229706/13405/279561/239556","BP","young CD vs old CD","Down"
"GO:0014009","glial cell proliferation",72,0.289188710692208,1.21730151324938,0.132867132867133,0.351156386467738,0.273454931980663,1792,"tags=25%, list=13%, signal=22%","104156/20238/18032/19047/170731/18027/18016/14083/20481/12977/17257/13853/330908/22059/18028/192119/58234/18128","BP","young CD vs old CD","Up"
"GO:0051606","detection of stimulus",134,-0.263809351285839,-1.19822941586109,0.132867132867133,0.351156386467738,0.273454931980663,2192,"tags=25%, list=16%, signal=21%","81897/56544/19662/114774/17940/74616/20191/56644/268973/16803/20315/21393/17951/268663/17952/11622/16533/57757/12363/17948/99512/69165/12374/12298/21897/18703/665378/18766/12007/22139/24088/21898/231252","BP","young CD vs old CD","Down"
"GO:1902950","regulation of dendritic spine maintenance",11,-0.5230164665888,-1.35245677975526,0.133333333333333,0.351264367816092,0.273539019963702,4086,"tags=64%, list=30%, signal=44%","11820/14360/19122/11816/12631/14130/65114","BP","young CD vs old CD","Down"
"GO:0002204","somatic recombination of immunoglobulin genes involved in immune response",40,-0.349690635972001,-1.2628061690428,0.133333333333333,0.351264367816092,0.273539019963702,3605,"tags=38%, list=27%, signal=28%","100561/27223/12487/21939/13870/20371/235587/27354/21803/12053/18861/50931/108138/65113/19264","BP","young CD vs old CD","Down"
"GO:0002208","somatic diversification of immunoglobulins involved in immune response",40,-0.349690635972001,-1.2628061690428,0.133333333333333,0.351264367816092,0.273539019963702,3605,"tags=38%, list=27%, signal=28%","100561/27223/12487/21939/13870/20371/235587/27354/21803/12053/18861/50931/108138/65113/19264","BP","young CD vs old CD","Down"
"GO:0045190","isotype switching",40,-0.349690635972001,-1.2628061690428,0.133333333333333,0.351264367816092,0.273539019963702,3605,"tags=38%, list=27%, signal=28%","100561/27223/12487/21939/13870/20371/235587/27354/21803/12053/18861/50931/108138/65113/19264","BP","young CD vs old CD","Down"
"GO:0007616","long-term memory",32,0.355589017280134,1.27243760330338,0.134199134199134,0.353296976012184,0.275121866687911,2960,"tags=44%, list=22%, signal=34%","14534/68667/208922/20807/17257/78405/20528/67772/73181/16835/12914/27103/432530/110147","BP","young CD vs old CD","Up"
"GO:0008217","regulation of blood pressure",161,-0.254317950457914,-1.19462275557819,0.134228187919463,0.353296976012184,0.275121866687911,2788,"tags=25%, list=21%, signal=20%","16535/20655/102774/16790/14528/56485/268860/14674/18166/11606/12491/59027/276952/84112/18438/13618/11622/11848/14063/15484/71660/15368/11532/16846/12873/13109/20276/11475/15902/18816/69178/74840/17970/17227/12267/224065/22139/18162/70495/239790","BP","young CD vs old CD","Down"
