"ontology","ID","Description","age_direction","age_NES","age_p.adjust","age_setSize","diet_direction","diet_NES","diet_p.adjust","diet_setSize","NES_delta","abs_NES_delta","direction_switch","NES_change_class","best_p.adjust","worst_p.adjust"
"CC","GO:0045335","phagocytic vesicle","Down",-1.71965920916845,0.00249532023589377,122,"Up",1.60225538209808,0.0198255970995475,125,3.32191459126653,3.32191459126653,TRUE,"Switched: young-down, ID-up",0.00249532023589377,0.0198255970995475
"CC","GO:0030670","phagocytic vesicle membrane","Down",-1.60112930020203,0.0391339661433607,56,"Up",1.69206551144748,0.0298825526140112,59,3.29319481164951,3.29319481164951,TRUE,"Switched: young-down, ID-up",0.0298825526140112,0.0391339661433607
"CC","GO:0030864","cortical actin cytoskeleton","Down",-1.71616608465863,0.00784511766906832,84,"Up",1.5677719475091,0.0541785312002548,84,3.28393803216772,3.28393803216772,TRUE,"Switched: young-down, ID-up",0.00784511766906832,0.0541785312002548
"CC","GO:0030863","cortical cytoskeleton","Down",-1.52764627056074,0.0246174381847795,111,"Up",1.41713533393871,0.0927818829844907,110,2.94478160449944,2.94478160449944,TRUE,"Switched: young-down, ID-up",0.0246174381847795,0.0927818829844907
"CC","GO:0098797","plasma membrane protein complex","Down",-1.3673429147918,0.0249404395519264,408,"Up",1.55514822005813,0.000959515331963827,433,2.92249113484993,2.92249113484993,TRUE,"Switched: young-down, ID-up",0.000959515331963827,0.0249404395519264
"CC","GO:0030139","endocytic vesicle","Down",-1.50612355262442,0.015126000559546,208,"Up",1.37032907425586,0.0539630217282016,210,2.87645262688027,2.87645262688027,TRUE,"Switched: young-down, ID-up",0.015126000559546,0.0539630217282016
"CC","GO:0015629","actin cytoskeleton","Down",-1.43656946005323,0.0102541585995786,463,"Up",1.32376284579379,0.0370745249706784,466,2.76033230584702,2.76033230584702,TRUE,"Switched: young-down, ID-up",0.0102541585995786,0.0370745249706784
"CC","GO:0005911","cell-cell junction","Down",-1.26997745755837,0.0703066212469872,424,"Up",1.32370468114074,0.0328352326347015,433,2.59368213869911,2.59368213869911,TRUE,"Switched: young-down, ID-up",0.0328352326347015,0.0703066212469872
"CC","GO:0005840","ribosome","Down",-2.78587870162867,8.24385978586948e-22,220,"Down",-1.40616213508244,0.0639278687108079,220,1.37971656654623,1.37971656654623,FALSE,"Same direction, weaker in old ID",8.24385978586948e-22,0.0639278687108079
"CC","GO:0044391","ribosomal subunit","Down",-2.84900450695923,8.24385978586948e-22,174,"Down",-1.52249453041303,0.0375569418339276,174,1.32650997654619,1.32650997654619,FALSE,"Same direction, weaker in old ID",8.24385978586948e-22,0.0375569418339276
