"raw.file","name","n.cohorts","rt.min","rt.max","diff","cohort.rt"
"Muscle compound_Discover_pos_raw_file.csv","Indane",3,1.235,2.521,1.286,"1:2.521 | 2:1.235 | 4:1.235"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_positive.csv","sphingosylphosphorylcholine",3,2.953,4.234,1.281,"1:4.234 | 2:2.953 | 4:4.234"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_positive.csv","3-Hydroxyhexadecanoylcarnitine",3,3.121,4.394,1.273,"1:3.121 | 2:4.394 | 4:4.394"
"Muscle compound_Discover_neg_raw_file.csv","Tetrahydrocortisol",3,2.651,3.922,1.271,"1:3.922 | 2:2.651 | 4:2.651"
"Muscle compound_Discover_pos_raw_file.csv","Glutathione",3,14.431,15.682,1.251,"1:15.682 | 2:14.431 | 4:14.431"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","1,2-Didecanoyl-sn-glycero-3-phosphocholine",3,3.11,4.332,1.222,"1:4.332 | 2:3.11 | 4:3.11"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","PS(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",3,2.846,4.054,1.208,"1:4.054 | 2:2.846 | 4:4.054"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Indole-3-carboxaldehyde",3,2.789,3.983,1.194,"1:2.789 | 2:2.789 | 4:3.983"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","neosolaspigenin  isomer",3,2.867,4.023,1.156,"1:4.023 | 2:2.867 | 4:2.867"
"Muscle compound_Discover_neg_raw_file.csv","N-acetyl-L-2-aminoadipate(2-)",3,13.364,14.518,1.154,"1:14.518 | 2:13.364 | 4:14.518"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_positive.csv","3-amino-4-(propylamino)cyclobut-3-ene-1,2-dione isomer",3,12.334,13.473,1.139,"1:13.473 | 2:12.334 | 4:12.334"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_positive.csv","Trp-Phe",3,2.893,4.017,1.124,"1:4.017 | 2:2.893 | 4:2.893"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","LysoPC(14:1(9Z)/0:0)",3,3.102,4.193,1.091,"1:4.193 | 2:3.102 | 4:4.193"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Deoxynivalenol",3,2.951,4.034,1.083,"1:2.951 | 2:2.951 | 4:4.034"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","Glutaconic acid",3,13.054,14.136,1.082,"1:13.054 | 2:14.136 | 4:14.136"
"Muscle compound_Discover_neg_raw_file.csv","Succinic acid semialdehyde",3,7.154,8.235,1.081,"1:8.235 | 2:7.154 | 4:8.235"
"Muscle compound_Discover_neg_raw_file.csv","LysoPE(0:0/22:4(7Z,10Z,13Z,16Z))",3,3.007,4.078,1.071,"1:3.007 | 2:4.078 | 4:3.007"
"Muscle compound_Discover_neg_raw_file.csv","Erythronic acid",3,10.866,11.916,1.05,"1:11.916 | 2:10.866 | 4:11.916"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_positive.csv","Thiorphan",3,2.881,3.923,1.042,"1:3.923 | 2:2.881 | 4:2.881"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","PE(P-16:0/20:4(5Z,8Z,11Z,14Z))",3,3,4.042,1.042,"1:4.042 | 2:3 | 4:4.042"
