"name","formula","ion.mode","rt_drift"
"Leucyl-Alanine","C9H18N2O3","nega",1.567
"Leucyl-Alanine","C9H18N2O3","posi",5.146
"LysoPC(20:3(8Z,11Z,14Z)/0:0)","C28H52NO7P","posi",1.085
"LysoPC(20:4(5Z,8Z,11Z,14Z)/0:0)","C28H50NO7P","posi",1.184
"LysoPE(0:0/18:2(9Z,12Z))","C23H44NO7P","nega",1.032
"LysoPE(0:0/20:2(11Z,14Z))","C25H48NO7P","nega",1.712
"LysoPE(0:0/22:4(7Z,10Z,13Z,16Z))","C27H48NO7P","nega",1.136
"Maleamic Acid","C4H5NO3","nega",4.484
"Meprobamate","C9H18N2O4","posi",5.128
"Mesitol","C9H12O","posi",5.475
"Methyl jasmonate","C13H20O3","nega",1.729
"N,N-Dimethylformamide","C3H7NO","posi",17.768
"N-Acetyl-b-glucosaminylamine","C8H16N2O5","posi",1.033
"N-Acetylasparagine","C6H10N2O4","nega",1.075
"N-Acetylglutamine","C7H12N2O4","nega",3.512
"N-Acetylimidazole","C5H6N2O","posi",7.164
"N-Benzylpalmitamide","C23H39NO","posi",3.095
"N-NITROSOMETHYLVINYLAMINE","C3H6N2O","posi",6.547
"N-alpha-Acetyl-L-citrulline","C8H15N3O4","nega",4.912
"N-alpha-Acetyl-L-citrulline","C8H15N3O4","posi",2.039
"NITRILACARB","C9H15N3O2","posi",1.067
"NPYR","C4H8N2O","posi",10.562
"Naphthalene","C10H8","posi",1.444
"Nicotinic acid","C6H5NO2","nega",2.155
"Nicotinuric acid","C8H8N2O3","posi",1.992
"Nigrifactin","C12H17N","posi",5.541
"Oxoglutaric acid","C5H6O5","nega",1.441
"PC(16:0/18:4(6Z,9Z,12Z,15Z))","C42H76NO8P","nega",1.111
"PC(18:2(9Z,12Z)/16:1(9Z))","C42H78NO8P","posi",1.114
"PC(18:3(9Z,12Z,15Z)/19:1(9Z))","C45H82NO8P","posi",1.09
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/15:0)","C43H76NO8P","posi",1.492
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/16:1(9Z))","C44H76NO8P","nega",1.242
"PE(16:0/18:1(9Z))","C39H76NO8P","nega",1.314
"PE(16:0/18:1(9Z))","C39H76NO8P","posi",1.697
"PE(18:0/18:2(9Z,12Z))","C41H78NO8P","nega",1.918
"PE(18:0/20:4(8Z,11Z,14Z,17Z))","C43H78NO8P","posi",1.546
"PE(18:1(11Z)/P-18:1(11Z))","C41H78NO7P","nega",1.319
"PE(18:2(9Z,12Z)/22:4(7Z,10Z,13Z,16Z))","C45H78NO8P","nega",2.053
"PE(18:2(9Z,12Z)/22:4(7Z,10Z,13Z,16Z))","C45H78NO8P","posi",1.568
"PE(20:3(8Z,11Z,14Z)/18:0)","C43H80NO8P","nega",1.051
"PE(20:4(5Z,8Z,11Z,14Z)/P-18:1(9Z))","C43H76NO7P","nega",2.024
"PE(P-16:0/20:4(5Z,8Z,11Z,14Z))","C41H74NO7P","nega",1.086
