"contrast","direction","Developmental_stage","primary_tissue","plotted_gene_n","gene_n","human_symbols","primary_tissue_cell_type_hits","best_combined_p","best_combined_log10p","webcsea_jobs"
"old ID vs old CD","Downregulated","Adult","Spleen",38,38,"ALDH3A2; ANP32E; ARMC6; C3orf70; CANX; CCDC34; COA3; COPZ1; CUTA; DCTN3; DERA; EIF5B; FUCA2; GINS2; GLRX; GNB3; GTF2A1; HSPA5; INO80C; MAP3K7; MCFD2; MEF2C; MSI2; NME1; NUDT1; NUDT4; PIGK; PRDX6; PSPH; PTGES2; RNGTT; RPN1; SCARB2; SUCO; TMEM19; TMX2; YKT6; ZMPSTE24","Madissoon_2020_spleen_Plasma_IgG; Madissoon_2020_spleen_Plasma_IgM; TS_Spleen_endothelial cell; TS_Spleen_plasma cell",3.5030534605851e-05,4.45555323480336,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Small intestine",27,27,"ABCB7; ARL2BP; ARL5B; BCL6; C19orf33; COX10; CYP4F2; DDAH1; DDC; FAM169A; FAM83H; FOLH1; GDPD1; ITGB6; KIF26B; MSRA; MT-ND2; NFIB; NR3C2; PAQR7; PKP2; RHOQ; SLC4A7; SOCS6; TMEM37; TP53INP2; TTC13","TS_Small_Intestine_duodenum glandular cell; TS_Small_Intestine_immature enterocyte; TS_Small_Intestine_intestinal crypt stem cell of small intestine; TS_Small_Intestine_paneth cell of epithelium of small intestine; TS_Small_Intestine_plasma cell",0.00438121660226531,2.35840527527578,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Blood",9,9,"ATG7; CAB39; CSGALNACT2; METTL18; MMGT1; MOB1B; OSTM1; PDS5A; ZDHHC21","TS_Blood_classical monocyte; TS_Blood_plasma cell; TS_Blood_type i nk t cell",0.0133169679139369,1.87559464664807,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Heart",8,8,"DFFA; DNM1L; EPHA7; G3BP2; HAGHL; LARP7; PBX3; PPHLN1","TS_Heart_cardiac muscle cell",0.0106957097640864,1.97079039048484,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Liver",7,7,"AHSG; F10; GC; LBP; RDH16; SERPINA1; TTR","MacParland_2018_liver_Hepatocyte",0.00700323976730266,2.1547010046196,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Caecum",6,6,"ATF5; CYB5R1; MIB1; PPP1R15A; RNF103; SLC5A3","AdultEpityphlon_B cell (Plasmocyte)",0.00092330389336936,3.03465533311124,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Thyroid gland",6,6,"CLN5; CSTB; HEBP1; NUCKS1; PPIC; TSC22D1","AdultThyroid_Thyroid follicular cell",0.00363195235933789,2.43985985679533,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Visual cortex",6,6,"FASTKD3; NPR3; NSUN4; PDE12; RAB3A; SYT9","Lake_2017_VisualCortex_In2",0.00988343700689387,2.00509200140868,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Thymus",5,5,"ANKRD40; ST8SIA5; TMEM132B; TMEM182; TMUB2","TS_Thymus_fast muscle cell; TS_Thymus_macrophage",0.0106853427211653,1.97121154373633,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Large intestine",4,4,"CELA1; HOXA10; KCNC1; LYRM7","TS_Large_Intestine_immature enterocyte; TS_Large_Intestine_intestinal enteroendocrine cell; TS_Large_Intestine_plasma cell",0.00898738283654676,2.04636675822496,"JOB2770_IDvCD_downregulated"
