"contrast","direction","Developmental_stage","primary_tissue","plotted_gene_n","human_symbol","primary_tissue_cell_type_name","primary_organ_system","primary_specific_cell_type","primary_general_cell_type","input_list_combined_p","input_list_combined_log10p","input_list_raw_p","input_list_permutated_p","input_list_rank_p","webcsea_job"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PGD","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PHIP","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PICALM","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PIK3AP1","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PIN4","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PLD3","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PLEKHO1","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PLP2","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PLSCR1","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"POLR1D","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"POLR2G","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"POMP","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"POP4","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"POU2F2","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PPIA","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PPP1R14B","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PPP6C","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PPT1","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PRDX1","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PRDX6","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PRELID1","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PRKCD","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PSMA1","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PSMA2","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PSMA3","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PSMA4","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PSMA5","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PSMA7","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PSMB1","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PSMB2","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PSMB3","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PSMB4","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PSMB5","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PSMB6","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PSMB7","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PSMC1","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PSMC2","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PSMC3","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PSMC5","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PSMC6","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PSMD11","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PSMD13","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PSMD4","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PSMD8","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PTBP3","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PTPN2","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PTPN6","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PTPRC","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"PYCARD","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"QSOX1","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RAB11A","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RAB11FIP1","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RAB13","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RAB20","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RAB2A","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RAB32","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RAB8A","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RABAC1","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RAN","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RANBP1","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RAP1A","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RAP1B","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RASSF4","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RB1","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RBBP4","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RBP7","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RHEB","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RHOA","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RIT1","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RNASE2","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RNASE6","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RNASEH2C","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RNF13","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RNF144B","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RNF181","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL10","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL10A","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL11","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL12","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL13","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL13A","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL15","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL18","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL18A","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL19","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL21","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL22","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL22L1","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL23","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL23A","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL24","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL26","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL27","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL27A","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL29","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL3","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL30","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL31","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL32","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL34","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL35","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL35A","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL36","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL36A","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL36AL","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL37","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL37A","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL38","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL39","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL4","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,"RPL5","TS_Blood_monocyte","Lymphatic system","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
