"contrast","direction","Developmental_stage","primary_tissue","plotted_gene_n","human_symbol","primary_tissue_cell_type_name","primary_organ_system","primary_specific_cell_type","primary_general_cell_type","input_list_combined_p","input_list_combined_log10p","input_list_raw_p","input_list_permutated_p","input_list_rank_p","webcsea_job"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"GNB3","Madissoon_2020_spleen_Plasma_IgM","Lymphatic system","Plasma_IgM","Plasma cell",0.00011596115612277,3.93568746341673,1.76580381581566e-05,0.00012351266479544,0.0745387453874539,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"ALDH3A2","TS_Spleen_plasma cell","Lymphatic system","plasma cell","Plasma cell",0.0010895601536518,2.96274878774184,3.78370741991721e-18,0.145621431793829,0.0007380073800738,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"ANP32E","TS_Spleen_plasma cell","Lymphatic system","plasma cell","Plasma cell",0.0010895601536518,2.96274878774184,3.78370741991721e-18,0.145621431793829,0.0007380073800738,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"ARMC6","TS_Spleen_plasma cell","Lymphatic system","plasma cell","Plasma cell",0.0010895601536518,2.96274878774184,3.78370741991721e-18,0.145621431793829,0.0007380073800738,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"CCDC34","TS_Spleen_plasma cell","Lymphatic system","plasma cell","Plasma cell",0.0010895601536518,2.96274878774184,3.78370741991721e-18,0.145621431793829,0.0007380073800738,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"COA3","TS_Spleen_plasma cell","Lymphatic system","plasma cell","Plasma cell",0.0010895601536518,2.96274878774184,3.78370741991721e-18,0.145621431793829,0.0007380073800738,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"DCTN3","TS_Spleen_plasma cell","Lymphatic system","plasma cell","Plasma cell",0.0010895601536518,2.96274878774184,3.78370741991721e-18,0.145621431793829,0.0007380073800738,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"DERA","TS_Spleen_plasma cell","Lymphatic system","plasma cell","Plasma cell",0.0010895601536518,2.96274878774184,3.78370741991721e-18,0.145621431793829,0.0007380073800738,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"GINS2","TS_Spleen_plasma cell","Lymphatic system","plasma cell","Plasma cell",0.0010895601536518,2.96274878774184,3.78370741991721e-18,0.145621431793829,0.0007380073800738,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"INO80C","TS_Spleen_plasma cell","Lymphatic system","plasma cell","Plasma cell",0.0010895601536518,2.96274878774184,3.78370741991721e-18,0.145621431793829,0.0007380073800738,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"MEF2C","TS_Spleen_plasma cell","Lymphatic system","plasma cell","Plasma cell",0.0010895601536518,2.96274878774184,3.78370741991721e-18,0.145621431793829,0.0007380073800738,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"NUDT1","TS_Spleen_plasma cell","Lymphatic system","plasma cell","Plasma cell",0.0010895601536518,2.96274878774184,3.78370741991721e-18,0.145621431793829,0.0007380073800738,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"PRDX6","TS_Spleen_plasma cell","Lymphatic system","plasma cell","Plasma cell",0.0010895601536518,2.96274878774184,3.78370741991721e-18,0.145621431793829,0.0007380073800738,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"PTGES2","TS_Spleen_plasma cell","Lymphatic system","plasma cell","Plasma cell",0.0010895601536518,2.96274878774184,3.78370741991721e-18,0.145621431793829,0.0007380073800738,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"SUCO","TS_Spleen_plasma cell","Lymphatic system","plasma cell","Plasma cell",0.0010895601536518,2.96274878774184,3.78370741991721e-18,0.145621431793829,0.0007380073800738,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"TMX2","TS_Spleen_plasma cell","Lymphatic system","plasma cell","Plasma cell",0.0010895601536518,2.96274878774184,3.78370741991721e-18,0.145621431793829,0.0007380073800738,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"ZMPSTE24","TS_Spleen_plasma cell","Lymphatic system","plasma cell","Plasma cell",0.0010895601536518,2.96274878774184,3.78370741991721e-18,0.145621431793829,0.0007380073800738,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Spleen",38,"MAP3K7","TS_Spleen_endothelial cell","Lymphatic system","endothelial cell","Endothelial cell",0.036410372719262,1.43877487533438,5.75153300324007e-09,0.27773881223669,0.0214022140221402,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Small intestine",27,"ARL5B","TS_Small_Intestine_immature enterocyte","Digestive system","immature enterocyte","Enterocyte",0.00438121660226531,2.35840527527578,5.05216904721864e-14,0.23063931606136,0.0022140221402214,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Small intestine",27,"C19orf33","TS_Small_Intestine_immature enterocyte","Digestive system","immature enterocyte","Enterocyte",0.00438121660226531,2.35840527527578,5.05216904721864e-14,0.23063931606136,0.0022140221402214,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Small intestine",27,"COX10","TS_Small_Intestine_immature enterocyte","Digestive system","immature enterocyte","Enterocyte",0.00438121660226531,2.35840527527578,5.05216904721864e-14,0.23063931606136,0.0022140221402214,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Small intestine",27,"CYP4F2","TS_Small_Intestine_immature enterocyte","Digestive system","immature enterocyte","Enterocyte",0.00438121660226531,2.35840527527578,5.05216904721864e-14,0.23063931606136,0.0022140221402214,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Small intestine",27,"DDAH1","TS_Small_Intestine_immature enterocyte","Digestive system","immature enterocyte","Enterocyte",0.00438121660226531,2.35840527527578,5.05216904721864e-14,0.23063931606136,0.0022140221402214,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Small intestine",27,"DDC","TS_Small_Intestine_immature enterocyte","Digestive system","immature enterocyte","Enterocyte",0.00438121660226531,2.35840527527578,5.05216904721864e-14,0.23063931606136,0.0022140221402214,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Small intestine",27,"FAM83H","TS_Small_Intestine_immature enterocyte","Digestive system","immature enterocyte","Enterocyte",0.00438121660226531,2.35840527527578,5.05216904721864e-14,0.23063931606136,0.0022140221402214,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Small intestine",27,"FOLH1","TS_Small_Intestine_immature enterocyte","Digestive system","immature enterocyte","Enterocyte",0.00438121660226531,2.35840527527578,5.05216904721864e-14,0.23063931606136,0.0022140221402214,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Small intestine",27,"MSRA","TS_Small_Intestine_immature enterocyte","Digestive system","immature enterocyte","Enterocyte",0.00438121660226531,2.35840527527578,5.05216904721864e-14,0.23063931606136,0.0022140221402214,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Small intestine",27,"NFIB","TS_Small_Intestine_immature enterocyte","Digestive system","immature enterocyte","Enterocyte",0.00438121660226531,2.35840527527578,5.05216904721864e-14,0.23063931606136,0.0022140221402214,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Small intestine",27,"PAQR7","TS_Small_Intestine_immature enterocyte","Digestive system","immature enterocyte","Enterocyte",0.00438121660226531,2.35840527527578,5.05216904721864e-14,0.23063931606136,0.0022140221402214,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Small intestine",27,"PKP2","TS_Small_Intestine_immature enterocyte","Digestive system","immature enterocyte","Enterocyte",0.00438121660226531,2.35840527527578,5.05216904721864e-14,0.23063931606136,0.0022140221402214,"JOB2770_IDvCD_downregulated"
