"contrast","direction","Developmental_stage","human_symbol","best_muscle_combined_p","best_muscle_combined_log10p","muscle_tissue_cell_type_hits","muscle_specific_cell_type_hits","muscle_general_cell_type_hits"
"old ID vs old CD","Upregulated","Adult","SYTL2",5.68637445893527e-05,4.2451645445586,"AdultMuscle_Smooth muscle cell","Smooth muscle cell","Smooth muscle cell"
"old ID vs old CD","Upregulated","Adult","TGFBR2",5.68637445893527e-05,4.2451645445586,"AdultMuscle_Smooth muscle cell; TS_Muscle_mesenchymal stem cell","Smooth muscle cell; mesenchymal stem cell","Smooth muscle cell; Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","TLN2",5.68637445893527e-05,4.2451645445586,"AdultMuscle_Smooth muscle cell; TS_Muscle_mesenchymal stem cell","Smooth muscle cell; mesenchymal stem cell","Smooth muscle cell; Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","TMEM47",5.68637445893527e-05,4.2451645445586,"AdultMuscle_Smooth muscle cell","Smooth muscle cell","Smooth muscle cell"
"old ID vs old CD","Upregulated","Adult","VIT",5.68637445893527e-05,4.2451645445586,"AdultMuscle_Smooth muscle cell; TS_Muscle_mesenchymal stem cell","Smooth muscle cell; mesenchymal stem cell","Smooth muscle cell; Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","VWF",5.68637445893527e-05,4.2451645445586,"AdultMuscle_Smooth muscle cell; TS_Muscle_endothelial cell of lymphatic vessel","Smooth muscle cell; endothelial cell of lymphatic vessel","Smooth muscle cell; Endothelial cell"
"old ID vs old CD","Upregulated","Adult","ABCA6",0.00745609324313457,2.12748866949452,"TS_Muscle_mesenchymal stem cell","mesenchymal stem cell","Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","ACSM3",0.00745609324313457,2.12748866949452,"TS_Muscle_mesenchymal stem cell","mesenchymal stem cell","Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","AFF3",0.00745609324313457,2.12748866949452,"TS_Muscle_mesenchymal stem cell","mesenchymal stem cell","Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","APOL3",0.00745609324313457,2.12748866949452,"TS_Muscle_mesenchymal stem cell","mesenchymal stem cell","Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","APOL4",0.00745609324313457,2.12748866949452,"TS_Muscle_mesenchymal stem cell","mesenchymal stem cell","Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","APPL2",0.00745609324313457,2.12748866949452,"TS_Muscle_mesenchymal stem cell","mesenchymal stem cell","Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","ASAP2",0.00745609324313457,2.12748866949452,"TS_Muscle_mesenchymal stem cell","mesenchymal stem cell","Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","B4GALT1",0.00745609324313457,2.12748866949452,"TS_Muscle_mesenchymal stem cell","mesenchymal stem cell","Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","CDH11",0.00745609324313457,2.12748866949452,"TS_Muscle_mesenchymal stem cell","mesenchymal stem cell","Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","CNTFR",0.00745609324313457,2.12748866949452,"TS_Muscle_mesenchymal stem cell","mesenchymal stem cell","Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","COL6A6",0.00745609324313457,2.12748866949452,"TS_Muscle_mesenchymal stem cell","mesenchymal stem cell","Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","FAM171B",0.00745609324313457,2.12748866949452,"TS_Muscle_mesenchymal stem cell; TS_Muscle_endothelial cell of lymphatic vessel","mesenchymal stem cell; endothelial cell of lymphatic vessel","Mesenchymal stem cell; Endothelial cell"
