"Tissue_cell_type_name","Developmental_stage","Organ_system","Tissue","Specific_cell_type","General_cell_type","Cell_Ontology_ID","General_tissue_name","Uber_anatomy_ontology_ID","input_list_raw_p","input_list_permutated_p","input_list_rank_p","input_list_combined_p","input_list_combined_log10p","delabel","webcsea_job","contrast","direction"
"Fetal_HCA_Lung_Squamous epithelial cells","Fetal","Respiratory system","Fetal_HCA_Lung","Squamous epithelial cells","Epithelial cell","CL:0000066","Lung","UBERON:0002048",0.608699214037171,0.7320595642426,0.837638376383764,0.913094705179018,0.0394841755833292,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"FetalAdrenalGland_Fetal endocrine cell","Fetal","Endocrine system","FetalAdrenalGland","Fetal endocrine cell","Endocrine cell","CL:0000163","Adrenal gland","UBERON:0002369",0.66327480128432,0.724031241030896,0.847970479704797,0.913463938155483,0.0393085931053344,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"van_Zyl_eye_2020_MastCell","Adult","Sensory system","van_Zyl_eye_2020","MastCell","Mast cell","CL:0000097","Eye","UBERON:0000970",0.64600843929537,0.726830861432926,0.845756457564576,0.913836542774696,0.0391314792327258,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"AdultLung_B cell","Adult","Respiratory system","AdultLung","B cell","B cell","CL:0000236","Lung","UBERON:0002048",0.657214658227463,0.725925101891093,0.847232472324723,0.913985081835674,0.0390608928102836,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"AdultEpityphlon_B cell","Adult","Digestive system","AdultEpityphlon","B cell","B cell","CL:0000236","Caecum","UBERON:0001153",0.680494838993262,0.721272791517131,0.855350553505535,0.914912365612461,0.0386205026041655,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"Fetal_HCA_Adrenal_SLC26A4_PAEP positive cells","Fetal","Endocrine system","Fetal_HCA_Adrenal","SLC26A4_PAEP positive cells","Cortical cell of adrenal gland","CL:0002097","Adrenal gland","UBERON:0002369",0.620134366617241,0.73494152642116,0.840221402214022,0.915188615997797,0.0384893906927553,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"TS_Mammary_plasma cell","Adult","Endocrine system","TS_Mammary","plasma cell","Plasma cell","CL:0000786","Mammary gland","UBERON:0001911",0.545794332018549,0.763514122877173,0.813284132841328,0.91683747166727,0.0377076451522523,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"FetalHeart_Ventricle cardiomyocyte","Fetal","Cardiovascular system","FetalHeart","Ventricle cardiomyocyte","Fetal cardiomyocyte","CL:0002495","Heart","UBERON:0000948",0.69648848362362,0.724113582807426,0.85830258302583,0.917101507774106,0.0375825925454864,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"AdultFallopiantube_Mast cell","Adult","Reproductive system","AdultFallopiantube","Mast cell","Mast cell","CL:0000097","Fallopian tube","UBERON:0003889",0.695839478738233,0.725225196790585,0.85719557195572,0.917173433670115,0.0375485332896433,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"Madissoon_2020_lung_B_cell_naive","Adult","Respiratory system","Madissoon_2020_lung","B_cell_naive","B cell","CL:0000236","Lung","UBERON:0002048",0.67493019845826,0.730289216047198,0.851660516605166,0.917315335359197,0.0374813460473942,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
