"Tissue_cell_type_name","Developmental_stage","Organ_system","Tissue","Specific_cell_type","General_cell_type","Cell_Ontology_ID","General_tissue_name","Uber_anatomy_ontology_ID","input_list_raw_p","input_list_permutated_p","input_list_rank_p","input_list_combined_p","input_list_combined_log10p","delabel","webcsea_job","contrast","direction"
"Madissoon_2020_spleen_Plasma_IgG","Adult","Lymphatic system","Madissoon_2020_spleen","Plasma_IgG","Plasma cell","CL:0000786","Spleen","UBERON:0002106",4.83836995131892e-06,4.11708882651482e-05,0.0612546125461255,3.5030534605851e-05,4.45555323480336,"Madissoon_2020_spleen_Plasma_IgG","JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"Madissoon_2020_spleen_Plasma_IgM","Adult","Lymphatic system","Madissoon_2020_spleen","Plasma_IgM","Plasma cell","CL:0000786","Spleen","UBERON:0002106",1.76580381581566e-05,0.00012351266479544,0.0745387453874539,0.00011596115612277,3.93568746341673,"Madissoon_2020_spleen_Plasma_IgM","JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"AdultEpityphlon_B cell (Plasmocyte)","Adult","Digestive system","AdultEpityphlon","B cell (Plasmocyte)","B cell","CL:0000236","Caecum","UBERON:0001153",0.0007168810884069,0.00065873421224237,0.135793357933579,0.00092330389336936,3.03465533311124,"AdultEpityphlon_B cell (Plasmocyte)","JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Spleen_plasma cell","Adult","Lymphatic system","TS_Spleen","plasma cell","Plasma cell","CL:0000786","Spleen","UBERON:0002106",3.78370741991721e-18,0.145621431793829,0.0007380073800738,0.0010895601536518,2.96274878774184,"TS_Spleen_plasma cell","JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Lymph_Node_plasma cell","Adult","Lymphatic system","TS_Lymph_Node","plasma cell","Plasma cell","CL:0000786","Lymph node","UBERON:0000029",8.19415023343602e-15,0.199390611868113,0.0014760147601476,0.00268725542424419,2.5706910518148,"TS_Lymph_Node_plasma cell","JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"FetalIntestine_Hepatocyte/Endodermal cell","Fetal","Digestive system","FetalIntestine","Hepatocyte/Endodermal cell","Hepatocyte","CL:0000182","Intestine","UBERON:0000160",9.16848343300666e-05,0.003334841949477,0.0966789667896679,0.00291447789019061,2.53543923497642,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"Fetal_HCA_Placenta_AFP_ALB positive cells","Fetal","Reproductive system","Fetal_HCA_Placenta","AFP_ALB positive cells","Hepatocyte","CL:0000182","Placenta","UBERON:0001987",0.0001779227832735,0.00337601283774215,0.0981549815498155,0.00298641741363326,2.52484949072748,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"AdultThyroid_Thyroid follicular cell","Adult","Endocrine system","AdultThyroid","Thyroid follicular cell","Thyroid follicular cell","CL:0002258","Thyroid gland","UBERON:0002046",0.00013272784506475,0.00424060149131026,0.0974169741697417,0.00363195235933789,2.43985985679533,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"Madissoon_2020_lung_Plasma_cells","Adult","Respiratory system","Madissoon_2020_lung","Plasma_cells","Plasma cell","CL:0000786","Lung","UBERON:0002048",0.0011746849112539,0.00366420905559819,0.138376383763838,0.00435391224085124,2.36112032901522,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Small_Intestine_immature enterocyte","Adult","Digestive system","TS_Small_Intestine","immature enterocyte","Enterocyte","CL:0000584","Small intestine","UBERON:0002108",5.05216904721864e-14,0.23063931606136,0.0022140221402214,0.00438121660226531,2.35840527527578,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Thymus_plasma cell","Adult","Lymphatic system","TS_Thymus","plasma cell","Plasma cell","CL:0000786","Thymus","UBERON:0002370",3.00565778376773e-13,0.187821592265606,0.0029520295202952,0.00471149431039275,2.32684132900013,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"AdultFallopiantube_Stratified epithelial cell","Adult","Reproductive system","AdultFallopiantube","Stratified epithelial cell","Epithelial cell","CL:0000066","Fallopian tube","UBERON:0003889",0.00041568726703343,0.00489933570355263,0.115129151291513,0.00478339896333679,2.32026339492781,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"AdultSpleen_B cell (Plasmocyte)","Adult","Lymphatic system","AdultSpleen","B cell (Plasmocyte)","B cell","CL:0000236","Spleen","UBERON:0002106",0.00079601663021477,0.00477582303875719,0.137269372693727,0.00546093271227721,2.26273317465778,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"AdultRectum_B cell (Plasmocyte)","Adult","Digestive system","AdultRectum","B cell (Plasmocyte)","B cell","CL:0000236","Rectum","UBERON:0001052",0.002675283645828,0.00510519014487837,0.155719557195572,0.00646889152870889,2.18917013110996,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"MacParland_2018_liver_Hepatocyte","Adult","Digestive system","MacParland_2018_liver","Hepatocyte","Hepatocyte","CL:0000182","Liver","UBERON:0002107",0.00025978094638196,0.00765778521731756,0.113653136531365,0.00700323976730266,2.1547010046196,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Small_Intestine_intestinal crypt stem cell of small intestine","Adult","Digestive system","TS_Small_Intestine","intestinal crypt stem cell of small intestine","Intestinal crypt stem cell","CL:0002250","Small intestine","UBERON:0002108",1.73147062672931e-12,0.242949411652639,0.003690036900369,0.00718719742181728,2.14344042554422,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"AdultJeJunum_Enterocyte","Adult","Digestive system","AdultJeJunum","Enterocyte","Enterocyte","CL:0000584","Jejunum","UBERON:0002115",0.00017847000511702,0.00942813341271893,0.0988929889298893,0.00743828742170971,2.12852704414715,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Large_Intestine_immature enterocyte","Adult","Digestive system","TS_Large_Intestine","immature enterocyte","Enterocyte","CL:0000584","Large intestine","UBERON:0000059",9.50276046720204e-12,0.261517482260221,0.0044280442804428,0.00898738283654676,2.04636675822496,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Small_Intestine_paneth cell of epithelium of small intestine","Adult","Digestive system","TS_Small_Intestine","paneth cell of epithelium of small intestine","Paneth cell","CL:0000510","Small intestine","UBERON:0002108",9.53816188965385e-12,0.246942987814359,0.00516605166051661,0.00977743161004985,2.00977521311368,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Small_Intestine_duodenum glandular cell","Adult","Digestive system","TS_Small_Intestine","duodenum glandular cell","Duodenum glandular cell","CL:1001589","Small intestine","UBERON:0002108",2.55146273964012e-10,0.124747791443399,0.0103321033210332,0.00986524399996991,2.0058921687463,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"Lake_2017_VisualCortex_In2","Adult","Nervous system","Lake_2017_VisualCortex","In2","Inhibitory neuron","CL:0008029","Visual cortex","UBERON:0000411",8.54303798678548e-05,0.0134628804627035,0.0959409594095941,0.00988343700689387,2.00509200140868,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Small_Intestine_plasma cell","Adult","Digestive system","TS_Small_Intestine","plasma cell","Plasma cell","CL:0000786","Small intestine","UBERON:0002108",2.55146273964012e-10,0.131499817118883,0.0103321033210332,0.0103275869782841,1.98600113873533,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Thymus_fast muscle cell","Adult","Lymphatic system","TS_Thymus","fast muscle cell","Cell of skeletal muscle","CL:0000188","Thymus","UBERON:0002370",1.6446356866455e-06,0.0269669318136721,0.0523985239852399,0.0106853427211653,1.97121154373633,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Heart_cardiac muscle cell","Adult","Cardiovascular system","TS_Heart","cardiac muscle cell","Muscle cell","CL:0000187","Heart","UBERON:0000948",4.10738099844094e-11,0.212977004995611,0.00664206642066421,0.0106957097640864,1.97079039048484,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Blood_classical monocyte","Adult","Lymphatic system","TS_Blood","classical monocyte","Monocyte","CL:0000576","Blood","UBERON:0000178",9.64764780497045e-12,0.308658149323816,0.00590405904059041,0.0133169679139369,1.87559464664807,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"AdultGallbladder_Goblet cell","Adult","Digestive system","AdultGallbladder","Goblet cell","Goblet cell","CL:0000160","Gall bladder","UBERON:0002110",0.0005949951369384,0.0158919628703472,0.121033210332103,0.0139520369629467,1.85536238183937,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Blood_plasma cell","Adult","Lymphatic system","TS_Blood","plasma cell","Plasma cell","CL:0000786","Blood","UBERON:0000178",5.09288859355163e-11,0.27238659676222,0.00738007380073801,0.0144927853051586,1.83884814134626,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Lung_type ii pneumocyte","Adult","Respiratory system","TS_Lung","type ii pneumocyte","Pneumocyte","CL:0000322","Lung","UBERON:0002048",2.14508591045674e-10,0.299559383017218,0.00811808118081181,0.0170693899059429,1.76778200115928,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Skin_endothelial cell","Adult","Integumentary system","TS_Skin","endothelial cell","Endothelial cell","CL:0000115","Skin of body","UBERON:0002097",2.52699312820156e-10,0.281938242839735,0.00885608856088561,0.0174599064069298,1.75795808864092,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Small_Intestine_transit amplifying cell of small intestine","Adult","Digestive system","TS_Small_Intestine","transit amplifying cell of small intestine","Transit amplifying cell","CL:0009010","Small intestine","UBERON:0002108",2.55146273964012e-10,0.252995108389336,0.0103321033210332,0.0181589588633441,1.74090905520186,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"Fetal_HCA_Spleen_AFP_ALB positive cells","Fetal","Lymphatic system","Fetal_HCA_Spleen","AFP_ALB positive cells","Hepatocyte","CL:0000182","Spleen","UBERON:0002106",0.00177737416871018,0.0185268997193167,0.152767527675277,0.0194367754175413,1.71137578336691,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"FetalKidney_Ureteric bud cell","Fetal","Urinary system","FetalKidney","Ureteric bud cell","Epithelial cell","CL:0000066","Kidney","UBERON:0002113",0.00183920269194192,0.0202560770264529,0.153505535055351,0.0210610934337527,1.67651908519622,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Bone_Marrow_myeloid progenitor","Adult","Lymphatic system","TS_Bone_Marrow","myeloid progenitor","Myeloid cell","CL:0000763","Bone marrow","UBERON:0002371",2.55853134078765e-10,0.280209065532599,0.0118081180811808,0.0222055855085516,1.65353777102529,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"Madissoon_2020_lung_Alveolar_Type2","Adult","Respiratory system","Madissoon_2020_lung","Alveolar_Type2","Alveolar capillary type 2 endothelial cell","CL:4028003","Lung","UBERON:0002048",0.0011746849112539,0.0253612671713313,0.138376383763838,0.0233456198832953,1.6317945899996,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Salivary_Gland_duct epithelial cell","Adult","Digestive system","TS_Salivary_Gland","duct epithelial cell","Epithelial cell","CL:0000066","Saliva-secreting gland","UBERON:0001044",1.04938965960099e-09,0.27238659676222,0.0132841328413284,0.0239601546806891,1.62051038257852,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"Madissoon_2020_spleen_DC_plasmacytoid","Adult","Lymphatic system","Madissoon_2020_spleen","DC_plasmacytoid","Plasmacytoid dendritic cell","CL:0000784","Spleen","UBERON:0002106",0.00169309995611616,0.0251142418417404,0.152029520295203,0.0250773240057813,1.60071880881134,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Mammary_luminal epithelial cell of mammary gland","Adult","Endocrine system","TS_Mammary","luminal epithelial cell of mammary gland","Epithelial cell","CL:0000066","Mammary gland","UBERON:0001911",1.22559855087664e-09,0.268640045930092,0.014760147601476,0.0258933610184887,1.58681157347225,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Blood_monocyte","Adult","Lymphatic system","TS_Blood","monocyte","Monocyte","CL:0000576","Blood","UBERON:0000178",2.57625433783134e-10,0.32660865660742,0.0125461254612546,0.0266239594147067,1.57472735742296,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Eye_retinal pigment epithelial cell","Adult","Sensory system","TS_Eye","retinal pigment epithelial cell","Retinal pigment epithelial cell","CL:0002586","Eye","UBERON:0000970",1.25166006785659e-09,0.233974158010837,0.0188191881918819,0.0282924459036971,1.54832950582821,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Spleen_hematopoietic stem cell","Adult","Lymphatic system","TS_Spleen","hematopoietic stem cell","Hematopoietic stem cell","CL:0000037","Spleen","UBERON:0002106",1.2416789670699e-09,0.259623621400024,0.0169741697416974,0.0283124734279457,1.54802218824051,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Pancreas_pancreatic ductal cell","Adult","Digestive system","TS_Pancreas","pancreatic ductal cell","Pancreatic ductal cell","CL:0002079","Pancreas","UBERON:0001264",1.05397477820725e-09,0.317139352306436,0.0140221402214022,0.028529693096861,1.54470290016405,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Thymus_fibroblast","Adult","Lymphatic system","TS_Thymus","fibroblast","Fibroblast","CL:0000057","Thymus","UBERON:0002370",1.23337483832275e-09,0.297047958833044,0.0154981549815498,0.029375700811457,1.53201176370172,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Eye_melanocyte","Adult","Sensory system","TS_Eye","melanocyte","Melanocyte","CL:0000148","Eye","UBERON:0000970",1.25166006785659e-09,0.259294254293903,0.0188191881918819,0.0308527795170471,1.51070570441715,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Lymph_Node_macrophage","Adult","Lymphatic system","TS_Lymph_Node","macrophage","Macrophage","CL:0000235","Lymph node","UBERON:0000029",1.24306087186438e-09,0.281114825074432,0.0177121771217712,0.0313811029351058,1.5033317965613,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"FetalAdrenalGland_Hepatocyte/Endodermal cell","Fetal","Endocrine system","FetalAdrenalGland","Hepatocyte/Endodermal cell","Hepatocyte","CL:0000182","Adrenal gland","UBERON:0002369",0.00310490177207148,0.0319074384054898,0.156457564575646,0.0314500424300823,1.50237876430017,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Bone_Marrow_granulocyte","Adult","Lymphatic system","TS_Bone_Marrow","granulocyte","Granulocyte","CL:0000094","Bone marrow","UBERON:0002371",1.23946487351444e-09,0.328131979473231,0.0162361623616236,0.0332168318628852,1.47864179181478,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"Lake_2017_VisualCortex_In1c","Adult","Nervous system","Lake_2017_VisualCortex","In1c","Inhibitory neuron","CL:0008029","Visual cortex","UBERON:0000411",0.00078882188835582,0.0415002553712694,0.136531365313653,0.0349782060838405,1.45620246780952,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Spleen_endothelial cell","Adult","Lymphatic system","TS_Spleen","endothelial cell","Endothelial cell","CL:0000115","Spleen","UBERON:0002106",5.75153300324007e-09,0.27773881223669,0.0214022140221402,0.036410372719262,1.43877487533438,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Bladder_bladder urothelial cell","Adult","Urinary system","TS_Bladder","bladder urothelial cell","Urothelial cell","CL:0000731","Bladder organ","UBERON:0018707",5.7338239023052e-09,0.294824730866726,0.0206642066420664,0.037167572682846,1.42983580061715,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"Placenta_Epithelial cell","Adult","Reproductive system","Placenta","Epithelial cell","Epithelial cell","CL:0000066","Placenta","UBERON:0001987",0.00481043428029408,0.035283451243232,0.174169741697417,0.0374376325701239,1.42669162238691,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"AdultKidney_Epithelial cell","Adult","Urinary system","AdultKidney","Epithelial cell","Epithelial cell","CL:0000066","Kidney","UBERON:0002113",0.00232425318541839,0.0415002553712694,0.154981549815498,0.0388897523782658,1.41016482211598,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"Madissoon_2020_spleen_Plasmablast","Adult","Lymphatic system","Madissoon_2020_spleen","Plasmablast","Plasma cell","CL:0000786","Spleen","UBERON:0002106",0.00448609071729167,0.0380830716452621,0.172693726937269,0.0396195400676674,1.40209057037328,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"AdultIleum_B cell (Plasmocyte)","Adult","Digestive system","AdultIleum","B cell (Plasmocyte)","B cell","CL:0000236","Ileum","UBERON:0002116",0.0239166631729739,0.0286961091208083,0.236531365313653,0.0406754143586285,1.39066801423009,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Bladder_smooth muscle cell","Adult","Urinary system","TS_Bladder","smooth muscle cell","Smooth muscle cell","CL:0000192","Bladder organ","UBERON:0018707",2.53739706421417e-08,0.275433242493841,0.0250922509225092,0.0412919375680919,1.38413473796841,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"van_Zyl_eye_2020_SchwalbeLine","Adult","Sensory system","van_Zyl_eye_2020","SchwalbeLine","Schwalbe line",NA,"Eye","UBERON:0000970",0.00595645430431506,0.0391946856284211,0.176383763837638,0.0413022154947191,1.38402665170136,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"FetalStomach_Fetal enterocyte","Fetal","Digestive system","FetalStomach","Fetal enterocyte","Enterocyte","CL:0000584","Stomach","UBERON:0000945",0.0118107209906491,0.0338012992656867,0.205166051660517,0.0414094922922065,1.38290009420288,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Pancreas_myeloid cell","Adult","Digestive system","TS_Pancreas","myeloid cell","Myeloid cell","CL:0000763","Pancreas","UBERON:0001264",4.92404908153015e-09,0.351187676901714,0.0199261992619926,0.0417221762976659,1.37963304613677,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Large_Intestine_plasma cell","Adult","Digestive system","TS_Large_Intestine","plasma cell","Plasma cell","CL:0000786","Large intestine","UBERON:0000059",1.06774131326649e-07,0.206842542644104,0.0343173431734317,0.0422199115839325,1.37448268051795,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Thymus_macrophage","Adult","Lymphatic system","TS_Thymus","macrophage","Macrophage","CL:0000235","Thymus","UBERON:0002370",2.53082596357133e-08,0.292107452241226,0.0243542435424354,0.0422979200861201,1.37368098764456,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Salivary_Gland_basal cell","Adult","Digestive system","TS_Salivary_Gland","basal cell","Basal cell","CL:0000646","Saliva-secreting gland","UBERON:0001044",2.18994564565412e-08,0.301823781871801,0.0236162361623616,0.0423665807095085,1.37297658530076,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Tongue_keratinocyte","Adult","Digestive system","TS_Tongue","keratinocyte","Keratinocyte","CL:0000312","Tongue","UBERON:0001723",5.76785879177485e-09,0.322409226004375,0.022140221402214,0.0424173451225972,1.37245651721239,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"AdultCervix_Stratified epithelial cell","Adult","Reproductive system","AdultCervix","Stratified epithelial cell","Epithelial cell","CL:0000066","Uterine cervix","UBERON:0000002",0.00231926835718099,0.0469348126222689,0.154243542435424,0.0429166931835292,1.36737374866958,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Large_Intestine_intestinal enteroendocrine cell","Adult","Digestive system","TS_Large_Intestine","intestinal enteroendocrine cell","Endocrine cell","CL:0000163","Large intestine","UBERON:0000059",1.06774131326649e-07,0.211741878347657,0.0343173431734317,0.0430498374558058,1.36602848398222,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Trachea_goblet cell","Adult","Respiratory system","TS_Trachea","goblet cell","Goblet cell","CL:0000160","Trachea","UBERON:0003126",1.63417921971671e-06,0.144839184916791,0.0505535055350554,0.0433239670538765,1.36327178310105,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Skin_muscle cell","Adult","Integumentary system","TS_Skin","muscle cell","Cell of skeletal muscle","CL:0000188","Skin of body","UBERON:0002097",4.28329207531255e-07,0.171229724294751,0.0428044280442804,0.0433596690407313,1.36291404137587,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Salivary_Gland_ionocyte","Adult","Digestive system","TS_Salivary_Gland","ionocyte","Ionocyte","CL:0005006","Saliva-secreting gland","UBERON:0001044",9.32455012759715e-08,0.241714285004685,0.0317343173431734,0.045029371019218,1.34650411932156,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"AdultPeripheralBlood_Neutrophil","Adult","Lymphatic system","AdultPeripheralBlood","Neutrophil","Neutrophil","CL:0000775","Blood","UBERON:0000178",0.00716697036757332,0.0443822175498297,0.177859778597786,0.0461130900695713,1.33617577443645,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Lymph_Node_cd1c-positive myeloid dendritic cell","Adult","Lymphatic system","TS_Lymph_Node","cd1c-positive myeloid dendritic cell","Dendritic cell","CL:0000451","Lymph node","UBERON:0000029",2.54807309624479e-08,0.286549382325431,0.0280442804428044,0.0468005919565549,1.32974865372418,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Eye_corneal epithelial cell","Adult","Sensory system","TS_Eye","corneal epithelial cell","Epithelial cell","CL:0000066","Eye","UBERON:0000970",5.7938427222536e-09,0.360698152090963,0.0228782287822878,0.0478399638807208,1.32020915691282,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Pancreas_pancreatic beta cell","Adult","Digestive system","TS_Pancreas","pancreatic beta cell","Type B pancreatic cell","CL:0000169","Pancreas","UBERON:0001264",3.79004859073622e-07,0.20017285874515,0.0416974169741697,0.0482930376316759,1.3161154766211,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Trachea_basal cell","Adult","Respiratory system","TS_Trachea","basal cell","Basal cell","CL:0000646","Trachea","UBERON:0003126",1.06029994447179e-07,0.274774508281599,0.0324723247232472,0.0510296920041959,1.2921770528961,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Spleen_macrophage","Adult","Lymphatic system","TS_Spleen","macrophage","Macrophage","CL:0000235","Spleen","UBERON:0002106",2.54452428987853e-08,0.341183151053283,0.0261992619926199,0.0511060321395551,1.29152783625841,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Fat_macrophage","Adult","Integumentary system","TS_Fat","macrophage","Macrophage","CL:0000235","Perirenal fat","UBERON:0005406",9.27453233794611e-08,0.299188845022832,0.0298892988929889,0.0511239481129108,1.29137561460236,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Salivary_Gland_plasma cell","Adult","Digestive system","TS_Salivary_Gland","plasma cell","Plasma cell","CL:0000786","Saliva-secreting gland","UBERON:0001044",1.45867008416616e-06,0.183992699656947,0.0490774907749078,0.0515355716649274,1.28789290212411,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Vasculature_fibroblast","Adult","Cardiovascular system","TS_Vasculature","fibroblast","Fibroblast","CL:0000057","Vasculature","UBERON:0002049",8.02711322317833e-08,0.313928023021755,0.0287822878228782,0.0515622442294884,1.28766818838474,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Spleen_classical monocyte","Adult","Lymphatic system","TS_Spleen","classical monocyte","Monocyte","CL:0000576","Spleen","UBERON:0002106",2.54452428987853e-08,0.345629606985919,0.0261992619926199,0.0516548197952895,1.28688914921041,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Fat_mesenchymal stem cell","Adult","Integumentary system","TS_Fat","mesenchymal stem cell","Mesenchymal stem cell","CL:0000134","Perirenal fat","UBERON:0005406",9.27453233794611e-08,0.308081756888104,0.0298892988929889,0.0523738114219242,1.28088581984917,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Pancreas_plasma cell","Adult","Digestive system","TS_Pancreas","plasma cell","Plasma cell","CL:0000786","Pancreas","UBERON:0001264",3.79004859073622e-07,0.221787575084353,0.0416974169741697,0.0525594568060092,1.27934913179249,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"AdultTrachea_Chondrocyte","Adult","Respiratory system","AdultTrachea","Chondrocyte","Chondrocyte","CL:0000138","Trachea","UBERON:0003126",0.0085620525284275,0.0532751294151017,0.178966789667897,0.0538968902192455,1.26843629231945,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Skin_epithelial cell","Adult","Integumentary system","TS_Skin","epithelial cell","Epithelial cell","CL:0000066","Skin of body","UBERON:0002097",0.00418165656797708,0.060850572855889,0.162361623616236,0.0554974249632757,1.2557271673311,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Muscle_mesenchymal stem cell","Adult","Muscular system","TS_Muscle","mesenchymal stem cell","Mesenchymal stem cell","CL:0000134","Muscle organ","UBERON:0001630",2.54726518331303e-08,0.368150082866955,0.0273062730627306,0.0562947464755684,1.24953213238006,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"Fetal_HCA_Eye_Bipolar cells","Fetal","Sensory system","Fetal_HCA_Eye","Bipolar cells","Bipolar neuron","CL:0000103","Eye","UBERON:0000970",0.0110502315482468,0.0505166799013368,0.202214022140221,0.0570403484004098,1.24381783049291,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Bone_Marrow_plasma cell","Adult","Lymphatic system","TS_Bone_Marrow","plasma cell","Plasma cell","CL:0000786","Bone marrow","UBERON:0002371",1.64836457723169e-06,0.188315642924788,0.0553505535055351,0.0579925776550939,1.23662758729413,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Lymph_Node_hematopoietic stem cell","Adult","Lymphatic system","TS_Lymph_Node","hematopoietic stem cell","Hematopoietic stem cell","CL:0000037","Lymph node","UBERON:0000029",4.32371147446105e-07,0.23352127823992,0.0464944649446494,0.0599646377599057,1.2221047855028,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"AdultSigmoidColon_B cell (Plasmocyte)","Adult","Digestive system","AdultSigmoidColon","B cell (Plasmocyte)","B cell","CL:0000236","Sigmoid colon","UBERON:0001159",0.0132262484816621,0.0530281040855108,0.20590405904059,0.0602415157334788,1.2201041094102,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
