"direction","human_symbol","best_muscle_combined_p","best_muscle_combined_log10p","muscle_tissue_cell_type_hits","muscle_specific_cell_type_hits","muscle_general_cell_type_hits"
"Upregulated","ISLR2",0.0967854114877632,1.01419009917747,"Fetal_HCA_Muscle_Lymphatic endothelial cells; TS_Muscle_pericyte cell; TS_Muscle_capillary endothelial cell","Lymphatic endothelial cells; pericyte cell; capillary endothelial cell","Endothelial cell; Pericyte cell; Capillary endothelial cell"
"Upregulated","B3GALNT1",0.104726929858741,0.979941627917999,"TS_Muscle_endothelial cell of artery; TS_Muscle_pericyte cell","endothelial cell of artery; pericyte cell","Endothelial cell; Pericyte cell"
"Upregulated","HLA-F",0.104726929858741,0.979941627917999,"TS_Muscle_endothelial cell of artery; TS_Muscle_pericyte cell; TS_Muscle_endothelial cell of vascular tree; TS_Muscle_t cell; TS_Muscle_capillary endothelial cell; TS_Muscle_mature nk t cell; TS_Muscle_cd4-positive, alpha-beta t cell; AdultMuscle_T cell; FetalMuscle_Erythroid cell","endothelial cell of artery; pericyte cell; endothelial cell of vascular tree; t cell; capillary endothelial cell; mature nk t cell; cd4-positive, alpha-beta t cell; T cell; Erythroid cell","Endothelial cell; Pericyte cell; T cell; Capillary endothelial cell; Natural killer cell; Erythroid lineage cell"
"Upregulated","NEBL",0.104726929858741,0.979941627917999,"TS_Muscle_endothelial cell of artery; TS_Muscle_pericyte cell; TS_Muscle_tendon cell; TS_Muscle_capillary endothelial cell","endothelial cell of artery; pericyte cell; tendon cell; capillary endothelial cell","Endothelial cell; Pericyte cell; Cell of skeletal muscle; Capillary endothelial cell"
"Upregulated","PER3",0.104726929858741,0.979941627917999,"TS_Muscle_endothelial cell of artery","endothelial cell of artery","Endothelial cell"
"Upregulated","STON1",0.104726929858741,0.979941627917999,"TS_Muscle_endothelial cell of artery; TS_Muscle_pericyte cell; TS_Muscle_endothelial cell of vascular tree; TS_Muscle_capillary endothelial cell","endothelial cell of artery; pericyte cell; endothelial cell of vascular tree; capillary endothelial cell","Endothelial cell; Pericyte cell; Capillary endothelial cell"
"Upregulated","ADAMTS10",0.112093194995404,0.950420751951429,"TS_Muscle_pericyte cell; Fetal_HCA_Muscle_Erythroblasts","pericyte cell; Erythroblasts","Pericyte cell; Erythroblast"
"Upregulated","AKAP8L",0.112093194995404,0.950420751951429,"TS_Muscle_pericyte cell; Fetal_HCA_Muscle_Erythroblasts","pericyte cell; Erythroblasts","Pericyte cell; Erythroblast"
"Upregulated","CBX7",0.112093194995404,0.950420751951429,"TS_Muscle_pericyte cell","pericyte cell","Pericyte cell"
"Upregulated","PPM1K",0.112093194995404,0.950420751951429,"TS_Muscle_pericyte cell; TS_Muscle_t cell; TS_Muscle_smooth muscle cell; FetalMuscle_Primordial germ cell","pericyte cell; t cell; smooth muscle cell; Primordial germ cell","Pericyte cell; T cell; Smooth muscle cell; Primordial germ cell"
