"contrast","direction","General_cell_type","best_combined_p","best_combined_log10p","significant_tissue_cell_type_n"
"young CD vs old CD","Downregulated","Leukocyte",0.00019985890277129,3.69927650120257,2
"young CD vs old CD","Downregulated","Duodenum glandular cell",0.00021119443259187,3.67531753465383,1
"young CD vs old CD","Downregulated","Beam A cell",0.00022313101329218,3.65144006232222,1
"young CD vs old CD","Downregulated","Epithelial cell of proximal tubule",0.00022544449625561,3.64696036259735,1
"young CD vs old CD","Downregulated","Endocardial cell",0.00022709552405442,3.64379142543514,1
"young CD vs old CD","Downregulated","Kidney loop of Henle epithelial cell",0.00023599047638023,3.62710552304247,2
"young CD vs old CD","Downregulated","Alveolar capillary type 2 endothelial cell",0.00024648908061619,3.60820231506087,3
"young CD vs old CD","Downregulated","Astrocyte",0.0002738380887588,3.56250614499931,2
"young CD vs old CD","Downregulated","Capillary endothelial cell",0.00027416193836671,3.56199283803912,4
"young CD vs old CD","Downregulated","Fetal cardiomyocyte",0.00028192266692417,3.5498700049218,2
"young CD vs old CD","Downregulated","Adventitial cell",0.00040409745083036,3.3935138892104,1
"young CD vs old CD","Downregulated","Myofibroblast cell",0.0004387637230393,3.35776928705708,2
"young CD vs old CD","Downregulated","Myometrial cell",0.0005456015828511,3.26312437841297,1
"young CD vs old CD","Downregulated","Alveolar capillary type 1 endothelial cell",0.00055311798458357,3.25718222025363,2
"young CD vs old CD","Downregulated","Platelet",0.00060215137548091,3.22029431726053,1
"young CD vs old CD","Downregulated","Serous cell of epithelium of trachea",0.00075455357233622,3.12230992044233,1
"old ID vs old CD","Downregulated","B cell",0.00092330389336936,3.03465533311124,4
"young CD vs old CD","Downregulated","Megakaryocyte",0.00094480041499334,3.02465992463536,2
"young CD vs old CD","Downregulated","Cerebellar granule cell",0.00192352732725598,2.71590163935864,1
"young CD vs old CD","Downregulated","Epicardial adipocyte",0.00212223835640346,2.67320584048305,2
"young CD vs old CD","Downregulated","Trabecular meshwork cell",0.0023275689943818,2.63309743669025,1
"young CD vs old CD","Downregulated","Inflammatory cell",0.00233437031566475,2.63183024799387,1
"old ID vs old CD","Downregulated","Hepatocyte",0.00291447789019061,2.53543923497642,5
"young CD vs old CD","Downregulated","Luminal cell of prostate epithelium",0.00326652514042913,2.48591399496456,1
"old ID vs old CD","Downregulated","Thyroid follicular cell",0.00363195235933789,2.43985985679533,1
"old ID vs old CD","Downregulated","Enterocyte",0.00438121660226531,2.35840527527578,4
"old ID vs old CD","Downregulated","Epithelial cell",0.00478339896333679,2.32026339492781,8
"young CD vs old CD","Downregulated","Type B pancreatic cell",0.00499114338828244,2.30179995330652,2
"old ID vs old CD","Downregulated","Intestinal crypt stem cell",0.00718719742181728,2.14344042554422,1
"young CD vs old CD","Downregulated","Mucus secreting cell",0.00786836299986771,2.10411561250424,1
"young CD vs old CD","Downregulated","Erythroblast",0.0079359549300082,2.10040080729847,2
"old ID vs old CD","Downregulated","Paneth cell",0.00977743161004985,2.00977521311368,1
"old ID vs old CD","Downregulated","Duodenum glandular cell",0.00986524399996991,2.0058921687463,1
"old ID vs old CD","Downregulated","Inhibitory neuron",0.00988343700689387,2.00509200140868,2
