"contrast","direction","General_cell_type","best_combined_p","best_combined_log10p","significant_tissue_cell_type_n"
"old ID vs old CD","Upregulated","Kupffer cell",0.00105701424411309,2.97591916018734,1
"old ID vs old CD","Upregulated","Professional antigen presenting cell",0.00109400164758511,2.96098202394721,3
"young CD vs old CD","Upregulated","Erythrocyte",0.00131184169915199,2.88211856841509,4
"old ID vs old CD","Upregulated","Mesothelial cell",0.00141152406682055,2.85031171262988,3
"old ID vs old CD","Upregulated","Schwann cell",0.0019514116807684,2.70965109973652,5
"young CD vs old CD","Upregulated","Pancreatic stellate cell",0.00241953959111418,2.61626726710289,1
"young CD vs old CD","Upregulated","Inhibitory neuron",0.00249956290785247,2.60213592864958,1
"young CD vs old CD","Upregulated","Dendritic cell",0.00252449814257916,2.59782494450421,5
"young CD vs old CD","Upregulated","Keratinocyte",0.00257712577141911,2.5888643860667,1
"young CD vs old CD","Upregulated","Peptic cell",0.0025938907012667,2.58604832772642,1
"young CD vs old CD","Upregulated","Plasma cell",0.00271465901632273,2.56628471363667,7
"young CD vs old CD","Upregulated","Platelet",0.00283934727203072,2.54678148697283,1
"old ID vs old CD","Upregulated","Immune cell",0.00318488957384999,2.49690562087933,1
"young CD vs old CD","Upregulated","Astrocyte",0.00348377878686301,2.45794942963878,3
"old ID vs old CD","Upregulated","Endocardial cell",0.00358716660851932,2.44524845173769,1
"old ID vs old CD","Upregulated","Pancreatic D cell",0.00363668690199459,2.43929408761432,1
"young CD vs old CD","Upregulated","Thymocyte",0.0037933747659421,2.42097424911357,2
"young CD vs old CD","Upregulated","Endocrine cell",0.00429749438762794,2.36678468181341,2
"young CD vs old CD","Upregulated","Trophoblast cell",0.00444149587445875,2.35247073695491,1
"young CD vs old CD","Upregulated","Mesangial cell",0.00640551884258134,2.19344568694287,1
"old ID vs old CD","Upregulated","Epithelial cell",0.00651624769816384,2.18600241547753,4
"young CD vs old CD","Upregulated","Paneth cell",0.00662278776825109,2.17895916199286,2
"old ID vs old CD","Upregulated","Mesangial cell",0.00718613136842061,2.14350484779674,1
"old ID vs old CD","Upregulated","Melanocyte",0.00838123025159754,2.07669222811616,1
"young CD vs old CD","Upregulated","Mueller cell",0.00841852799054166,2.07476383979162,1
"old ID vs old CD","Upregulated","Neutrophil",0.0084409556197268,2.07360838312783,2
"old ID vs old CD","Upregulated","Hepatic stellate cell",0.0084565244811472,2.07280808953644,1
"young CD vs old CD","Upregulated","B cell",0.00878484977345251,2.05626566081848,8
"young CD vs old CD","Upregulated","Epithelial fate stem cell",0.00893188744048035,2.04905675853906,1
"old ID vs old CD","Upregulated","Pericyte cell",0.00935425403975865,2.02899083984047,4
"young CD vs old CD","Upregulated","Fetal cardiomyocyte",0.00966230047854844,2.01491946093495,1
"young CD vs old CD","Upregulated","Urothelial cell",0.0122307345296717,1.91254746016698,1
"young CD vs old CD","Upregulated","Transit amplifying cell",0.0122913396519397,1.91040078011289,2
"old ID vs old CD","Upregulated","Muscle cell",0.0128100783902366,1.89244821261729,1
"young CD vs old CD","Upregulated","Ionocyte",0.0135301578933867,1.86869713527034,1
"old ID vs old CD","Upregulated","T cell",0.0137800681666976,1.86074863407227,4
"old ID vs old CD","Upregulated","Inhibitory neuron",0.013875232465577,1.8577597319767,1
"young CD vs old CD","Upregulated","Erythroblast",0.0139546970976309,1.85527958592241,1
"young CD vs old CD","Upregulated","Pancreatic A cell",0.0143889459445672,1.84197101893515,1
"young CD vs old CD","Upregulated","Cerebellar granule cell",0.015087668376399,1.82137787019813,1
"old ID vs old CD","Upregulated","Hematopoietic stem cell",0.0186786237655173,1.72865512559307,1
"young CD vs old CD","Upregulated","Bipolar neuron",0.0193492022110946,1.71333693671546,1
"old ID vs old CD","Upregulated","Pancreatic stellate cell",0.0200587702336624,1.69769569629595,1
"young CD vs old CD","Upregulated","Alveolar capillary type 1 endothelial cell",0.0220724048807688,1.65615034606136,1
"old ID vs old CD","Upregulated","Excitatory neuron",0.0221125326865611,1.65536151211127,2
"young CD vs old CD","Upregulated","Langerhans cell",0.0233380629735861,1.63193519262624,1
"old ID vs old CD","Upregulated","Club cell",0.0235708914323643,1.62762399249324,1
"old ID vs old CD","Upregulated","Capillary endothelial cell",0.0237236758537281,1.62481801854104,3
"young CD vs old CD","Upregulated","Duodenum glandular cell",0.0267640212720373,1.57244863361533,1
"old ID vs old CD","Upregulated","Megakaryocyte",0.0293740658474313,1.53203593591193,2
"old ID vs old CD","Upregulated","Glial cell",0.0316624465954486,1.49945552971846,1
"old ID vs old CD","Upregulated","Astrocyte",0.0341491300991734,1.46662035487969,1
"young CD vs old CD","Upregulated","Excitatory neuron",0.0379079061004992,1.42127020381186,1
"old ID vs old CD","Upregulated","Mueller cell",0.0409833117141676,1.38739295074017,1
"old ID vs old CD","Upregulated","Chondrocyte",0.0445671502471378,1.35098513507494,1
"old ID vs old CD","Upregulated","Trophoblast cell",0.0452998309610541,1.34390341857919,1
"old ID vs old CD","Upregulated","Natural killer cell",0.0502681227809454,1.29870733281647,0
"young CD vs old CD","Upregulated","Purkinje cell",0.0546067823142401,1.26275341336265,0
"old ID vs old CD","Upregulated","Skeletal muscle satellite cell",0.0568218483719273,1.24548464311093,0
"old ID vs old CD","Upregulated","Basal cell",0.057356556511073,1.24141693009358,0
"old ID vs old CD","Upregulated","Pancreatic PP cell",0.0607690487199998,1.21631756205467,0
"young CD vs old CD","Upregulated","Oligodendrocyte",0.0655779585398013,1.18324210716496,0
"young CD vs old CD","Upregulated","Hepatic stellate cell",0.0671107009886428,1.17320822484174,0
"old ID vs old CD","Upregulated","Neuron",0.0686853313972853,1.16313600200037,0
"young CD vs old CD","Upregulated","Microglial cell",0.0773426961646103,1.11158069250341,0
"old ID vs old CD","Upregulated","Myometrial cell",0.0797963503716421,1.0980169714275,0
"old ID vs old CD","Upregulated","Erythroid lineage cell",0.0838032401210383,1.0767391897291,0
"young CD vs old CD","Upregulated","Neuron",0.0842492675384082,1.0744338661885,0
"young CD vs old CD","Upregulated","Cortical cell of adrenal gland",0.0862502167608871,1.06423980480032,0
"young CD vs old CD","Upregulated","Plasmacytoid dendritic cell",0.0986072829115254,1.00609100786324,0
"old ID vs old CD","Upregulated","Enteric neural system glia",0.106748903644697,0.971636576663626,0
"old ID vs old CD","Upregulated","Hofbauer cell",0.114384467235008,0.941632946278348,0
"old ID vs old CD","Upregulated","Myofibroblast cell",0.116782766799907,0.932621239722701,0
"old ID vs old CD","Upregulated","Cell of skeletal muscle",0.118984759286547,0.924508663663307,0
"young CD vs old CD","Upregulated","Chondrocyte",0.142190702007468,0.847128801629271,0
"old ID vs old CD","Upregulated","Alveolar capillary type 1 endothelial cell",0.144852946956894,0.839072664877903,0
"old ID vs old CD","Upregulated","Salivary gland cell",0.152005902803972,0.818139546888009,0
"old ID vs old CD","Upregulated","Stem cell",0.164239049853236,0.784523576086869,0
"old ID vs old CD","Upregulated","B cell",0.165372156774955,0.78153760951684,0
"young CD vs old CD","Upregulated","Erythroid lineage cell",0.168477256862279,0.773458717260642,0
"old ID vs old CD","Upregulated","Type B pancreatic cell",0.170958154865964,0.767110178115013,0
"old ID vs old CD","Upregulated","Oligodendrocyte",0.176464272820731,0.753343209185002,0
"young CD vs old CD","Upregulated","Type B pancreatic cell",0.186132347806311,0.73017814458565,0
"old ID vs old CD","Upregulated","Goblet cell",0.187473441087909,0.727060249034676,0
"young CD vs old CD","Upregulated","Megakaryocyte",0.205472760726491,0.687245743862252,0
"old ID vs old CD","Upregulated","Pancreatic A cell",0.220676396820036,0.656244115768996,0
"young CD vs old CD","Upregulated","Ciliated cell",0.223568005464762,0.650590347674295,0
"old ID vs old CD","Upregulated","Epicardial adipocyte",0.223998000989085,0.649755857394781,0
"old ID vs old CD","Upregulated","Bipolar neuron",0.226709061715458,0.644531120480595,0
"old ID vs old CD","Upregulated","Mast cell",0.238903354633263,0.6217777519308,0
"old ID vs old CD","Upregulated","Beam B cell",0.282363070770991,0.549192103686522,0
"young CD vs old CD","Upregulated","Schwann cell",0.293258776224828,0.532748982080354,0
"old ID vs old CD","Upregulated","Epithelial fate stem cell",0.299616542156092,0.523434212438582,0
"old ID vs old CD","Upregulated","Oligodendrocyte precursor cell",0.300621300059959,0.521980251391221,0
"old ID vs old CD","Upregulated","Leukocyte",0.303664519196691,0.517605949001302,0
"young CD vs old CD","Upregulated","Lens fibre cell",0.308527125176874,0.510706647524518,0
"old ID vs old CD","Upregulated","B/T doublet",0.312225170869496,0.505532088047861,0
"old ID vs old CD","Upregulated","Lens fibre cell",0.325425014738402,0.48754906681002,0
"young CD vs old CD","Upregulated","Schwalbe line",0.329934309986892,0.481572519667772,0
"old ID vs old CD","Upregulated","Hepatoblast",0.333280079829671,0.477190643370941,0
"young CD vs old CD","Upregulated","Intrahepatic cholangiocyte",0.337332362628453,0.471941991936375,0
"young CD vs old CD","Upregulated","Mesothelial cell",0.338897825635628,0.469931217581854,0
"young CD vs old CD","Upregulated","Oligodendrocyte precursor cell",0.340023697890923,0.468490813826546,0
"young CD vs old CD","Upregulated","Immune cell",0.361248204646486,0.442194302613421,0
"old ID vs old CD","Upregulated","Pancreatic ductal cell",0.364954805258871,0.43776091374066,0
"old ID vs old CD","Upregulated","Plasmacytoid dendritic cell",0.371926166236724,0.429543266512042,0
"young CD vs old CD","Upregulated","Hofbauer cell",0.380037322214475,0.42017375065723,0
"old ID vs old CD","Upregulated","Sertoli cell",0.382876360944358,0.416941446471171,0
"old ID vs old CD","Upregulated","Hepatocyte",0.395290719142146,0.403083382147466,0
"old ID vs old CD","Upregulated","Ciliated cell",0.403887480694995,0.393739608452558,0
"old ID vs old CD","Upregulated","Erythroblast",0.411551469008548,0.385575843784353,0
"old ID vs old CD","Upregulated","Pneumocyte",0.424523797185657,0.372097959844669,0
"old ID vs old CD","Upregulated","Luminal cell of prostate epithelium",0.433158479391338,0.363353179552351,0
"old ID vs old CD","Upregulated","Enterocyte",0.436759695580432,0.359757445382597,0
"old ID vs old CD","Upregulated","Endocrine cell",0.439266324239544,0.357272090059369,0
"old ID vs old CD","Upregulated","Ionocyte",0.450957295578354,0.345864582673675,0
"young CD vs old CD","Upregulated","Unknown",0.457576606084197,0.339536187248803,0
"young CD vs old CD","Upregulated","Kidney loop of Henle epithelial cell",0.46035844840729,0.336903882352836,0
"old ID vs old CD","Upregulated","Trabecular meshwork cell",0.474032044122756,0.324192299432865,0
"old ID vs old CD","Upregulated","Thymocyte",0.476568934054862,0.321874271280962,0
"old ID vs old CD","Upregulated","Platelet",0.481813245651846,0.317121264872268,0
"young CD vs old CD","Upregulated","Basophil",0.489462332431927,0.310280724588949,0
"old ID vs old CD","Upregulated","Urothelial cell",0.50163559191603,0.299611657136759,0
"young CD vs old CD","Upregulated","Enteric neural system glia",0.515294200789987,0.287944745136597,0
"old ID vs old CD","Upregulated","Retinal pigment epithelial cell",0.521270051881029,0.282937225536103,0
"young CD vs old CD","Upregulated","Pancreas exocrine glandular cell",0.525466971111934,0.279454576904311,0
"old ID vs old CD","Upregulated","Acinar cell",0.529314360666036,0.276286323138127,0
"old ID vs old CD","Upregulated","Photoreceptor cell",0.561717329519299,0.250482177515151,0
"old ID vs old CD","Upregulated","Duodenum glandular cell",0.56996522770642,0.244151638846574,0
"old ID vs old CD","Upregulated","Granulocyte",0.570314169896043,0.243885837899007,0
"old ID vs old CD","Upregulated","Enteric neuron",0.587891640086615,0.230702715504176,0
"young CD vs old CD","Upregulated","Serous cell of epithelium of trachea",0.626269967728204,0.203238414041379,0
"young CD vs old CD","Upregulated","ENS glia",0.633706313147744,0.198111966298192,0
"old ID vs old CD","Upregulated","Fetal cardiomyocyte",0.634013954246752,0.197901183465788,0
"young CD vs old CD","Upregulated","Professional antigen presenting cell",0.634557079502434,0.197529306275371,0
"old ID vs old CD","Upregulated","Paneth cell",0.634989006606195,0.197233793466442,0
"old ID vs old CD","Upregulated","Alveolar capillary type 2 endothelial cell",0.645898433388169,0.189835768826875,0
"old ID vs old CD","Upregulated","Cerebellar granule cell",0.65207391440575,0.185703172981064,0
"young CD vs old CD","Upregulated","Alveolar capillary type 2 endothelial cell",0.684695181658096,0.164502728342209,0
"old ID vs old CD","Upregulated","Unknown",0.692388262569478,0.159650302934879,0
"old ID vs old CD","Upregulated","Basophil",0.713304495890781,0.146725038653642,0
"old ID vs old CD","Upregulated","Purkinje cell",0.71429831778849,0.146120372661453,0
"young CD vs old CD","Upregulated","Mucus secreting cell",0.717424612528707,0.144223728159011,0
"old ID vs old CD","Upregulated","Erythroid progenitor cell",0.726498043606883,0.138765550879902,0
"old ID vs old CD","Upregulated","Intestinal tuft cell",0.731497349307456,0.135787243268309,0
"young CD vs old CD","Upregulated","Retina horizontal cell",0.732185484287953,0.135378885337214,0
"young CD vs old CD","Upregulated","Primordial germ cell",0.746514099151002,0.126961985493335,0
"old ID vs old CD","Upregulated","Intestinal crypt stem cell",0.748369718079752,0.125883794043403,0
"old ID vs old CD","Upregulated","Kidney loop of Henle epithelial cell",0.758850348755567,0.11984386194086,0
"old ID vs old CD","Upregulated","Cholangiocyte",0.76140852033897,0.118382267637892,0
"old ID vs old CD","Upregulated","ENS neuron",0.766579586479328,0.115442749910031,0
"old ID vs old CD","Upregulated","Erythrocyte",0.769559442022155,0.113757828925186,0
"old ID vs old CD","Upregulated","ENS glia",0.777457195272134,0.109323512743384,0
"old ID vs old CD","Upregulated","Langerhans cell",0.778486506803274,0.108748910483999,0
"old ID vs old CD","Upregulated","Retina horizontal cell",0.808210860006836,0.0924753181975597,0
"old ID vs old CD","Upregulated","Plasma cell",0.810868285429704,0.0910496853162587,0
"old ID vs old CD","Upregulated","Retinal ganglion cell",0.816110324376598,0.0882511279749423,0
"old ID vs old CD","Upregulated","Renal intercalated cell",0.816218601681148,0.0881935118472125,0
"young CD vs old CD","Upregulated","Epithelial cell of proximal tubule",0.819850172252874,0.086265507749416,0
"old ID vs old CD","Upregulated","Serous cell of epithelium of trachea",0.83406744885395,0.0787988276828385,0
"young CD vs old CD","Upregulated","Beam A cell",0.84748440827242,0.071868283052361,0
"young CD vs old CD","Upregulated","Enteric neuron",0.850742645688662,0.0702017965085413,0
"young CD vs old CD","Upregulated","Endocardial cell",0.853155362740397,0.0689718750025623,0
"young CD vs old CD","Upregulated","ENS neuron",0.853659084789411,0.0687155334735019,0
"old ID vs old CD","Upregulated","Epithelial cell of proximal tubule",0.854413254015336,0.0683320233058309,0
"young CD vs old CD","Upregulated","Retinal ganglion cell",0.865655188908446,0.0626550633808173,0
"young CD vs old CD","Upregulated","B/T doublet",0.86783058302761,0.0615650490603522,0
"young CD vs old CD","Upregulated","Leukocyte",0.876838314589122,0.0570804813835683,0
"young CD vs old CD","Upregulated","Renal intercalated cell",0.878166959467911,0.0564229070069721,0
"old ID vs old CD","Upregulated","Transit amplifying cell",0.879756644034207,0.0556374446331539,0
"young CD vs old CD","Upregulated","Pancreatic PP cell",0.884370623388227,0.0533656920457027,0
"young CD vs old CD","Upregulated","Hepatoblast",0.885221455004002,0.0529480686750448,0
"young CD vs old CD","Upregulated","Type II cell of adrenal cortex",0.885715513313245,0.0527057485847784,0
"young CD vs old CD","Upregulated","Inflammatory cell",0.886779899440614,0.0521841595595339,0
"old ID vs old CD","Upregulated","Intrahepatic cholangiocyte",0.890014014581189,0.0506031546951364,0
"young CD vs old CD","Upregulated","Beam B cell",0.896552231352886,0.0474244042305528,0
"old ID vs old CD","Upregulated","Primordial germ cell",0.899368060006721,0.0460625399492451,0
"young CD vs old CD","Upregulated","Trabecular meshwork cell",0.904104177843164,0.0437815238878562,0
"young CD vs old CD","Upregulated","Pancreatic D cell",0.906117245387835,0.0428156039451118,0
"old ID vs old CD","Upregulated","Peptic cell",0.907008547280465,0.0423886203056701,0
"old ID vs old CD","Upregulated","Cortical cell of adrenal gland",0.915188615997797,0.0384893906927553,0
"old ID vs old CD","Upregulated","Keratinocyte",0.928100425860752,0.0324050280511657,0
"old ID vs old CD","Upregulated","Pancreas exocrine glandular cell",0.943854650857233,0.0250948798447568,0
"young CD vs old CD","Upregulated","Thyroid follicular cell",0.949922978386513,0.0223116067298746,0
"young CD vs old CD","Upregulated","Kupffer cell",0.951305034216794,0.0216802050016044,0
"old ID vs old CD","Upregulated","Kidney cell",0.951470373738221,0.0216047299437738,0
"old ID vs old CD","Upregulated","Thyroid follicular cell",0.951953850399104,0.0213841051899187,0
"young CD vs old CD","Upregulated","Cholangiocyte",0.956603472421154,0.0192680469946746,0
"old ID vs old CD","Upregulated","Schwalbe line",0.958795250557363,0.0182741259335841,0
"old ID vs old CD","Upregulated","Inflammatory cell",0.962042776854653,0.0168056167990928,0
"old ID vs old CD","Upregulated","Type II cell of adrenal cortex",0.962089901317904,0.016784343947601,0
"old ID vs old CD","Upregulated","Mucus secreting cell",0.967452914530023,0.0143701626991298,0
"young CD vs old CD","Upregulated","Kidney cell",0.968843116535399,0.0137465419782062,0
