"contrast","direction","Developmental_stage","human_symbol","primary_tissue","primary_organ_system","primary_specific_cell_type","primary_general_cell_type","primary_tissue_cell_type_name","input_list_combined_p","input_list_combined_log10p","input_list_raw_p","input_list_permutated_p","input_list_rank_p","webcsea_job"
"old ID vs old CD","Downregulated","Adult","CELA1","Large intestine","Digestive system","plasma cell","Plasma cell","TS_Large_Intestine_plasma cell",0.0422199115839325,1.37448268051795,1.06774131326649e-07,0.206842542644104,0.0343173431734317,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","CLN5","Thyroid gland","Endocrine system","Thyroid follicular cell","Thyroid follicular cell","AdultThyroid_Thyroid follicular cell",0.00363195235933789,2.43985985679533,0.00013272784506475,0.00424060149131026,0.0974169741697417,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","COA3","Spleen","Lymphatic system","plasma cell","Plasma cell","TS_Spleen_plasma cell",0.0010895601536518,2.96274878774184,3.78370741991721e-18,0.145621431793829,0.0007380073800738,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","COPZ1","Spleen","Lymphatic system","Plasma_IgG","Plasma cell","Madissoon_2020_spleen_Plasma_IgG",3.5030534605851e-05,4.45555323480336,4.83836995131892e-06,4.11708882651482e-05,0.0612546125461255,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","COX10","Small intestine","Digestive system","immature enterocyte","Enterocyte","TS_Small_Intestine_immature enterocyte",0.00438121660226531,2.35840527527578,5.05216904721864e-14,0.23063931606136,0.0022140221402214,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","CSGALNACT2","Blood","Lymphatic system","classical monocyte","Monocyte","TS_Blood_classical monocyte",0.0133169679139369,1.87559464664807,9.64764780497045e-12,0.308658149323816,0.00590405904059041,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Fetal","CSTB","Intestine","Digestive system","Hepatocyte/Endodermal cell","Hepatocyte","FetalIntestine_Hepatocyte/Endodermal cell",0.00291447789019061,2.53543923497642,9.16848343300666e-05,0.003334841949477,0.0966789667896679,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","CUTA","Spleen","Lymphatic system","Plasma_IgG","Plasma cell","Madissoon_2020_spleen_Plasma_IgG",3.5030534605851e-05,4.45555323480336,4.83836995131892e-06,4.11708882651482e-05,0.0612546125461255,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","CYB5R1","Caecum","Digestive system","B cell (Plasmocyte)","B cell","AdultEpityphlon_B cell (Plasmocyte)",0.00092330389336936,3.03465533311124,0.0007168810884069,0.00065873421224237,0.135793357933579,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","CYP4F2","Small intestine","Digestive system","immature enterocyte","Enterocyte","TS_Small_Intestine_immature enterocyte",0.00438121660226531,2.35840527527578,5.05216904721864e-14,0.23063931606136,0.0022140221402214,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","DCTN3","Spleen","Lymphatic system","plasma cell","Plasma cell","TS_Spleen_plasma cell",0.0010895601536518,2.96274878774184,3.78370741991721e-18,0.145621431793829,0.0007380073800738,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","DDAH1","Small intestine","Digestive system","immature enterocyte","Enterocyte","TS_Small_Intestine_immature enterocyte",0.00438121660226531,2.35840527527578,5.05216904721864e-14,0.23063931606136,0.0022140221402214,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Fetal","DDC","Intestine","Digestive system","Hepatocyte/Endodermal cell","Hepatocyte","FetalIntestine_Hepatocyte/Endodermal cell",0.00291447789019061,2.53543923497642,9.16848343300666e-05,0.003334841949477,0.0966789667896679,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","DERA","Spleen","Lymphatic system","plasma cell","Plasma cell","TS_Spleen_plasma cell",0.0010895601536518,2.96274878774184,3.78370741991721e-18,0.145621431793829,0.0007380073800738,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","DFFA","Heart","Cardiovascular system","cardiac muscle cell","Muscle cell","TS_Heart_cardiac muscle cell",0.0106957097640864,1.97079039048484,4.10738099844094e-11,0.212977004995611,0.00664206642066421,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","DNM1L","Heart","Cardiovascular system","cardiac muscle cell","Muscle cell","TS_Heart_cardiac muscle cell",0.0106957097640864,1.97079039048484,4.10738099844094e-11,0.212977004995611,0.00664206642066421,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","EIF5B","Spleen","Lymphatic system","Plasma_IgG","Plasma cell","Madissoon_2020_spleen_Plasma_IgG",3.5030534605851e-05,4.45555323480336,4.83836995131892e-06,4.11708882651482e-05,0.0612546125461255,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","EPHA7","Heart","Cardiovascular system","cardiac muscle cell","Muscle cell","TS_Heart_cardiac muscle cell",0.0106957097640864,1.97079039048484,4.10738099844094e-11,0.212977004995611,0.00664206642066421,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Fetal","F10","Intestine","Digestive system","Hepatocyte/Endodermal cell","Hepatocyte","FetalIntestine_Hepatocyte/Endodermal cell",0.00291447789019061,2.53543923497642,9.16848343300666e-05,0.003334841949477,0.0966789667896679,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Fetal","FAM169A","Placenta","Reproductive system","AFP_ALB positive cells","Hepatocyte","Fetal_HCA_Placenta_AFP_ALB positive cells",0.00298641741363326,2.52484949072748,0.0001779227832735,0.00337601283774215,0.0981549815498155,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","FAM83H","Small intestine","Digestive system","immature enterocyte","Enterocyte","TS_Small_Intestine_immature enterocyte",0.00438121660226531,2.35840527527578,5.05216904721864e-14,0.23063931606136,0.0022140221402214,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","FASTKD3","Visual cortex","Nervous system","In2","Inhibitory neuron","Lake_2017_VisualCortex_In2",0.00988343700689387,2.00509200140868,8.54303798678548e-05,0.0134628804627035,0.0959409594095941,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","FAT3","Bladder organ","Urinary system","smooth muscle cell","Smooth muscle cell","TS_Bladder_smooth muscle cell",0.0412919375680919,1.38413473796841,2.53739706421417e-08,0.275433242493841,0.0250922509225092,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Fetal","FOLH1","Intestine","Digestive system","Hepatocyte/Endodermal cell","Hepatocyte","FetalIntestine_Hepatocyte/Endodermal cell",0.00291447789019061,2.53543923497642,9.16848343300666e-05,0.003334841949477,0.0966789667896679,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","FUCA2","Spleen","Lymphatic system","Plasma_IgG","Plasma cell","Madissoon_2020_spleen_Plasma_IgG",3.5030534605851e-05,4.45555323480336,4.83836995131892e-06,4.11708882651482e-05,0.0612546125461255,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","G3BP2","Heart","Cardiovascular system","cardiac muscle cell","Muscle cell","TS_Heart_cardiac muscle cell",0.0106957097640864,1.97079039048484,4.10738099844094e-11,0.212977004995611,0.00664206642066421,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Fetal","GC","Placenta","Reproductive system","AFP_ALB positive cells","Hepatocyte","Fetal_HCA_Placenta_AFP_ALB positive cells",0.00298641741363326,2.52484949072748,0.0001779227832735,0.00337601283774215,0.0981549815498155,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","GDPD1","Small intestine","Digestive system","paneth cell of epithelium of small intestine","Paneth cell","TS_Small_Intestine_paneth cell of epithelium of small intestine",0.00977743161004985,2.00977521311368,9.53816188965385e-12,0.246942987814359,0.00516605166051661,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","GINS2","Spleen","Lymphatic system","plasma cell","Plasma cell","TS_Spleen_plasma cell",0.0010895601536518,2.96274878774184,3.78370741991721e-18,0.145621431793829,0.0007380073800738,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","GLRX","Spleen","Lymphatic system","Plasma_IgG","Plasma cell","Madissoon_2020_spleen_Plasma_IgG",3.5030534605851e-05,4.45555323480336,4.83836995131892e-06,4.11708882651482e-05,0.0612546125461255,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","GNB3","Spleen","Lymphatic system","Plasma_IgM","Plasma cell","Madissoon_2020_spleen_Plasma_IgM",0.00011596115612277,3.93568746341673,1.76580381581566e-05,0.00012351266479544,0.0745387453874539,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","GSTA3","Fallopian tube","Reproductive system","Stratified epithelial cell","Epithelial cell","AdultFallopiantube_Stratified epithelial cell",0.00478339896333679,2.32026339492781,0.00041568726703343,0.00489933570355263,0.115129151291513,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","GTF2A1","Spleen","Lymphatic system","Plasma_IgG","Plasma cell","Madissoon_2020_spleen_Plasma_IgG",3.5030534605851e-05,4.45555323480336,4.83836995131892e-06,4.11708882651482e-05,0.0612546125461255,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","HAGHL","Heart","Cardiovascular system","cardiac muscle cell","Muscle cell","TS_Heart_cardiac muscle cell",0.0106957097640864,1.97079039048484,4.10738099844094e-11,0.212977004995611,0.00664206642066421,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Fetal","HEBP1","Intestine","Digestive system","Hepatocyte/Endodermal cell","Hepatocyte","FetalIntestine_Hepatocyte/Endodermal cell",0.00291447789019061,2.53543923497642,9.16848343300666e-05,0.003334841949477,0.0966789667896679,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","HOXA10","Large intestine","Digestive system","immature enterocyte","Enterocyte","TS_Large_Intestine_immature enterocyte",0.00898738283654676,2.04636675822496,9.50276046720204e-12,0.261517482260221,0.0044280442804428,"JOB2770_IDvCD_downregulated"
