plate,assay_group,well_id,raw_sample_id,sample,sample_suffix,sampling_tissue,sampling_time,sampling_month,diet,cohort,animal,age,group,cytokine,concentration_pg_ml,mfi
Plate 1,Unknown Group 1,22,1M2_sys_sac,1M2,sys_sac,systemic blood,sacrificed sample,N/A,CD,1,2,Old,Old CD,IL-17A,24.97808587839473,3499.0564
Plate 1,Unknown Group 1,22,1M2_sys_sac,1M2,sys_sac,systemic blood,sacrificed sample,N/A,CD,1,2,Old,Old CD,IL-17F,N/A,2434.84814
Plate 1,Unknown Group 1,22,1M2_sys_sac,1M2,sys_sac,systemic blood,sacrificed sample,N/A,CD,1,2,Old,Old CD,IL-1a,78.39500127547089,9231.50195
Plate 1,Unknown Group 1,22,1M2_sys_sac,1M2,sys_sac,systemic blood,sacrificed sample,N/A,CD,1,2,Old,Old CD,IL-6,75.31974870751489,4844.49316
Plate 1,Unknown Group 1,22,1M2_sys_sac,1M2,sys_sac,systemic blood,sacrificed sample,N/A,CD,1,2,Old,Old CD,IL-7,2.139731529197071,4224.03223
Plate 1,Unknown Group 1,22,1M2_sys_sac,1M2,sys_sac,systemic blood,sacrificed sample,N/A,CD,1,2,Old,Old CD,TNF-alpha,31.921629988306496,3186.75659
Plate 1,Unknown Group 1,23,1M4_sys_sac,1M4,sys_sac,systemic blood,sacrificed sample,N/A,CD,1,4,Old,Old CD,GDF-15,286.128984326697,54778.875
Plate 1,Unknown Group 1,23,1M4_sys_sac,1M4,sys_sac,systemic blood,sacrificed sample,N/A,CD,1,4,Old,Old CD,IFN-gamma,N/A,1442.78931
Plate 1,Unknown Group 1,23,1M4_sys_sac,1M4,sys_sac,systemic blood,sacrificed sample,N/A,CD,1,4,Old,Old CD,IL-10,N/A,3205.31934
Plate 1,Unknown Group 1,23,1M4_sys_sac,1M4,sys_sac,systemic blood,sacrificed sample,N/A,CD,1,4,Old,Old CD,IL-17A,20.981668398487425,3441.37402
Plate 1,Unknown Group 1,23,1M4_sys_sac,1M4,sys_sac,systemic blood,sacrificed sample,N/A,CD,1,4,Old,Old CD,IL-17F,90.07037733030789,11042.40039
Plate 1,Unknown Group 1,23,1M4_sys_sac,1M4,sys_sac,systemic blood,sacrificed sample,N/A,CD,1,4,Old,Old CD,IL-1a,41.29397737423119,5700.38037
Plate 1,Unknown Group 1,23,1M4_sys_sac,1M4,sys_sac,systemic blood,sacrificed sample,N/A,CD,1,4,Old,Old CD,IL-6,53.8796627996442,4239.29248
Plate 1,Unknown Group 1,23,1M4_sys_sac,1M4,sys_sac,systemic blood,sacrificed sample,N/A,CD,1,4,Old,Old CD,IL-7,0.7054840003333694,2922.51831
Plate 1,Unknown Group 1,23,1M4_sys_sac,1M4,sys_sac,systemic blood,sacrificed sample,N/A,CD,1,4,Old,Old CD,TNF-alpha,N/A,938.71515
Plate 1,Unknown Group 1,24,1M5_sys_sac,1M5,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,5,Old,Old ID,GDF-15,218.794335908308,42872.01172
