V1
AdultBladder_Stromal cell	ABCA6;ABCA9;ABI3BP;ADAMTSL3;BGN;CADM3;CASP12;CDH11;CFH;CLEC3B;COL14A1;CRISPLD2;ECM2;GALNT15;GPC3;GPX8;GULP1;INHBA;LTBP4;MMP2;OGN;PDGFRL;PI16;PLEKHA4;PPL;TMEFF2;TMEM47;VIT
AdultBladder_Fibroblast	ABCA6;ABCA9;ABI3BP;ASAP2;BGN;CADM3;CDH11;CFH;CLEC11A;COL14A1;CRISPLD2;ECM2;EFHD1;GALNT15;GALNT16;GPC3;GPX8;IKZF4;LTBP4;MMP2;OGN;PDGFRL;PENK;PI16;TLN2;TMEM67
AdultBladder_Endothelial cell (APC)	ACKR1;ANKS1A;CCL23;CEP112;GALNT15;GJA1;GPM6A;GULP1;IFI16;ITGB4;LEPR;MMRN1;MYOF;ODF2L;SOCS2;SPNS2;SYNE2;TGFBR2;VWF
AdultBladder_Smooth muscle cell	ACTC1;BGN;CCL8;EFHD1;INHBA;ISLR2;ITGA8;KCNA2;KCNAB1;NPNT;OGN;SCARA3;SLC7A2;TMEM47
AdultBladder_Epithelial cell (intermediated)	CCL15;GJA1;ITGA2;ITGB8;MYOF;PTPN13;SYTL2
AdultBladder_B cell (Plasmocyte)	ABCA9;CCL15;GLCCI1;HID1;PDGFRL;TBC1D2B
AdultBladder_Macrophage	ABCA6;ANKS1A;APPL2;C1QA;C1QC;CCL8;CD163;CLEC10A;CSF1R;F13A1;FCGR2A;GLCCI1;LAIR1;MMP9;MRC1;RGS2;SIGLEC1;STAB1;TGFBI
AdultBladder_Mast cell	GJA1;IFI16;KCNAB1;LTBP4;ODF2L;RGS2;SLC7A2;SYTL2;TBC1D4;TPPP;UHRF2;VWA5A
AdultBladder_Monocyte	AOAH;CD14;CSF1R;CSF3R;CX3CR1;FCGR2A;FCN1;HBEGF;HLA-A;HLA-F;MNDA;P2RX7;PHACTR1;PSMB8;RASSF2;RGS2;RNF213;S100A9;SAMHD1;TGFBI;TLR8;TNFSF10
AdultBladder_Dendritic cell	AFF3;AOAH;C1QA;C1QC;CCR5;CLEC10A;CSF1R;F13A1;FCGR2A;HBEGF;HLA-A;KMT2E;MRC1;RASSF2;RGS2;SAMHD1
AdultBladder_T cell	HLA-A;IL7R;JAK3;RASAL3
AdultBladder_Sinusoidal endothelial cell	CCR5;CX3CR1;HLA-A;HLA-F;IL7R;LAIR1;RASAL3;RASSF2;SYNE2
AdultBoneMarrow_B cell (Plasmocyte)	GLCCI1;HID1;ITGA8;KCNA2;PPM1K
AdultBoneMarrow_Neutrophil	CLEC11A;CSF3R;FCN1;FNBP1;HLA-A;INHBA;LAIR1;MMP9;MNDA;RAB44;RASAL3;RASSF2;RNF24;S100A9;SPNS2;TBC1D2B
AdultBoneMarrow_Erythroid progenitor cell (RP high)	B3GALNT1;SLC43A3
AdultBoneMarrow_Erythroid cell	ACKR1;APOL4;CR1L;SLC43A3;TMPO
AdultBoneMarrow_Neutrophil (RPS high)	CCL23;CFH;F13A1;GPC3;IFI16;ITGA2;ITGB8;MMRN1;ODF2L;PSMB8;PTPN13
AdultBoneMarrow_T cell	CCR5;FNBP1;HLA-A;HLA-F;IFI16;IL7R;PI16;PSMB8;RASAL3;TBC1D4
