"","gene.id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","design"
"1","Ighv14-3",46.9488585812895,6.28340943353516,2.24480707435103,2.79908661431481,0.00512473888517185,0.218045182502418,"~diet"
"2","Ighv1-82",17.1771292748298,5.54502329883338,1.87858622692686,2.95170017716162,0.00316029628132797,0.187801143983268,"~diet"
"3","Ighv1-5",1.83396440931627,4.81068711537087,3.08605293379577,1.55884789359521,0.119032385492878,0.528404350096833,"~diet"
"4","Ighv5-12",1.538991277333,4.55794499035445,2.5048016805907,1.81968298156026,0.0688072964647595,0.441195279054545,"~diet"
"5","Ighv7-3",1.7666145615126,4.23405888469166,1.37228998293789,3.08539662705043,0.00203280873297978,0.183767478443292,"~diet"
"6","Igkv4-72",2.63188660498117,4.07461020602378,1.41560519181666,2.87835212075959,0.00399758654821971,0.202440100243323,"~diet"
"7","Igkv6-20",45.7812546743699,4.07429615909892,1.53389596643742,2.65617502636882,0.00790325833007417,0.241817559167646,"~diet"
"8","Igkv5-39",16.4230817507611,4.06187171749539,1.75187607522063,2.31858393122004,0.0204176072210146,0.309725417858502,"~diet"
"9","Apol11a",1.24355061514759,3.965699908236,1.98401799065743,1.99882255448798,0.0456275565306998,0.389926964234485,"~diet"
"10","Igkv1-110",21.3687390463821,3.95490277507951,1.315163416334,3.00715692510955,0.00263703595264724,0.183892489030882,"~diet"
"11","Itgb2l",2.0061192116679,3.89546299948505,1.50669488081878,2.58543587628581,0.00972559614866256,0.261477266904048,"~diet"
"12","Gm9923",1.41470889441637,3.87779478946296,1.41213268051774,2.74605555339262,0.00603165491672352,0.224025821658337,"~diet"
"13","Igkv10-94",3.11518230868056,3.82777636604019,1.23539792749857,3.09841572568496,0.00194558295715964,0.183767478443292,"~diet"
"14","Olfm4",1.66998056468079,3.61115161415563,1.16458553239653,3.10080411760264,0.00192995915640863,0.183767478443292,"~diet"
"15","Hemgn",4.53179058337684,3.56578624977361,1.23863955398572,2.87879249318298,0.00399200905055451,0.202440100243323,"~diet"
"16","4632411P08Rik",0.940889483749294,3.55177070891335,1.99874067246911,1.77700426965632,0.0755675373425826,NA,"~diet"
"17","Ngp",40.3872727116751,3.54473592910094,1.84739228778893,1.9187781352836,0.0550124180953291,0.411231285010778,"~diet"
