tissue,name,sample.clean,diet,med.adj.ic,n_obs
Liver,(11E)-15-Oxo-11-icosenoic acid,2M22,ID,813706.304606339,1
Liver,(11E)-15-Oxo-11-icosenoic acid,2M23,ID,63867.3339157864,1
Liver,(11E)-15-Oxo-11-icosenoic acid,2M26,ID,921067.485088537,1
Liver,(11E)-15-Oxo-11-icosenoic acid,2M31,ID,730991.24613261,1
Liver,(11E)-15-Oxo-11-icosenoic acid,2M33,ID,1305120.06189228,1
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",1M1,CD,242548.703892231,1
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",1M10,CD,886501.308257067,1
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",1M11,CD,425662.975885743,1
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",1M2,CD,784495.311649529,1
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",1M4,CD,746551.053034718,1
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",1M5,ID,103310.30179084,1
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",1M6,ID,505566.348472748,1
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",1M7,ID,457355.459282012,1
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",1M9,ID,878351.160415608,1
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",2M16,CD,965516.71794045,1
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",2M17,CD,338816.052789585,1
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",2M20,CD,450597.913592275,1
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",2M22,ID,100525.064319224,1
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",2M23,ID,242325.134534658,1
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",2M26,ID,628310.388403935,1
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",2M31,ID,331523.852651823,1
Liver,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",2M33,ID,968305.096555029,1
Liver,"(13Z,16Z)-hexacosa-13,16-dienoic acid",1M1,CD,38087.0885093905,1
Liver,"(13Z,16Z)-hexacosa-13,16-dienoic acid",1M10,CD,67687.6124592743,1
Liver,"(13Z,16Z)-hexacosa-13,16-dienoic acid",1M11,CD,61513.6209757689,1
Liver,"(13Z,16Z)-hexacosa-13,16-dienoic acid",1M2,CD,35400.7618541909,1
Liver,"(13Z,16Z)-hexacosa-13,16-dienoic acid",1M4,CD,39145.571862104,1
Liver,"(13Z,16Z)-hexacosa-13,16-dienoic acid",1M5,ID,113542.373586936,1
Liver,"(13Z,16Z)-hexacosa-13,16-dienoic acid",1M6,ID,40246.7509390423,1
Liver,"(13Z,16Z)-hexacosa-13,16-dienoic acid",1M7,ID,50875.0005194193,1
Liver,"(13Z,16Z)-hexacosa-13,16-dienoic acid",1M9,ID,102619.07630241,1
Liver,"(13Z,16Z)-hexacosa-13,16-dienoic acid",2M16,CD,140235.183117594,1
Liver,"(13Z,16Z)-hexacosa-13,16-dienoic acid",2M17,CD,61388.6863651503,1
Liver,"(13Z,16Z)-hexacosa-13,16-dienoic acid",2M20,CD,87982.0287169246,1
Liver,"(13Z,16Z)-hexacosa-13,16-dienoic acid",2M22,ID,37180.7095460149,1
Liver,"(13Z,16Z)-hexacosa-13,16-dienoic acid",2M23,ID,126026.114747967,1
Liver,"(13Z,16Z)-hexacosa-13,16-dienoic acid",2M26,ID,189357.950917748,1
Liver,"(13Z,16Z)-hexacosa-13,16-dienoic acid",2M31,ID,71644.4980819122,1
Liver,"(13Z,16Z)-hexacosa-13,16-dienoic acid",2M33,ID,179713.733735315,1
Liver,"(15R,21S)-18,21,22-Trihydroxy-3-methyl-18-oxido-12-oxo-13,17,19-trioxa-18λ~5~-phosphadocosan-15-yl 22-methyltricosanoate",1M1,CD,6932.91315116368,1
Liver,"(15R,21S)-18,21,22-Trihydroxy-3-methyl-18-oxido-12-oxo-13,17,19-trioxa-18λ~5~-phosphadocosan-15-yl 22-methyltricosanoate",1M10,CD,55387.2525377016,1
Liver,"(15R,21S)-18,21,22-Trihydroxy-3-methyl-18-oxido-12-oxo-13,17,19-trioxa-18λ~5~-phosphadocosan-15-yl 22-methyltricosanoate",1M11,CD,11631956.9945645,1
Liver,"(15R,21S)-18,21,22-Trihydroxy-3-methyl-18-oxido-12-oxo-13,17,19-trioxa-18λ~5~-phosphadocosan-15-yl 22-methyltricosanoate",1M2,CD,3138195.49164721,1
Liver,"(15R,21S)-18,21,22-Trihydroxy-3-methyl-18-oxido-12-oxo-13,17,19-trioxa-18λ~5~-phosphadocosan-15-yl 22-methyltricosanoate",1M4,CD,2142401.59113979,1
Liver,"(15R,21S)-18,21,22-Trihydroxy-3-methyl-18-oxido-12-oxo-13,17,19-trioxa-18λ~5~-phosphadocosan-15-yl 22-methyltricosanoate",1M5,ID,7877584.14822396,1
Liver,"(15R,21S)-18,21,22-Trihydroxy-3-methyl-18-oxido-12-oxo-13,17,19-trioxa-18λ~5~-phosphadocosan-15-yl 22-methyltricosanoate",1M6,ID,20230.3182219222,1
Liver,"(15R,21S)-18,21,22-Trihydroxy-3-methyl-18-oxido-12-oxo-13,17,19-trioxa-18λ~5~-phosphadocosan-15-yl 22-methyltricosanoate",1M7,ID,9555.14986360108,1
Liver,"(15R,21S)-18,21,22-Trihydroxy-3-methyl-18-oxido-12-oxo-13,17,19-trioxa-18λ~5~-phosphadocosan-15-yl 22-methyltricosanoate",1M9,ID,3039104.33332472,1
Liver,"(15R,21S)-18,21,22-Trihydroxy-3-methyl-18-oxido-12-oxo-13,17,19-trioxa-18λ~5~-phosphadocosan-15-yl 22-methyltricosanoate",2M16,CD,3384361.92816263,1
Liver,"(15R,21S)-18,21,22-Trihydroxy-3-methyl-18-oxido-12-oxo-13,17,19-trioxa-18λ~5~-phosphadocosan-15-yl 22-methyltricosanoate",2M17,CD,31847.8857049282,1
Liver,"(15R,21S)-18,21,22-Trihydroxy-3-methyl-18-oxido-12-oxo-13,17,19-trioxa-18λ~5~-phosphadocosan-15-yl 22-methyltricosanoate",2M20,CD,8305.59369806268,1
Liver,"(15R,21S)-18,21,22-Trihydroxy-3-methyl-18-oxido-12-oxo-13,17,19-trioxa-18λ~5~-phosphadocosan-15-yl 22-methyltricosanoate",2M22,ID,21414.0313065491,1
Liver,"(15R,21S)-18,21,22-Trihydroxy-3-methyl-18-oxido-12-oxo-13,17,19-trioxa-18λ~5~-phosphadocosan-15-yl 22-methyltricosanoate",2M23,ID,18827209.5927546,1
Liver,"(15R,21S)-18,21,22-Trihydroxy-3-methyl-18-oxido-12-oxo-13,17,19-trioxa-18λ~5~-phosphadocosan-15-yl 22-methyltricosanoate",2M26,ID,24336.0953067401,1
Liver,"(15R,21S)-18,21,22-Trihydroxy-3-methyl-18-oxido-12-oxo-13,17,19-trioxa-18λ~5~-phosphadocosan-15-yl 22-methyltricosanoate",2M31,ID,3924606.71251876,1
Liver,"(15R,21S)-18,21,22-Trihydroxy-3-methyl-18-oxido-12-oxo-13,17,19-trioxa-18λ~5~-phosphadocosan-15-yl 22-methyltricosanoate",2M33,ID,67577.9124256539,1
Liver,(17Z)-tricos-17-enoic acid,1M1,CD,228208.888382421,1
Liver,(17Z)-tricos-17-enoic acid,1M10,CD,266648.514406515,1
Liver,(17Z)-tricos-17-enoic acid,1M11,CD,273058.622886887,1
Liver,(17Z)-tricos-17-enoic acid,1M2,CD,226690.235523674,1
Liver,(17Z)-tricos-17-enoic acid,1M4,CD,280087.331365185,1
Liver,(17Z)-tricos-17-enoic acid,1M5,ID,242126.355894944,1
Liver,(17Z)-tricos-17-enoic acid,1M6,ID,290255.265683188,1
Liver,(17Z)-tricos-17-enoic acid,1M7,ID,275105.845421319,1
Liver,(17Z)-tricos-17-enoic acid,1M9,ID,238757.224678744,1
Liver,(17Z)-tricos-17-enoic acid,2M16,CD,220447.727232983,1
Liver,(17Z)-tricos-17-enoic acid,2M17,CD,359555.206875055,1
Liver,(17Z)-tricos-17-enoic acid,2M20,CD,249539.704926743,1
Liver,(17Z)-tricos-17-enoic acid,2M22,ID,218409.937399452,1
Liver,(17Z)-tricos-17-enoic acid,2M23,ID,406500.154825542,1
Liver,(17Z)-tricos-17-enoic acid,2M26,ID,499435.212369649,1
Liver,(17Z)-tricos-17-enoic acid,2M31,ID,774204.610802457,1
Liver,(17Z)-tricos-17-enoic acid,2M33,ID,446249.581378156,1
Liver,(1E)-N-Hydroxy-4-(methylsulfanyl)-1-butanimine,1M1,CD,58876.1841428414,1
Liver,(1E)-N-Hydroxy-4-(methylsulfanyl)-1-butanimine,1M10,CD,141007.500266374,1
Liver,(1E)-N-Hydroxy-4-(methylsulfanyl)-1-butanimine,1M11,CD,410467.957735443,1
Liver,(1E)-N-Hydroxy-4-(methylsulfanyl)-1-butanimine,1M2,CD,28389.6979574401,1
Liver,(1E)-N-Hydroxy-4-(methylsulfanyl)-1-butanimine,1M4,CD,109521.610299998,1
Liver,(1E)-N-Hydroxy-4-(methylsulfanyl)-1-butanimine,1M5,ID,61730.0277403493,1
Liver,(1E)-N-Hydroxy-4-(methylsulfanyl)-1-butanimine,1M6,ID,135709.90672304,1
Liver,(1E)-N-Hydroxy-4-(methylsulfanyl)-1-butanimine,1M7,ID,127573.887536905,1
Liver,(1E)-N-Hydroxy-4-(methylsulfanyl)-1-butanimine,1M9,ID,188500.32035915,1
Liver,(1E)-N-Hydroxy-4-(methylsulfanyl)-1-butanimine,2M16,CD,1413206.66877027,1
Liver,(1E)-N-Hydroxy-4-(methylsulfanyl)-1-butanimine,2M17,CD,240958.342962166,1
Liver,(1E)-N-Hydroxy-4-(methylsulfanyl)-1-butanimine,2M20,CD,823888.608081285,1
Liver,(1E)-N-Hydroxy-4-(methylsulfanyl)-1-butanimine,2M22,ID,188482.707228199,1
Liver,(1E)-N-Hydroxy-4-(methylsulfanyl)-1-butanimine,2M23,ID,464152.83612636,1
Liver,(1E)-N-Hydroxy-4-(methylsulfanyl)-1-butanimine,2M26,ID,646132.989588897,1
Liver,(1E)-N-Hydroxy-4-(methylsulfanyl)-1-butanimine,2M31,ID,571181.883762769,1
Liver,(1E)-N-Hydroxy-4-(methylsulfanyl)-1-butanimine,2M33,ID,629231.33905952,1
Liver,"(1R,5R)-3,3,5-Trimethylcyclohexyl 5-oxo-L-prolinate",1M1,CD,59885657.575396,1
Liver,"(1R,5R)-3,3,5-Trimethylcyclohexyl 5-oxo-L-prolinate",1M10,CD,43194327.111723,1
Liver,"(1R,5R)-3,3,5-Trimethylcyclohexyl 5-oxo-L-prolinate",1M11,CD,56639873.9162954,1
Liver,"(1R,5R)-3,3,5-Trimethylcyclohexyl 5-oxo-L-prolinate",1M2,CD,55701914.9391503,1
Liver,"(1R,5R)-3,3,5-Trimethylcyclohexyl 5-oxo-L-prolinate",1M4,CD,50166801.1632193,1
Liver,"(1R,5R)-3,3,5-Trimethylcyclohexyl 5-oxo-L-prolinate",1M5,ID,41782182.3976368,1
Liver,"(1R,5R)-3,3,5-Trimethylcyclohexyl 5-oxo-L-prolinate",1M6,ID,35180463.026259,1
Liver,"(1R,5R)-3,3,5-Trimethylcyclohexyl 5-oxo-L-prolinate",1M7,ID,60464077.2549538,1
Liver,"(1R,5R)-3,3,5-Trimethylcyclohexyl 5-oxo-L-prolinate",1M9,ID,38689629.7860941,1
Liver,"(1R,5R)-3,3,5-Trimethylcyclohexyl 5-oxo-L-prolinate",2M16,CD,150066715.32123,1
Liver,"(1R,5R)-3,3,5-Trimethylcyclohexyl 5-oxo-L-prolinate",2M17,CD,119134591.706553,1
Liver,"(1R,5R)-3,3,5-Trimethylcyclohexyl 5-oxo-L-prolinate",2M20,CD,109107852.602162,1
Liver,"(1R,5R)-3,3,5-Trimethylcyclohexyl 5-oxo-L-prolinate",2M22,ID,149892695.158985,1
Liver,"(1R,5R)-3,3,5-Trimethylcyclohexyl 5-oxo-L-prolinate",2M23,ID,78406849.1545532,1
Liver,"(1R,5R)-3,3,5-Trimethylcyclohexyl 5-oxo-L-prolinate",2M26,ID,109314530.53717,1
Liver,"(1R,5R)-3,3,5-Trimethylcyclohexyl 5-oxo-L-prolinate",2M31,ID,96653990.6845815,1
Liver,"(1R,5R)-3,3,5-Trimethylcyclohexyl 5-oxo-L-prolinate",2M33,ID,90082763.168688,1
Liver,"(1aR,2R,3S,11cS)-6,11-Dimethyl-1a,2,3,11c-tetrahydrotetrapheno[1,2-b]oxirene-2,3-diol",1M1,CD,429944.31965939,1
Liver,"(1aR,2R,3S,11cS)-6,11-Dimethyl-1a,2,3,11c-tetrahydrotetrapheno[1,2-b]oxirene-2,3-diol",1M10,CD,42260.4065523783,1
Liver,"(1aR,2R,3S,11cS)-6,11-Dimethyl-1a,2,3,11c-tetrahydrotetrapheno[1,2-b]oxirene-2,3-diol",1M11,CD,613219.494309806,1
Liver,"(1aR,2R,3S,11cS)-6,11-Dimethyl-1a,2,3,11c-tetrahydrotetrapheno[1,2-b]oxirene-2,3-diol",1M2,CD,44133.2789028977,1
Liver,"(1aR,2R,3S,11cS)-6,11-Dimethyl-1a,2,3,11c-tetrahydrotetrapheno[1,2-b]oxirene-2,3-diol",1M4,CD,160020.071173862,1
Liver,"(1aR,2R,3S,11cS)-6,11-Dimethyl-1a,2,3,11c-tetrahydrotetrapheno[1,2-b]oxirene-2,3-diol",1M5,ID,489610.799879195,1
