CJ,HMDB Name,Formula,RT,Detected.in,confirmation,HMDB ID,other ID,Classification
CJ1536,furazolidone,C8H7N3O5,,,,HMDB0014752,,
CJ1537,"galactose-beta-1,4-xylose",C11H20O10,,,,HMDB0011677,,Carbohydrates and carbohydrate conjugates  
CJ1538,galactosylhydroxylysine,C12H24N2O8,,,,HMDB0000600,,Amino acids related and peptides
CJ1539,gamma glutamyl ornithine,C10H19N3O5,,,,HMDB0002248,,Amino acids related and peptides
CJ1540,gamma-glutamyltyrosine,C14H18N2O6,,,,HMDB0011741,,Amino acids related and peptides
CJ1541,ganoderic acid  isomer,C30H44O6,,,,,,
CJ1542,ganolucidic acid b,C30H46O6,,,,HMDB0035751,,
CJ1543,gelcohol isomer,C16H26O4,,,,,,
CJ1544,gentianadine  isomer,C8H7NO2,,,,,,
CJ1545,gentianaine  isomer,C6H7NO3,,,,,,
CJ1546,geranyl acetoacetate,C14H22O3,,,,HMDB0038256,,FA
CJ1547,gerberinol,C21H16O6,,,,HMDB0033304,,
CJ1548,glabric acid,C30H46O5,,,,HMDB0034689,,
CJ1549,glaucasterol  isomer,C27H42O,,,,,,
CJ1550,n2-gamma-glutamylglutamine,C10H17N3O6,,,,HMDB0011738,,Amino acids related and peptides
CJ1551,glu gly  isomer,C7H12N2O5,,,,,,Amino acids related and peptides
CJ1552,glucosamine 1-phosphate isomer,C6H14NO8P,,,,,,
CJ1553,gly his isomer,C8H12N4O3,,,,,,
CJ1554,glycerophosphocholine,C8H20NO6P,,,,HMDB0000086,,Carbohydrates and carbohydrate conjugates  
CJ1555,glycerylphosphorylethanolamine,C5H14NO6P,,,,HMDB0000114,,
CJ1556,glycodiazine,C13H15N3O4S,,,,HMDB0015461,,
CJ1557,glycyl-lysine,C8H17N3O3,,,,HMDB0028846,,Amino acids related and peptides
CJ1558,glycyl-phenylalanine,C11H14N2O3,,,,HMDB0028848,,Amino acids related and peptides
CJ1559,glycyl-proline isomer,C7H12N2O3,,,,,,Amino acids related and peptides
CJ1560,glycylprolylhydroxyproline,C12H19N3O5,,,,HMDB0002171,,Amino acids related and peptides
CJ1561,glycyltyrosine,C11H14N2O4,,,,HMDB0028853,,Amino acids related and peptides
CJ1562,gly-pro-gly  isomer,C9H15N3O4,,,,,,Amino acids related and peptides
CJ1563,gonyautoxin i,C10H17N7O9S,,,,HMDB0033506,,
CJ1564,o-methoxycatechol-o-sulphate,C7H8O5S,,,,HMDB0060013,,
CJ1565,hecogenin acetate isomer,C29H44O5,,,,,,
CJ1566,helenalin isomer,C15H18O4,,,,,,
CJ1567,heliohoustine  isomer,C14H23NO4,,,,,,
CJ1568,heptanoylcarnitine,C14H27NO4,,,,HMDB0013238,,carnitine
CJ1569,heptyl 4-hydroxybenzoate,C14H20O3,,,,HMDB0034462,,
CJ1570,hesperetin 3'-o-sulfate,C16H14O9S,,,,HMDB0029202,,
CJ1571,heterophylol isomer,C26H32O4,,,,,,
CJ1572,hexadecanedioic acid carnitine ester isomer,C23H43NO6,,,,,,carnitine
CJ1573,hexanoyl-coa,C27H46N7O17P3S,,,,HMDB0002845,,CoAs  
CJ1574,glutaminylhistidine,C11H17N5O4,,,,HMDB0028799,,Amino acids related and peptides
CJ1575,homo-l-arginine,C7H16N4O2,,,,HMDB0000670,,Amino acids related and peptides
CJ1576,homobaldrinal  isomer,C15H16O4,,,,,,
CJ1577,homocitrulline,C7H15N3O3,,,,HMDB0000679,,Amino acids related and peptides
CJ1578,l-homocysteic acid,C4H9NO5S,,,,HMDB0002205,,Amino acids related and peptides
CJ1579,(s)-homostachydrine,C8H15NO2,,,,HMDB0033433,,Amino acids related and peptides
CJ1580,hyaluronic acid,C28H44N2O23,,,,HMDB0010366,,
CJ1581,hydantoin-5-propionic acid,C6H8N2O4,,,,HMDB0001212,,
CJ1582,hydroxyaspergillic acid isomer,C12H20N2O3,,,,,,
CJ1583,4-hydroxycyclohexylcarboxylic acid,C7H12O3,,,,HMDB0001988,,
CJ1584,trans-4-hydroxycyclohexylacetic acid,C8H14O3,,,,HMDB0000909,,
CJ1585,hydroxygaleon,C20H22O5,,,,HMDB0031535,,
CJ1586,3-hydroxyhexanoylcarnitine,C13H25NO5,,,,HMDB0013131,,carnitine
CJ1587,hydroxymandelic acid isomer,C8H8O4,,,,,,
CJ1588,hydroxymethylphosphonate isomer,CH5O4P,,,,,,
CJ1589,hydroxynonenoic acid  isomer,C9H16O3,,,,,,
CJ1590,hydroxy-nonylbenzene-sulfonic acid isomer,C15H24O4S,,,,,,
CJ1591,hydroxyprolyl-valine,C10H18N2O4,,,,HMDB0028876,,Amino acids related and peptides
CJ1592,hydroxytetradecadienoyl-carnitine isomer,C21H37NO5,,,,,,carnitine
CJ1593,hymexazol n-glucoside  isomer,C10H15NO7,,,,,,
CJ1594,idebenone  isomer,C19H30O5,,,,,,
CJ1595,ile cys  isomer,C9H18N2O3S,,,,,,Amino acids related and peptides
CJ1596,imidazolepropionic acid,C6H8N2O2,,,,HMDB0002271,,
CJ1597,imidazoleacetic acid ribotide,C10H15N2O9P,,,,HMDB0006032,,"Nucleosides, nucleotides, and analogues  "
CJ1598,indole-3-acetaldoxime n-oxide isomer,C10H10N2O2,,,,,,
CJ1599,indole-3-carboxilic acid-sulphate isomer,C9H7NO5S,,,,,,
CJ1600,indole-3-propionic acid,C11H11NO2,,,,HMDB0002302,,Microbiota related
CJ1601,indole-quinone isomer,C8H5NO2,,,,,,
CJ1602,indoxyl glucuronide,C14H15NO7,,,,HMDB0010319,,
CJ1603,inositol cyclic phosphate,C6H11O8P,,,,HMDB0001125,,
CJ1604,isoalantolactone,C15H20O2,,,,HMDB0035934,,
CJ1605,isobutyryl-coa,C25H42N7O17P3S,,,,HMDB0001243,,CoAs  
CJ1606,isobutyrylglycine,C6H11NO3,,,,HMDB0000730,,Amino acids related and peptides
CJ1607,isocaucalol  isomer,C15H26O3,,,,,,
CJ1608,isoelemicin,C12H16O3,,,,HMDB0029867,,
CJ1609,isoleucyl-tyrosine,C15H22N2O4,,,,HMDB0028919,,Amino acids related and peptides
CJ1610,isoliquiritigenin,C15H12O4,,,,HMDB0037316,,
CJ1611,isoniazid alpha-ketoglutaric acid,C11H11N3O5,,,,HMDB0060663,,
CJ1612,na,C10H18O7,,,,HMDB0032353,,
CJ1613,isosorbide mononitrate,C6H9NO6,,,,HMDB0015155,,
CJ1614,isovaleroylglycine isomer,C7H13NO3,,,,,,
CJ1615,isradipine,C19H21N3O5,,,,HMDB0014415,,
CJ1616,janthitrem e,C37H49NO6,,,,HMDB0030529,,
CJ1617,juglone glucoside,C16H16O8,,,,HMDB0033563,,
CJ1618,juvenile hormone iii acid diol  isomer,C15H26O4,,,,,,
CJ1619,kammogenin  isomer,C27H40O5,,,,,,
CJ1620,kessyl glycol  isomer,C15H26O3,,,,,,
CJ1621,ketorolac,C15H13NO3,,,,HMDB0014608,,
CJ1622,kikkanol f  isomer,C15H26O3,,,,,,
CJ1623,kynuramine,C9H12N2O,,,,HMDB0012246,,Amino acids related and peptides
CJ1624,l-acetopine,C8H16N4O4,,,,HMDB0039111,,Amino acids related and peptides
CJ1625,lactapiperanol c,C16H26O4,,,,HMDB0033630,,
CJ1626,lariciresinol isomer,C20H24O6,,,,,,
CJ1627,l-aspartyl-phe isomer,C13H16N2O5,,,,,,Amino acids related and peptides
CJ1628,l-beta-aspartyl-l-glutamic acid,C9H14N2O7,,,,HMDB0011164,,
CJ1629,leu asp  isomer,C10H18N2O5,,,,,,Amino acids related and peptides
CJ1630,leu leu isomer,C12H24N2O3,,,,,,Amino acids related and peptides
CJ1631,leu ser  isomer,C9H18N2O4,,,,,,Amino acids related and peptides
CJ1632,threonylleucine,C10H20N2O4,,,,HMDB0029065,,Amino acids related and peptides
CJ1633,leu val isomer,C11H22N2O3,,,,,,Amino acids related and peptides
CJ1634,leucyl-alanine,C9H18N2O3,,,,HMDB0304783,,Amino acids related and peptides
CJ1635,levetiracetam,C8H14N2O2,,,,HMDB0015333,,Amino acids related and peptides
CJ1636,limocitrol,C18H16O9,,,,HMDB0037691,,
CJ1637,linolenoyl ethanolamide isomer,C20H35NO2,,,,,,
CJ1638,(r)-lipoic acid,C8H14O2S2,,,,HMDB0001451,,
CJ1639,l-menthyl acetoacetate,C14H24O3,,,,HMDB0032369,,
CJ1640,lomefloxacin,C17H19F2N3O3,,,,HMDB0015113,,
CJ1641,luguine  isomer,C19H13NO5,,,,,,
CJ1642,lys leu isomer,C12H25N3O3,,,,,,Amino acids related and peptides
CJ1643,lysyltyrosine,C15H23N3O4,,,,HMDB0028963,,Amino acids related and peptides
CJ1644,macrocarpal c,C28H38O5,,,,HMDB0038705,,
CJ1645,maesol  isomer,C28H42O4,,,,,,
CJ1646,magellanine  isomer,C17H25NO2,,,,,,
CJ1647,malonyl-coa,C24H38N7O19P3S,,,,HMDB0001175,,CoAs  
CJ1648,maltopentaose,C30H52O26,,,,HMDB0012254,,Carbohydrates and carbohydrate conjugates  
CJ1649,malyl-coa,C25H40N7O20P3S,,,,HMDB0001021,,CoAs  
CJ1650,mammea e/bb,C24H30O7,,,,HMDB0030814,,
CJ1651,mecarbam,C10H20NO5PS2,,,,HMDB0031800,,
CJ1652,melibiouronic acid isomer,C12H20O12,,,,,,
CJ1653,melleolide e,C23H30O7,,,,HMDB0038785,,
CJ1654,menadione,C11H8O2,,,,HMDB0001892,,
CJ1655,meprobamate,C9H18N2O4,,,,HMDB0014515,,Amino acids related and peptides
CJ1656,mescaline  isomer,C11H17NO3,,,,,,
CJ1657,betulin,C29H48O3,,,,HMDB0036838,,
CJ1658,(â±)-metalaxyl,C15H21NO4,,,,HMDB0031802,,Amino acids related and peptides
CJ1659,methacholine,C8H17NO2,14.64,Posi,,HMDB0015654,,
CJ1660,methacrylyl-coa,C25H40N7O17P3S,,,,HMDB0001011,,CoAs  
CJ1661,metharbital,C9H14N2O3,,,,HMDB0014606,,
CJ1662,methionyl-glycine,C7H14N2O3S,,,,HMDB0028973,,Amino acids related and peptides
CJ1663,methyl 2-acetyl-3-oxodecanoate  isomer,C13H22O4,,,,,,
CJ1664,"methyl 5-(4-fluorophenyl)-3-methylthieno[3,2-b]thiophene-2-carboxylate isomer",C15H11FO2S2,,,,,,
CJ1665,methyl equol sulfate isomer,C16H16O6S,,,,,,
CJ1666,methyl farnesoate  isomer,C16H26O2,,,,,,
CJ1667,methyl pantothenate  isomer,C10H19NO5,,,,,,
CJ1668,n-methylethanolaminium phosphate,C3H10NO4P,,,,HMDB0060173,,Lipids
CJ1669,methyladenosine monophosphate isomer,C11H15N5O7P,,,,,,
CJ1670,methylcysteine,C4H9NO2S,,,,HMDB0002108,,Amino acids related and peptides
CJ1671,methylgingerol,C18H28O4,,,,HMDB0029852,,
CJ1672,1-methylguanosine,C11H16N5O5,,,,HMDB0001563,,"Nucleosides, nucleotides, and analogues  "
CJ1673,sulcatone,C8H14O,,,,HMDB0035915,,
CJ1674,methylimidazole acetaldehyde,C6H8N2O,,,,HMDB0004181,,
CJ1675,methylindole isomer,C9H9N,,,,,,
CJ1676,methylmalonyl-coa,C25H40N7O19P3S,,,,HMDB0001269,,CoAs  
CJ1677,methyl-pyridone-carboxamide isomer,C7H8N2O2,,,,,,
CJ1678,methylsynephrine  isomer,C10H15NO2,,,,,,
CJ1679,methyprylon,C10H17NO2,,,,HMDB0015239,,
CJ1680,mg(22:4) isomer,C25H42O4,,,,,,
CJ1681,midodrine,C12H18N2O4,,,,HMDB0014356,,
CJ1682,minabeolide-8 isomer,C29H42O5,,,,,,
CJ1683,modafinil,C15H15NO2S,,,,HMDB0014883,,
CJ1684,mollicellin a,C21H18O7,,,,HMDB0033339,,
CJ1685,momordicilin,C36H60O3,,,,HMDB0030896,,
CJ1686,mono-trans-p-coumaroylmesotartaric acid,C14H14O8,,,,HMDB0029783,,
CJ1687,montecristin,C37H66O4,,,,HMDB0029795,,
CJ1688,monuron,C9H11ClN2O,,,,HMDB0254876,,
CJ1689,morphine 3-sulfate,C17H19NO6S,,,,HMDB0254891,,
CJ1690,muramic acid,C9H17NO7,,,,HMDB0003254,,Carbohydrates and carbohydrate conjugates  
CJ1691,myristicin,C11H12O3,,,,HMDB0035873,,
CJ1692,n6-carbamoyl-threonyladenosine isomer,C15H20N6O8,,,,,,"Nucleosides, nucleotides, and analogues  "
CJ1693,n6-dicarboxyethyl-amp isomer,C14H18N5O11P,,,,,,
CJ1694,n6-galacturonyl-l-lysine,C12H22N2O8,,,,HMDB0033106,,Amino acids related and peptides
CJ1695,n-alpha-acetyl-l-citrulline,C8H15N3O4,,,,HMDB0000856,,Amino acids related and peptides
CJ1696,n-acetyl-fucosamine isomer,C8H15NO5,,,,,,
CJ1697,n-acetylglutamine,C7H12N2O4,,,,HMDB0006029,,Amino acids related and peptides
CJ1698,n-acetyl-glucosaminate  isomer,C8H15NO7,,,,,,
CJ1699,n-acetyl-d-glucosamine 6-phosphate,C8H16NO9P,,,,HMDB0001062,,Carbohydrates and carbohydrate conjugates  
CJ1700,n-acetylhistidine,C8H11N3O3,,,,HMDB0032055,,Amino acids related and peptides
CJ1701,n-acetylkynurenine isomer,C12H14N2O4,,,,,,
CJ1702,n-acetyl-l-2-aminoadipate(2-),C8H13NO5,,,,HMDB0062715,,Amino acids related and peptides
CJ1703,n-acetyl-d-lactosamine,C14H25NO11,,,,HMDB0341344,,
CJ1704,nadh,C21H29N7O14P2,,,,HMDB0001487,,"Nucleosides, nucleotides, and analogues  "
CJ1705,n-carbamoylsarcosine,C4H8N2O3,,,,HMDB0012265,,Amino acids related and peptides
CJ1706,n-decanoylglycine,C12H23NO3,,,,HMDB0013267,,Amino acids related and peptides
CJ1707,neoabietic acid isomer,C20H30O2,,,,,,
CJ1708,neocnidilide,C12H18O2,,,,HMDB0034450,,
CJ1709,neosolaspigenin  isomer,C27H44O5,,,,,,
CJ1710,neotigogenin acetate isomer,C29H46O4,,,,,,
CJ1711,netilmicin,C21H41N5O7,,,,HMDB0015090,,
CJ1712,n-formylanthranilic acid isomer,C8H7NO3,,,,,,
CJ1713,n'-formylkynurenine,C11H12N2O4,,,,HMDB0001200,,Amino acids related and peptides
CJ1714,n-heptanoylglycine,C9H17NO3,,,,HMDB0013010,,Amino acids related and peptides
CJ1715,nicotinuric acid,C8H8N2O3,,,,HMDB0003269,,Amino acids related and peptides
CJ1716,n-lauroylglycine,C14H27NO3,,,,HMDB0013272,,Amino acids related and peptides
CJ1717,nn-diacetylspermidine isomer,C11H24N3O2,,,,,,
CJ1718,n-nonanoylglycine,C11H21NO3,,,,HMDB0013279,,Amino acids related and peptides
CJ1719,oleoyl glycine,C20H37NO3,,,,HMDB0013631,,Amino acids related and peptides
CJ1720,2-nonenoic acid,C9H16O2,,,,HMDB0031271,,FA
CJ1721,nonoxynol-9,C19H32O3,,,,HMDB0015680,,
CJ1722,n-palmitoyl tyrosine,C25H41NO4,,,,HMDB0062340,,Amino acids related and peptides
CJ1723,octanal,C8H16O,,,,HMDB0001140,,
CJ1724,octanoyl-coa,C29H50N7O17P3S,,,,HMDB0001070,,CoAs  
CJ1725,octanoylglucuronide,C14H24O8,,,,HMDB0010347,,
CJ1726,octulose-8-phosphate isomer,C8H17O11P,,,,,,
CJ1727,oleandolide  isomer,C20H34O7,,,,,,
CJ1728,oleanolic acid beta-glucosiduronic acid isomer,C36H56O9,,,,,,
CJ1729,o-nonanoyl-l-carnitine isomer,C16H31NO4,,,,,,carnitine
CJ1730,o-phospho-4-hydroxy-threonine isomer,C4H10NO7P,,,,,,
CJ1731,orlistat,C29H53NO5,,,,HMDB0015215,,Amino acids related and peptides
CJ1732,orotidylic acid,C10H13N2O11P,,,,HMDB0000218,,"Nucleosides, nucleotides, and analogues  "
CJ1733,orotidine-5-phosphate isomer,C10H13N2O11P,,,,,,
CJ1734,na,C16H12O5,,,,HMDB0128584,,
CJ1735,succinylcarnitine,C11H19NO6,,,,HMDB0061717,,carnitine
CJ1736,n-palmitoyl glutamic acid,C21H39NO5,,,,HMDB0241925,,Amino acids related and peptides
CJ1737,palmitoyl glutamate  isomer,C21H39NO5,,,,,,
CJ1738,palmitoyl serinol,C19H39NO3,,,,HMDB0013654,,
CJ1739,palmityl-coa,C37H66N7O17P3S,,,,HMDB0001338,,CoAs  
CJ1740,palythinol  isomer,C13H22N2O6,,,,,,
CJ1741,pantetheine,C11H22N2O4S,,,,HMDB0003426,,Amino acids related and peptides
CJ1742,prostaglandin f1a,C20H36O5,,,,HMDB0002685,,Prostaglandins and related compounds  
CJ1743,phenyl glucuronide isomer,C12H14O7,,,,,,
CJ1744,phenylbutazone,C19H20N2O2,,,,HMDB0014950,,
CJ1745,phenylglycol 3-o-sulfate isomer,C8H10O6S,,,,,,
CJ1746,phenylglyoxylic acid,C8H6O3,,,,HMDB0001587,,
CJ1747,phenyllactic acid,C9H10O3,,,,HMDB0000779,,
CJ1748,5-phenylvaleric acid,C11H14O2,,,,HMDB0002043,,FA
CJ1749,phosphocreatinine,C4H8N3O4P,,,,HMDB0041624,,Amino acids related and peptides
CJ1750,phosphonoacetaldehyde,C2H5O4P,,,,HMDB0256485,,
CJ1751,phytosphingosine,C18H39NO3,,,,HMDB0004610,,
CJ1752,pinoresinol isomer,C20H22O6,,,,,,
CJ1753,4-nitrophenol,C6H5NO3,,,,HMDB0001232,,
CJ1754,podecdysone b  isomer,C27H42O6,,,,,,
CJ1755,podophyllotoxone  isomer,C22H20O8,,,,,,
CJ1756,polyphloroglucinol phosphate isomer,C6H7O6P,,,,,,
CJ1757,portuloside a,C16H26O7,,,,HMDB0031382,,FA
CJ1758,ppgpp,C10H11N5O17P4,,,,HMDB0304468,,"Nucleosides, nucleotides, and analogues  "
CJ1759,pramanicin  isomer,C19H31NO6,,,,,,
CJ1760,pregnenolone acetate isomer,C23H34O3,,,,,,
CJ1761,prenylbenzoquinone isomer,C11H12O2,,,,,,
CJ1762,pro asp isomer,C9H14N2O5,,,,,,Amino acids related and peptides
CJ1763,glutamylproline,C10H16N2O5,,,,HMDB0028827,,Amino acids related and peptides
CJ1764,pro ser  isomer,C8H14N2O4,,,,,,Amino acids related and peptides
CJ1765,pro thr isomer,C9H16N2O4,,,,,,Amino acids related and peptides
CJ1766,propapyriogenin a2  isomer,C30H44O5,,,,,,
CJ1767,propionyl-coa,C24H40N7O17P3S,,,,HMDB0001275,,CoAs  
CJ1768,prosapogenin,C36H54O11,,,,HMDB0041131,,
CJ1769,prostaglandin e2,C20H32O5,,,,HMDB0001220,,Prostaglandins and related compounds  
CJ1770,prostaglandin e3,C20H30O5,,,,HMDB0002664,,Prostaglandins and related compounds  
CJ1771,prostaglandin j2,C20H30O4,,,,HMDB0002710,,Prostaglandins and related compounds  
CJ1772,pteroic acid,C14H12N6O3,,,,HMDB0256914,,
CJ1773,pteroside b,C20H28O7,,,,HMDB0030760,,
CJ1774,pteroside p  isomer,C20H28O8,,,,,,
CJ1775,pubescenol,C28H42O6,,,,HMDB0030085,,
CJ1776,quadrone isomer,C15H20O3,,,,,,
CJ1777,reserpine,C33H40N2O9,,,,HMDB0014351,,
CJ1778,ribothymidine,C10H14N2O6,,,,HMDB0000884,,"Nucleosides, nucleotides, and analogues  "
CJ1779,ricinoleic acid methyl ester isomer,C19H36O3,,,,,,
CJ1780,ritalinic acid  isomer,C13H17NO2,,,,,,
CJ1781,s-3-oxodecanoyl cysteamine,C12H23NO2S,,,,HMDB0059773,,FA
CJ1782,s-adenosyl-l-methioninamine,C14H23N6O3S,,,,HMDB0304476,,"Nucleosides, nucleotides, and analogues  "
CJ1783,salvigenin,C18H16O6,,,,HMDB0128577,,
CJ1784,saringosterol isomer,C29H48O2,,,,,,
CJ1785,secoisolariciresinol,C20H26O6,,,,HMDB0013692,,
CJ1786,sepiapterin,C9H11N5O3,,,,HMDB0000238,,
CJ1787,alanylserine,C6H12N2O4,,,,HMDB0028696,,Amino acids related and peptides
CJ1788,solasodine,C27H43NO2,,,,HMDB0035282,,
CJ1789,sorbitol-6-phosphate,C6H15O9P,,,,HMDB0005831,,Carbohydrates and carbohydrate conjugates  
CJ1790,sphingosine 1-phosphate,C18H38NO5P,,,,HMDB0000277,,Lipids
CJ1791,sphingosylphosphorylcholine,C23H50N2O5P,,,,HMDB0258420,,
CJ1792,spiroxamine  isomer,C18H35NO2,,,,,,
CJ1793,(s)-succinyldihydrolipoamide,C12H21NO4S2,,,,HMDB0001177,,FA
CJ1794,stoloniferone c  isomer,C28H44O3,,,,,,
CJ1795,suberyl glycine isomer,C10H17NO5,,,,,,
CJ1796,succinyl-coa,C25H40N7O19P3S,,,,HMDB0001022,,CoAs  
CJ1797,supinine  isomer,C15H25NO4,,,,,,
CJ1798,p-synephrine,C9H13NO2,,,,HMDB0004826,,
CJ1799,tangeritin,C20H20O7,,,,HMDB0030539,,
CJ1800,taxuyunnanin  isomer,C28H40O8,,,,,,
CJ1801,terbutaline,C12H19NO3,,,,HMDB0015009,,
CJ1802,tetradecadienoyl-coa isomer,C35H58N7O17P3S,,,,,,Glycolysis
CJ1803,tetradecanoyl-coa,C35H62N7O17P3S,,,,HMDB0001521,,CoAs  
CJ1804,tetrahydrodeoxycorticosterone,C21H34O3,,,,HMDB0000879,,Steroids and steroid derivatives  
CJ1805,thiamine-phosphate isomer,C12H18N4O4PS,,,,,,
CJ1806,thiodiacetic acid,C4H6O4S,,,,HMDB0042032,,
CJ1807,"trans-3,3',4',5,5',7-hexahydroxyflavanone",C15H12O8,,,,HMDB0030835,,
CJ1808,dehydroepiandrosterone,C19H28O2,,,,HMDB0000077,,
CJ1809,melilotoside,C15H18O8,,,,HMDB0033581,,
CJ1810,trans-trans-muconic acid,C6H6O4,,,,HMDB0002349,,FA
CJ1811,trehalose 6-phosphate,C12H23O14P,,,,HMDB0001124,,Carbohydrates and carbohydrate conjugates  
CJ1812,trichocarposide,C22H24O9,,,,HMDB0031723,,
CJ1813,tricyclazole,C9H7N3S,,,,HMDB0031809,,
CJ1814,tridecanoyl carnitine isomer,C20H39NO4,,,,,,carnitine
CJ1815,triethanolamine,C6H15NO3,,,,HMDB0032538,,
CJ1816,trihydroxycoprostanoic acid,C28H48O5,,,,HMDB0002163,,
CJ1817,trimethoprim impurity b isomer,C14H16N4O4,,,,,,
CJ1818,trimethoxycinnamic acid isomer,C12H14O5,,,,,,
CJ1819,trimethylamine n-oxide,C3H9NO,,,,HMDB0000925,,Microbiota related
CJ1820,trp lys  isomer,C17H24N4O3,,,,,,Amino acids related and peptides
CJ1821,tyrosol 4-sulfate,C8H10O5S,,,,HMDB0041785,,
CJ1822,udp-d-xylose,C14H22N2O16P2,,,,HMDB0001018,,"Nucleosides, nucleotides, and analogues  "
CJ1823,undecylenoyl glycine isomer,C13H23NO3,,,,,,
CJ1824,uralenol,C20H18O7,,,,HMDB0039732,,
CJ1825,urea,CH4N2O,,,,HMDB0000294,,
CJ1826,ureidosuccinic acid,C5H8N2O5,,,,HMDB0000828,,Amino acids related and peptides
CJ1827,val asp  isomer,C9H16N2O5,,,,,,Amino acids related and peptides
CJ1828,val gly isomer,C7H14N2O3,,,,,,Amino acids related and peptides
CJ1829,val lys isomer,C11H23N3O3,,,,,,Amino acids related and peptides
CJ1830,val tyr isomer,C14H20N2O4,,,,,,Amino acids related and peptides
CJ1831,valerenic acid,C15H22O2,,,,HMDB0030016,,
CJ1832,valeroidine isomer,C13H23NO3,,,,,,
CJ1833,valpromide,C8H17NO,,,,HMDB0259756,,
CJ1834,valylvaline,C10H20N2O3,,,,HMDB0029140,,Amino acids related and peptides
CJ1835,vanillic acid 4-o-sulfate,C8H8O7S,,,,HMDB0041788,,
CJ1836,vanilloylglycine,C10H11NO5,,,,HMDB0060026,,Microbiota related
CJ1837,vanillyl mandelate,C9H10O5,,,,HMDB0304531,,
CJ1838,volkenin  isomer,C12H17NO7,,,,,,
CJ1839,wedelolactone,C16H10O7,,,,HMDB0259891,,
CJ1840,"(s,e)-zearalenone",C18H22O5,,,,HMDB0031752,,
CJ1841,nicotinic acid ribonucleoside,C11H13NO6,12.49,posi,STD,HMDB0006809,,
CJ1842,nicotinic acid mononucleotide,C11H14NO9P,15.71,posi,STD,HMDB0001132,,"Nucleosides, nucleotides, and analogues  "
CJ1843,l-formylkynurenine,C11H12N2O4,10.15,posi,STD,HMDB0060485,,
CJ1844,adipostatin a,C21H36O2,3.2,nega,STD,HMDB0031009,,
CJ1845,(s)-beta-aminoisobutyric acid,C4H9NO2,14.08,nega,STD,HMDB0002166,,Amino acids related and peptides
CJ1846,n-methyl-l-histidine,C7H11N3O2,15.51,nega,STD,HMDB0255176,,Amino acids related and peptides
CJ1847,geranylgeranyl pyrophosphate,C20H36O7P2,9.24,nega,STD,HMDB0004486,,Cholestrol synthesis
CJ1848,farnesyl pyrophosphate,C15H28O7P2,10.27,nega,STD,HMDB0000961,,Cholestrol synthesis
