CJ,HMDB Name,Formula,RT,Detected.in,confirmation,HMDB ID,other ID,Classification
CJ1300,"4-nitro-7-piperidino-2,1,3-benzoxadiazole isomer",C11H12N4O3,,,,,,
CJ1301,4-piperidinecarboxamide isomer,C6H12N2O,,,,,,
CJ1302,"5-({[5-(tert-butyl)-4h-1,2,4-triazol-3-yl]thio}methyl)-3-[3-(1h-pyrrol-1-yl)phenyl]-1,2,4-oxadiazole isomer",C19H20N6OS,,,,,,
CJ1303,"5-(4-fluorophenyl)-2,3,5,6-tetrahydroimidazo[2,1-a]isoquinolin-5-ol isomer",C17H15FN2O,,,,,,
CJ1304,5-hete,C20H32O3,,,,HMDB0011134,,FA
CJ1305,"5,6-dihydrouridine",C9H14N2O6,,,,HMDB0000497,,"Nucleosides, nucleotides, and analogues  "
CJ1306,"5,6-dihydroxyprostaglandin f1a",C20H36O7,,,,HMDB0012109,,Prostaglandins and related compounds  
CJ1307,5b-cyprinol sulfate,C27H48O8S,,,,HMDB0006888,,
CJ1308,5-butyl-2-(4-chlorophenyl)-6-(methoxymethyl)pyrimidin-4-ol isomer,C16H19ClN2O2,,,,,,
CJ1309,5-carboxy-2'-deoxyuridine isomer,C10H12N2O7,,,,,,"Nucleosides, nucleotides, and analogues  "
CJ1310,"5-chloro-1,3-dihydro-1-(4-piperidinyl)-2h-benzimidazol-2-one isomer",C12H14ClN3O,,,,,,
CJ1311,5-ethyl-3-hydroxy-4-methyl-2(5h)-furanone,C7H10O3,,,,HMDB0033551,,
CJ1312,5-hexyltetrahydro-2-oxo-3-furancarboxylic acid,C11H18O4,,,,HMDB0030984,,
CJ1313,5-hydroxy-6-methoxycoumarin 7-glucoside isomer,C16H18O10,,,,,,
CJ1314,5-hydroxyisourate,C5H4N4O4,,,,HMDB0030097,,"Nucleosides, nucleotides, and analogues  "
CJ1315,5-hydroxymethyl-4-methyluracil,C6H8N2O3,,,,HMDB0000544,,"Nucleosides, nucleotides, and analogues  "
CJ1316,glutamylalanine,C8H14N2O5,,,,HMDB0003764,,Amino acids related and peptides
CJ1317,5-methoxytryptamine,C11H14N2O,,,,HMDB0004095,,
CJ1318,5-methoxytryptophan,C12H14N2O3,,,,HMDB0002339,,Serotonins  
CJ1319,5-methylcytidine,C10H15N3O5,,,,HMDB0000982,,"Nucleosides, nucleotides, and analogues  "
CJ1320,5-methyldeoxycytidine,C10H15N3O4,,,,HMDB0002224,,"Nucleosides, nucleotides, and analogues  "
CJ1321,5-methyl-lysine isomer,C7H16N2O2,,,,,,Amino acids related and peptides
CJ1322,5-methyl-n-[(5-methyl-3-phenyl-4-isoxazolyl)methyl]-1-phenyl-1h-pyrazole-4-sulfonamide isomer,C21H20N4O3S,,,,,,
CJ1323,5-methyl-n-[2-morpholino-5-(trifluoromethyl)phenyl]-1-phenyl-1h-pyrazole-3-carboxamide isomer,C22H21F3N4O2,,,,,,
CJ1324,5-methyl-thf isomer,C20H25N7O6,,,,,,
