Tissue_cell_type_name	Developmental_stage	Organ_system	Tissue	Specific_cell_type	General_cell_type	Cell_Ontology_ID	General_tissue_name	Uber_anatomy_ontology_ID	input_list_raw_p	input_list_permutated_p	input_list_rank_p	input_list_combined_p	input_list_combined_log10p	delabel
TS_Blood_classical monocyte	Adult	Lymphatic system	TS_Blood	classical monocyte	Monocyte	CL:0000576	Blood	UBERON:0000178	9.64764780497045e-12	0.308658149323816	0.00590405904059041	0.0133169679139369	1.87559464664807	NA
AdultGallbladder_Goblet cell	Adult	Digestive system	AdultGallbladder	Goblet cell	Goblet cell	CL:0000160	Gall bladder	UBERON:0002110	0.000594995136938406	0.0158919628703472	0.121033210332103	0.0139520369629467	1.85536238183937	NA
TS_Blood_plasma cell	Adult	Lymphatic system	TS_Blood	plasma cell	Plasma cell	CL:0000786	Blood	UBERON:0000178	5.09288859355163e-11	0.27238659676222	0.00738007380073801	0.0144927853051586	1.83884814134626	NA
TS_Lung_type ii pneumocyte	Adult	Respiratory system	TS_Lung	type ii pneumocyte	Pneumocyte	CL:0000322	Lung	UBERON:0002048	2.14508591045674e-10	0.299559383017218	0.00811808118081181	0.0170693899059429	1.76778200115928	NA
TS_Skin_endothelial cell	Adult	Integumentary system	TS_Skin	endothelial cell	Endothelial cell	CL:0000115	Skin of body	UBERON:0002097	2.52699312820156e-10	0.281938242839735	0.00885608856088561	0.0174599064069298	1.75795808864092	NA
TS_Small_Intestine_transit amplifying cell of small intestine	Adult	Digestive system	TS_Small_Intestine	transit amplifying cell of small intestine	Transit amplifying cell	CL:0009010	Small intestine	UBERON:0002108	2.55146273964012e-10	0.252995108389336	0.0103321033210332	0.0181589588633441	1.74090905520186	NA
Fetal_HCA_Spleen_AFP_ALB positive cells	Fetal	Lymphatic system	Fetal_HCA_Spleen	AFP_ALB positive cells	Hepatocyte	CL:0000182	Spleen	UBERON:0002106	0.00177737416871018	0.0185268997193167	0.152767527675277	0.0194367754175413	1.71137578336691	NA
FetalKidney_Ureteric bud cell	Fetal	Urinary system	FetalKidney	Ureteric bud cell	Epithelial cell	CL:0000066	Kidney	UBERON:0002113	0.00183920269194192	0.0202560770264529	0.153505535055351	0.0210610934337527	1.67651908519622	NA
TS_Bone_Marrow_myeloid progenitor	Adult	Lymphatic system	TS_Bone_Marrow	myeloid progenitor	Myeloid cell	CL:0000763	Bone marrow	UBERON:0002371	2.55853134078765e-10	0.280209065532599	0.0118081180811808	0.0222055855085516	1.65353777102529	NA
Madissoon_2020_lung_Alveolar_Type2	Adult	Respiratory system	Madissoon_2020_lung	Alveolar_Type2	Alveolar capillary type 2 endothelial cell	CL:4028003	Lung	UBERON:0002048	0.0011746849112539	0.0253612671713313	0.138376383763838	0.0233456198832953	1.6317945899996	NA
TS_Salivary_Gland_duct epithelial cell	Adult	Digestive system	TS_Salivary_Gland	duct epithelial cell	Epithelial cell	CL:0000066	Saliva-secreting gland	UBERON:0001044	1.04938965960099e-09	0.27238659676222	0.0132841328413284	0.0239601546806891	1.62051038257852	NA
Madissoon_2020_spleen_DC_plasmacytoid	Adult	Lymphatic system	Madissoon_2020_spleen	DC_plasmacytoid	Plasmacytoid dendritic cell	CL:0000784	Spleen	UBERON:0002106	0.00169309995611616	0.0251142418417404	0.152029520295203	0.0250773240057813	1.60071880881134	NA
TS_Mammary_luminal epithelial cell of mammary gland	Adult	Endocrine system	TS_Mammary	luminal epithelial cell of mammary gland	Epithelial cell	CL:0000066	Mammary gland	UBERON:0001911	1.22559855087664e-09	0.268640045930092	0.014760147601476	0.0258933610184887	1.58681157347225	NA
TS_Blood_monocyte	Adult	Lymphatic system	TS_Blood	monocyte	Monocyte	CL:0000576	Blood	UBERON:0000178	2.57625433783134e-10	0.32660865660742	0.0125461254612546	0.0266239594147067	1.57472735742296	NA
TS_Eye_retinal pigment epithelial cell	Adult	Sensory system	TS_Eye	retinal pigment epithelial cell	Retinal pigment epithelial cell	CL:0002586	Eye	UBERON:0000970	1.25166006785659e-09	0.233974158010837	0.0188191881918819	0.0282924459036971	1.54832950582821	NA
TS_Spleen_hematopoietic stem cell	Adult	Lymphatic system	TS_Spleen	hematopoietic stem cell	Hematopoietic stem cell	CL:0000037	Spleen	UBERON:0002106	1.2416789670699e-09	0.259623621400024	0.0169741697416974	0.0283124734279457	1.54802218824051	NA
TS_Pancreas_pancreatic ductal cell	Adult	Digestive system	TS_Pancreas	pancreatic ductal cell	Pancreatic ductal cell	CL:0002079	Pancreas	UBERON:0001264	1.05397477820725e-09	0.317139352306436	0.0140221402214022	0.028529693096861	1.54470290016405	NA
TS_Thymus_fibroblast	Adult	Lymphatic system	TS_Thymus	fibroblast	Fibroblast	CL:0000057	Thymus	UBERON:0002370	1.23337483832275e-09	0.297047958833044	0.0154981549815498	0.029375700811457	1.53201176370172	NA
TS_Eye_melanocyte	Adult	Sensory system	TS_Eye	melanocyte	Melanocyte	CL:0000148	Eye	UBERON:0000970	1.25166006785659e-09	0.259294254293903	0.0188191881918819	0.0308527795170471	1.51070570441715	NA
TS_Lymph_Node_macrophage	Adult	Lymphatic system	TS_Lymph_Node	macrophage	Macrophage	CL:0000235	Lymph node	UBERON:0000029	1.24306087186438e-09	0.281114825074432	0.0177121771217712	0.0313811029351058	1.5033317965613	NA
FetalAdrenalGland_Hepatocyte/Endodermal cell	Fetal	Endocrine system	FetalAdrenalGland	Hepatocyte/Endodermal cell	Hepatocyte	CL:0000182	Adrenal gland	UBERON:0002369	0.00310490177207148	0.0319074384054898	0.156457564575646	0.0314500424300823	1.50237876430017	NA
TS_Bone_Marrow_granulocyte	Adult	Lymphatic system	TS_Bone_Marrow	granulocyte	Granulocyte	CL:0000094	Bone marrow	UBERON:0002371	1.23946487351444e-09	0.328131979473231	0.0162361623616236	0.0332168318628852	1.47864179181478	NA
Lake_2017_VisualCortex_In1c	Adult	Nervous system	Lake_2017_VisualCortex	In1c	Inhibitory neuron	CL:0008029	Visual cortex	UBERON:0000411	0.000788821888355822	0.0415002553712694	0.136531365313653	0.0349782060838405	1.45620246780952	NA
TS_Spleen_endothelial cell	Adult	Lymphatic system	TS_Spleen	endothelial cell	Endothelial cell	CL:0000115	Spleen	UBERON:0002106	5.75153300324007e-09	0.27773881223669	0.0214022140221402	0.036410372719262	1.43877487533438	NA
TS_Bladder_bladder urothelial cell	Adult	Urinary system	TS_Bladder	bladder urothelial cell	Urothelial cell	CL:0000731	Bladder organ	UBERON:0018707	5.7338239023052e-09	0.294824730866726	0.0206642066420664	0.037167572682846	1.42983580061715	NA
Placenta_Epithelial cell	Adult	Reproductive system	Placenta	Epithelial cell	Epithelial cell	CL:0000066	Placenta	UBERON:0001987	0.00481043428029408	0.035283451243232	0.174169741697417	0.0374376325701239	1.42669162238691	NA
AdultKidney_Epithelial cell	Adult	Urinary system	AdultKidney	Epithelial cell	Epithelial cell	CL:0000066	Kidney	UBERON:0002113	0.00232425318541839	0.0415002553712694	0.154981549815498	0.0388897523782658	1.41016482211598	NA
Madissoon_2020_spleen_Plasmablast	Adult	Lymphatic system	Madissoon_2020_spleen	Plasmablast	Plasma cell	CL:0000786	Spleen	UBERON:0002106	0.00448609071729167	0.0380830716452621	0.172693726937269	0.0396195400676674	1.40209057037328	NA
AdultIleum_B cell (Plasmocyte)	Adult	Digestive system	AdultIleum	B cell (Plasmocyte)	B cell	CL:0000236	Ileum	UBERON:0002116	0.0239166631729739	0.0286961091208083	0.236531365313653	0.0406754143586285	1.39066801423009	NA
TS_Bladder_smooth muscle cell	Adult	Urinary system	TS_Bladder	smooth muscle cell	Smooth muscle cell	CL:0000192	Bladder organ	UBERON:0018707	2.53739706421417e-08	0.275433242493841	0.0250922509225092	0.0412919375680919	1.38413473796841	NA
van_Zyl_eye_2020_SchwalbeLine	Adult	Sensory system	van_Zyl_eye_2020	SchwalbeLine	Schwalbe line	NA	Eye	UBERON:0000970	0.00595645430431506	0.0391946856284211	0.176383763837638	0.0413022154947191	1.38402665170136	NA
FetalStomach_Fetal enterocyte	Fetal	Digestive system	FetalStomach	Fetal enterocyte	Enterocyte	CL:0000584	Stomach	UBERON:0000945	0.0118107209906491	0.0338012992656867	0.205166051660517	0.0414094922922065	1.38290009420288	NA
TS_Pancreas_myeloid cell	Adult	Digestive system	TS_Pancreas	myeloid cell	Myeloid cell	CL:0000763	Pancreas	UBERON:0001264	4.92404908153015e-09	0.351187676901714	0.0199261992619926	0.0417221762976659	1.37963304613677	NA
TS_Large_Intestine_plasma cell	Adult	Digestive system	TS_Large_Intestine	plasma cell	Plasma cell	CL:0000786	Large intestine	UBERON:0000059	1.06774131326649e-07	0.206842542644104	0.0343173431734317	0.0422199115839325	1.37448268051795	NA
TS_Thymus_macrophage	Adult	Lymphatic system	TS_Thymus	macrophage	Macrophage	CL:0000235	Thymus	UBERON:0002370	2.53082596357133e-08	0.292107452241226	0.0243542435424354	0.0422979200861201	1.37368098764456	NA
TS_Salivary_Gland_basal cell	Adult	Digestive system	TS_Salivary_Gland	basal cell	Basal cell	CL:0000646	Saliva-secreting gland	UBERON:0001044	2.18994564565412e-08	0.301823781871801	0.0236162361623616	0.0423665807095085	1.37297658530076	NA
TS_Tongue_keratinocyte	Adult	Digestive system	TS_Tongue	keratinocyte	Keratinocyte	CL:0000312	Tongue	UBERON:0001723	5.76785879177485e-09	0.322409226004375	0.022140221402214	0.0424173451225972	1.37245651721239	NA
AdultCervix_Stratified epithelial cell	Adult	Reproductive system	AdultCervix	Stratified epithelial cell	Epithelial cell	CL:0000066	Uterine cervix	UBERON:0000002	0.00231926835718099	0.0469348126222689	0.154243542435424	0.0429166931835292	1.36737374866958	NA
TS_Large_Intestine_intestinal enteroendocrine cell	Adult	Digestive system	TS_Large_Intestine	intestinal enteroendocrine cell	Endocrine cell	CL:0000163	Large intestine	UBERON:0000059	1.06774131326649e-07	0.211741878347657	0.0343173431734317	0.0430498374558058	1.36602848398222	NA
TS_Trachea_goblet cell	Adult	Respiratory system	TS_Trachea	goblet cell	Goblet cell	CL:0000160	Trachea	UBERON:0003126	1.63417921971671e-06	0.144839184916791	0.0505535055350554	0.0433239670538765	1.36327178310105	NA
TS_Skin_muscle cell	Adult	Integumentary system	TS_Skin	muscle cell	Cell of skeletal muscle	CL:0000188	Skin of body	UBERON:0002097	4.28329207531255e-07	0.171229724294751	0.0428044280442804	0.0433596690407313	1.36291404137587	NA
TS_Salivary_Gland_ionocyte	Adult	Digestive system	TS_Salivary_Gland	ionocyte	Ionocyte	CL:0005006	Saliva-secreting gland	UBERON:0001044	9.32455012759715e-08	0.241714285004685	0.0317343173431734	0.045029371019218	1.34650411932156	NA
AdultPeripheralBlood_Neutrophil	Adult	Lymphatic system	AdultPeripheralBlood	Neutrophil	Neutrophil	CL:0000775	Blood	UBERON:0000178	0.00716697036757332	0.0443822175498297	0.177859778597786	0.0461130900695713	1.33617577443645	NA
TS_Lymph_Node_cd1c-positive myeloid dendritic cell	Adult	Lymphatic system	TS_Lymph_Node	cd1c-positive myeloid dendritic cell	Dendritic cell	CL:0000451	Lymph node	UBERON:0000029	2.54807309624479e-08	0.286549382325431	0.0280442804428044	0.0468005919565549	1.32974865372418	NA
TS_Eye_corneal epithelial cell	Adult	Sensory system	TS_Eye	corneal epithelial cell	Epithelial cell	CL:0000066	Eye	UBERON:0000970	5.7938427222536e-09	0.360698152090963	0.0228782287822878	0.0478399638807208	1.32020915691282	NA
TS_Pancreas_pancreatic beta cell	Adult	Digestive system	TS_Pancreas	pancreatic beta cell	Type B pancreatic cell	CL:0000169	Pancreas	UBERON:0001264	3.79004859073622e-07	0.20017285874515	0.0416974169741697	0.0482930376316759	1.3161154766211	NA
