V1
AdultCervix_Stratified epithelial cell	C19orf33;CSTB;DDAH1;FAM83H;GLRX;KIF26B;MPZL3;OTUB2;PKP2;RIC3;SERPINA1;SERPINA3;SLC5A3;SOCS6;UBE2H
AdultCervix_Basal cell	ARL5B;C19orf33;CSTB;CYB5R1;CYP4F2;FAM83H;ITGB6;NPR3;PKP2;PPP1R15A;RDH16
AdultCervix_T cell	AUTS2;MPZL3;PPHLN1;TSPAN17
AdultCervix_Macrophage	ATG7;CSTB;FAT3;OSTM1;SERPINA1;SLC5A3
AdultDuodenum_B cell (Plasmocyte)	CUTA;DCTN3;MEF2C;RNGTT
AdultDuodenum_Enterocyte	C19orf33;DDC;FOLH1;GLRX;HEBP1;PPIC;SLC4A7;TMEM37;TSC22D1
AdultDuodenum_Goblet cell	CANX;DDAH1;G3BP2;GC;HSPA5;LPGAT1;MCFD2;MSI2;NUCKS1;SERPINA1;SERPINA3;SUCO
AdultDuodenum_Dendritic cell	LYRM7;METTL18
AdultDuodenum_Macrophage	ATG7;RC3H2;RHOQ
AdultDuodenum_T cell	ANP32E;CCDC34;LYRM7
AdultDuodenum_Endothelial cell (APC)	FAM169A;NFIB;PIK3R3;SNCG
AdultEpityphlon_B cell (Plasmocyte)	ATF5;C3orf70;COPZ1;CUTA;CYB5R1;FUCA2;GLRX;HSPA5;MIB1;PIGK;PPP1R15A;RNF103;RPN1;SCARB2;SLC5A3
AdultEpityphlon_B cell	ANP32E;GINS2;HAGHL;LARP7;MEF2C;NUCKS1;NUDT1;RIC3;RNGTT
AdultEpityphlon_Enterocyte progenitor	ALDH3A2;C19orf33;COA3;CSTB;DDC;DERA;HOXA10;PKP2;PPIC;TMEM37;TMX2
AdultEpityphlon_T cell	ANP32E;CELA1;G3BP2;MAP3K7;MPZL3
AdultEpityphlon_Dendritic cell	CSGALNACT2;CSTB;GLRX;PIK3R3;PPP1R15A;PSPH;SERPINA1;SOCS6
AdultEsophagus_Basal cell	ALDH3A2;C19orf33;COA3;CSTB;FAM83H;ITGB6;NME1
AdultEsophagus_Endothelial cell (APC)	ARL5B;MEF2C;NFIB;PIK3R3;SNCG;TSC22D1
AdultEsophagus_Endothelial cell	MOB1B;PIK3R3;RABL3;TSC22D1
AdultEsophagus_Stromal cell	ATG7;CCDC34;NUCKS1;PBX3;SCARB2
AdultEsophagus_Fibroblast	F10;FUCA2;GLRX;HEBP1;HSPA5;MAP1LC3A;NUCKS1;NUDT4;PBX3;PPIC;PPP1R15A;SCARB2;SERPINA3
AdultEsophagus_Smooth muscle cell	ANKRD40;MEF2C;MMGT1;NPR3;NUDT4;PPP1R15A;RHOQ;SNCG;TSC22D1;TTC9C
AdultEsophagus_Stratified epithelial cell	C19orf33;CANX;CUTA;DDAH1;MPZL3;NFIB;PKP2;RIC3;SERPINA1
AdultEsophagus_B cell (Plasmocyte)	C3orf70;CUTA;GLRX;HSPA5;MEF2C;MSI2;RPN1;SCX;TMEM19
AdultEsophagus_Dendritic cell	CSGALNACT2;MEF2C;RHOQ;SERPINA1
AdultEsophagus_B cell	EIF5B;G3BP2;MEF2C;RNGTT;TTC13
AdultEsophagus_Macrophage	BCL6;CSGALNACT2;MEF2C;RHOQ;SERPINA1
AdultEsophagus_Mast cell	G3BP2;MSRA;PAQR7
AdultEsophagus_Monocyte	CSGALNACT2;OSTM1;SERPINA1
AdultEsophagus_T cell	AUTS2;G3BP2;MPZL3;TTC13;TTC9C
AdultEsophagus_Neutrophil	BCL6;OSTM1;SERPINA1
AdultFallopiantube_Stratified epithelial cell	C19orf33;CANX;CCDC34;COA3;COPZ1;CUTA;DDAH1;GSTA3;HSPA5;MSI2;NME1;PKP2;PRDX6;SERPINA3;TSC22D1;UBE2H
AdultFallopiantube_Fibroblast	F10;HEBP1;NFIB
AdultFallopiantube_Smooth muscle cell	HOXA10;MEF2C;SNCG;TP53INP2;TSC22D1
AdultFallopiantube_T cell	AUTS2;G3BP2;YKT6
AdultFallopiantube_Stromal cell	F10;FAT3;RHOQ;RNGTT
AdultFallopiantube_Dendritic cell	ARL5B;ATF5;CSTB;GLRX;PPP1R15A;RHOQ;SERPINA1;SLC4A7
AdultFallopiantube_Macrophage	CSGALNACT2;CSTB;GLRX;PPP1R15A;SERPINA1;SLC4A7
AdultFallopiantube_Endothelial cell (APC)	PIK3R3;TMEM37
AdultFallopiantube_B cell (Plasmocyte)	CUTA;GLRX;GNB3;HSPA5;MEF2C;NME1;RPN1;TMEM19
AdultFallopiantube_Mast cell	ANP32E;ARL2BP;DNM1L;G3BP2;MMGT1;MSRA;PIK3R3;PPP1R15A;SOCS6
AdultGallbladder_Fibroblast	CUTA;GLRX;HSPA5;MAP1LC3A;NME1;PPIC;PRDX6;SCARB2
AdultGallbladder_Goblet cell	ALDH3A2;ARL5B;C19orf33;CAB39;CYP4F2;FAM83H;GC;ITGB6;MPZL3;RNF103;SERPINA1;SERPINA3;TMEM37;TSC22D1;TTR;UBE2H
AdultGallbladder_Stromal cell	ANKRD40;MOB1B;UBE2H;ZDHHC21
AdultGallbladder_Smooth muscle cell	DCTN3;DNM1L;PIK3R3;PRDX6;RIC3;SNCG;TSC22D1;TTC9C
AdultGallbladder_Endothelial cell	ATF5;INO80C;SNCG;TSC22D1
AdultGallbladder_Macrophage	ATF5;CANX;CSGALNACT2;CSTB;GTF2A1;OSTM1
AdultHeart_Smooth muscle cell	C3orf70;COA3;CUTA;EIF5B;MEF2C;NUDT4;PPP1R15A;SNCG;TSC22D1
AdultHeart_Endothelial cell (APC)	ANKRD40;ARL5B;C19orf33;INO80C;NFIB;RC3H2
AdultHeart_Macrophage	CAB39;CSGALNACT2;CSTB;RHOQ;SCARB2;TMEM19;TMEM37
AdultHeart_Monocyte	ABCB7;CSTB;GLRX;OTUB2;SERPINA1
AdultHeart_Stromal cell	ARL2BP;CLN5;F10;HSPA5;MAP1LC3A;NUCKS1;PPIC;SERPINA3;TMX2
AdultHeart_T cell	ARMC6;MPZL3;NME1;SETD6;TTC13
AdultHeart_Dendritic cell	ABCB7;ARL5B;CANX;SERPINA1
AdultIleum_Enterocyte	C19orf33;CCDC34;COA3;COX10;CYP4F2;DDAH1;DDC;GINS2;GLRX;HEBP1;PKP2;SERPINA1;TMEM37
AdultIleum_Endothelial cell (APC)	ARL2BP;MCFD2;MEF2C;NFIB;SNCG
AdultIleum_B cell (Plasmocyte)	ATF5;COPZ1;CUTA;GLRX;HAGHL;HSPA5;MEF2C;NME1;PIGK;RIC3;RNGTT;SLC5A3
AdultIleum_Epithelial cell	C19orf33;CANX;COPZ1;INO80C;MCFD2;PPP1R15A;PRDX6;RIC3;TSC22D1
AdultIleum_Stromal cell	CSTB;F10;PBX3;PPIC;RHOQ;SERPINA3
AdultIleum_Dendritic cell	ARL5B;CELA1;CSGALNACT2;CSTB;MEF2C;PPP1R15A
AdultIleum_Enterocyte progenitor	MAP3K7;MOB1B;MSI2;UBE2H
AdultIleum_Mast cell	HAGHL;HOXA10;PIGV;PPP1R15A
AdultIleum_Macrophage	ARL5B;CSGALNACT2;CSTB;PPP1R15A;RHOQ
AdultIleum_Smooth muscle cell	DCTN3;DFFA;EIF5B;MEF2C;NUDT4;PIGK;PRDX6;SNCG;SOCS6;TSC22D1;YKT6;ZMPSTE24
AdultIleum_T cell	C3orf70;DCTN3;EPHA7
AdultJeJunum_Enterocyte	ALDH3A2;C19orf33;COA3;CYP4F2;DDAH1;DDC;DERA;FOLH1;GLRX;HEBP1;LPGAT1;NFIB;PAQR7;SERPINA1;SLC4A7;TMEM37;TSC22D1
AdultJeJunum_B cell (Plasmocyte)	CUTA;HAGHL;HSPA5;MEF2C;MSI2;PPP1R15A;RHOQ;RIC3;RPN1
AdultJeJunum_T cell	FAM169A;OSTM1;PPP1R15A
AdultJeJunum_Macrophage	SCARB2
AdultJeJunum_Dendritic cell	CELA1;CSTB
AdultJeJunum_Stromal cell	FUCA2;NUDT4;TSC22D1
AdultJeJunum_Smooth muscle cell	MEF2C;NUDT4;RAB3A;SNCG;TP53INP2;TSC22D1
AdultJeJunum_Mast cell	ARL5B;CSTB;INO80C;METTL18;PPP1R15A;TRIM67;TSC22D1
AdultKidney_Intercalated cell	CCDC34;CLN5;COA3;FAM169A;MAP1LC3A;MOB1B;MSI2;PRDX6;ST8SIA5;TTR;ZMPSTE24
AdultKidney_Loop of Henle	C19orf33;COA3;CUTA;ITGB6;NUDT4;PRDX6;SERPINA3;SLC5A3;TMEM37;TSC22D1;UBE2H
AdultKidney_B cell (Plasmocyte)	ATF5;C3orf70;GNB3;RPN1;SCX;YKT6
AdultKidney_Epithelial cell	ALDH3A2;CANX;CYP4F2;DDAH1;DDC;EPHA7;FOLH1;FUCA2;GLRX;HSPA5;MSRA;NFIB;NPR3;SERPINA1;TMEM37
AdultKidney_Fetal epithelial progenitor	C19orf33;COPZ1;MPZL3;NME1
AdultKidney_Dendritic cell	ATF5;CSGALNACT2;MEF2C;NUDT1;SERPINA1
AdultKidney_Macrophage	CSGALNACT2;CSTB;RHOQ;SERPINA1
AdultKidney_Ureteric bud cell	DCTN3;FAM169A
AdultKidney_Endothelial cell	ANKRD40;MEF2C;NFIB;PIK3R3;TSC22D1;UBE2H
AdultKidney_B cell	KIF26B;NUDT1;PBX3;RC3H2;RNGTT
AdultKidney_Endothelial cell (APC)	ARL5B;MEF2C;NFIB;PIK3R3;PPP1R15A;RNF103;SNCG;TSC22D1
AdultKidney_T cell	ANP32E;CSGALNACT2;MPZL3;NUDT1
AdultKidney_Smooth muscle cell	C3orf70;F10;MEF2C;NFIB;NUDT4;OSTM1;SCX;SNCG;TSC22D1
AdultKidney_Monocyte	CSGALNACT2;SERPINA1;TTC9C
AdultKidney_Mast cell	ARL5B;MAP3K7;OTUB2;TTC13
AdultLiver_Sinusoidal endothelial cell	AHSG;ATF5;CYP4F2;GC;LBP;MAP1LC3A;NFIB;PRDX6;RDH16;SERPINA1;SERPINA3;TSC22D1;TTR
AdultLiver_T cell	ANP32E;CCDC34;DCTN3;GINS2;MPZL3;NME1;NUDT1
AdultLiver_Dendritic cell	CSTB;HAGHL;MEF2C;NUDT1;PPHLN1;PPP1R15A
AdultLiver_Antigen presenting cell (RPS high)	CSTB;EIF5B;GLRX;LARP7;LPGAT1;SERPINA1;ZMPSTE24
AdultLiver_B cell	EIF5B;ZDHHC21
AdultLiver_Monocyte	ACOT8;ATG7;CSGALNACT2;CSTB;GLRX;PPP1R15A;SERPINA1
AdultLiver_Neutrophil	ANP32E;CAB39;CANX;CSGALNACT2;GLRX;LPGAT1;NUDT4;PBX3;PKP2;SUCO
AdultLiver_B cell (Plasmocyte)	CUTA;HSPA5;MSI2;NME1;RIC3;RNGTT;RPN1;TMEM19
AdultLiver_Endothelial cell (APC)	MEF2C;NFIB;NR3C2;PIK3R3;PPIC;SNCG;TSC22D1
AdultLiver_Macrophage	CYB5R1;FUCA2;GLRX;OSTM1;RHOQ;SCARB2;SLC4A7;TMEM37
AdultLung_AT2 cell	AUTS2;BCL6;C19orf33;DDAH1;FAM83H;ITGB6;TSC22D1;ZDHHC21
AdultLung_Macrophage	ARL5B;ATF5;CSGALNACT2;PPP1R15A
AdultLung_Endothelial cell (endothelial to mesenchymal transition)	F10;FAT3;NFIB;NPR3;NUCKS1;PIK3R3;SERPINA3;TSC22D1
AdultLung_M2 Macrophage	CSTB;FUCA2;GLRX;OSTM1;SERPINA1
AdultLung_Smooth muscle cell	C3orf70;F10;FAT3;HOXA10;LBP;MAP1LC3A;MEF2C;NFIB;SNCG;TSC22D1
AdultLung_Basal cell	ALDH3A2;C19orf33;GINS2;GNB3;PPP1R15A;SLC5A3;SNCG;TSC22D1
AdultLung_T cell	ANP32E;FAM169A;GINS2;MPZL3;NUDT1;PPP1R15A
AdultLung_B cell (Plasmocyte)	CUTA;HSPA5;MEF2C;MSI2;PPP1R15A;RPN1
AdultLung_Stratified epithelial cell	ARL5B;C19orf33;MPZL3;NR3C2;SERPINA3;TSC22D1
AdultLung_Monocyte	ABCB7;ARL5B;PPP1R15A;RAB3A;SLC4A7
