"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:1905368","peptidase complex",113,-0.324916555960849,-1.53466441039775,0.00580706134582693,0.048750638458794,0.0388646730747352,3272,"tags=42%, list=28%, signal=31%","66998/26445/12371/21762/19182/19192/30940/68818/15925/217031/19181/57296/26446/12333/19177/103554/66624/66286/17463/70247/66997/22222/269523/69019/23996/19179/59029/19175/100494/76687/19173/59025/21824/19184/19166/12336/69597/56529/67151/22215/23997/26441/18519/73078/19359/56207/228769/329777"
"GO:0072546","EMC complex",11,-0.687024332932092,-1.81557763345719,0.00589369190606272,0.0488745182453981,0.0389634317281425,2373,"tags=64%, list=20%, signal=51%","68032/18117/66736/73024/230866/66087/236792"
"GO:0097060","synaptic membrane",318,0.261678748602479,1.37870529718049,0.00598641197080004,0.0490453028933015,0.0390995835759292,1899,"tags=21%, list=16%, signal=18%","241226/94332/234267/16490/16485/20538/192897/18128/12259/225875/12262/214804/93887/19206/103967/23964/232975/12260/16971/56216/12495/81840/23965/14396/59033/18213/20403/12288/65945/16416/170707/20353/56320/22288/504186/30794/260299/271849/54393/98732/13052/17357/14745/15529/58226/104015/11540/20910/53623/268890/18129/11539/58234/12802/235611/13649/18436/54725/23792/13405/16526/239217/18166/11448/18187/71709/381290/20527"
"GO:0008250","oligosaccharyltransferase complex",13,-0.634695817526829,-1.77886121697823,0.00636886753407606,0.0500606394690805,0.0399090237253506,2914,"tags=62%, list=25%, signal=46%","66059/66357/13135/20014/16430/13200/67075/103963"
"GO:0005744","TIM23 mitochondrial import inner membrane translocase complex",12,-0.647537773909452,-1.76638172489764,0.00619756889318284,0.0500606394690805,0.0399090237253506,3552,"tags=83%, list=30%, signal=58%","66525/67067/17713/53600/21854/66449/66148/67713/21856/17714"
"GO:0031258","lamellipodium membrane",22,0.554337979272784,1.72758682354962,0.00632565763234155,0.0500606394690805,0.0399090237253506,798,"tags=32%, list=7%, signal=30%","16490/319565/121021/69538/13482/234839/16416"
"GO:0030863","cortical cytoskeleton",103,0.335556432336645,1.50278355706046,0.00640481710854413,0.0500606394690805,0.0399090237253506,2101,"tags=27%, list=18%, signal=23%","17916/245049/234839/20533/13627/110380/17886/20525/16331/56320/22288/15163/109711/213019/20739/243725/101706/20740/29875/19200/12721/640524/75547/11474/667742/72042/68743/12331"
"GO:0005797","Golgi medial cisterna",22,0.553460793527843,1.72485308602589,0.00653768867907773,0.050518503429237,0.0402740391115434,1472,"tags=45%, list=12%, signal=40%","217310/15018/18552/17158/15015/110557/15040/14964/20442/14972"
"GO:1902495","transmembrane transporter complex",254,-0.263032463744894,-1.37716555455331,0.00720613552910175,0.0550581141549347,0.0438930786219681,3565,"tags=42%, list=30%, signal=30%","16518/78330/67273/70316/12869/17991/12313/12286/68202/66495/66108/14225/110323/66218/114143/66091/66576/14403/11447/16523/238076/76757/66335/12293/68198/67530/16504/240899/21871/74610/407785/75597/17718/11443/76192/78506/11931/13043/66416/216001/225887/235281/22318/17992/66144/67130/67549/17720/12862/66594/70495/11928/12867/78808/68194/68375/66152/228071/11975/54405/68514/76905/230075/171429/18821/17719/66290/68349/231252/12299/66377/16511/399548/215999/69379/66916/69875/12865/67184/12290/73834/68197/56188/54378/22272/17716/108664/20271/238161/17993/20266/226922/11964/16514/26373/11973/68342/12859/66733/16495/17711/54411/53881/170706/17717/14628/16502"
"GO:0030027","lamellipodium",193,0.294455015695522,1.44958467460017,0.0073904017941756,0.0558385913337712,0.0445152856608238,2877,"tags=32%, list=24%, signal=24%","16490/18128/319565/11464/19249/11567/121021/69538/13482/11629/18479/234839/65970/18803/11459/246177/17886/16416/56320/240880/245880/30794/18764/19354/12332/77113/104418/18458/16885/230721/54519/243725/20947/73182/217866/108686/14026/19200/12721/13405/22240/242687/17925/16202/74055/17909/67784/12505/14270/20401/107589/14251/76108/13800/77579/13430/14089/23789/100169/319713/72333"
